"plh0036","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","West Germany","5987","0.522105683494613","0.513192197837883","0.531019169151343"
"Big worries","1984","East Germany","","","",""
"Some worries","1984","West Germany","4804","0.396520147606478","0.387791108401296","0.405249186811659"
"Some worries","1984","East Germany","","","",""
"No worries","1984","West Germany","1273","0.0813741688989094","0.0764953461922371","0.0862529916055817"
"No worries","1984","East Germany","","","",""
"Big worries","1985","West Germany","4946","0.47059704636557","0.461239205478014","0.479954887253125"
"Big worries","1985","East Germany","","","",""
"Some worries","1985","West Germany","4911","0.450212619312003","0.440885144313261","0.459540094310745"
"Some worries","1985","East Germany","","","",""
"No worries","1985","West Germany","1072","0.0791903343224275","0.0741276727007473","0.0842529959441076"
"No worries","1985","East Germany","","","",""
"Big worries","1986","West Germany","4382","0.428549750784159","0.419086059359426","0.438013442208892"
"Big worries","1986","East Germany","","","",""
"Some worries","1986","West Germany","4922","0.465889250369238","0.456349703659812","0.475428797078664"
"Some worries","1986","East Germany","","","",""
"No worries","1986","West Germany","1200","0.105560998846603","0.0996847815939039","0.111437216099301"
"No worries","1986","East Germany","","","",""
"Big worries","1987","West Germany","5708","0.581536142508399","0.572049785751674","0.591022499265123"
"Big worries","1987","East Germany","","","",""
"Some worries","1987","West Germany","3923","0.364821936430208","0.355564934844808","0.374078938015608"
"Some worries","1987","East Germany","","","",""
"No worries","1987","West Germany","757","0.0536419210613931","0.0493091870441467","0.0579746550786395"
"No worries","1987","East Germany","","","",""
"Big worries","1988","West Germany","5260","0.560856854604953","0.551088288902305","0.5706254203076"
"Big worries","1988","East Germany","","","",""
"Some worries","1988","West Germany","3964","0.386788204620174","0.377202068477983","0.396374340762366"
"Some worries","1988","East Germany","","","",""
"No worries","1988","West Germany","691","0.0523549407748729","0.0479706089154433","0.0567392726343026"
"No worries","1988","East Germany","","","",""
"Big worries","1989","West Germany","5656","0.625361481866102","0.615685100255118","0.635037863477086"
"Big worries","1989","East Germany","","","",""
"Some worries","1989","West Germany","3336","0.328804654482669","0.319413161109826","0.338196147855512"
"Some worries","1989","East Germany","","","",""
"No worries","1989","West Germany","620","0.0458338636512293","0.0416531883007603","0.0500145390016983"
"No worries","1989","East Germany","","","",""
"Big worries","1990","West Germany","5616","0.62065450794868","0.610862119886525","0.630446896010834"
"Big worries","1990","East Germany","2604","0.582121633512564","0.567606096991374","0.596637170033753"
"Some worries","1990","West Germany","3242","0.328415010472852","0.318937196403629","0.337892824542075"
"Some worries","1990","East Germany","1711","0.386602756045021","0.372270826584542","0.400934685505499"
"No worries","1990","West Germany","574","0.0509304815784681","0.0464935360300295","0.0553674271269067"
"No worries","1990","East Germany","120","0.031275610442416","0.0261528470953247","0.0363983737895074"
"Big worries","1991","West Germany","4669","0.522432891949584","0.512358877682668","0.532506906216501"
"Big worries","1991","East Germany","1908","0.457690390966771","0.442512552551222","0.47286822938232"
"Some worries","1991","West Germany","4102","0.421176969819821","0.41121889669919","0.431135042940453"
"Some worries","1991","East Germany","2088","0.503641641742052","0.488409573981967","0.518873709502137"
"No worries","1991","West Germany","673","0.0563901382305945","0.0517378360361533","0.0610424404250356"
"No worries","1991","East Germany","143","0.0386679672911774","0.032794253835861","0.0445416807464937"
"Big worries","1992","West Germany","5195","0.581907259377789","0.571897115870318","0.59191740288526"
"Big worries","1992","East Germany","2266","0.578276988473858","0.562899958521061","0.593654018426654"
"Some worries","1992","West Germany","3621","0.372651104242574","0.362838531758802","0.382463676726346"
"Some worries","1992","East Germany","1585","0.392000039020909","0.376798565538744","0.407201512503074"
"No worries","1992","West Germany","511","0.0454416363796368","0.0412148983895707","0.049668374369703"
"No worries","1992","East Germany","111","0.0297229725052333","0.0244350528260467","0.0350108921844199"
"Big worries","1993","West Germany","4621","0.512218856790308","0.502038583571393","0.522399130009222"
"Big worries","1993","East Germany","1856","0.481146862394017","0.465302401671148","0.496991323116886"
"Some worries","1993","West Germany","4128","0.441366115993058","0.4312530630556","0.451479168930516"
"Some worries","1993","East Germany","1862","0.488847795628709","0.472996003844722","0.504699587412696"
"No worries","1993","West Germany","512","0.0464150272166341","0.0421302509190411","0.0506998035142271"
"No worries","1993","East Germany","102","0.0300053419772742","0.0245953032838174","0.035415380670731"
"Big worries","1994","West Germany","3522","0.398138131921417","0.388073378752649","0.408202885090185"
"Big worries","1994","East Germany","1395","0.368878213081012","0.353474227219208","0.384282198942815"
