"plh0036","year","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","direct migration background","1215","0.412444113831614","0.395754279954383","0.429133947708844"
"Big worries","1984","indirect migration background","70","0.660206960174153","0.57717594016121","0.743237980187097"
"Big worries","1984","no migration background","4702","0.53291121528981","0.522364875065682","0.543457555513938"
"No worries","1984","direct migration background","700","0.16331499263031","0.150782458687862","0.175847526572759"
"No worries","1984","indirect migration background","","","",""
"No worries","1984","no migration background","561","0.0730327457130267","0.06753270836912","0.0785327830569335"
"Some worries","1984","direct migration background","1427","0.424240893538076","0.407484847671321","0.440996939404831"
"Some worries","1984","indirect migration background","43","0.30361827098818","0.223009793220136","0.384226748756223"
"Some worries","1984","no migration background","3334","0.394056038997163","0.383726763706038","0.404385314288288"
"Big worries","1985","direct migration background","1017","0.406800947911892","0.388853863787161","0.424748032036624"
"Big worries","1985","indirect migration background","70","0.526472323159304","0.444637051440837","0.60830759487777"
"Big worries","1985","no migration background","3859","0.476898797973288","0.465890485880667","0.487907110065909"
"No worries","1985","direct migration background","522","0.12886653687366","0.116625586891255","0.141107486856064"
"No worries","1985","indirect migration background","","","",""
"No worries","1985","no migration background","533","0.0742438852262108","0.068465674173055","0.0800220962793666"
"Some worries","1985","direct migration background","1339","0.464332515214448","0.446111822366509","0.482553208062387"
"Some worries","1985","indirect migration background","56","0.431326189403732","0.350152628008308","0.512499750799156"
"Some worries","1985","no migration background","3516","0.448857316800501","0.437895035598409","0.459819598002593"
"Big worries","1986","direct migration background","908","0.344194312572465","0.326624721412122","0.361763903732807"
"Big worries","1986","indirect migration background","74","0.541770950002687","0.463332065607048","0.620209834398327"
"Big worries","1986","no migration background","3400","0.437166529287633","0.42597019573702","0.448362862838245"
"No worries","1986","direct migration background","517","0.160554424682208","0.146978180740122","0.174130668624293"
"No worries","1986","indirect migration background","","","",""
"No worries","1986","no migration background","661","0.0996777360018646","0.0929159644232182","0.106439507580511"
"Some worries","1986","direct migration background","1384","0.495251262745327","0.476761870422787","0.513740655067868"
"Some worries","1986","indirect migration background","59","0.386760700477061","0.31009194732975","0.463429453624372"
"Some worries","1986","no migration background","3479","0.463155734710502","0.451900615478731","0.474410853942274"
"Big worries","1987","direct migration background","1103","0.44627870803443","0.427865995592031","0.464691420476829"
"Big worries","1987","indirect migration background","100","0.708038741911056","0.640867576831244","0.775209906990868"
"Big worries","1987","no migration background","4505","0.596410530450376","0.585241307752729","0.607579753148023"
"No worries","1987","direct migration background","435","0.115443332333962","0.103607022286684","0.127279642381241"
"No worries","1987","indirect migration background","","","",""
"No worries","1987","no migration background","305","0.0465513806058417","0.0417552023518717","0.0513475588598117"
"Some worries","1987","direct migration background","1262","0.438277959631608","0.419899689813607","0.456656229449608"
"Some worries","1987","indirect migration background","59","0.256132932073882","0.191645937981286","0.320619926166478"
"Some worries","1987","no migration background","2602","0.357038088943782","0.346130461814887","0.367945716072678"
"Big worries","1988","direct migration background","1041","0.455313005952665","0.436377328619999","0.474248683285331"
"Big worries","1988","indirect migration background","119","0.662269304400953","0.600196946933495","0.72434166186841"
"Big worries","1988","no migration background","4100","0.571969864579832","0.560407682954051","0.583532046205613"
"No worries","1988","direct migration background","354","0.0956677748139023","0.0844837234345137","0.106851826193291"
"No worries","1988","indirect migration background","31","0.0742726478221475","0.0398573398054448","0.10868795583885"
"No worries","1988","no migration background","306","0.0472443838271196","0.0422866649887877","0.0522021026654516"
"Some worries","1988","direct migration background","1262","0.449019219233433","0.430106542297211","0.467931896169655"
"Some worries","1988","indirect migration background","73","0.2634580477769","0.205641768641264","0.321274326912535"
"Some worries","1988","no migration background","2629","0.380785751593048","0.36943886131405","0.392132641872047"
"Big worries","1989","direct migration background","1123","0.510634972152342","0.491289641875112","0.529980302429573"
"Big worries","1989","indirect migration background","144","0.636353189513335","0.57765465724614","0.695051721780529"
"Big worries","1989","no migration background","4389","0.639161146331703","0.627737440336613","0.650584852326794"
"No worries","1989","direct migration background","363","0.110560607964074","0.0984249648749123","0.122696251053236"
"No worries","1989","indirect migration background","","","",""
"No worries","1989","no migration background","233","0.0376997103771492","0.0331689666082424","0.0422304541460561"
"Some worries","1989","direct migration background","1079","0.378804419883584","0.360031747385779","0.397577092381388"
"Some worries","1989","indirect migration background","90","0.290281123686967","0.234896295351456","0.345665952022479"
"Some worries","1989","no migration background","2167","0.323139143291148","0.312014408382993","0.334263878199302"
"Big worries","1990","direct migration background","1303","0.547237400116847","0.528328458389468","0.566146341844225"
"Big worries","1990","indirect migration background","160","0.625799114844524","0.570389624143312","0.681208605545736"
"Big worries","1990","no migration background","6757","0.620184343578523","0.611078027028875","0.62929066012817"
"No worries","1990","direct migration background","271","0.0758961796047064","0.0658357991233293","0.0859565600860836"
"No worries","1990","indirect migration background","34","0.0702344981740426","0.0409743691582715","0.0994946271898136"
"No worries","1990","no migration background","389","0.0436573037119329","0.0398234888190872","0.0474911186047787"
"Some worries","1990","direct migration background","1088","0.376866420278447","0.358457497991248","0.395275342565647"
"Some worries","1990","indirect migration background","99","0.303966386981434","0.251298951959606","0.356633822003261"
"Some worries","1990","no migration background","3766","0.336158352709544","0.327294957522215","0.345021747896874"
"Big worries","1991","direct migration background","986","0.436387101685667","0.417404393922614","0.45536980944872"
"Big worries","1991","indirect migration background","172","0.588902281456571","0.537354708668308","0.640449854244834"
"Big worries","1991","no migration background","5419","0.516925228996188","0.507417189513402","0.526433268478974"
"No worries","1991","direct migration background","324","0.0924078439211663","0.0813229502171306","0.103492737625202"
"No worries","1991","indirect migration background","37","0.0684670673493172","0.0420092485066418","0.0949248861919926"
"No worries","1991","no migration background","455","0.0479435574559352","0.04387850260672","0.0520086123051503"
"Some worries","1991","direct migration background","1312","0.471205054393166","0.452098588422342","0.490311520363991"
"Some worries","1991","indirect migration background","141","0.342630651194111","0.292910561909846","0.392350740478376"
"Some worries","1991","no migration background","4737","0.435131213547877","0.425698126517577","0.444564300578177"
"Big worries","1992","direct migration background","1122","0.528999146718725","0.509598632392509","0.548399661044942"
"Big worries","1992","indirect migration background","223","0.603297014320749","0.555710554501646","0.650883474139851"
"Big worries","1992","no migration background","6116","0.587306959862133","0.577817664431286","0.59679625529298"
"No worries","1992","direct migration background","262","0.0790268308683375","0.0685414144424881","0.089512247294187"
"No worries","1992","indirect migration background","33","0.0758784221947721","0.0501206216735291","0.101636222716015"
"No worries","1992","no migration background","327","0.0372456369804288","0.0335957175955099","0.0408955563653477"
"Some worries","1992","direct migration background","1159","0.391974022412937","0.372999772296949","0.410948272528925"
"Some worries","1992","indirect migration background","150","0.320824563484479","0.275418916791366","0.366230210177593"
"Some worries","1992","no migration background","3897","0.375447403157438","0.366113852621589","0.384780953693288"
"Big worries","1993","direct migration background","1031","0.460743405335456","0.441066041058478","0.480420769612435"
"Big worries","1993","indirect migration background","241","0.547970517588393","0.502975840521728","0.592965194655058"
"Big worries","1993","no migration background","5205","0.511208531224899","0.501481920901995","0.520935141547804"
"No worries","1993","direct migration background","249","0.0748231293623519","0.0644366121144789","0.085209646610225"
"No worries","1993","indirect migration background","","","",""
"No worries","1993","no migration background","338","0.039191155801669","0.0354153191841806","0.0429669924191573"
"Some worries","1993","direct migration background","1185","0.464433465302191","0.444745170751791","0.484121759852592"
"Some worries","1993","indirect migration background","202","0.420669896958322","0.376039276187726","0.465300517728918"
"Some worries","1993","no migration background","4603","0.449600312973432","0.439920810088398","0.459279815858465"
"Big worries","1994","direct migration background","768","0.383515541996859","0.363852118494493","0.403178965499225"
"Big worries","1994","indirect migration background","214","0.470262114929823","0.426204077820334","0.514320152039312"
"Big worries","1994","no migration background","3935","0.391868090600499","0.382306874285899","0.401429306915099"
"No worries","1994","direct migration background","282","0.0936936452077202","0.0819094707569494","0.105477819658491"
"No worries","1994","indirect migration background","38","0.0474254844500368","0.0286634469957639","0.0661875219043098"
"No worries","1994","no migration background","525","0.0571644483938012","0.0526174449708964","0.0617114518167059"
"Some worries","1994","direct migration background","1299","0.522790812795421","0.502592041391983","0.542989584198858"
"Some worries","1994","indirect migration background","241","0.48231240062014","0.438203856184266","0.526420945056014"
"Some worries","1994","no migration background","5554","0.5509674610057","0.54122550464962","0.56070941736178"
"Big worries","1995","direct migration background","1016","0.415281880079705","0.396957607747329","0.433606152412081"
"Big worries","1995","indirect migration background","230","0.457615798056471","0.414419984189377","0.500811611923565"
"Big worries","1995","no migration background","4402","0.445473443141744","0.435715956932346","0.455230929351142"
"No worries","1995","direct migration background","280","0.0891851455606699","0.0785866728600907","0.099783618261249"
"No worries","1995","indirect migration background","36","0.056465089299176","0.0364523454164017","0.0764778331819502"
"No worries","1995","no migration background","466","0.0507506209547589","0.0464416188825378","0.0550596230269801"
"Some worries","1995","direct migration background","1482","0.495532974359625","0.476940609140265","0.514125339578986"
"Some worries","1995","indirect migration background","245","0.485919112644353","0.442584455922663","0.529253769366044"
"Some worries","1995","no migration background","5099","0.503775935903497","0.493960186059384","0.51359168574761"
"Big worries","1996","direct migration background","763","0.323797331973025","0.305811253247772","0.341783410698279"
"Big worries","1996","indirect migration background","212","0.436967256146586","0.395438484522434","0.478496027770737"
"Big worries","1996","no migration background","3733","0.382815155284467","0.373249946744609","0.392380363824325"
"No worries","1996","direct migration background","333","0.106525022480302","0.0946665587006427","0.11838348625996"
"No worries","1996","indirect migration background","62","0.0642623277924878","0.0437311863260609","0.0847934692589147"
"No worries","1996","no migration background","600","0.0630518170190207","0.0582688339354417","0.0678348001025997"
"Some worries","1996","direct migration background","1504","0.569677645546673","0.550646148158567","0.588709142934779"
"Some worries","1996","indirect migration background","274","0.498770416060927","0.456907786667744","0.540633045454109"
"Some worries","1996","no migration background","5587","0.554133027696512","0.544351607309625","0.5639144480834"
"Big worries","1997","direct migration background","709","0.317610241141996","0.299276605894201","0.335943876389791"
"Big worries","1997","indirect migration background","204","0.384229053630185","0.344332559471402","0.424125547788968"
"Big worries","1997","no migration background","3445","0.357687579414617","0.348204966364793","0.367170192464442"
"No worries","1997","direct migration background","358","0.117696424674194","0.105006012074726","0.130386837273662"
"No worries","1997","indirect migration background","62","0.0725271691315754","0.0512540585166519","0.0938002797464988"
"No worries","1997","no migration background","730","0.0767573154565277","0.0714908315040369","0.0820237994090185"
"Some worries","1997","direct migration background","1410","0.56469333418381","0.54516842254625","0.58421824582137"
"Some worries","1997","indirect migration background","305","0.54324377723824","0.502386478183208","0.584101076293272"
"Some worries","1997","no migration background","5640","0.565555105128855","0.555748746954656","0.575361463303054"
"Big worries","1998","direct migration background","663","0.300191198729707","0.281873149228773","0.318509248230642"
"Big worries","1998","indirect migration background","185","0.344919481624497","0.306979629020514","0.38285933422848"
"Big worries","1998","no migration background","3729","0.341774306327595","0.3330101594073","0.350538453247891"
"No worries","1998","direct migration background","317","0.124252642424866","0.111069079840972","0.137436205008759"
"No worries","1998","indirect migration background","60","0.0727500213879868","0.0520197774006341","0.0934802653753396"
