"plh0036","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","Schleswig-Holstein","81","0.622507144757194","0.541333630990164","0.703680658524224"
"Big worries","1984","16-34 y.","Hamburg","75","0.73375344596759","0.651896383702361","0.815610508232818"
"Big worries","1984","16-34 y.","Lower Saxony","259","0.612282169723853","0.566859709899897","0.657704629547809"
"Big worries","1984","16-34 y.","Bremen","","","",""
"Big worries","1984","16-34 y.","North Rhine-Westphalia","707","0.612643259692814","0.585777086856626","0.639509432529003"
"Big worries","1984","16-34 y.","Hesse","274","0.616667610453432","0.574262741118365","0.659072479788499"
"Big worries","1984","16-34 y.","Rhineland-Palatinate,Saarland","157","0.531829610381877","0.476725874712862","0.586933346050893"
"Big worries","1984","16-34 y.","Baden-Württemberg","431","0.576064737945509","0.542784087722713","0.609345388168306"
"Big worries","1984","16-34 y.","Bavaria","440","0.61063932355344","0.575835188429459","0.645443458677421"
"Big worries","1984","16-34 y.","Berlin","77","0.589706176790519","0.506422283378872","0.672990070202166"
"Big worries","1984","16-34 y.","Brandenburg","","","",""
"Big worries","1984","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Big worries","1984","16-34 y.","Saxony","","","",""
"Big worries","1984","16-34 y.","Saxony-Anhalt","","","",""
"Big worries","1984","16-34 y.","Thuringia","","","",""
"Big worries","1984","35-65 y.","Schleswig-Holstein","94","0.457294346050235","0.388932607928556","0.525656084171915"
"Big worries","1984","35-65 y.","Hamburg","88","0.64916166399901","0.572789971517633","0.725533356480388"
"Big worries","1984","35-65 y.","Lower Saxony","282","0.46988733191518","0.430821661631553","0.508953002198807"
"Big worries","1984","35-65 y.","Bremen","39","0.632655241714131","0.517221926520557","0.748088556907706"
"Big worries","1984","35-65 y.","North Rhine-Westphalia","858","0.561474988360952","0.537640635542951","0.585309341178952"
"Big worries","1984","35-65 y.","Hesse","283","0.519721127139389","0.480646018302233","0.558796235976545"
"Big worries","1984","35-65 y.","Rhineland-Palatinate,Saarland","184","0.45955499284514","0.412118817945104","0.506991167745176"
"Big worries","1984","35-65 y.","Baden-Württemberg","528","0.523222998763937","0.494845398161808","0.551600599366067"
"Big worries","1984","35-65 y.","Bavaria","475","0.458705616196669","0.428918555650169","0.48849267674317"
"Big worries","1984","35-65 y.","Berlin","127","0.590502863620957","0.526392194443141","0.654613532798774"
