"plh0036","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Employed","Female","1504","0.576608823602857","0.558446508562051","0.594771138643664","1"
"Big worries","1984","Employed","Male","2283","0.541388420935991","0.527021718521849","0.555755123350133","1"
"Big worries","1984","Not Employed","Female","1539","0.471027995156275","0.453989614311217","0.488066376001333","1"
"Big worries","1984","Not Employed","Male","661","0.501893574187419","0.474745265850647","0.529041882524191","1"
"No worries","1984","Employed","Female","281","0.0654218615162988","0.0563325933096119","0.0745111297229856","3"
"No worries","1984","Employed","Male","481","0.0658874358055931","0.0587345545307842","0.073040317080402","3"
"No worries","1984","Not Employed","Female","375","0.101653989140938","0.0913389079120651","0.111969070369811","3"
"No worries","1984","Not Employed","Male","136","0.100807018588932","0.0844596549799945","0.117154382197869","3"
"Some worries","1984","Employed","Female","1058","0.357969314880844","0.340347101565902","0.375591528195785","2"
"Some worries","1984","Employed","Male","1857","0.392724143258416","0.378643680932358","0.406804605584474","2"
"Some worries","1984","Not Employed","Female","1383","0.427318015702787","0.410432241424796","0.444203789980778","2"
"Some worries","1984","Not Employed","Male","506","0.397299407223649","0.370729768389327","0.423869046057972","2"
"Big worries","1985","Employed","Female","1240","0.508610111042502","0.489419748554128","0.527800473530877","1"
"Big worries","1985","Employed","Male","1855","0.474232528525443","0.459066032446131","0.489399024604754","1"
"Big worries","1985","Not Employed","Female","1269","0.438496285438636","0.420553846724776","0.456438724152496","1"
"Big worries","1985","Not Employed","Male","582","0.47130848405908","0.443297912219766","0.499319055898395","1"
"No worries","1985","Employed","Female","222","0.0550474594069501","0.0462925589228734","0.0638023598910268","3"
"No worries","1985","Employed","Male","404","0.0701022047305567","0.0623473051571531","0.0778571043039602","3"
"No worries","1985","Not Employed","Female","332","0.102482190294243","0.0915156930895548","0.113448687498932","3"
"No worries","1985","Not Employed","Male","114","0.0894945101925337","0.0734765334866272","0.10551248689844","3"
"Some worries","1985","Employed","Female","1145","0.436342429550548","0.417305409367652","0.455379449733443","2"
"Some worries","1985","Employed","Male","1905","0.455665266744001","0.440538409204176","0.470792124283825","2"
"Some worries","1985","Not Employed","Female","1337","0.459021524267121","0.441002606071187","0.477040442463055","2"
"Some worries","1985","Not Employed","Male","524","0.439197005748386","0.411348427833062","0.46704558366371","2"
"Big worries","1986","Employed","Female","1191","0.498249866206844","0.478990171012397","0.51750956140129","1"
"Big worries","1986","Employed","Male","1620","0.422198112431362","0.406954721003599","0.437441503859126","1"
"Big worries","1986","Not Employed","Female","1055","0.38515512500358","0.366850375363007","0.403459874644152","1"
"Big worries","1986","Not Employed","Male","516","0.422988747300301","0.394644220476423","0.451333274124178","1"
"No worries","1986","Employed","Female","227","0.0662260846539832","0.0566471441741841","0.0758050251337823","3"
"No worries","1986","Employed","Male","449","0.0877032773554379","0.0789733636912627","0.096433191019613","3"
"No worries","1986","Not Employed","Female","368","0.136180324736956","0.123279071421229","0.149081578052684","3"
"No worries","1986","Not Employed","Male","156","0.150747396611119","0.130218953344447","0.171275839877792","3"
"Some worries","1986","Employed","Female","1171","0.435524049139173","0.416425039041444","0.454623059236902","2"
"Some worries","1986","Not Employed","Female","1292","0.478664550259464","0.459874089260331","0.497455011258597","2"
"Some worries","1986","Employed","Male","1964","0.4900986102132","0.474670283984945","0.505526936441456","2"
"Some worries","1986","Not Employed","Male","495","0.42626385608858","0.397890675465782","0.454637036711378","2"
"Big worries","1987","Employed","Female","1551","0.640590093055298","0.622202945885963","0.658977240224632","1"
"Big worries","1987","Employed","Male","2175","0.582597658637358","0.567382092035411","0.597813225239305","1"
