"plh0036","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","direct migration background","Female","567","0.412358925026144","0.387962651815586","0.436755198236701"
"Big worries","1984","direct migration background","Male","648","0.412524642919082","0.389642221049013","0.435407064789151"
"Big worries","1984","indirect migration background","Female","34","0.69264535469822","0.580477925477903","0.804812783918536"
"Big worries","1984","indirect migration background","Male","36","0.610360793726178","0.486965923555986","0.733755663896369"
"Big worries","1984","no migration background","Female","2442","0.523220228013489","0.508645084116547","0.537795371910431"
"Big worries","1984","no migration background","Male","2260","0.544006001083028","0.528734549530338","0.559277452635719"
"No worries","1984","direct migration background","Female","332","0.155716827551204","0.137747097337784","0.173686557764623"
"No worries","1984","direct migration background","Male","368","0.170497547860168","0.153017198086152","0.187977897634183"
"No worries","1984","indirect migration background","Female","6","","",""
"No worries","1984","indirect migration background","Male","6","","",""
"No worries","1984","no migration background","Female","318","0.080476203104216","0.072537914153282","0.0884144920551501"
"No worries","1984","no migration background","Male","243","0.0645110581943591","0.0569786244226108","0.0720434919661074"
"Some worries","1984","direct migration background","Female","665","0.431924247422653","0.407375087474746","0.456473407370559"
"Some worries","1984","direct migration background","Male","762","0.416977809220751","0.394059571131371","0.43989604731013"
"Some worries","1984","indirect migration background","Female","25","","",""
"Some worries","1984","indirect migration background","Male","18","","",""
"Some worries","1984","no migration background","Female","1751","0.396303568882295","0.382029921182125","0.410577216582464"
"Some worries","1984","no migration background","Male","1583","0.391482940722613","0.376517424233913","0.406448457211312"
"Big worries","1985","direct migration background","Female","452","0.390728499316669","0.364604559864292","0.416852438769047"
"Big worries","1985","direct migration background","Male","565","0.421893831886244","0.397212118042897","0.446575545729591"
"Big worries","1985","indirect migration background","Female","43","0.616187848959908","0.508264176663613","0.724111521256203"
"Big worries","1985","indirect migration background","Male","27","","",""
"Big worries","1985","no migration background","Female","2014","0.474408681821089","0.459174074587198","0.48964328905498"
"Big worries","1985","no migration background","Male","1845","0.479740353683271","0.463816141765049","0.495664565601492"
"No worries","1985","direct migration background","Female","259","0.138259670873628","0.119778407322344","0.156740934424913"
