"plh0036","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Full Time","college entrance qualification","391","0.695261378122535","0.657340561830101","0.733182194414969"
"Big worries","1984","Full Time","lower secondary degree","1283","0.511386839862577","0.491985337786565","0.530788341938588"
"Big worries","1984","Full Time","no degree/no degree yet","154","0.285420589086026","0.24866681066936","0.322174367502692"
"Big worries","1984","Full Time","Other degree","354","0.410450611318323","0.378767111555546","0.442134111081101"
"Big worries","1984","Full Time","secondary school degree","576","0.615870621754381","0.5847937865426","0.646947456966163"
"Big worries","1984","Not Working","college entrance qualification","303","0.681368479559631","0.637276983767524","0.725459975351739"
"Big worries","1984","Not Working","lower secondary degree","1153","0.432863320783989","0.413792644509793","0.451933997058186"
"Big worries","1984","Not Working","no degree/no degree yet","232","0.527176549842071","0.486045724808134","0.568307374876009"
"Big worries","1984","Not Working","Other degree","118","0.37040136377217","0.317072664387266","0.423730063157073"
"Big worries","1984","Not Working","secondary school degree","380","0.546067747307543","0.508112996443035","0.584022498172051"
"Big worries","1984","Part Time","college entrance qualification","223","0.761326351016106","0.712180502574221","0.810472199457991"
"Big worries","1984","Part Time","lower secondary degree","454","0.507715623250074","0.475269040632347","0.540162205867801"
"Big worries","1984","Part Time","no degree/no degree yet","42","0.433226740274489","0.346705024731058","0.519748455817921"
"Big worries","1984","Part Time","Other degree","69","0.341598983112881","0.273074982453319","0.410122983772442"
"Big worries","1984","Part Time","secondary school degree","218","0.641021729645712","0.589957275002139","0.692086184289284"
"No worries","1984","Full Time","college entrance qualification","15","","",""
"No worries","1984","Full Time","lower secondary degree","196","0.0706075735841802","0.0606648993783391","0.0805502477900213"
"No worries","1984","Full Time","no degree/no degree yet","169","0.269227702714124","0.233129547775948","0.3053258576523"
"No worries","1984","Full Time","Other degree","183","0.177450565207887","0.152843359755835","0.202057770659939"
"No worries","1984","Full Time","secondary school degree","30","0.0284688216602371","0.0178429052177843","0.0390947381026898"
"No worries","1984","Not Working","college entrance qualification","21","","",""
"No worries","1984","Not Working","lower secondary degree","266","0.112410380702529","0.100252548387989","0.12456821301707"
"No worries","1984","Not Working","no degree/no degree yet","130","0.14736629766683","0.118163785781051","0.17656880955261"
"No worries","1984","Not Working","Other degree","54","0.147317687587738","0.108178312446207","0.186457062729269"
