"plh0036","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","1-pers.-HH","in school","1","","",""
"Big worries","1984","1-pers.-HH","inadequately","10","","",""
"Big worries","1984","1-pers.-HH","general elemantary","131","0.333975726389563","0.287047438645461","0.380904014133666"
"Big worries","1984","1-pers.-HH","middle vocational","308","0.497256483295049","0.457772478006393","0.536740488583705"
"Big worries","1984","1-pers.-HH","vocational + Abi","31","0.68657754800309","0.552523779973622","0.820631316032558"
"Big worries","1984","1-pers.-HH","higher vocational","57","0.666466933085422","0.563792022487493","0.769141843683351"
"Big worries","1984","1-pers.-HH","higher education","80","0.654811629837488","0.568293850035938","0.741329409639037"
"Big worries","1984","(Married) couple without C. ","in school","","","",""
"Big worries","1984","(Married) couple without C. ","inadequately","35","0.302958960010565","0.223349591064053","0.382568328957077"
"Big worries","1984","(Married) couple without C. ","general elemantary","282","0.41864524683758","0.381941360445928","0.455349133229232"
"Big worries","1984","(Married) couple without C. ","middle vocational","739","0.528114290235604","0.502011177360725","0.554217403110482"
"Big worries","1984","(Married) couple without C. ","vocational + Abi","61","0.755857046930057","0.664533965294915","0.847180128565199"
"Big worries","1984","(Married) couple without C. ","higher vocational","99","0.592674398741619","0.516779237054563","0.668569560428675"
"Big worries","1984","(Married) couple without C. ","higher education","130","0.631929130051875","0.564921931016133","0.698936329087617"
"Big worries","1984","Single parent ","in school","12","","",""
"Big worries","1984","Single parent ","inadequately","16","","",""
"Big worries","1984","Single parent ","general elemantary","96","0.521666961269229","0.452436862878761","0.590897059659697"
"Big worries","1984","Single parent ","middle vocational","136","0.530051956753757","0.469151243093364","0.590952670414151"
"Big worries","1984","Single parent ","vocational + Abi","7","","",""
"Big worries","1984","Single parent ","higher vocational","15","","",""
"Big worries","1984","Single parent ","higher education","13","","",""
"Big worries","1984","Couple + C. LE 16 ","in school","","","",""
"Big worries","1984","Couple + C. LE 16 ","inadequately","83","0.260724256996758","0.211613927185279","0.309834586808236"
"Big worries","1984","Couple + C. LE 16 ","general elemantary","290","0.464646120647982","0.426480018690452","0.502812222605511"
"Big worries","1984","Couple + C. LE 16 ","middle vocational","786","0.547373545892428","0.522133818433273","0.572613273351584"
"Big worries","1984","Couple + C. LE 16 ","vocational + Abi","50","0.650424055212225","0.548452858664277","0.752395251760174"
"Big worries","1984","Couple + C. LE 16 ","higher vocational","129","0.618664409031965","0.552336589962476","0.684992228101454"
"Big worries","1984","Couple + C. LE 16 ","higher education","175","0.661955237959213","0.604893165016666","0.719017310901759"
"Big worries","1984","Couple + C. GT 16 ","in school","53","0.681986016160424","0.577966801157104","0.786005231163745"
"Big worries","1984","Couple + C. GT 16 ","inadequately","51","0.430833962390736","0.34938634707583","0.512281577705642"
"Big worries","1984","Couple + C. GT 16 ","general elemantary","289","0.528633896611278","0.487938915646858","0.569328877575698"
"Big worries","1984","Couple + C. GT 16 ","middle vocational","499","0.565080164502218","0.532958563516471","0.597201765487965"
"Big worries","1984","Couple + C. GT 16 ","vocational + Abi","25","","",""
"Big worries","1984","Couple + C. GT 16 ","higher vocational","61","0.67629493544391","0.581201742173295","0.771388128714525"
"Big worries","1984","Couple + C. GT 16 ","higher education","61","0.681280603988502","0.588548634607041","0.774012573369962"
"Big worries","1984","Couple + C. LE and GT 16","in school","51","0.661712072733326","0.556035065128409","0.767389080338243"
"Big worries","1984","Couple + C. LE and GT 16","inadequately","59","0.313474631281409","0.251320400002072","0.375628862560747"
"Big worries","1984","Couple + C. LE and GT 16","general elemantary","281","0.519618944195678","0.479201907874679","0.560035980516677"
"Big worries","1984","Couple + C. LE and GT 16","middle vocational","339","0.52897429945456","0.491373823288304","0.566574775620815"
"Big worries","1984","Couple + C. LE and GT 16","vocational + Abi","7","","",""
"Big worries","1984","Couple + C. LE and GT 16","higher vocational","28","","",""
"Big worries","1984","Couple + C. LE and GT 16","higher education","41","0.719556778183529","0.60394845491713","0.835165101449928"
"Some worries","1984","1-pers.-HH","in school","","","",""
"Some worries","1984","1-pers.-HH","inadequately","31","0.453885474434189","0.335551720798835","0.572219228069543"
"Some worries","1984","1-pers.-HH","general elemantary","175","0.466052133069199","0.416415889595061","0.515688376543338"
"Some worries","1984","1-pers.-HH","middle vocational","234","0.377525144623556","0.339243412256004","0.415806876991109"
"Some worries","1984","1-pers.-HH","vocational + Abi","14","","",""
"Some worries","1984","1-pers.-HH","higher vocational","20","","",""
"Some worries","1984","1-pers.-HH","higher education","31","0.30753729681696","0.223559169432333","0.391515424201586"
"Some worries","1984","(Married) couple without C. ","in school","2","","",""
"Some worries","1984","(Married) couple without C. ","inadequately","54","0.352597653786661","0.269828226577523","0.435367080995799"
"Some worries","1984","(Married) couple without C. ","general elemantary","334","0.484236837420516","0.447055720814071","0.52141795402696"
"Some worries","1984","(Married) couple without C. ","middle vocational","578","0.413237812971912","0.38748996030138","0.438985665642443"
"Some worries","1984","(Married) couple without C. ","vocational + Abi","21","","",""
"Some worries","1984","(Married) couple without C. ","higher vocational","53","0.338890210422459","0.265776056479714","0.412004364365204"
"Some worries","1984","(Married) couple without C. ","higher education","59","0.309424458985136","0.245199406312418","0.373649511657854"
"Some worries","1984","Single parent ","in school","2","","",""
"Some worries","1984","Single parent ","inadequately","28","","",""
"Some worries","1984","Single parent ","general elemantary","78","0.352893978447237","0.286665780571527","0.419122176322946"
"Some worries","1984","Single parent ","middle vocational","100","0.389540181527505","0.330036626848596","0.449043736206415"
"Some worries","1984","Single parent ","vocational + Abi","1","","",""
"Some worries","1984","Single parent ","higher vocational","8","","",""
"Some worries","1984","Single parent ","higher education","4","","",""
"Some worries","1984","Couple + C. LE 16 ","in school","","","",""
"Some worries","1984","Couple + C. LE 16 ","inadequately","129","0.42590448776176","0.370591503867691","0.481217471655829"
"Some worries","1984","Couple + C. LE 16 ","general elemantary","287","0.451885894780548","0.41380158814313","0.489970201417966"
"Some worries","1984","Couple + C. LE 16 ","middle vocational","603","0.406651839525608","0.381743833447487","0.431559845603729"
"Some worries","1984","Couple + C. LE 16 ","vocational + Abi","27","","",""
"Some worries","1984","Couple + C. LE 16 ","higher vocational","72","0.358529859951045","0.293041310792286","0.424018409109804"
"Some worries","1984","Couple + C. LE 16 ","higher education","81","0.311955743212525","0.25607002875967","0.367841457665379"
"Some worries","1984","Couple + C. GT 16 ","in school","21","","",""
"Some worries","1984","Couple + C. GT 16 ","inadequately","52","0.298940719770963","0.223644386443171","0.374237053098755"
"Some worries","1984","Couple + C. GT 16 ","general elemantary","228","0.397566166917722","0.357668862154796","0.437463471680647"
"Some worries","1984","Couple + C. GT 16 ","middle vocational","352","0.377520493815472","0.346110320042705","0.408930667588239"
"Some worries","1984","Couple + C. GT 16 ","vocational + Abi","12","","",""
"Some worries","1984","Couple + C. GT 16 ","higher vocational","30","0.308357233347036","0.214498517795766","0.402215948898306"
"Some worries","1984","Couple + C. GT 16 ","higher education","30","0.284124263535052","0.194374108624762","0.373874418445341"
"Some worries","1984","Couple + C. LE and GT 16","in school","22","","",""
"Some worries","1984","Couple + C. LE and GT 16","inadequately","99","0.501406035526594","0.434416110532402","0.568395960520786"
"Some worries","1984","Couple + C. LE and GT 16","general elemantary","236","0.392888328583778","0.353379159586394","0.432397497581161"
"Some worries","1984","Couple + C. LE and GT 16","middle vocational","282","0.411418510948732","0.374350526652074","0.44848649524539"
"Some worries","1984","Couple + C. LE and GT 16","vocational + Abi","13","","",""
"Some worries","1984","Couple + C. LE and GT 16","higher vocational","18","","",""
"Some worries","1984","Couple + C. LE and GT 16","higher education","14","","",""
"No worries","1984","1-pers.-HH","in school","","","",""
"No worries","1984","1-pers.-HH","inadequately","27","","",""
"No worries","1984","1-pers.-HH","general elemantary","82","0.199972140541237","0.160173381437928","0.239770899644547"
"No worries","1984","1-pers.-HH","middle vocational","74","0.125218372081395","0.0990822236228902","0.151354520539899"
"No worries","1984","1-pers.-HH","vocational + Abi","1","","",""
"No worries","1984","1-pers.-HH","higher vocational","4","","",""
"No worries","1984","1-pers.-HH","higher education","5","","",""
"No worries","1984","(Married) couple without C. ","in school","","","",""
"No worries","1984","(Married) couple without C. ","inadequately","39","0.344443386202774","0.262123050486819","0.426763721918729"
"No worries","1984","(Married) couple without C. ","general elemantary","78","0.0971179157419046","0.0750869492354218","0.119148882248387"
"No worries","1984","(Married) couple without C. ","middle vocational","88","0.058647896792485","0.0463618490491091","0.0709339445358609"
"No worries","1984","(Married) couple without C. ","vocational + Abi","3","","",""
"No worries","1984","(Married) couple without C. ","higher vocational","9","","",""
"No worries","1984","(Married) couple without C. ","higher education","10","","",""
"No worries","1984","Single parent ","in school","3","","",""
"No worries","1984","Single parent ","inadequately","6","","",""
"No worries","1984","Single parent ","general elemantary","26","","",""
"No worries","1984","Single parent ","middle vocational","22","","",""
"No worries","1984","Single parent ","vocational + Abi","","","",""
"No worries","1984","Single parent ","higher vocational","3","","",""
"No worries","1984","Single parent ","higher education","","","",""
"No worries","1984","Couple + C. LE 16 ","in school","","","",""
"No worries","1984","Couple + C. LE 16 ","inadequately","95","0.313371255241482","0.261482951666982","0.365259558815983"
"No worries","1984","Couple + C. LE 16 ","general elemantary","79","0.0834679845714708","0.0623024152490347","0.104633553893907"
"No worries","1984","Couple + C. LE 16 ","middle vocational","105","0.0459746145819637","0.0353549253921545","0.0565943037717729"
"No worries","1984","Couple + C. LE 16 ","vocational + Abi","7","","",""
"No worries","1984","Couple + C. LE 16 ","higher vocational","5","","",""
"No worries","1984","Couple + C. LE 16 ","higher education","8","","",""
"No worries","1984","Couple + C. GT 16 ","in school","3","","",""
"No worries","1984","Couple + C. GT 16 ","inadequately","39","0.270225317838301","0.197185222194941","0.343265413481661"
"No worries","1984","Couple + C. GT 16 ","general elemantary","61","0.0737999364710005","0.0524859557300544","0.0951139172119466"
"No worries","1984","Couple + C. GT 16 ","middle vocational","64","0.0573993416823099","0.042327897512798","0.0724707858518218"
"No worries","1984","Couple + C. GT 16 ","vocational + Abi","","","",""
"No worries","1984","Couple + C. GT 16 ","higher vocational","2","","",""
"No worries","1984","Couple + C. GT 16 ","higher education","6","","",""
"No worries","1984","Couple + C. LE and GT 16","in school","4","","",""
"No worries","1984","Couple + C. LE and GT 16","inadequately","56","0.185119333191997","0.133082111632275","0.237156554751719"
"No worries","1984","Couple + C. LE and GT 16","general elemantary","70","0.0874927272205443","0.0646349926812689","0.11035046175982"
"No worries","1984","Couple + C. LE and GT 16","middle vocational","56","0.0596071895967084","0.0417728213534757","0.0774415578399411"
"No worries","1984","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"No worries","1984","Couple + C. LE and GT 16","higher vocational","1","","",""
"No worries","1984","Couple + C. LE and GT 16","higher education","3","","",""
"Big worries","1985","1-pers.-HH","in school","","","",""
"Big worries","1985","1-pers.-HH","inadequately","8","","",""
"Big worries","1985","1-pers.-HH","general elemantary","102","0.316861484006622","0.266587968673872","0.367134999339371"
"Big worries","1985","1-pers.-HH","middle vocational","266","0.482105328866898","0.440192839446688","0.524017818287109"
"Big worries","1985","1-pers.-HH","vocational + Abi","30","0.756598946204953","0.621916845828419","0.891281046581487"
"Big worries","1985","1-pers.-HH","higher vocational","47","0.574822598837344","0.466491012936632","0.683154184738057"
"Big worries","1985","1-pers.-HH","higher education","65","0.620430054588053","0.527609156960946","0.71325095221516"
"Big worries","1985","(Married) couple without C. ","in school","","","",""
"Big worries","1985","(Married) couple without C. ","inadequately","32","0.417803770343311","0.319145534308091","0.516462006378531"
"Big worries","1985","(Married) couple without C. ","general elemantary","217","0.352406779788304","0.313859355918035","0.390954203658573"
"Big worries","1985","(Married) couple without C. ","middle vocational","603","0.463508309847884","0.436190028827889","0.490826590867879"
"Big worries","1985","(Married) couple without C. ","vocational + Abi","45","0.619446803130178","0.508824696053323","0.730068910207033"
"Big worries","1985","(Married) couple without C. ","higher vocational","77","0.483295383156327","0.404625277005417","0.561965489307237"
"Big worries","1985","(Married) couple without C. ","higher education","111","0.554264416338598","0.484321396736354","0.624207435940843"
"Big worries","1985","Single parent ","in school","13","","",""
"Big worries","1985","Single parent ","inadequately","17","","",""
"Big worries","1985","Single parent ","general elemantary","87","0.503316591490593","0.432222789481704","0.574410393499482"
"Big worries","1985","Single parent ","middle vocational","114","0.509555725314589","0.445640424501966","0.573471026127213"
"Big worries","1985","Single parent ","vocational + Abi","7","","",""
"Big worries","1985","Single parent ","higher vocational","10","","",""
"Big worries","1985","Single parent ","higher education","11","","",""
"Big worries","1985","Couple + C. LE 16 ","in school","","","",""
"Big worries","1985","Couple + C. LE 16 ","inadequately","61","0.230737699394909","0.178408399884732","0.283066998905085"
"Big worries","1985","Couple + C. LE 16 ","general elemantary","218","0.443230249115984","0.401562093084957","0.484898405147011"
"Big worries","1985","Couple + C. LE 16 ","middle vocational","637","0.491702862149424","0.464733459599355","0.518672264699492"
"Big worries","1985","Couple + C. LE 16 ","vocational + Abi","45","0.690101036903222","0.587472723628875","0.79272935017757"
