"plh0036","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1985","Rural Area","967","0.436600565825561","0.416093812603485","0.457107319047637","1"
"Big worries","1985","Urban Area","3979","0.481008452761942","0.470498646828861","0.491518258695023","1"
"No worries","1985","Rural Area","209","0.086068093086298","0.0744716562973817","0.0976645298752142","3"
"No worries","1985","Urban Area","863","0.0770840238911874","0.0714735251290424","0.0826945226533324","3"
"Some worries","1985","Rural Area","1071","0.477331341088141","0.456678977624901","0.497983704551381","2"
"Some worries","1985","Urban Area","3840","0.44190752334687","0.431461355926445","0.452353690767295","2"
"Big worries","1986","Rural Area","853","0.401043437250065","0.380369883350491","0.42171699114964","1"
"Big worries","1986","Urban Area","3529","0.436926652861166","0.42628469157359","0.447568614148743","1"
"No worries","1986","Rural Area","272","0.123131933371336","0.109271581800301","0.13699228494237","3"
"No worries","1986","Urban Area","928","0.100209863815994","0.0937672697171451","0.106652457914843","3"
"Some worries","1986","Rural Area","1034","0.475824629378599","0.454758558827469","0.496890699929729","2"
"Some worries","1986","Urban Area","3888","0.46286348332284","0.452165455589637","0.473561511056042","2"
"Big worries","1987","Rural Area","1158","0.556204240916531","0.535114890030156","0.577293591802905","1"
"Big worries","1987","Urban Area","4550","0.589095703170214","0.578482987775419","0.599708418565009","1"
"No worries","1987","Rural Area","170","0.0636124248674532","0.0532525791561548","0.0739722705787517","3"
"No worries","1987","Urban Area","587","0.0506665175735252","0.045935732958944","0.0553973021881064","3"
"Some worries","1987","Rural Area","804","0.380183334216016","0.359577858135996","0.400788810296036","2"
"Some worries","1987","Urban Area","3119","0.360237779256261","0.349882372261327","0.370593186251195","2"
"Big worries","1988","Rural Area","1059","0.518481656444581","0.496589040278401","0.540374272610762","1"
"Big worries","1988","Urban Area","4201","0.573266075335168","0.56236907977409","0.584163070896247","1"
"No worries","1988","Rural Area","133","0.0575191552093037","0.047317584073087","0.0677207263455204","3"
"No worries","1988","Urban Area","558","0.050842643969263","0.0460027790511362","0.0556825088873898","3"
"Some worries","1988","Rural Area","809","0.423999188346115","0.402346161865496","0.445652214826734","2"
"Some worries","1988","Urban Area","3155","0.375891280695569","0.365220128377674","0.386562433013464","2"
"Big worries","1989","Rural Area","1139","0.607797638080909","0.58583246684012","0.629762809321698","1"
"Big worries","1989","Urban Area","4517","0.630364677152956","0.619592811170752","0.64113654313516","1"
"No worries","1989","Rural Area","125","0.0585799934186167","0.0480150698872316","0.0691449169500019","3"
"No worries","1989","Urban Area","495","0.0422030310636846","0.0377164365112548","0.0466896256161145","3"
"Some worries","1989","Rural Area","634","0.333622368500474","0.312410067901321","0.354834669099627","2"
"Some worries","1989","Urban Area","2702","0.32743229178336","0.316960113346707","0.337904470220013","2"
"Big worries","1990","Rural Area","2715","0.578809200765276","0.564703874286278","0.592914527244274","1"
"Big worries","1990","Urban Area","5455","0.628023029735242","0.618077716941618","0.637968342528866","1"
"No worries","1990","Rural Area","183","0.0452761602111231","0.0393366631815969","0.0512156572406494","3"
"No worries","1990","Urban Area","504","0.0476260066869393","0.0432437432267525","0.0520082701471261","3"
"Some worries","1990","Rural Area","1809","0.375914639023601","0.362077617741621","0.389751660305581","2"
"Some worries","1990","Urban Area","3114","0.324350963577819","0.314718423765378","0.33398350339026","2"
"Big worries","1991","Rural Area","2123","0.467336381156711","0.452952554728512","0.481720207584909","1"
"Big worries","1991","Urban Area","4414","0.528928800826658","0.518541476653608","0.539316124999708","1"
