"plh0036","year","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","college entrance qualification","917","0.704793711064465","0.679844352082991","0.729743070045939"
"Big worries","1984","lower secondary degree","2890","0.473621731806841","0.461045347399292","0.486198116214391"
"Big worries","1984","no degree/no degree yet","428","0.452514602002822","0.425161467276739","0.479867736728904"
"Big worries","1984","Other degree","541","0.391757614141677","0.366412881024727","0.417102347258626"
"Big worries","1984","secondary school degree","1174","0.593935028920052","0.572087488239786","0.615782569600319"
"No worries","1984","college entrance qualification","46","0.035861548827827","0.0256908732358968","0.0460322244197571"
"No worries","1984","lower secondary degree","535","0.0915882188168697","0.0843229413872913","0.0988534962464482"
"No worries","1984","no degree/no degree yet","327","0.182280878743196","0.161064211318839","0.203497546167554"
"No worries","1984","Other degree","274","0.178818869066836","0.158922821452795","0.198714916680878"
"No worries","1984","secondary school degree","75","0.0423807740269567","0.0334185417839668","0.0513430062699467"
"Some worries","1984","college entrance qualification","321","0.259344740107708","0.235372293667031","0.283317186548386"
"Some worries","1984","lower secondary degree","2630","0.434790049376289","0.422303693320284","0.447276405432294"
"Some worries","1984","no degree/no degree yet","517","0.365204519253982","0.338744538738659","0.391664499769305"
"Some worries","1984","Other degree","610","0.429423516791487","0.403723079970868","0.455123953612106"
"Some worries","1984","secondary school degree","692","0.363684197052991","0.342283205625612","0.38508518848037"
"Big worries","1985","college entrance qualification","778","0.626063985390519","0.598957988111626","0.653169982669411"
"Big worries","1985","lower secondary degree","2276","0.416704409696558","0.403576759815163","0.429832059577953"
"Big worries","1985","no degree/no degree yet","359","0.450549745848274","0.420723760358474","0.480375731338075"
"Big worries","1985","Other degree","444","0.376281770186913","0.348974030853016","0.40358950952081"
"Big worries","1985","secondary school degree","1028","0.545496323534915","0.52289815271295","0.56809449435688"
"No worries","1985","college entrance qualification","32","0.0281656375096309","0.0188970554268841","0.0374342195923777"
"No worries","1985","lower secondary degree","501","0.0940309133998576","0.0862591314446334","0.101802695355082"
"No worries","1985","no degree/no degree yet","234","0.146998775178495","0.12577166256745","0.16822588778954"
"No worries","1985","Other degree","200","0.147351591662252","0.127371505851002","0.167331677473502"
"No worries","1985","secondary school degree","76","0.0424664546434146","0.0333146092613028","0.0516183000255263"
"Some worries","1985","college entrance qualification","414","0.345770377099851","0.319125337118488","0.372415417081213"
"Some worries","1985","lower secondary degree","2641","0.489264676903584","0.475954051251483","0.502575302555686"
"Some worries","1985","no degree/no degree yet","476","0.40245147897323","0.373054507551299","0.431848450395161"
"Some worries","1985","Other degree","565","0.476366638150835","0.448213989249913","0.504519287051757"
"Some worries","1985","secondary school degree","761","0.41203722182167","0.389698834607671","0.43437560903567"
"Big worries","1986","college entrance qualification","716","0.55712698117385","0.529601422451161","0.584652539896538"
"Big worries","1986","lower secondary degree","1995","0.385746229663891","0.372403798986026","0.399088660341757"
