"plh0036","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1985","in school","Urban Area","94","0.655915336831842","0.580142042703538","0.731688630960146","1"
"Big worries","1985","in school","Rural Area","21","","","","1"
"Big worries","1985","inadequately","Urban Area","185","0.26337548649102","0.231135171798206","0.295615801183835","1"
"Big worries","1985","inadequately","Rural Area","33","0.373580801602345","0.279237252767886","0.467924350436804","1"
"Big worries","1985","general elemantary","Urban Area","923","0.405474691650011","0.38552159595912","0.425427787340901","1"
"Big worries","1985","general elemantary","Rural Area","278","0.394085484046623","0.358091297779498","0.430079670313748","1"
"Big worries","1985","middle vocational","Urban Area","1939","0.486480716684189","0.471062650354751","0.501898783013626","1"
"Big worries","1985","middle vocational","Rural Area","473","0.436396652731923","0.40706244195469","0.465730863509156","1"
"Big worries","1985","vocational + Abi","Urban Area","149","0.688412299664608","0.628687243805239","0.748137355523977","1"
"Big worries","1985","vocational + Abi","Rural Area","25","","","","1"
"Big worries","1985","higher vocational","Urban Area","264","0.534327934867533","0.490206322178644","0.578449547556421","1"
"Big worries","1985","higher vocational","Rural Area","63","0.477785000793097","0.390911533142518","0.564658468443676","1"
"Big worries","1985","higher education","Urban Area","385","0.599418067587431","0.561305182834632","0.637530952340229","1"
"Big worries","1985","higher education","Rural Area","67","0.552158349043075","0.462053280178672","0.642263417907478","1"
"No worries","1985","higher education","Urban Area","20","","","","3"
"No worries","1985","higher vocational","Urban Area","22","","","","3"
"No worries","1985","higher education","Rural Area","2","","","","3"
"No worries","1985","higher vocational","Rural Area","6","","","","3"
"No worries","1985","vocational + Abi","Rural Area","3","","","","3"
"No worries","1985","middle vocational","Rural Area","80","0.0766560444740686","0.0609197715592677","0.0923923173888695","3"
"No worries","1985","vocational + Abi","Urban Area","14","","","","3"
"No worries","1985","middle vocational","Urban Area","294","0.0656568185208224","0.0580164933239495","0.0732971437176954","3"
"No worries","1985","general elemantary","Rural Area","84","0.117864766848298","0.0941132665794127","0.141616267117183","3"
"No worries","1985","general elemantary","Urban Area","295","0.110574964956786","0.0978303618318302","0.123319568081743","3"
"No worries","1985","inadequately","Urban Area","187","0.238374337075483","0.207186227822772","0.269562446328194","3"
"No worries","1985","inadequately","Rural Area","32","0.216935041023489","0.136554457719624","0.297315624327353","3"
"No worries","1985","in school","Urban Area","9","","","","3"
"No worries","1985","in school","Rural Area","","","","","3"
"Some worries","1985","higher education","Urban Area","230","0.365908825652536","0.328444016470685","0.403373634834388","2"
"Some worries","1985","higher education","Rural Area","48","0.431222590125691","0.341484446411115","0.520960733840267","2"
"Some worries","1985","higher vocational","Rural Area","58","0.466757308906459","0.379990375218604","0.553524242594314","2"
"Some worries","1985","higher vocational","Urban Area","205","0.416686760451578","0.373079067340133","0.460294453563022","2"
"Some worries","1985","vocational + Abi","Rural Area","16","","","","2"
"Some worries","1985","middle vocational","Rural Area","545","0.486947302794008","0.457382914961022","0.516511690626995","2"
"Some worries","1985","vocational + Abi","Urban Area","68","0.285136988039805","0.226915903223059","0.343358072856551","2"
"Some worries","1985","middle vocational","Urban Area","1804","0.447862464794989","0.432522841822819","0.463202087767159","2"
"Some worries","1985","general elemantary","Rural Area","346","0.488049749105079","0.451230291275282","0.524869206934876","2"
"Some worries","1985","general elemantary","Urban Area","1108","0.483950343393203","0.463641303920175","0.504259382866231","2"
"Some worries","1985","inadequately","Urban Area","345","0.498250176433497","0.461652302401646","0.534848050465348","2"
"Some worries","1985","inadequately","Rural Area","36","0.409484157374167","0.313583467164005","0.505384847584328","2"
"Some worries","1985","in school","Urban Area","48","0.299407627209825","0.226357033561664","0.372458220857987","2"
"Some worries","1985","in school","Rural Area","15","","","","2"
"Big worries","1986","in school","Urban Area","83","0.545374907298021","0.468933518951247","0.621816295644794","1"
"Big worries","1986","in school","Rural Area","8","","","","1"
"Big worries","1986","inadequately","Urban Area","177","0.283190757631902","0.249151357752909","0.317230157510895","1"
"Big worries","1986","inadequately","Rural Area","31","0.404421966591594","0.309178606347142","0.499665326836046","1"
"Big worries","1986","general elemantary","Urban Area","817","0.373024544815267","0.352793197629291","0.393255892001244","1"
"Big worries","1986","general elemantary","Rural Area","236","0.359885807148435","0.323731100273089","0.39604051402378","1"
