"plh0036","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Full Time","in school","","","","","1"
"Big worries","1984","Full Time","inadequately","131","0.295141914055428","0.255242867265587","0.335040960845269","1"
"Big worries","1984","Full Time","general elemantary","475","0.449247928170013","0.420411193128009","0.478084663212016","1"
"Big worries","1984","Full Time","middle vocational","1511","0.54716850235733","0.529123267374274","0.565213737340386","1"
"Big worries","1984","Full Time","vocational + Abi","110","0.6871958908004","0.619275828236935","0.755115953363865","1"
"Big worries","1984","Full Time","higher vocational","228","0.625407474166886","0.57561589894838","0.675199049385392","1"
"Big worries","1984","Full Time","higher education","307","0.675435588943474","0.632787456906415","0.718083720980532","1"
"Big worries","1984","Part Time","in school","7","","","","1"
"Big worries","1984","Part Time","inadequately","31","0.303661220669905","0.219980761597578","0.387341679742232","1"
"Big worries","1984","Part Time","general elemantary","253","0.490918103259854","0.448792337451978","0.53304386906773","1"
"Big worries","1984","Part Time","middle vocational","485","0.573508056614394","0.540606730277118","0.60640938295167","1"
"Big worries","1984","Part Time","vocational + Abi","37","0.795480946117052","0.68254509496804","0.908416797266065","1"
"Big worries","1984","Part Time","higher vocational","74","0.684329243355808","0.596263718589798","0.772394768121819","1"
"Big worries","1984","Part Time","higher education","120","0.738688065586549","0.671240783675468","0.806135347497629","1"
"Big worries","1984","Not Working","in school","116","0.666173683231949","0.596304914789918","0.73604245167398","1"
"Big worries","1984","Not Working","inadequately","108","0.314505276582437","0.267321505601304","0.36168904756357","1"
"Big worries","1984","Not Working","general elemantary","755","0.427181180022277","0.403918332371693","0.450444027672861","1"
"Big worries","1984","Not Working","middle vocational","951","0.497041100337026","0.474361346750492","0.519720853923559","1"
"Big worries","1984","Not Working","vocational + Abi","54","0.700106649986353","0.600320308356847","0.79989299161586","1"
"Big worries","1984","Not Working","higher vocational","108","0.563468936857049","0.491808121440826","0.635129752273273","1"
"Big worries","1984","Not Working","higher education","97","0.578114801621855","0.501108948556846","0.655120654686863","1"
"No worries","1984","Part Time","inadequately","27","","","","3"
