"plh0036","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","college entrance qualification","Female","374","0.75900803178369","0.720866424013166","0.797149639554213"
"Big worries","1984","college entrance qualification","Male","543","0.672215494952417","0.6397082396271","0.704722750277734"
"Big worries","1984","lower secondary degree","Female","1522","0.459667532345055","0.442501808730939","0.47683325595917"
"Big worries","1984","lower secondary degree","Male","1368","0.490789790681806","0.47232897106643","0.509250610297182"
"Big worries","1984","no degree/no degree yet","Female","237","0.467615115533158","0.430466844754437","0.504763386311879"
"Big worries","1984","no degree/no degree yet","Male","191","0.436270496713717","0.39587600817431","0.476664985253125"
"Big worries","1984","Other degree","Female","211","0.356283915570711","0.31696912632166","0.395598704819762"
"Big worries","1984","Other degree","Male","330","0.413011344840098","0.380007778031026","0.44601491164917"
"Big worries","1984","secondary school degree","Female","680","0.602533873252673","0.573757778393359","0.631309968111988"
"Big worries","1984","secondary school degree","Male","494","0.581824769322698","0.548267678726513","0.615381859918882"
"No worries","1984","college entrance qualification","Female","12","","",""
"No worries","1984","college entrance qualification","Male","34","0.0413973372484144","0.0276018402136476","0.0551928342831812"
"No worries","1984","lower secondary degree","Female","292","0.0983346901002992","0.0880785079307408","0.108590872269858"
"No worries","1984","lower secondary degree","Male","243","0.0832879349840811","0.0730841290927386","0.0934917408754237"
"No worries","1984","no degree/no degree yet","Female","187","0.203074820205275","0.173123340218998","0.233026300191552"
"No worries","1984","no degree/no degree yet","Male","140","0.159912170963366","0.130057525699977","0.189766816226754"
"No worries","1984","Other degree","Female","111","0.180816951256266","0.149221780065725","0.212412122446806"
"No worries","1984","Other degree","Male","163","0.177621737037243","0.152003519957732","0.203239954116754"
"No worries","1984","secondary school degree","Female","47","0.0462669110568703","0.0339148411913318","0.0586189809224089"
"No worries","1984","secondary school degree","Male","28","","",""
"Some worries","1984","college entrance qualification","Female","97","0.214342679747838","0.177745684104255","0.25093967539142"
"Some worries","1984","college entrance qualification","Male","224","0.286387167799169","0.255080277192818","0.317694058405519"
"Some worries","1984","lower secondary degree","Female","1424","0.441997777554646","0.42489220261395","0.459103352495342"
"Some worries","1984","lower secondary degree","Male","1206","0.425922274334113","0.407662088535881","0.444182460132345"
"Some worries","1984","no degree/no degree yet","Female","269","0.329310064261567","0.294319989511986","0.364300139011148"
"Some worries","1984","no degree/no degree yet","Male","248","0.403817332322917","0.363851306938887","0.443783357706947"
"Some worries","1984","Other degree","Female","248","0.462899133173024","0.421965360479267","0.50383290586678"
"Some worries","1984","Other degree","Male","362","0.409366918122659","0.376407442798522","0.442326393446796"
"Some worries","1984","secondary school degree","Female","384","0.351199215690456","0.323130437193313","0.3792679941876"
"Some worries","1984","secondary school degree","Male","308","0.381267532617614","0.34822484157221","0.414310223663018"
"Big worries","1985","college entrance qualification","Female","322","0.681445635537028","0.639052407449472","0.723838863624583"
"Big worries","1985","college entrance qualification","Male","456","0.591456774828851","0.556508816694152","0.62640473296355"
"Big worries","1985","lower secondary degree","Female","1188","0.403023700574715","0.385121999498907","0.420925401650523"
"Big worries","1985","lower secondary degree","Male","1088","0.433496420720402","0.414201683294758","0.452791158146045"
"Big worries","1985","no degree/no degree yet","Female","175","0.42419642317139","0.383444834187864","0.464948012154917"
"Big worries","1985","no degree/no degree yet","Male","184","0.473157881999164","0.429568962281002","0.516746801717326"
"Big worries","1985","Other degree","Female","173","0.376239111558194","0.332810576216974","0.419667646899414"
"Big worries","1985","Other degree","Male","271","0.37630680621467","0.341187498881982","0.411426113547359"
"Big worries","1985","secondary school degree","Female","619","0.57228108900726","0.542664528412262","0.601897649602259"
"Big worries","1985","secondary school degree","Male","409","0.506897160493046","0.472100290683097","0.541694030302994"
"No worries","1985","college entrance qualification","Female","6","","",""
"No worries","1985","college entrance qualification","Male","26","","",""
"No worries","1985","lower secondary degree","Female","266","0.0987265931007646","0.087839904099129","0.1096132821024"
"No worries","1985","lower secondary degree","Male","235","0.0882673301966905","0.0772220041675442","0.0993126562258368"
"No worries","1985","no degree/no degree yet","Female","140","0.173286114114708","0.142076861771359","0.204495366458057"
"No worries","1985","no degree/no degree yet","Male","94","0.124447245528848","0.0956290604374283","0.153265430620267"
"No worries","1985","Other degree","Female","76","0.127754547548676","0.097829029056636","0.157680066040717"
"No worries","1985","Other degree","Male","124","0.158852949186563","0.132354344462707","0.185351553910418"
"No worries","1985","secondary school degree","Female","47","0.0441557125441046","0.0318576209995008","0.0564538040887084"
"No worries","1985","secondary school degree","Male","29","","",""
"Some worries","1985","college entrance qualification","Female","136","0.303440020279427","0.261608390087334","0.34527165047152"
"Some worries","1985","college entrance qualification","Male","278","0.372222018893829","0.33785472280268","0.406589314984979"
"Some worries","1985","lower secondary degree","Female","1430","0.49824970632452","0.480001599847437","0.516497812801604"
"Some worries","1985","lower secondary degree","Male","1211","0.478236249082908","0.458786993507792","0.497685504658024"
"Some worries","1985","no degree/no degree yet","Female","250","0.402517462713902","0.362080471037773","0.442954454390031"
"Some worries","1985","no degree/no degree yet","Male","226","0.402394872471988","0.359582805178249","0.445206939765727"
"Some worries","1985","Other degree","Female","229","0.496006340893129","0.451184437705931","0.540828244080327"
"Some worries","1985","Other degree","Male","336","0.464840244598767","0.42868402742424","0.500996461773294"
