"plh0036","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1985","direct migration background","Rural Area","117","0.386329510388868","0.334344312433408","0.438314708344328"
"Big worries","1985","direct migration background","Urban Area","900","0.410067957177234","0.39094413622852","0.429191778125948"
"Big worries","1985","indirect migration background","Rural Area","9","","",""
"Big worries","1985","indirect migration background","Urban Area","61","0.498566909120407","0.411263532952508","0.585870285288305"
"Big worries","1985","no migration background","Rural Area","841","0.438607755524674","0.416254327108681","0.460961183940667"
"Big worries","1985","no migration background","Urban Area","3018","0.489323425064075","0.476690577749202","0.501956272378948"
"No worries","1985","direct migration background","Rural Area","61","0.116001622002429","0.0818122671684317","0.150190976836427"
"No worries","1985","direct migration background","Urban Area","461","0.130919631388145","0.117804334823127","0.144034927953163"
"No worries","1985","indirect migration background","Rural Area","3","","",""
"No worries","1985","indirect migration background","Urban Area","14","","",""
"No worries","1985","no migration background","Rural Area","145","0.0844523631523984","0.0719261683813635","0.0969785579234333"
"No worries","1985","no migration background","Urban Area","388","0.0709314517355943","0.064444008385194","0.0774188950859946"
"Some worries","1985","direct migration background","Rural Area","159","0.497668867608703","0.444286427092232","0.551051308125173"
"Some worries","1985","direct migration background","Urban Area","1180","0.459012411434621","0.439636969208122","0.478387853661121"
"Some worries","1985","indirect migration background","Rural Area","5","","",""
"Some worries","1985","indirect migration background","Urban Area","51","0.461031703319659","0.373993518767734","0.548069887871585"
"Some worries","1985","no migration background","Rural Area","907","0.476939881322928","0.454439990659626","0.499439771986229"
"Some worries","1985","no migration background","Urban Area","2609","0.439745123200331","0.427201482260918","0.452288764139745"
"Big worries","1986","direct migration background","Rural Area","111","0.372994948010072","0.322402985359559","0.423586910660585"
"Big worries","1986","direct migration background","Urban Area","797","0.339123657575452","0.32040837889624","0.357838936254663"
"Big worries","1986","indirect migration background","Rural Area","5","","",""
"Big worries","1986","indirect migration background","Urban Area","69","0.53766750287001","0.453873537817548","0.621461467922472"
"Big worries","1986","no migration background","Rural Area","737","0.402312136209562","0.37958934351365","0.425034928905473"
"Big worries","1986","no migration background","Urban Area","2663","0.448377023107773","0.43552358662739","0.461230459588156"
"No worries","1986","direct migration background","Rural Area","82","0.158066445190125","0.119902498088503","0.196230392291747"
"No worries","1986","direct migration background","Urban Area","435","0.160992459657906","0.146463221201919","0.175521698113893"
"No worries","1986","indirect migration background","Rural Area","4","","",""
"No worries","1986","indirect migration background","Urban Area","18","","",""
"No worries","1986","no migration background","Rural Area","186","0.120357263883092","0.105279663304035","0.135434864462148"
"No worries","1986","no migration background","Urban Area","475","0.0930264160664799","0.0855192353394367","0.100533596793523"
"Some worries","1986","direct migration background","Rural Area","158","0.468938606799803","0.416732069055441","0.521145144544165"
"Some worries","1986","direct migration background","Urban Area","1226","0.499883882766643","0.480117502578253","0.519650262955032"
"Some worries","1986","indirect migration background","Rural Area","10","","",""
"Some worries","1986","indirect migration background","Urban Area","49","0.415858084458055","0.33302374823454","0.498692420681571"
"Some worries","1986","no migration background","Rural Area","866","0.477330599907347","0.454185124995018","0.500476074819675"
"Some worries","1986","no migration background","Urban Area","2613","0.458596560825747","0.445718445526113","0.471474676125381"
"Big worries","1987","direct migration background","Rural Area","128","0.437802395202069","0.386194341997638","0.489410448406501"
"Big worries","1987","direct migration background","Urban Area","975","0.447683094357941","0.427973023984786","0.467393164731096"
"Big worries","1987","indirect migration background","Rural Area","8","","",""
"Big worries","1987","indirect migration background","Urban Area","92","0.720709218851574","0.650078995282236","0.791339442420912"
"Big worries","1987","no migration background","Rural Area","1022","0.564006470485219","0.540812884505858","0.587200056464581"
"Big worries","1987","no migration background","Urban Area","3483","0.606680785615087","0.593950267114158","0.619411304116015"
"No worries","1987","direct migration background","Rural Area","78","0.124063326096371","0.0897713920672734","0.158355260125469"
"No worries","1987","direct migration background","Urban Area","357","0.114015140431646","0.101417097827122","0.12661318303617"
"No worries","1987","indirect migration background","Rural Area","5","","",""
"No worries","1987","indirect migration background","Urban Area","12","","",""
