"plh0036","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Not Employed","West Germany","2200","0.479966670097803","0.465529226358331","0.494404113837275"
"Big worries","1984","Not Employed","East Germany","","","",""
"Big worries","1984","Employed","West Germany","3787","0.555059314680289","0.543785184819795","0.566333444540782"
"Big worries","1984","Employed","East Germany","","","",""
"Some worries","1984","Not Employed","West Germany","1889","0.418624623522415","0.404368223360526","0.432881023684303"
"Some worries","1984","Not Employed","East Germany","","","",""
"Some worries","1984","Employed","West Germany","2915","0.37923396342302","0.368226687277715","0.390241239568325"
"Some worries","1984","Employed","East Germany","","","",""
"No worries","1984","Not Employed","West Germany","511","0.101408706379782","0.0926852639412054","0.110132148818359"
"No worries","1984","Not Employed","East Germany","","","",""
"No worries","1984","Employed","West Germany","762","0.0657067218966914","0.060085783984413","0.0713276598089698"
"No worries","1984","Employed","East Germany","","","",""
"Big worries","1985","Not Employed","West Germany","1851","0.448372952649921","0.433256554299954","0.463489350999889"
"Big worries","1985","Not Employed","East Germany","","","",""
"Big worries","1985","Employed","West Germany","3095","0.48786053295094","0.475954594045651","0.499766471856229"
"Big worries","1985","Employed","East Germany","","","",""
"Some worries","1985","Not Employed","West Germany","1861","0.453054226119916","0.437923733189567","0.468184719050264"
"Some worries","1985","Not Employed","East Germany","","","",""
"Some worries","1985","Employed","West Germany","3050","0.448005283362247","0.43616040207545","0.459850164649044"
"Some worries","1985","Employed","East Germany","","","",""
"No worries","1985","Not Employed","West Germany","446","0.0985728212301631","0.0895123712742908","0.107633271186036"
"No worries","1985","Not Employed","East Germany","","","",""
"No worries","1985","Employed","West Germany","626","0.064134183686813","0.0582987483360974","0.0699696190375287"
"No worries","1985","Employed","East Germany","","","",""
"Big worries","1986","Not Employed","West Germany","1571","0.396651619147219","0.381262668140323","0.412040570154116"
"Big worries","1986","Not Employed","East Germany","","","",""
"Big worries","1986","Employed","West Germany","2811","0.452624223615153","0.440635714264475","0.464612732965832"
"Big worries","1986","Employed","East Germany","","","",""
