"plh0036","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","lower secondary degree","(0) in school","","","",""
"Big worries","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Big worries","1984","lower secondary degree","(1b) general elementary school","929","0.40892895078446","0.388555768446346","0.429302133122573"
"Big worries","1984","lower secondary degree","(1c) basic vocational qualification","1940","0.511913602935666","0.49596817055759","0.527859035313742"
"Big worries","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Big worries","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Big worries","1984","lower secondary degree","(2c_gen) general maturity certificate","6","","",""
"Big worries","1984","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1984","lower secondary degree","(3a) lower tertiary education","9","","",""
"Big worries","1984","lower secondary degree","(3b) higher tertiary education","3","","",""
"Big worries","1984","secondary school degree","(0) in school","","","",""
"Big worries","1984","secondary school degree","(1a) inadequately completed","","","",""
"Big worries","1984","secondary school degree","(1b) general elementary school","","","",""
"Big worries","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Big worries","1984","secondary school degree","(2b) intermediate general qualification","302","0.636528199260962","0.593135039312025","0.679921359209899"
"Big worries","1984","secondary school degree","(2a) intermediate vocational","829","0.579645952970196","0.553770764259881","0.605521141680512"
"Big worries","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Big worries","1984","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Big worries","1984","secondary school degree","(3a) lower tertiary education","33","0.584872927087081","0.453449587379412","0.71629626679475"
"Big worries","1984","secondary school degree","(3b) higher tertiary education","9","","",""
"Big worries","1984","college entrance qualification","(0) in school","","","",""
"Big worries","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Big worries","1984","college entrance qualification","(1b) general elementary school","","","",""
"Big worries","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Big worries","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Big worries","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Big worries","1984","college entrance qualification","(2c_gen) general maturity certificate","247","0.793308699180501","0.748376983550788","0.838240414810213"
"Big worries","1984","college entrance qualification","(2c_voc) vocational maturity certificate","234","0.680596142475835","0.630963995524016","0.730228289427655"
"Big worries","1984","college entrance qualification","(3a) lower tertiary education","130","0.688476364245529","0.621921218630653","0.755031509860404"
"Big worries","1984","college entrance qualification","(3b) higher tertiary education","306","0.672018930408661","0.628496867546494","0.715540993270827"
"Big worries","1984","Other degree","(0) in school","","","",""
"Big worries","1984","Other degree","(1a) inadequately completed","","","",""
"Big worries","1984","Other degree","(1b) general elementary school","260","0.343576233057151","0.30924351975664","0.377908946357663"
"Big worries","1984","Other degree","(1c) basic vocational qualification","162","0.39879341005904","0.353145299195561","0.444441520922519"
"Big worries","1984","Other degree","(2b) intermediate general qualification","","","",""
"Big worries","1984","Other degree","(2a) intermediate vocational","","","",""
"Big worries","1984","Other degree","(2c_gen) general maturity certificate","32","0.371837918482858","0.270282953477871","0.473392883487845"
"Big worries","1984","Other degree","(2c_voc) vocational maturity certificate","54","0.505259439878414","0.40916961592237","0.601349263834458"
"Big worries","1984","Other degree","(3a) lower tertiary education","3","","",""
"Big worries","1984","Other degree","(3b) higher tertiary education","30","0.616390855700093","0.486695692406129","0.746086018994058"
"Big worries","1984","no degree/no degree yet","(0) in school","124","0.673167837192866","0.605577237494883","0.740758436890849"
"Big worries","1984","no degree/no degree yet","(1a) inadequately completed","303","0.307380820695001","0.279938627466091","0.334823013923911"
"Big worries","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Big worries","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Big worries","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Big worries","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Big worries","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Big worries","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Big worries","1984","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Some worries","1984","lower secondary degree","(0) in school","","","",""
"Some worries","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Some worries","1984","lower secondary degree","(1b) general elementary school","1025","0.462851361030208","0.442188849384248","0.483513872676167"
"Some worries","1984","lower secondary degree","(1c) basic vocational qualification","1585","0.417801922674442","0.402068970822319","0.433534874526565"
"Some worries","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Some worries","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Some worries","1984","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"Some worries","1984","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Some worries","1984","lower secondary degree","(3a) lower tertiary education","10","","",""
"Some worries","1984","lower secondary degree","(3b) higher tertiary education","4","","",""
"Some worries","1984","secondary school degree","(0) in school","","","",""
"Some worries","1984","secondary school degree","(1a) inadequately completed","","","",""
"Some worries","1984","secondary school degree","(1b) general elementary school","","","",""
"Some worries","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Some worries","1984","secondary school degree","(2b) intermediate general qualification","153","0.329067690505971","0.28667811510267","0.371457265909271"
"Some worries","1984","secondary school degree","(2a) intermediate vocational","513","0.374289980206659","0.348922042609888","0.39965791780343"
"Some worries","1984","secondary school degree","(2c_gen) general maturity certificate","2","","",""
"Some worries","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Some worries","1984","secondary school degree","(3a) lower tertiary education","20","","",""
"Some worries","1984","secondary school degree","(3b) higher tertiary education","4","","",""
"Some worries","1984","college entrance qualification","(0) in school","","","",""
"Some worries","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Some worries","1984","college entrance qualification","(1b) general elementary school","","","",""
"Some worries","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Some worries","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Some worries","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Some worries","1984","college entrance qualification","(2c_gen) general maturity certificate","57","0.183022154329066","0.140115192354784","0.225929116303348"
"Some worries","1984","college entrance qualification","(2c_voc) vocational maturity certificate","92","0.283065853179878","0.235111104842209","0.331020601517548"
"Some worries","1984","college entrance qualification","(3a) lower tertiary education","44","0.235351977533542","0.174386872037468","0.296317083029615"
"Some worries","1984","college entrance qualification","(3b) higher tertiary education","128","0.301319314537112","0.25878424142068","0.343854387653544"
"Some worries","1984","Other degree","(0) in school","","","",""
"Some worries","1984","Other degree","(1a) inadequately completed","","","",""
"Some worries","1984","Other degree","(1b) general elementary school","317","0.441117869367841","0.405222216306272","0.477013522429411"
"Some worries","1984","Other degree","(1c) basic vocational qualification","196","0.434755788626906","0.388541347583955","0.480970229669856"
"Some worries","1984","Other degree","(2b) intermediate general qualification","","","",""
"Some worries","1984","Other degree","(2a) intermediate vocational","","","",""
"Some worries","1984","Other degree","(2c_gen) general maturity certificate","39","0.466624930257878","0.361794156812327","0.571455703703428"
"Some worries","1984","Other degree","(2c_voc) vocational maturity certificate","41","0.423203047763793","0.328248166909858","0.518157928617728"
"Some worries","1984","Other degree","(3a) lower tertiary education","","","",""
"Some worries","1984","Other degree","(3b) higher tertiary education","17","","",""
"Some worries","1984","no degree/no degree yet","(0) in school","50","0.272924188903274","0.208733344423485","0.337115033383063"
"Some worries","1984","no degree/no degree yet","(1a) inadequately completed","467","0.425953126722895","0.396543618559156","0.455362634886634"
"Some worries","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Some worries","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Some worries","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Some worries","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Some worries","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Some worries","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Some worries","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Some worries","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No worries","1984","lower secondary degree","(0) in school","","","",""
"No worries","1984","lower secondary degree","(1a) inadequately completed","","","",""
"No worries","1984","lower secondary degree","(1b) general elementary school","283","0.128219688185333","0.114365024577759","0.142074351792906"
"No worries","1984","lower secondary degree","(1c) basic vocational qualification","250","0.0702844743898923","0.062130030373743","0.0784389184060415"
"No worries","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"No worries","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"No worries","1984","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"No worries","1984","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"No worries","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"No worries","1984","secondary school degree","(0) in school","","","",""
"No worries","1984","secondary school degree","(1a) inadequately completed","","","",""
"No worries","1984","secondary school degree","(1b) general elementary school","","","",""
"No worries","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"No worries","1984","secondary school degree","(2b) intermediate general qualification","17","","",""
"No worries","1984","secondary school degree","(2a) intermediate vocational","56","0.0460640668231446","0.0350756468859568","0.0570524867603324"
"No worries","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No worries","1984","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1984","secondary school degree","(3a) lower tertiary education","1","","",""
"No worries","1984","secondary school degree","(3b) higher tertiary education","","","",""
"No worries","1984","college entrance qualification","(0) in school","","","",""
"No worries","1984","college entrance qualification","(1a) inadequately completed","","","",""
"No worries","1984","college entrance qualification","(1b) general elementary school","","","",""
