"plh0174","year","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","89","0.0154452805569768","0.0121913039313415","0.0186992571826121","0"
"0 Completely dissatisfied","1984","direct migration background","40","0.0139926865254116","0.0091414268884231","0.0188439461624002","0"
"0 Completely dissatisfied","1984","indirect migration background","2","","","","0"
"1 on Scale 1 to 10","1984","direct migration background","16","","","","1"
"1 on Scale 1 to 10","1984","no migration background","62","0.0114151567536845","0.00861201853518174","0.0142182949721872","1"
"1 on Scale 1 to 10","1984","indirect migration background","3","","","","1"
"10 Completely satisfied","1984","no migration background","1056","0.197480327136635","0.186975561642744","0.207985092630527","10"
"10 Completely satisfied","1984","direct migration background","478","0.209460155626697","0.192653686160205","0.226266625093189","10"
"10 Completely satisfied","1984","indirect migration background","11","","","","10"
"2 on Scale 1 to 10","1984","indirect migration background","2","","","","2"
"2 on Scale 1 to 10","1984","direct migration background","66","0.0277506240927027","0.020966572973931","0.0345346752114744","2"
"2 on Scale 1 to 10","1984","no migration background","128","0.0227777434083038","0.0188408956365807","0.0267145911800269","2"
"3 on Scale 1 to 10","1984","direct migration background","101","0.0434737725821716","0.035051563786607","0.0518959813777362","3"
"3 on Scale 1 to 10","1984","no migration background","224","0.0411537706757155","0.0359120255743447","0.0463955157770863","3"
"3 on Scale 1 to 10","1984","indirect migration background","3","","","","3"
"4 on Scale 1 to 10","1984","no migration background","251","0.0450647738162539","0.0395908070808205","0.0505387405516872","4"
"4 on Scale 1 to 10","1984","indirect migration background","4","","","","4"
"4 on Scale 1 to 10","1984","direct migration background","106","0.045251343233788","0.0366666621977076","0.0538360242698684","4"
"5 on Scale 1 to 10","1984","no migration background","891","0.157331997897104","0.147723989378836","0.166940006415372","5"
"5 on Scale 1 to 10","1984","direct migration background","339","0.1756973142021","0.159979584471367","0.191415043932834","5"
"5 on Scale 1 to 10","1984","indirect migration background","10","","","","5"
"6 on Scale 1 to 10","1984","no migration background","525","0.0942450494015007","0.0865354603279031","0.101954638475098","6"
"6 on Scale 1 to 10","1984","direct migration background","192","0.0795660953820032","0.0683891217897305","0.0907430689742758","6"
"6 on Scale 1 to 10","1984","indirect migration background","7","","","","6"
"7 on Scale 1 to 10","1984","indirect migration background","11","","","","7"
"7 on Scale 1 to 10","1984","no migration background","683","0.119211087289491","0.110660600444755","0.127761574134227","7"
"7 on Scale 1 to 10","1984","direct migration background","301","0.12672251260133","0.112983139481449","0.140461885721212","7"
"8 on Scale 1 to 10","1984","indirect migration background","9","","","","8"
"8 on Scale 1 to 10","1984","direct migration background","400","0.179321146035409","0.16347709354713","0.195165198523689","8"
"8 on Scale 1 to 10","1984","no migration background","1109","0.203960227056114","0.193327694381621","0.214592759730607","8"
"9 on Scale 1 to 10","1984","indirect migration background","6","","","","9"
"9 on Scale 1 to 10","1984","direct migration background","213","0.0920644082541872","0.0801235016502313","0.104005314858143","9"
