"plh0174","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","Male","32","0.0353290098883171","0.0225682831391328","0.0480897366375013","0"
"0 Completely dissatisfied","1984","16-34 y.","Female","23","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","Male","43","0.0305846850733479","0.0207266302307222","0.0404427399159736","0"
"0 Completely dissatisfied","1984","35-65 y.","Female","22","","","","0"
"0 Completely dissatisfied","1984","66 and older","Male","2","","","","0"
"0 Completely dissatisfied","1984","66 and older","Female","9","","","","0"
"1 on Scale 1 to 10","1984","16-34 y.","Male","10","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Female","20","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Male","19","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Female","18","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Male","4","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Female","10","","","","1"
"10 Completely satisfied","1984","16-34 y.","Female","339","0.165265720133472","0.148480802752213","0.182050637514731","10"
"10 Completely satisfied","1984","16-34 y.","Male","118","0.124911483529309","0.102058271856846","0.147764695201773","10"
"10 Completely satisfied","1984","35-65 y.","Male","210","0.182474280412755","0.160361883191855","0.204586677633656","10"
"10 Completely satisfied","1984","66 and older","Female","168","0.238400428227009","0.207189373798076","0.269611482655941","10"
"10 Completely satisfied","1984","35-65 y.","Female","659","0.220244352560809","0.205454492069479","0.235034213052139","10"
"10 Completely satisfied","1984","66 and older","Male","51","0.210194392724776","0.159484473340362","0.260904312109189","10"
"2 on Scale 1 to 10","1984","16-34 y.","Male","38","0.0488059581473894","0.0339126543358995","0.0636992619588792","2"
"2 on Scale 1 to 10","1984","16-34 y.","Female","61","0.0338106996417246","0.0256427719583735","0.0419786273250757","2"
"2 on Scale 1 to 10","1984","35-65 y.","Male","37","0.0261386379919066","0.017004357787545","0.0352729181962683","2"
"2 on Scale 1 to 10","1984","35-65 y.","Female","34","0.00985563788356692","0.00633011083508627","0.0133811649320476","2"
"2 on Scale 1 to 10","1984","66 and older","Male","9","","","","2"
"2 on Scale 1 to 10","1984","66 and older","Female","17","","","","2"
"3 on Scale 1 to 10","1984","16-34 y.","Female","78","0.0410706045679274","0.0321022543957494","0.0500389547401055","3"
"3 on Scale 1 to 10","1984","35-65 y.","Male","66","0.0634797844052331","0.0495205826274983","0.0774389861829678","3"
"3 on Scale 1 to 10","1984","16-34 y.","Male","53","0.0631645474937235","0.0463498747245205","0.0799792202629265","3"
"3 on Scale 1 to 10","1984","35-65 y.","Female","93","0.0292456175033384","0.0232322534078997","0.0352589815987771","3"
"3 on Scale 1 to 10","1984","66 and older","Male","16","","","","3"
"3 on Scale 1 to 10","1984","66 and older","Female","22","","","","3"
"4 on Scale 1 to 10","1984","16-34 y.","Female","90","0.046439762100312","0.0369299321092769","0.055949592091347","4"
"4 on Scale 1 to 10","1984","35-65 y.","Female","113","0.0366563797612221","0.0299498505461171","0.0433629089763271","4"
"4 on Scale 1 to 10","1984","35-65 y.","Male","65","0.0561479611582323","0.0429683305051927","0.0693275918112719","4"
"4 on Scale 1 to 10","1984","16-34 y.","Male","52","0.0642267485982371","0.0472808989589533","0.0811725982375208","4"
"4 on Scale 1 to 10","1984","66 and older","Male","14","","","","4"
"4 on Scale 1 to 10","1984","66 and older","Female","27","","","","4"
"5 on Scale 1 to 10","1984","16-34 y.","Male","175","0.236828258723115","0.207441751661474","0.266214765784757","5"
"5 on Scale 1 to 10","1984","16-34 y.","Female","296","0.1730634168436","0.15596749857852","0.190159335108679","5"
"5 on Scale 1 to 10","1984","66 and older","Female","85","0.115645491361232","0.092221056069078","0.139069926653385","5"
"5 on Scale 1 to 10","1984","35-65 y.","Male","240","0.200495674956801","0.177573955215935","0.223417394697667","5"
"5 on Scale 1 to 10","1984","35-65 y.","Female","397","0.135521250250702","0.123305693005441","0.147736807495963","5"
"5 on Scale 1 to 10","1984","66 and older","Male","47","0.183947713129189","0.135727576101854","0.232167850156523","5"
"6 on Scale 1 to 10","1984","35-65 y.","Female","301","0.0994019799438742","0.0887238442886129","0.110080115599135","6"
"6 on Scale 1 to 10","1984","16-34 y.","Female","169","0.0943433120991752","0.0811336699716392","0.107552954226711","6"
"6 on Scale 1 to 10","1984","35-65 y.","Male","113","0.0994329235683836","0.082300948943383","0.116564898193384","6"
"6 on Scale 1 to 10","1984","16-34 y.","Male","67","0.0878496926370257","0.068282730968656","0.107416654305395","6"
"6 on Scale 1 to 10","1984","66 and older","Male","20","","","","6"
"6 on Scale 1 to 10","1984","66 and older","Female","54","0.0760612705659356","0.0566436972400152","0.0954788438918561","6"
"7 on Scale 1 to 10","1984","16-34 y.","Male","90","0.106493774211665","0.0851716255198563","0.127815922903474","7"
"7 on Scale 1 to 10","1984","16-34 y.","Female","246","0.126188326552185","0.111182075603212","0.141194577501158","7"
"7 on Scale 1 to 10","1984","35-65 y.","Male","137","0.108768884657943","0.0909437921244984","0.126593977191388","7"
"7 on Scale 1 to 10","1984","35-65 y.","Female","421","0.134091686956733","0.121930686516397","0.146252687397068","7"
"7 on Scale 1 to 10","1984","66 and older","Male","26","","","","7"
"7 on Scale 1 to 10","1984","66 and older","Female","75","0.10280953417163","0.0805636024226612","0.125055465920599","7"
"8 on Scale 1 to 10","1984","16-34 y.","Male","112","0.150080676200963","0.12539350622336","0.174767846178566","8"
"8 on Scale 1 to 10","1984","35-65 y.","Male","157","0.135687989208576","0.11608193213429","0.155294046282862","8"
"8 on Scale 1 to 10","1984","16-34 y.","Female","390","0.210145811717983","0.191734381538603","0.228557241897363","8"
"8 on Scale 1 to 10","1984","35-65 y.","Female","648","0.220018686488045","0.205234266021858","0.234803106954231","8"
"8 on Scale 1 to 10","1984","66 and older","Male","39","0.157013583402529","0.111734132498031","0.202293034307027","8"
"8 on Scale 1 to 10","1984","66 and older","Female","172","0.24077177070975","0.209454742972791","0.272088798446709","8"
"9 on Scale 1 to 10","1984","16-34 y.","Male","57","0.0720778985172519","0.0542016293986551","0.0899541676358487","9"
"9 on Scale 1 to 10","1984","16-34 y.","Female","169","0.0841497964270562","0.0716041671146165","0.096695425739496","9"
"9 on Scale 1 to 10","1984","35-65 y.","Male","85","0.0773671200648501","0.0620711521349376","0.0926630879947626","9"
"9 on Scale 1 to 10","1984","66 and older","Male","20","","","","9"
"9 on Scale 1 to 10","1984","35-65 y.","Female","310","0.100747546153927","0.0900054143505888","0.111489677957266","9"
"9 on Scale 1 to 10","1984","66 and older","Female","77","0.108395100622464","0.0856240730361202","0.131166128208807","9"
"0 Completely dissatisfied","1985","16-34 y.","Male","10","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","Female","17","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","Male","17","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","Female","12","","","","0"
"0 Completely dissatisfied","1985","66 and older","Male","1","","","","0"
"0 Completely dissatisfied","1985","66 and older","Female","2","","","","0"
"1 on Scale 1 to 10","1985","35-65 y.","Male","13","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","Female","15","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Male","9","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Female","6","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Male","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Female","3","","","","1"
"10 Completely satisfied","1985","16-34 y.","Male","62","0.113152902439568","0.0870555110339752","0.139250293845161","10"
"10 Completely satisfied","1985","16-34 y.","Female","252","0.142822959903322","0.125630133397397","0.160015786409248","10"
"10 Completely satisfied","1985","35-65 y.","Male","115","0.14806586602747","0.123044668243905","0.173087063811036","10"
"10 Completely satisfied","1985","35-65 y.","Female","519","0.199362759763942","0.184342989960193","0.214382529567691","10"
"10 Completely satisfied","1985","66 and older","Male","26","","","","10"
"10 Completely satisfied","1985","66 and older","Female","137","0.224443700499338","0.191198360500218","0.257689040498457","10"
"2 on Scale 1 to 10","1985","16-34 y.","Male","18","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","Male","20","","","","2"
"2 on Scale 1 to 10","1985","66 and older","Female","9","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","Female","29","","","","2"
"2 on Scale 1 to 10","1985","66 and older","Male","5","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","Female","34","0.0218018754595347","0.0146260256336196","0.0289777252854499","2"
"3 on Scale 1 to 10","1985","16-34 y.","Male","34","0.0541485510138201","0.0355043077001423","0.0727927943274978","3"
"3 on Scale 1 to 10","1985","35-65 y.","Male","49","0.0557652743182093","0.0395993881555027","0.0719311604809159","3"
"3 on Scale 1 to 10","1985","16-34 y.","Female","61","0.0420686333374294","0.0322044894189528","0.0519327772559059","3"
"3 on Scale 1 to 10","1985","35-65 y.","Female","73","0.0256463879125728","0.0197035379210448","0.0315892379041008","3"
"3 on Scale 1 to 10","1985","66 and older","Male","8","","","","3"
"3 on Scale 1 to 10","1985","66 and older","Female","21","","","","3"
"4 on Scale 1 to 10","1985","35-65 y.","Female","114","0.0416538308789047","0.0341425838524506","0.0491650779053589","4"
"4 on Scale 1 to 10","1985","35-65 y.","Male","56","0.0626771773094711","0.0456015400146139","0.0797528146043283","4"
"4 on Scale 1 to 10","1985","16-34 y.","Male","37","0.0685044939733843","0.047693645419879","0.0893153425268896","4"
"4 on Scale 1 to 10","1985","16-34 y.","Female","94","0.06544582816126","0.053293591315037","0.077598065007483","4"
"4 on Scale 1 to 10","1985","66 and older","Male","8","","","","4"
"4 on Scale 1 to 10","1985","66 and older","Female","28","","","","4"
"5 on Scale 1 to 10","1985","16-34 y.","Female","259","0.16959718367596","0.151156937015782","0.188037430336137","5"
"5 on Scale 1 to 10","1985","16-34 y.","Male","144","0.254065811976666","0.218201438702205","0.289930185251128","5"
"5 on Scale 1 to 10","1985","35-65 y.","Male","177","0.241987776696732","0.21181519792115","0.272160355472313","5"
"5 on Scale 1 to 10","1985","35-65 y.","Female","370","0.139939249666672","0.126896844137757","0.152981655195588","5"
"5 on Scale 1 to 10","1985","66 and older","Male","40","0.223682054576701","0.162636090067508","0.284728019085894","5"
"5 on Scale 1 to 10","1985","66 and older","Female","89","0.14878322944841","0.120425759534122","0.177140699362698","5"
"6 on Scale 1 to 10","1985","16-34 y.","Female","171","0.112680460631158","0.0971430969769681","0.128217824285348","6"
"6 on Scale 1 to 10","1985","16-34 y.","Male","52","0.0956053113497251","0.0713805288155458","0.119830093883904","6"
"6 on Scale 1 to 10","1985","35-65 y.","Male","76","0.0943289455101848","0.0737375706753743","0.114920320344995","6"
"6 on Scale 1 to 10","1985","35-65 y.","Female","251","0.0930310774911766","0.0821108020322443","0.103951352950109","6"
"6 on Scale 1 to 10","1985","66 and older","Male","20","","","","6"
"6 on Scale 1 to 10","1985","66 and older","Female","58","0.0973952687470457","0.0737693809731783","0.121021156520913","6"
"7 on Scale 1 to 10","1985","16-34 y.","Male","77","0.14647529717021","0.117345992574185","0.175604601766235","7"
"7 on Scale 1 to 10","1985","35-65 y.","Male","89","0.120627272963764","0.0976823363811871","0.143572209546342","7"
"7 on Scale 1 to 10","1985","16-34 y.","Female","245","0.161112377254116","0.143047735745035","0.179177018763196","7"
"7 on Scale 1 to 10","1985","35-65 y.","Female","453","0.164079361925388","0.150156360490533","0.178002363360243","7"
"7 on Scale 1 to 10","1985","66 and older","Male","22","","","","7"
"7 on Scale 1 to 10","1985","66 and older","Female","80","0.133942317228412","0.106802762561122","0.161081871895703","7"
"8 on Scale 1 to 10","1985","16-34 y.","Female","300","0.17226349768347","0.153708722977222","0.190818272389718","8"
"8 on Scale 1 to 10","1985","66 and older","Male","37","0.208865254078207","0.149315509337632","0.268414998818782","8"
"8 on Scale 1 to 10","1985","35-65 y.","Male","119","0.153151302281497","0.127780110409504","0.17852249415349","8"
"8 on Scale 1 to 10","1985","35-65 y.","Female","612","0.220867054017288","0.205271722234077","0.236462385800499","8"
"8 on Scale 1 to 10","1985","16-34 y.","Male","88","0.145965930305227","0.116878642819615","0.175053217790839","8"
"8 on Scale 1 to 10","1985","66 and older","Female","125","0.204189089175825","0.172067900068937","0.236310278282713","8"
"9 on Scale 1 to 10","1985","35-65 y.","Male","43","0.0619208038828016","0.0449416651850995","0.0788999425805038","9"
"9 on Scale 1 to 10","1985","35-65 y.","Female","270","0.0957379775831827","0.0846765129505024","0.106799442215863","9"
"9 on Scale 1 to 10","1985","66 and older","Male","12","","","","9"
"9 on Scale 1 to 10","1985","16-34 y.","Male","35","0.0661311771959758","0.0456579672218641","0.0866043871700875","9"
"9 on Scale 1 to 10","1985","16-34 y.","Female","152","0.0935857331806951","0.0792743638022406","0.10789710255915","9"
"9 on Scale 1 to 10","1985","66 and older","Female","53","0.0871014990474458","0.0646319443635064","0.109571053731385","9"
"0 Completely dissatisfied","1986","16-34 y.","Male","9","","","","0"
"0 Completely dissatisfied","1986","16-34 y.","Female","11","","","","0"
"0 Completely dissatisfied","1986","35-65 y.","Male","13","","","","0"
"0 Completely dissatisfied","1986","35-65 y.","Female","17","","","","0"
"0 Completely dissatisfied","1986","66 and older","Male","","","","","0"
"0 Completely dissatisfied","1986","66 and older","Female","2","","","","0"
"1 on Scale 1 to 10","1986","35-65 y.","Female","10","","","","1"
"1 on Scale 1 to 10","1986","35-65 y.","Male","12","","","","1"
"1 on Scale 1 to 10","1986","16-34 y.","Male","9","","","","1"
"1 on Scale 1 to 10","1986","16-34 y.","Female","13","","","","1"
"1 on Scale 1 to 10","1986","66 and older","Female","2","","","","1"
"1 on Scale 1 to 10","1986","66 and older","Male","","","","","1"
"10 Completely satisfied","1986","16-34 y.","Female","190","0.105125021409749","0.0899291660461279","0.120320876773369","10"
"10 Completely satisfied","1986","16-34 y.","Male","72","0.0903585872133683","0.0684028881728984","0.112314286253838","10"
"10 Completely satisfied","1986","35-65 y.","Female","381","0.152976827735207","0.139097695692807","0.166855959777607","10"
"10 Completely satisfied","1986","35-65 y.","Male","101","0.117366965719849","0.0955493152603643","0.139184616179334","10"
"10 Completely satisfied","1986","66 and older","Male","32","0.176239498477635","0.121334190364156","0.231144806591114","10"
"10 Completely satisfied","1986","66 and older","Female","122","0.224825136453392","0.190310587138852","0.259339685767931","10"
"2 on Scale 1 to 10","1986","66 and older","Male","2","","","","2"
"2 on Scale 1 to 10","1986","35-65 y.","Female","33","0.0126274198028988","0.00832215689905599","0.0169326827067417","2"
"2 on Scale 1 to 10","1986","35-65 y.","Male","29","","","","2"
"2 on Scale 1 to 10","1986","16-34 y.","Male","24","","","","2"
"2 on Scale 1 to 10","1986","16-34 y.","Female","28","","","","2"
"2 on Scale 1 to 10","1986","66 and older","Female","14","","","","2"
"3 on Scale 1 to 10","1986","16-34 y.","Male","48","0.0777572953449139","0.0572494219226805","0.0982651687671472","3"
"3 on Scale 1 to 10","1986","16-34 y.","Female","59","0.0427814978647479","0.032755572776003","0.0528074229534928","3"
"3 on Scale 1 to 10","1986","35-65 y.","Female","83","0.0322033240913847","0.0253965043336525","0.0390101438491169","3"
"3 on Scale 1 to 10","1986","66 and older","Male","8","","","","3"
"3 on Scale 1 to 10","1986","35-65 y.","Male","28","","","","3"
"3 on Scale 1 to 10","1986","66 and older","Female","11","","","","3"
"4 on Scale 1 to 10","1986","35-65 y.","Female","111","0.0435270650998905","0.0356599071155398","0.0513942230842413","4"
"4 on Scale 1 to 10","1986","16-34 y.","Male","49","0.0852341090098502","0.0638500996834498","0.106618118336251","4"
"4 on Scale 1 to 10","1986","35-65 y.","Male","76","0.0863719823950858","0.067329827183688","0.105414137606484","4"
"4 on Scale 1 to 10","1986","16-34 y.","Female","89","0.0583758464835765","0.0467601217772083","0.0699915711899448","4"
"4 on Scale 1 to 10","1986","66 and older","Male","11","","","","4"
"4 on Scale 1 to 10","1986","66 and older","Female","20","","","","4"
"5 on Scale 1 to 10","1986","16-34 y.","Male","147","0.242527156489412","0.209703182322158","0.275351130656666","5"
