"plh0174","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","no migration background","Urban Area","28","","","","0"
"0 Completely dissatisfied","1985","no migration background","Rural Area","14","","","","0"
"0 Completely dissatisfied","1985","direct migration background","Urban Area","15","","","","0"
"0 Completely dissatisfied","1985","direct migration background","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Urban Area","","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1985","direct migration background","Urban Area","13","","","","1"
"1 on Scale 1 to 10","1985","direct migration background","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Urban Area","22","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Rural Area","8","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1985","no migration background","Urban Area","585","0.169608273908985","0.157243879970833","0.181972667847137","10"
"10 Completely satisfied","1985","no migration background","Rural Area","215","0.207931039929451","0.183626102040983","0.232235977817919","10"
"10 Completely satisfied","1985","direct migration background","Urban Area","240","0.164775678295625","0.146095118138675","0.183456238452574","10"
"10 Completely satisfied","1985","direct migration background","Rural Area","60","0.219365579917014","0.167120227833347","0.271610932000681","10"
"10 Completely satisfied","1985","indirect migration background","Urban Area","7","","","","10"
"10 Completely satisfied","1985","indirect migration background","Rural Area","4","","","","10"
"2 on Scale 1 to 10","1985","no migration background","Urban Area","56","0.0161379325421204","0.0119864915819989","0.0202893735022419","2"
"2 on Scale 1 to 10","1985","direct migration background","Urban Area","36","0.0158114039797506","0.00952986359374942","0.0220929443657518","2"
"2 on Scale 1 to 10","1985","indirect migration background","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1985","no migration background","Rural Area","15","","","","2"
"2 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","2"
"2 on Scale 1 to 10","1985","direct migration background","Rural Area","5","","","","2"
"3 on Scale 1 to 10","1985","direct migration background","Urban Area","64","0.0401172422285995","0.0302358894327998","0.0499985950243992","3"
"3 on Scale 1 to 10","1985","no migration background","Urban Area","130","0.0359935298520268","0.0298564750150814","0.0421305846889722","3"
"3 on Scale 1 to 10","1985","no migration background","Rural Area","41","0.0374702184985501","0.0260964716864005","0.0488439653106997","3"
"3 on Scale 1 to 10","1985","direct migration background","Rural Area","9","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Urban Area","2","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1985","direct migration background","Rural Area","14","","","","4"
"4 on Scale 1 to 10","1985","no migration background","Urban Area","190","0.0529668238157248","0.0455879111217113","0.0603457365097383","4"
"4 on Scale 1 to 10","1985","direct migration background","Urban Area","80","0.0576151419945776","0.0458817321000909","0.0693485518890642","4"
"4 on Scale 1 to 10","1985","no migration background","Rural Area","48","0.0456511951865271","0.0331505335880604","0.0581518567849939","4"
"4 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","4"
"4 on Scale 1 to 10","1985","indirect migration background","Urban Area","4","","","","4"
"5 on Scale 1 to 10","1985","no migration background","Rural Area","162","0.15311594044106","0.131549645620637","0.174682235261483","5"
"5 on Scale 1 to 10","1985","no migration background","Urban Area","638","0.179036546202639","0.166405463824963","0.191667628580314","5"
"5 on Scale 1 to 10","1985","direct migration background","Urban Area","237","0.16427416999781","0.145616460447767","0.182931879547853","5"
"5 on Scale 1 to 10","1985","direct migration background","Rural Area","32","0.139742416001519","0.0959682431494831","0.183516588853554","5"
"5 on Scale 1 to 10","1985","indirect migration background","Urban Area","8","","","","5"
"5 on Scale 1 to 10","1985","indirect migration background","Rural Area","2","","","","5"
"6 on Scale 1 to 10","1985","direct migration background","Urban Area","143","0.110292901039454","0.0945190010639376","0.126066801014969","6"
"6 on Scale 1 to 10","1985","no migration background","Urban Area","366","0.101088049378617","0.0911565162643081","0.111019582492925","6"
"6 on Scale 1 to 10","1985","no migration background","Rural Area","96","0.0914046734877979","0.0741453882698171","0.108663958705779","6"
"6 on Scale 1 to 10","1985","direct migration background","Rural Area","18","","","","6"
"6 on Scale 1 to 10","1985","indirect migration background","Urban Area","4","","","","6"
"6 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","6"
"7 on Scale 1 to 10","1985","direct migration background","Urban Area","205","0.137089600494079","0.119770438216475","0.154408762771682","7"
"7 on Scale 1 to 10","1985","no migration background","Urban Area","540","0.151326316393504","0.139519429368568","0.16313320341844","7"
"7 on Scale 1 to 10","1985","no migration background","Rural Area","171","0.150384531756453","0.12897702228278","0.171792041230125","7"
"7 on Scale 1 to 10","1985","direct migration background","Rural Area","37","0.127613789307222","0.0854885124479123","0.169739066166532","7"
"7 on Scale 1 to 10","1985","indirect migration background","Urban Area","12","","","","7"
"7 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","7"
"8 on Scale 1 to 10","1985","no migration background","Rural Area","214","0.198453776623084","0.174567562246911","0.222339990999258","8"
"8 on Scale 1 to 10","1985","indirect migration background","Urban Area","11","","","","8"
"8 on Scale 1 to 10","1985","direct migration background","Rural Area","46","0.235657798472134","0.18207512270387","0.289240474240398","8"
"8 on Scale 1 to 10","1985","direct migration background","Urban Area","336","0.20357041998601","0.183294862612826","0.223845977359193","8"
"8 on Scale 1 to 10","1985","no migration background","Urban Area","672","0.189917937508842","0.176995176572363","0.202840698445322","8"
"8 on Scale 1 to 10","1985","indirect migration background","Rural Area","2","","","","8"
"9 on Scale 1 to 10","1985","direct migration background","Rural Area","17","","","","9"
"9 on Scale 1 to 10","1985","no migration background","Urban Area","312","0.0887644071319514","0.0793943427373614","0.0981344715265414","9"
"9 on Scale 1 to 10","1985","indirect migration background","Urban Area","3","","","","9"
"9 on Scale 1 to 10","1985","direct migration background","Urban Area","146","0.0843311055175475","0.0703382966471005","0.0983239143879945","9"
"9 on Scale 1 to 10","1985","no migration background","Rural Area","87","0.0806094091518667","0.064305330866948","0.0969134874367854","9"
"9 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","9"
"0 Completely dissatisfied","1986","no migration background","Urban Area","25","","","","0"
"0 Completely dissatisfied","1986","no migration background","Rural Area","8","","","","0"
"0 Completely dissatisfied","1986","direct migration background","Urban Area","15","","","","0"
"0 Completely dissatisfied","1986","direct migration background","Rural Area","3","","","","0"
"0 Completely dissatisfied","1986","indirect migration background","Urban Area","1","","","","0"
"0 Completely dissatisfied","1986","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1986","direct migration background","Urban Area","9","","","","1"
"1 on Scale 1 to 10","1986","direct migration background","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1986","no migration background","Urban Area","24","","","","1"
"1 on Scale 1 to 10","1986","no migration background","Rural Area","10","","","","1"
"1 on Scale 1 to 10","1986","indirect migration background","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1986","no migration background","Rural Area","152","0.158687365024177","0.136394898537471","0.180979831510883","10"
"10 Completely satisfied","1986","no migration background","Urban Area","489","0.144320187884025","0.132735813951498","0.155904561816551","10"
"10 Completely satisfied","1986","direct migration background","Rural Area","42","0.166051517558513","0.118873446909019","0.213229588208007","10"
"10 Completely satisfied","1986","direct migration background","Urban Area","201","0.131074586856574","0.113984562462769","0.148164611250379","10"
"10 Completely satisfied","1986","indirect migration background","Urban Area","11","","","","10"
"10 Completely satisfied","1986","indirect migration background","Rural Area","3","","","","10"
"2 on Scale 1 to 10","1986","no migration background","Urban Area","70","0.0207555953219701","0.0160559343607918","0.0254552562831483","2"
"2 on Scale 1 to 10","1986","direct migration background","Urban Area","37","0.0194691738866834","0.0124724204117903","0.0264659273615766","2"
"2 on Scale 1 to 10","1986","direct migration background","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1986","indirect migration background","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","2"
"2 on Scale 1 to 10","1986","no migration background","Rural Area","20","","","","2"
"3 on Scale 1 to 10","1986","direct migration background","Urban Area","66","0.0437343222774269","0.0333783073209205","0.0540903372339332","3"
