"plh0174","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","1-pers.-HH","Urban Area","15","","","","0"
"0 Completely dissatisfied","1985","1-pers.-HH","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","(Married) couple without C. ","Urban Area","6","","","","0"
"0 Completely dissatisfied","1985","(Married) couple without C. ","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","Single parent ","Urban Area","5","","","","0"
"0 Completely dissatisfied","1985","Single parent ","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Urban Area","9","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Rural Area","5","","","","0"
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Urban Area","4","","","","0"
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Rural Area","3","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Urban Area","1","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Rural Area","1","","","","0"
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","9","","","","1"
"1 on Scale 1 to 10","1985","Single parent ","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","6","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1985","Single parent ","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","5","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","8","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","4","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","1","","","","1"
"10 Completely satisfied","1985","1-pers.-HH","Urban Area","132","0.171313891556599","0.14552501136993","0.197102771743268","10"
"10 Completely satisfied","1985","1-pers.-HH","Rural Area","32","0.223936572359922","0.157663452004126","0.290209692715718","10"
"10 Completely satisfied","1985","(Married) couple without C. ","Urban Area","236","0.200579458488234","0.178072739809183","0.223086177167286","10"
"10 Completely satisfied","1985","(Married) couple without C. ","Rural Area","75","0.240402596146623","0.192985810885406","0.287819381407839","10"
"10 Completely satisfied","1985","Single parent ","Urban Area","32","0.121254898331069","0.0828835732005445","0.159626223461593","10"
"10 Completely satisfied","1985","Single parent ","Rural Area","6","","","","10"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Urban Area","193","0.148326498844289","0.128832605633856","0.167820392054722","10"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Rural Area","68","0.173121208712839","0.132963681184811","0.213278736240868","10"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Urban Area","123","0.171530502767204","0.144184389847352","0.198876615687056","10"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Rural Area","36","0.20485660033878","0.146221171365898","0.263492029311663","10"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Urban Area","71","0.118049072277366","0.0901815744206339","0.145916570134098","10"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Rural Area","28","","","","10"
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","22","","","","2"
"2 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","6","","","","2"
"2 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","18","","","","2"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","12","","","","2"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1985","Single parent ","Urban Area","7","","","","2"
"2 on Scale 1 to 10","1985","Single parent ","Rural Area","1","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","3","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","20","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","9","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","4","","","","2"
"3 on Scale 1 to 10","1985","Single parent ","Rural Area","6","","","","3"
"3 on Scale 1 to 10","1985","Single parent ","Urban Area","20","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","50","0.0398646652034053","0.0291343388868427","0.0505949915199679","3"
"3 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","40","0.0405615789804782","0.0270592979105021","0.0540638600504542","3"
"3 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","37","0.0254989831346267","0.0166389798536148","0.0343589864156386","3"
"3 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","9","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","3","","","","3"
"3 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","7","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","16","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","24","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","5","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","14","","","","3"
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","60","0.0518800200249773","0.0397157974165608","0.0640442426333939","4"
"4 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","8","","","","4"
"4 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","49","0.0544192102518974","0.0388929592593115","0.0699454612444833","4"
"4 on Scale 1 to 10","1985","Single parent ","Urban Area","16","","","","4"
"4 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","9","","","","4"
"4 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","58","0.0459396943349966","0.0341727616844476","0.0577066269855456","4"
"4 on Scale 1 to 10","1985","Single parent ","Rural Area","5","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","13","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","13","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","42","0.0573152555423379","0.0404534134870723","0.0741770975976035","4"
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","5","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","30","0.0578190188603834","0.03766103922796","0.0779769984928068","4"
"5 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","25","","","","5"
"5 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","182","0.143130510609165","0.123446900525398","0.162814120692932","5"
"5 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","180","0.214582616123853","0.186483756969198","0.242681475278508","5"
"5 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","48","0.167509243237329","0.126073045928347","0.208945440546311","5"
"5 on Scale 1 to 10","1985","Single parent ","Urban Area","45","0.163483141190904","0.120012151384384","0.206954130997425","5"
"5 on Scale 1 to 10","1985","Single parent ","Rural Area","16","","","","5"
"5 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","224","0.19174709693118","0.17015520600421","0.213338987858149","5"
"5 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","51","0.152681105363194","0.114505406629301","0.190856804097088","5"
"5 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","129","0.171510503484112","0.144165654748735","0.198855352219489","5"
"5 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","32","0.164889927377492","0.110978439068442","0.218801415686542","5"
"5 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","80","0.173563873429923","0.140854005536039","0.206273741323808","5"
"5 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","17","","","","5"
"6 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","70","0.0836265068037159","0.0646791164704824","0.10257389713695","6"
"6 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","118","0.101991599267808","0.0849816231387475","0.119001575396869","6"
"6 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","11","","","","6"
"6 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","23","","","","6"
"6 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","69","0.0967329575307767","0.0752901337636933","0.11817578129786","6"
"6 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","10","","","","6"
"6 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","26","","","","6"
"6 on Scale 1 to 10","1985","Single parent ","Urban Area","31","0.114909315764133","0.0774208905542216","0.152397740974045","6"
"6 on Scale 1 to 10","1985","Single parent ","Rural Area","8","","","","6"
"6 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","141","0.112546185201984","0.0952124997152086","0.129879870688759","6"
"6 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","24","","","","6"
"6 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","51","0.115121191744356","0.0875558099464059","0.142686573542305","6"
"7 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","164","0.138917103019785","0.119477757273285","0.158356448766286","7"
"7 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","114","0.142061017310352","0.118166028812832","0.165956005807872","7"
"7 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","21","","","","7"
"7 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","55","0.166459905982448","0.125127673470475","0.207792138494421","7"
"7 on Scale 1 to 10","1985","Single parent ","Urban Area","46","0.163524430116509","0.120049024162565","0.206999836070453","7"
"7 on Scale 1 to 10","1985","Single parent ","Rural Area","13","","","","7"
"7 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","210","0.167222599103276","0.146755108831807","0.187690089374746","7"
"7 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","57","0.16894266438848","0.129172621004568","0.208712707772393","7"
"7 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","101","0.147744738683374","0.122003613979035","0.173485863387714","7"
"7 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","25","","","","7"
"7 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","81","0.160946367794567","0.129208340637617","0.192684394951517","7"
