"plh0174","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","no migration background","35","0.0121060902657594","0.00805975964465063","0.0161524208868681","0"
"0 Completely dissatisfied","1984","Not Employed","direct migration background","7","","","","0"
"0 Completely dissatisfied","1984","Not Employed","indirect migration background","","","","","0"
"0 Completely dissatisfied","1984","Employed","no migration background","54","0.0195049362350601","0.0142992461961565","0.0247106262739637","0"
"0 Completely dissatisfied","1984","Employed","direct migration background","33","0.0198067251672051","0.0125390929807171","0.0270743573536931","0"
"0 Completely dissatisfied","1984","Employed","indirect migration background","2","","","","0"
"1 on Scale 1 to 10","1984","Not Employed","no migration background","32","0.0113646467645724","0.00744271262137284","0.015286580907772","1"
"1 on Scale 1 to 10","1984","Not Employed","direct migration background","8","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","1984","Employed","no migration background","30","0.0114765648036054","0.00746713352826758","0.0154859960789433","1"
"1 on Scale 1 to 10","1984","Employed","direct migration background","8","","","","1"
"1 on Scale 1 to 10","1984","Employed","indirect migration background","2","","","","1"
"10 Completely satisfied","1984","Not Employed","direct migration background","184","0.21428205844097","0.186533866630554","0.242030250251387","10"
"10 Completely satisfied","1984","Not Employed","no migration background","583","0.21399843508551","0.198823694979079","0.229173175191941","10"
"10 Completely satisfied","1984","Not Employed","indirect migration background","5","","","","10"
"10 Completely satisfied","1984","Employed","indirect migration background","6","","","","10"
"10 Completely satisfied","1984","Employed","no migration background","473","0.177398263858537","0.163018464521577","0.191778063195496","10"
"10 Completely satisfied","1984","Employed","direct migration background","294","0.20593326438919","0.184841034496541","0.22702549428184","10"
"2 on Scale 1 to 10","1984","Not Employed","no migration background","59","0.0199853290975964","0.0148071603607181","0.0251634978344746","2"
"2 on Scale 1 to 10","1984","Not Employed","direct migration background","16","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","indirect migration background","1","","","","2"
"2 on Scale 1 to 10","1984","Employed","no migration background","69","0.0261726504436532","0.0201630144367385","0.0321822864505678","2"
"2 on Scale 1 to 10","1984","Employed","direct migration background","50","0.0330091619211504","0.0236903795091002","0.0423279443332005","2"
"2 on Scale 1 to 10","1984","Employed","indirect migration background","1","","","","2"
"3 on Scale 1 to 10","1984","Not Employed","direct migration background","32","0.0336971691305147","0.0214943048032817","0.0459000334577477","3"
"3 on Scale 1 to 10","1984","Not Employed","indirect migration background","3","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","no migration background","90","0.0335169664155683","0.0268575874958636","0.040176345335273","3"
"3 on Scale 1 to 10","1984","Employed","no migration background","134","0.0504382956872607","0.0422002322955363","0.0586763590789851","3"
"3 on Scale 1 to 10","1984","Employed","direct migration background","69","0.0506246875579272","0.0391898266133113","0.0620595485025431","3"
"3 on Scale 1 to 10","1984","Employed","indirect migration background","","","","","3"
"4 on Scale 1 to 10","1984","Not Employed","direct migration background","33","0.0425929351685072","0.0289368710713297","0.0562489992656848","4"
"4 on Scale 1 to 10","1984","Employed","no migration background","134","0.0488862588036122","0.0407693071052047","0.0570032105020196","4"
"4 on Scale 1 to 10","1984","Not Employed","indirect migration background","1","","","","4"
"4 on Scale 1 to 10","1984","Not Employed","no migration background","117","0.0419214861633846","0.0345062814836042","0.0493366908431649","4"
"4 on Scale 1 to 10","1984","Employed","direct migration background","73","0.0471957864281638","0.0361350462472431","0.0582565266090846","4"
"4 on Scale 1 to 10","1984","Employed","indirect migration background","3","","","","4"
"5 on Scale 1 to 10","1984","Not Employed","no migration background","385","0.134448936355812","0.121826903966545","0.147070968745079","5"
"5 on Scale 1 to 10","1984","Not Employed","direct migration background","105","0.164692943016195","0.139610547119191","0.189775338913199","5"
"5 on Scale 1 to 10","1984","Employed","indirect migration background","8","","","","5"
"5 on Scale 1 to 10","1984","Not Employed","indirect migration background","2","","","","5"
"5 on Scale 1 to 10","1984","Employed","no migration background","506","0.185152320375391","0.170531015651529","0.199773625099253","5"
"5 on Scale 1 to 10","1984","Employed","direct migration background","234","0.183746257078957","0.163546200487105","0.203946313670809","5"
"6 on Scale 1 to 10","1984","Employed","no migration background","261","0.0971983770995613","0.0860475006318572","0.108349253567265","6"
"6 on Scale 1 to 10","1984","Not Employed","direct migration background","72","0.0714215474509249","0.0540061906475956","0.0888369042542543","6"
"6 on Scale 1 to 10","1984","Not Employed","indirect migration background","3","","","","6"
"6 on Scale 1 to 10","1984","Not Employed","no migration background","264","0.0918158475286946","0.0811314499300796","0.102500245127309","6"
"6 on Scale 1 to 10","1984","Employed","direct migration background","120","0.0855232736657595","0.0709365005003448","0.100110046831174","6"
"6 on Scale 1 to 10","1984","Employed","indirect migration background","4","","","","6"
"7 on Scale 1 to 10","1984","Not Employed","no migration background","329","0.113426188693576","0.101692937281103","0.125159440106048","7"
"7 on Scale 1 to 10","1984","Not Employed","direct migration background","112","0.139000761415235","0.115606010731891","0.16239551209858","7"
"7 on Scale 1 to 10","1984","Not Employed","indirect migration background","5","","","","7"
"7 on Scale 1 to 10","1984","Employed","no migration background","354","0.126244138533625","0.113742008982798","0.138746268084451","7"
"7 on Scale 1 to 10","1984","Employed","direct migration background","189","0.117741815598168","0.100930799857547","0.134552831338788","7"
"7 on Scale 1 to 10","1984","Employed","indirect migration background","6","","","","7"
"8 on Scale 1 to 10","1984","Not Employed","no migration background","640","0.229051714856324","0.21350338824823","0.244600041464417","8"
"8 on Scale 1 to 10","1984","Not Employed","indirect migration background","5","","","","8"
"8 on Scale 1 to 10","1984","Not Employed","direct migration background","170","0.195515520858237","0.168695574649972","0.222335467066503","8"
"8 on Scale 1 to 10","1984","Employed","no migration background","469","0.173454987151819","0.159201865801994","0.187708108501645","8"
"8 on Scale 1 to 10","1984","Employed","direct migration background","230","0.167476071412491","0.14799981482137","0.186952328003611","8"
"8 on Scale 1 to 10","1984","Employed","indirect migration background","4","","","","8"
"9 on Scale 1 to 10","1984","Not Employed","no migration background","272","0.0983643587732033","0.0873454477628949","0.109383269783512","9"
"9 on Scale 1 to 10","1984","Not Employed","direct migration background","101","0.101919488544325","0.0814600033412137","0.122378973747436","9"
"9 on Scale 1 to 10","1984","Not Employed","indirect migration background","5","","","","9"
"9 on Scale 1 to 10","1984","Employed","direct migration background","112","0.0848560928527811","0.0703210286477307","0.0993911570578315","9"
"9 on Scale 1 to 10","1984","Employed","no migration background","227","0.0840732070078754","0.0736273874159828","0.0945190265997679","9"
"9 on Scale 1 to 10","1984","Employed","indirect migration background","1","","","","9"
"0 Completely dissatisfied","1985","Not Employed","no migration background","15","","","","0"
"0 Completely dissatisfied","1985","Not Employed","direct migration background","2","","","","0"
"0 Completely dissatisfied","1985","Not Employed","indirect migration background","","","","","0"
"0 Completely dissatisfied","1985","Employed","no migration background","27","","","","0"
"0 Completely dissatisfied","1985","Employed","direct migration background","15","","","","0"
"0 Completely dissatisfied","1985","Employed","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1985","Not Employed","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","1985","Employed","no migration background","18","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","no migration background","12","","","","1"
"1 on Scale 1 to 10","1985","Not Employed","direct migration background","4","","","","1"
"1 on Scale 1 to 10","1985","Employed","direct migration background","10","","","","1"
"1 on Scale 1 to 10","1985","Employed","indirect migration background","1","","","","1"
"10 Completely satisfied","1985","Not Employed","no migration background","460","0.196789519732841","0.180826989382787","0.212752050082895","10"
"10 Completely satisfied","1985","Not Employed","direct migration background","139","0.195410487583584","0.166141031606716","0.224679943560451","10"
"10 Completely satisfied","1985","Not Employed","indirect migration background","7","","","","10"
"10 Completely satisfied","1985","Employed","no migration background","340","0.155878998685566","0.140813478249459","0.170944519121674","10"
"10 Completely satisfied","1985","Employed","direct migration background","161","0.155209780344114","0.133318018555631","0.177101542132597","10"
"10 Completely satisfied","1985","Employed","indirect migration background","4","","","","10"
"2 on Scale 1 to 10","1985","Not Employed","no migration background","35","0.0152225374377216","0.0103066871759388","0.0201383876995043","2"
"2 on Scale 1 to 10","1985","Not Employed","indirect migration background","2","","","","2"
"2 on Scale 1 to 10","1985","Employed","indirect migration background","1","","","","2"
"2 on Scale 1 to 10","1985","Employed","no migration background","36","0.0173341796383024","0.0119136396305341","0.0227547196460707","2"
"2 on Scale 1 to 10","1985","Employed","direct migration background","29","","","","2"
"2 on Scale 1 to 10","1985","Not Employed","direct migration background","12","","","","2"
"3 on Scale 1 to 10","1985","Not Employed","no migration background","83","0.0334336535709952","0.0262160367169828","0.0406512704250077","3"
"3 on Scale 1 to 10","1985","Not Employed","indirect migration background","2","","","","3"
"3 on Scale 1 to 10","1985","Not Employed","direct migration background","19","","","","3"
"3 on Scale 1 to 10","1985","Employed","no migration background","88","0.0400364479018535","0.0318942224377654","0.0481786733659416","3"
"3 on Scale 1 to 10","1985","Employed","direct migration background","54","0.0538759927594918","0.0402264404501583","0.0675255450688254","3"
"3 on Scale 1 to 10","1985","Employed","indirect migration background","","","","","3"
"4 on Scale 1 to 10","1985","Employed","no migration background","146","0.0659548912658469","0.0556463927646837","0.0762633897670101","4"
"4 on Scale 1 to 10","1985","Not Employed","indirect migration background","2","","","","4"
"4 on Scale 1 to 10","1985","Not Employed","no migration background","92","0.0395983620239548","0.0317685537673165","0.047428170280593","4"
"4 on Scale 1 to 10","1985","Not Employed","direct migration background","27","","","","4"
"4 on Scale 1 to 10","1985","Employed","direct migration background","67","0.0724923456844992","0.0568157571123364","0.0881689342566619","4"
"4 on Scale 1 to 10","1985","Employed","indirect migration background","3","","","","4"
"5 on Scale 1 to 10","1985","Not Employed","direct migration background","81","0.119156667752575","0.0952421271285307","0.14307120837662","5"
"5 on Scale 1 to 10","1985","Not Employed","no migration background","377","0.158586558642829","0.143920143289818","0.173252973995839","5"
"5 on Scale 1 to 10","1985","Not Employed","indirect migration background","5","","","","5"
"5 on Scale 1 to 10","1985","Employed","no migration background","423","0.190940255053303","0.174616238432377","0.207264271674228","5"
"5 on Scale 1 to 10","1985","Employed","direct migration background","188","0.193784506509529","0.169888142309187","0.217680870709872","5"
"5 on Scale 1 to 10","1985","Employed","indirect migration background","5","","","","5"
"6 on Scale 1 to 10","1985","Not Employed","direct migration background","66","0.131341486205302","0.106408227919681","0.156274744490922","6"
"6 on Scale 1 to 10","1985","Not Employed","no migration background","234","0.0994491367159306","0.0874336684144781","0.111464605017383","6"
"6 on Scale 1 to 10","1985","Not Employed","indirect migration background","2","","","","6"
"6 on Scale 1 to 10","1985","Employed","no migration background","228","0.0979294562487492","0.0855852006714691","0.110273711826029","6"
"6 on Scale 1 to 10","1985","Employed","direct migration background","95","0.0834481858021131","0.0667282851189449","0.100168086485281","6"
"6 on Scale 1 to 10","1985","Employed","indirect migration background","3","","","","6"
"7 on Scale 1 to 10","1985","Not Employed","no migration background","365","0.149977058635975","0.135641526805916","0.164312590466034","7"
"7 on Scale 1 to 10","1985","Not Employed","indirect migration background","3","","","","7"
"7 on Scale 1 to 10","1985","Not Employed","direct migration background","106","0.146489090552046","0.12038787626258","0.172590304841511","7"
"7 on Scale 1 to 10","1985","Employed","no migration background","346","0.152527186985155","0.137594962843042","0.167459411127268","7"
"7 on Scale 1 to 10","1985","Employed","direct migration background","136","0.126914868521866","0.106790082043176","0.147039655000555","7"
"7 on Scale 1 to 10","1985","Employed","indirect migration background","10","","","","7"
"8 on Scale 1 to 10","1985","Not Employed","direct migration background","167","0.222186613851852","0.191499914090102","0.252873313613602","8"
"8 on Scale 1 to 10","1985","Employed","direct migration background","215","0.197457641934893","0.173390878559626","0.22152440531016","8"
"8 on Scale 1 to 10","1985","Not Employed","indirect migration background","6","","","","8"
"8 on Scale 1 to 10","1985","Employed","no migration background","398","0.176551499230705","0.160715629918822","0.192387368542587","8"
