"plh0174","year","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Male","77","0.028160962894238","0.0212855051117403","0.0350364206767357","0"
"0 Completely dissatisfied","1984","Female","54","0.0104984222024521","0.00783204963458926","0.0131647947703149","0"
"1 on Scale 1 to 10","1984","Male","33","0.0157750822342692","0.0105964664171821","0.0209536980513563","1"
"1 on Scale 1 to 10","1984","Female","48","0.00916673884394961","0.00667353213007562","0.0116599455578236","1"
"10 Completely satisfied","1984","Male","379","0.168454367061462","0.15289955098669","0.184009183136233","10"
"10 Completely satisfied","1984","Female","1166","0.209704747429249","0.199054752827232","0.220354742031265","10"
"2 on Scale 1 to 10","1984","Male","84","0.0353216168844191","0.0276499054151247","0.0429933283537135","2"
"2 on Scale 1 to 10","1984","Female","112","0.0187458089602788","0.0151977287792474","0.0222938891413102","2"
"3 on Scale 1 to 10","1984","Male","135","0.0645042723613419","0.0542949752216351","0.0747135695010488","3"
"3 on Scale 1 to 10","1984","Female","193","0.033086737177498","0.0284075405061114","0.0377659338488846","3"
"4 on Scale 1 to 10","1984","Male","131","0.0593946242785331","0.0495713109319523","0.0692179376251139","4"
"4 on Scale 1 to 10","1984","Female","230","0.0397210331661959","0.0346117550174836","0.0448303113149082","4"
"5 on Scale 1 to 10","1984","Male","462","0.209516366146321","0.192602763732058","0.226429968560584","5"
"5 on Scale 1 to 10","1984","Female","778","0.141062953112245","0.13195674182141","0.15016916440308","5"
"6 on Scale 1 to 10","1984","Male","200","0.092622369153257","0.0805738776257558","0.104670860680758","6"
"6 on Scale 1 to 10","1984","Female","524","0.0928958375398692","0.0853017206578772","0.100489954421861","6"
"7 on Scale 1 to 10","1984","Female","742","0.125074379240712","0.116420311006709","0.133728447474715","7"
"7 on Scale 1 to 10","1984","Male","253","0.105596582981803","0.0928241875157578","0.118368978447848","7"
"8 on Scale 1 to 10","1984","Female","1210","0.221998116170281","0.211125963587728","0.232870268752833","8"
"8 on Scale 1 to 10","1984","Male","308","0.144305098531834","0.129700789655235","0.158909407408433","8"
"9 on Scale 1 to 10","1984","Male","162","0.0763486574725218","0.0653120541137353","0.0873852608313083","9"
"9 on Scale 1 to 10","1984","Female","556","0.0980452261572699","0.0902656456944639","0.105824806620076","9"
"0 Completely dissatisfied","1985","Male","28","","","","0"
"0 Completely dissatisfied","1985","Female","31","0.00702979266966317","0.00469380856990287","0.00936577676942347","0"
"1 on Scale 1 to 10","1985","Male","22","","","","1"
"1 on Scale 1 to 10","1985","Female","24","","","","1"
"10 Completely satisfied","1985","Male","203","0.13648728343903","0.119222955860504","0.153751611017556","10"
"10 Completely satisfied","1985","Female","908","0.190437679107481","0.179459454843079","0.201415903371884","10"
"2 on Scale 1 to 10","1985","Male","43","0.0227304160371652","0.0152352702000941","0.0302255618742364","2"
"2 on Scale 1 to 10","1985","Female","72","0.013964210974351","0.0106833709465244","0.0172450510021775","2"
"3 on Scale 1 to 10","1985","Female","155","0.0318836567185797","0.0269714305643133","0.036795882872846","3"
"3 on Scale 1 to 10","1985","Male","91","0.0528319799922344","0.0415825333339929","0.064081426650476","3"
"4 on Scale 1 to 10","1985","Male","101","0.0619774312308263","0.049852127283314","0.0741027351783386","4"
"4 on Scale 1 to 10","1985","Female","236","0.0487048270869481","0.0426865224896488","0.0547231316842475","4"
"5 on Scale 1 to 10","1985","Male","361","0.242698778292253","0.221139345644146","0.264258210940361","5"
"5 on Scale 1 to 10","1985","Female","718","0.149604587535182","0.139631872147471","0.159577302922894","5"
"6 on Scale 1 to 10","1985","Male","148","0.100219279476562","0.0851180195154548","0.11532053943767","6"
"6 on Scale 1 to 10","1985","Female","480","0.0990959734264652","0.0907419097157461","0.107450037137184","6"
"7 on Scale 1 to 10","1985","Male","188","0.127418770170764","0.110650477637835","0.144187062703693","7"
"7 on Scale 1 to 10","1985","Female","778","0.156485932886432","0.1463277896729","0.166644076099965","7"
"8 on Scale 1 to 10","1985","Male","244","0.161356188853022","0.142857080717041","0.179855296989003","8"
"8 on Scale 1 to 10","1985","Female","1037","0.204532621133491","0.193254857343152","0.215810384923831","8"
"9 on Scale 1 to 10","1985","Male","90","0.0630828233038515","0.0508570773892423","0.0753085692184607","9"
"9 on Scale 1 to 10","1985","Female","475","0.0932255434235563","0.0850963470336384","0.101354739813474","9"
"0 Completely dissatisfied","1986","Male","22","","","","0"
"0 Completely dissatisfied","1986","Female","30","0.00558532819690653","0.00345719086909969","0.00771346552471337","0"
"1 on Scale 1 to 10","1986","Male","21","","","","1"
"1 on Scale 1 to 10","1986","Female","25","","","","1"
"10 Completely satisfied","1986","Male","205","0.118116054875208","0.10266453273708","0.133567577013335","10"
"10 Completely satisfied","1986","Female","693","0.15663199416961","0.146253356792125","0.167010631547096","10"
"2 on Scale 1 to 10","1986","Male","55","0.0276908103844137","0.0198351787208461","0.0355464420479813","2"
"2 on Scale 1 to 10","1986","Female","75","0.0170100499745451","0.0133175638457617","0.0207025361033284","2"
"3 on Scale 1 to 10","1986","Male","84","0.0516529169785709","0.0410569116899232","0.0622489222672186","3"
"3 on Scale 1 to 10","1986","Female","153","0.0323188672780716","0.0272689328240776","0.0373688017320656","3"
"4 on Scale 1 to 10","1986","Male","136","0.0819146340974632","0.0687855822272149","0.0950436859677116","4"
"4 on Scale 1 to 10","1986","Female","220","0.0458121555684487","0.0398418186196466","0.0517824925172507","4"
"5 on Scale 1 to 10","1986","Male","345","0.21305373013117","0.193450474847712","0.232656985414628","5"
"5 on Scale 1 to 10","1986","Female","721","0.152967261864718","0.142688498132788","0.163246025596647","5"
"6 on Scale 1 to 10","1986","Female","522","0.103571145229246","0.0948701517771308","0.112272138681362","6"
"6 on Scale 1 to 10","1986","Male","159","0.0924998317235093","0.0786289230502016","0.106370740396817","6"
"7 on Scale 1 to 10","1986","Male","231","0.138691006551146","0.122144179604768","0.155237833497524","7"
"7 on Scale 1 to 10","1986","Female","731","0.150725827234162","0.140509157949086","0.160942496519238","7"
"8 on Scale 1 to 10","1986","Female","1072","0.231343376850536","0.219301719612208","0.243385034088863","8"
