"plh0174","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","Male","43","0.0273952608939816","0.01902519467087","0.0357653271170933","0"
"0 Completely dissatisfied","1984","no migration background","Female","46","0.011203372568353","0.00796425288330329","0.0144424922534027","0"
"0 Completely dissatisfied","1984","direct migration background","Male","33","0.0336206030859264","0.0207118657764057","0.0465293403954471","0"
"0 Completely dissatisfied","1984","direct migration background","Female","7","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","Male","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","Female","1","","","","0"
"1 on Scale 1 to 10","1984","no migration background","Male","24","","","","1"
"1 on Scale 1 to 10","1984","no migration background","Female","38","0.00938833335275621","0.00642046188962585","0.0123562048158866","1"
"1 on Scale 1 to 10","1984","direct migration background","Male","7","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","Female","9","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","Male","2","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","Female","1","","","","1"
"10 Completely satisfied","1984","no migration background","Female","812","0.20748135579348","0.195001964553982","0.219960747032978","10"
"10 Completely satisfied","1984","no migration background","Male","244","0.169306190375623","0.150076163602169","0.188536217149077","10"
"10 Completely satisfied","1984","direct migration background","Male","133","0.165077009719446","0.13848974322198","0.191664276216911","10"
"10 Completely satisfied","1984","indirect migration background","Female","9","","","","10"
"10 Completely satisfied","1984","direct migration background","Female","345","0.232294800843794","0.210945405156837","0.253644196530751","10"
"10 Completely satisfied","1984","indirect migration background","Male","2","","","","10"
"2 on Scale 1 to 10","1984","no migration background","Male","46","0.0331471410034313","0.0239674890801767","0.0423267929266859","2"
"2 on Scale 1 to 10","1984","no migration background","Female","82","0.0190968979796482","0.0148848473210477","0.0233089486382487","2"
"2 on Scale 1 to 10","1984","direct migration background","Male","37","0.0502970705983382","0.034644977702884","0.0659491634937924","2"
"2 on Scale 1 to 10","1984","direct migration background","Female","29","","","","2"
"2 on Scale 1 to 10","1984","indirect migration background","Male","1","","","","2"
"2 on Scale 1 to 10","1984","indirect migration background","Female","1","","","","2"
"3 on Scale 1 to 10","1984","no migration background","Female","128","0.0316227452794982","0.0262373052653145","0.0370081852936819","3"
"3 on Scale 1 to 10","1984","direct migration background","Male","39","0.0419350153524282","0.0275803501007866","0.0562896806040697","3"
"3 on Scale 1 to 10","1984","no migration background","Male","96","0.0680038500224957","0.0550947254230588","0.0809129746219327","3"
"3 on Scale 1 to 10","1984","direct migration background","Female","62","0.0442654464191245","0.0338669710166855","0.0546639218215634","3"
"3 on Scale 1 to 10","1984","indirect migration background","Male","","","","","3"
"3 on Scale 1 to 10","1984","indirect migration background","Female","3","","","","3"
"4 on Scale 1 to 10","1984","no migration background","Female","165","0.0396838884035801","0.033676117885831","0.0456916589213292","4"
"4 on Scale 1 to 10","1984","direct migration background","Female","62","0.0412821716086791","0.0312245505198544","0.0513397926975037","4"
"4 on Scale 1 to 10","1984","direct migration background","Male","44","0.0529661258237197","0.0369266916758077","0.0690055599716318","4"
"4 on Scale 1 to 10","1984","no migration background","Male","86","0.0602233946655449","0.0480245721155176","0.0724222172155722","4"
"4 on Scale 1 to 10","1984","indirect migration background","Male","1","","","","4"
"4 on Scale 1 to 10","1984","indirect migration background","Female","3","","","","4"
"5 on Scale 1 to 10","1984","no migration background","Male","300","0.203128604760732","0.182498442464739","0.223758767056724","5"
"5 on Scale 1 to 10","1984","no migration background","Female","591","0.141075486419414","0.130362701273555","0.151788271565273","5"
"5 on Scale 1 to 10","1984","indirect migration background","Female","8","","","","5"
"5 on Scale 1 to 10","1984","direct migration background","Male","160","0.250604983849908","0.219569577626306","0.281640390073511","5"
"5 on Scale 1 to 10","1984","direct migration background","Female","179","0.137158133946116","0.119766315652092","0.15454995224014","5"
"5 on Scale 1 to 10","1984","indirect migration background","Male","2","","","","5"
"6 on Scale 1 to 10","1984","direct migration background","Female","127","0.0722499720594591","0.0591610786647738","0.0853388654541444","6"
"6 on Scale 1 to 10","1984","no migration background","Female","391","0.0950904858810049","0.0860629291086637","0.104118042653346","6"
"6 on Scale 1 to 10","1984","direct migration background","Male","65","0.0937862667843945","0.0729081113598305","0.114664422208959","6"
"6 on Scale 1 to 10","1984","no migration background","Male","134","0.0918633500969998","0.077052849969952","0.106673850224048","6"
"6 on Scale 1 to 10","1984","indirect migration background","Male","1","","","","6"
"6 on Scale 1 to 10","1984","indirect migration background","Female","6","","","","6"
"7 on Scale 1 to 10","1984","no migration background","Male","159","0.104466072998798","0.08878226057564","0.120149885421957","7"
"7 on Scale 1 to 10","1984","no migration background","Female","524","0.124445153969783","0.114286649159127","0.134603658780439","7"
"7 on Scale 1 to 10","1984","direct migration background","Male","93","0.115086459910951","0.0922320655008802","0.137940854321021","7"
"7 on Scale 1 to 10","1984","direct migration background","Female","208","0.132709134988746","0.115557663095155","0.149860606882336","7"
"7 on Scale 1 to 10","1984","indirect migration background","Male","1","","","","7"
"7 on Scale 1 to 10","1984","indirect migration background","Female","10","","","","7"
"8 on Scale 1 to 10","1984","no migration background","Male","218","0.149057645579164","0.130795568062388","0.167319723095941","8"
"8 on Scale 1 to 10","1984","direct migration background","Male","89","0.114457029576452","0.0916571140727026","0.137256945080201","8"
"8 on Scale 1 to 10","1984","no migration background","Female","891","0.223449104225389","0.210629536255297","0.236268672195482","8"
"8 on Scale 1 to 10","1984","direct migration background","Female","311","0.212693027554488","0.192005086213384","0.233380968895592","8"
"8 on Scale 1 to 10","1984","indirect migration background","Male","1","","","","8"
"8 on Scale 1 to 10","1984","indirect migration background","Female","8","","","","8"
"9 on Scale 1 to 10","1984","no migration background","Male","111","0.0762835202245116","0.0626719668029076","0.0898950736461155","9"
"9 on Scale 1 to 10","1984","no migration background","Female","388","0.0974631761270926","0.0883356756767502","0.106590676577435","9"
"9 on Scale 1 to 10","1984","direct migration background","Male","49","0.0764625106606431","0.0574316370951167","0.0954933842261695","9"
"9 on Scale 1 to 10","1984","indirect migration background","Male","2","","","","9"
"9 on Scale 1 to 10","1984","direct migration background","Female","164","0.100091414654467","0.0849185979271077","0.115264231381827","9"
"9 on Scale 1 to 10","1984","indirect migration background","Female","4","","","","9"
"0 Completely dissatisfied","1985","no migration background","Male","15","","","","0"
"0 Completely dissatisfied","1985","no migration background","Female","27","","","","0"
"0 Completely dissatisfied","1985","direct migration background","Male","13","","","","0"
"0 Completely dissatisfied","1985","direct migration background","Female","4","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Male","","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Female","","","","","0"
"1 on Scale 1 to 10","1985","direct migration background","Male","7","","","","1"
"1 on Scale 1 to 10","1985","direct migration background","Female","7","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Male","14","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Female","16","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Male","1","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Female","1","","","","1"
"10 Completely satisfied","1985","no migration background","Male","139","0.137608204709141","0.116570228912416","0.158646180505867","10"
"10 Completely satisfied","1985","no migration background","Female","661","0.190710729474425","0.177841692973987","0.203579765974863","10"
