"plh0174","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","1-pers.-HH","Male","14","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","Female","7","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Male","6","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Female","7","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Male","7","","","","0"
"0 Completely dissatisfied","1984","Single parent ","Female","4","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Male","15","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Female","12","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Male","10","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Female","8","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Male","17","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Female","9","","","","0"
"1 on Scale 1 to 10","1984","1-pers.-HH","Male","9","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","6","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Female","6","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Male","2","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","6","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","11","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","8","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","Female","4","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","Female","9","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Male","5","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","3","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","6","","","","1"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Male","117","0.22021461243753","0.185165940915798","0.255263283959262","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","Female","305","0.193422784181971","0.173513805316667","0.213331763047274","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Male","36","0.120529479464058","0.081030568551198","0.160028390376918","10"
"10 Completely satisfied","1984","Couple + C. GT 16 ","Female","144","0.199018867393403","0.169915904158186","0.228121830628619","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Male","40","0.188414648603199","0.136975231814181","0.239854065392217","10"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","Female","126","0.162713780414857","0.134425382241831","0.191002178587884","10"
"10 Completely satisfied","1984","1-pers.-HH","Male","50","0.123996471393222","0.0927362719510559","0.155256670835388","10"
"10 Completely satisfied","1984","1-pers.-HH","Female","159","0.226828620890668","0.196449621044719","0.257207620736616","10"
"10 Completely satisfied","1984","(Married) couple without C. ","Male","107","0.19483619022264","0.162234996752085","0.227437383693195","10"
"10 Completely satisfied","1984","(Married) couple without C. ","Female","304","0.243033684755107","0.21946279111981","0.266604578390404","10"
"10 Completely satisfied","1984","Single parent ","Male","12","","","","10"
"10 Completely satisfied","1984","Single parent ","Female","63","0.203957238358247","0.159878075784418","0.248036400932075","10"
"2 on Scale 1 to 10","1984","1-pers.-HH","Female","15","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","16","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","32","0.0185754794650208","0.0117698129575216","0.0253811459725201","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","3","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","22","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","11","","","","2"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","11","","","","2"
"2 on Scale 1 to 10","1984","1-pers.-HH","Male","23","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Male","20","","","","2"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Female","16","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","Male","5","","","","2"
"2 on Scale 1 to 10","1984","Single parent ","Female","8","","","","2"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","19","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","26","","","","3"
"3 on Scale 1 to 10","1984","Single parent ","Female","16","","","","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","Male","36","0.0929356647280296","0.065396903283621","0.120474426172438","3"
"3 on Scale 1 to 10","1984","1-pers.-HH","Female","30","0.0419253235538286","0.0273866577721242","0.056463989335533","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","Male","29","","","","3"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","Female","36","0.0272642926333901","0.0183147862576634","0.0362137990091168","3"
"3 on Scale 1 to 10","1984","Single parent ","Male","7","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","56","0.0330401584541218","0.0240307251389507","0.042049591769293","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","10","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","22","","","","3"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","17","","","","3"
"4 on Scale 1 to 10","1984","1-pers.-HH","Female","35","0.0468014656472796","0.0314797262673412","0.062123205027218","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","Female","44","0.0329626398209409","0.023151100374031","0.0427741792678508","4"
"4 on Scale 1 to 10","1984","Single parent ","Male","5","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","20","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","52","0.0346778267600539","0.0254556323595965","0.0439000211605112","4"
"4 on Scale 1 to 10","1984","1-pers.-HH","Male","31","0.069576159922005","0.0454435220511528","0.0937087977928573","4"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","Male","33","0.0597355511089814","0.0402282132023422","0.0792428890156206","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","37","0.0477172301023728","0.0321790726309105","0.063255387573835","4"
"4 on Scale 1 to 10","1984","Single parent ","Female","13","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","26","","","","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","30","0.0462472573072979","0.0301511778297998","0.062343336784796","4"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","13","","","","4"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","Male","116","0.200445191605841","0.167493440198936","0.233396943012746","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","Female","99","0.131372038775272","0.106867020344645","0.155877057205898","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","96","0.178059049906493","0.145702419883902","0.210415679929084","5"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","184","0.133697155853696","0.11654304746518","0.150851264242213","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","53","0.193297455635661","0.145390605233831","0.241204306037492","5"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","95","0.129108825458838","0.104666706568447","0.153550944349228","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","40","0.187590717933158","0.136237848580195","0.238943587286122","5"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","107","0.189173636358514","0.159157592348897","0.21918968036813","5"
"5 on Scale 1 to 10","1984","1-pers.-HH","Male","110","0.257851862344849","0.216359841182944","0.299343883506754","5"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","Female","171","0.129630365177827","0.111171297030391","0.148089433325263","5"
"5 on Scale 1 to 10","1984","Single parent ","Male","25","","","","5"
"5 on Scale 1 to 10","1984","Single parent ","Female","56","0.168464954608421","0.127520919759076","0.209408989457766","5"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","Male","54","0.0880666049111286","0.0647404181472326","0.111392791675025","6"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","22","","","","6"
"6 on Scale 1 to 10","1984","1-pers.-HH","Female","68","0.0899332905670569","0.069180164845812","0.110686416288302","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","63","0.107081933786475","0.0833833101097597","0.13078055746319","6"
"6 on Scale 1 to 10","1984","1-pers.-HH","Male","46","0.110027036389646","0.0803464642857736","0.139707608493518","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","158","0.106769660625201","0.0912036307545227","0.122335690495879","6"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","70","0.104212240653632","0.081941181519916","0.126483299787348","6"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","20","","","","6"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","Female","97","0.0705927607012644","0.0565164889030684","0.0846690324994603","6"
"6 on Scale 1 to 10","1984","Single parent ","Male","3","","","","6"
"6 on Scale 1 to 10","1984","Single parent ","Female","35","0.11442308209353","0.0796001336500279","0.149246030537032","6"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","51","0.102969855169227","0.077264742130476","0.128674968207978","6"
"7 on Scale 1 to 10","1984","1-pers.-HH","Male","39","0.0759774317785307","0.0508459701617933","0.101108893395268","7"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","Male","57","0.0983355223005238","0.0738260333299611","0.122845011271086","7"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","Female","156","0.11749211485846","0.0997963966772713","0.135187833039649","7"
"7 on Scale 1 to 10","1984","1-pers.-HH","Female","84","0.110331524868254","0.0876040821342196","0.133058967602288","7"
"7 on Scale 1 to 10","1984","Single parent ","Male","10","","","","7"
"7 on Scale 1 to 10","1984","Single parent ","Female","36","0.104291844354785","0.0708566376063032","0.137727051103266","7"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","31","0.124173165038202","0.0841647969990444","0.16418153307736","7"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","94","0.129377335148661","0.104913585281519","0.153841085015803","7"
"7 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","26","","","","7"
"7 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","67","0.122511224224888","0.0947799597337734","0.150242488716003","7"
"7 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","211","0.140857503447675","0.123322946796528","0.158392060098821","7"
"7 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","103","0.152502095356073","0.124949251004134","0.180054939708012","7"
"8 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","75","0.134579144155631","0.105714679456865","0.163443608854397","8"
"8 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","342","0.234452622176218","0.213098300563352","0.255806943789083","8"
"8 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","147","0.209287101261421","0.17963471931899","0.238939483203852","8"
"8 on Scale 1 to 10","1984","1-pers.-HH","Female","160","0.225292901644603","0.194986862290381","0.255598940998825","8"
"8 on Scale 1 to 10","1984","(Married) couple without C. ","Male","91","0.163992812760356","0.133515689284806","0.194469936235906","8"
"8 on Scale 1 to 10","1984","(Married) couple without C. ","Female","284","0.230914711568131","0.207755829632842","0.25407359350342","8"
"8 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","22","","","","8"
"8 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","135","0.205733613262431","0.174752648664159","0.236714577860703","8"
"8 on Scale 1 to 10","1984","Single parent ","Male","5","","","","8"
"8 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","45","0.179096354495787","0.132578754225151","0.225613954766422","8"
"8 on Scale 1 to 10","1984","1-pers.-HH","Male","50","0.12418766040884","0.0929067844494586","0.155468536368221","8"
"8 on Scale 1 to 10","1984","Single parent ","Female","58","0.178291240378548","0.136419642320105","0.220162838436991","8"
"9 on Scale 1 to 10","1984","Single parent ","Male","6","","","","9"
"9 on Scale 1 to 10","1984","(Married) couple without C. ","Female","151","0.124628194611277","0.106476843214971","0.142779546007583","9"
"9 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","19","","","","9"
"9 on Scale 1 to 10","1984","Single parent ","Female","28","","","","9"
"9 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","149","0.0876176007110796","0.0733662403105923","0.101868961111567","9"
"9 on Scale 1 to 10","1984","1-pers.-HH","Male","19","","","","9"
"9 on Scale 1 to 10","1984","1-pers.-HH","Female","64","0.0909844673115692","0.0701224672929041","0.111846467330234","9"
"9 on Scale 1 to 10","1984","(Married) couple without C. ","Male","49","0.0900448982392082","0.0664837691084168","0.11360602737","9"
