"hlf0094","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","in school","West Germany","22","","","","2"
"Inexpensive","1984","inadequately","West Germany","17","","","","2"
"Inexpensive","1984","general elemantary","West Germany","409","0.326492582447428","0.30078326687079","0.352201898024065","2"
"Inexpensive","1984","in school","East Germany","","","","","2"
"Inexpensive","1984","inadequately","East Germany","","","","","2"
"Inexpensive","1984","general elemantary","East Germany","","","","","2"
"Inexpensive","1984","middle vocational","West Germany","681","0.315197160275711","0.295914383050664","0.334479937500759","2"
"Inexpensive","1984","middle vocational","East Germany","","","","","2"
"Inexpensive","1984","vocational + Abi","West Germany","29","","","","2"
"Inexpensive","1984","vocational + Abi","East Germany","","","","","2"
"Inexpensive","1984","higher vocational","West Germany","100","0.313367000541926","0.263243763782625","0.363490237301226","2"
"Inexpensive","1984","higher vocational","East Germany","","","","","2"
"Inexpensive","1984","higher education","West Germany","104","0.297539726647275","0.249643926512337","0.345435526782212","2"
"Inexpensive","1984","higher education","East Germany","","","","","2"
"Reasonable","1984","in school","West Germany","38","0.383868239360058","0.287582284449465","0.480154194270651","3"
"Reasonable","1984","in school","East Germany","","","","","3"
"Reasonable","1984","inadequately","West Germany","23","","","","3"
"Reasonable","1984","inadequately","East Germany","","","","","3"
"Reasonable","1984","general elemantary","West Germany","410","0.30884920993039","0.283518794302418","0.334179625558362","3"
"Reasonable","1984","general elemantary","East Germany","","","","","3"
"Reasonable","1984","middle vocational","West Germany","742","0.322209583568209","0.302813564685774","0.341605602450645","3"
"Reasonable","1984","middle vocational","East Germany","","","","","3"
"Reasonable","1984","vocational + Abi","West Germany","31","0.356904620771819","0.254452199193806","0.459357042349832","3"
"Reasonable","1984","vocational + Abi","East Germany","","","","","3"
"Reasonable","1984","higher vocational","West Germany","105","0.30867816904067","0.258761771417166","0.358594566664174","3"
"Reasonable","1984","higher vocational","East Germany","","","","","3"
"Reasonable","1984","higher education","West Germany","131","0.367816767919985","0.317298166712473","0.418335369127497","3"
"Reasonable","1984","higher education","East Germany","","","","","3"
"Slightly Expensive","1984","in school","West Germany","10","","","","4"
"Slightly Expensive","1984","in school","East Germany","","","","","4"
"Slightly Expensive","1984","inadequately","West Germany","6","","","","4"
"Slightly Expensive","1984","inadequately","East Germany","","","","","4"
"Slightly Expensive","1984","general elemantary","West Germany","90","0.0666832907664776","0.0530058231074254","0.0803607584255297","4"
"Slightly Expensive","1984","general elemantary","East Germany","","","","","4"
"Slightly Expensive","1984","middle vocational","West Germany","173","0.072565965019035","0.0617987431588764","0.0833331868791935","4"
"Slightly Expensive","1984","middle vocational","East Germany","","","","","4"
"Slightly Expensive","1984","vocational + Abi","West Germany","4","","","","4"
"Slightly Expensive","1984","vocational + Abi","East Germany","","","","","4"
"Slightly Expensive","1984","higher vocational","West Germany","34","0.0953912236102953","0.0636491897698462","0.127133257450744","4"
"Slightly Expensive","1984","higher vocational","East Germany","","","","","4"
"Slightly Expensive","1984","higher education","West Germany","25","","","","4"
"Slightly Expensive","1984","higher education","East Germany","","","","","4"
"Too Expensive","1984","in school","West Germany","4","","","","5"
"Too Expensive","1984","in school","East Germany","","","","","5"
"Too Expensive","1984","inadequately","West Germany","1","","","","5"
"Too Expensive","1984","inadequately","East Germany","","","","","5"
"Too Expensive","1984","general elemantary","West Germany","37","0.0271113120453843","0.0182072227066238","0.0360154013841449","5"
"Too Expensive","1984","general elemantary","East Germany","","","","","5"
"Too Expensive","1984","middle vocational","West Germany","62","0.0264756887110917","0.0198123376735939","0.0331390397485895","5"
"Too Expensive","1984","middle vocational","East Germany","","","","","5"
"Too Expensive","1984","vocational + Abi","West Germany","4","","","","5"
"Too Expensive","1984","vocational + Abi","East Germany","","","","","5"
"Too Expensive","1984","higher vocational","West Germany","8","","","","5"
"Too Expensive","1984","higher vocational","East Germany","","","","","5"
"Too Expensive","1984","higher education","West Germany","11","","","","5"
"Too Expensive","1984","higher education","East Germany","","","","","5"
"Very Inexpensive","1984","in school","West Germany","24","","","","1"
"Very Inexpensive","1984","in school","East Germany","","","","","1"
"Very Inexpensive","1984","inadequately","West Germany","8","","","","1"
"Very Inexpensive","1984","inadequately","East Germany","","","","","1"
"Very Inexpensive","1984","general elemantary","West Germany","332","0.270863604810321","0.246498831250512","0.295228378370129","1"
"Very Inexpensive","1984","general elemantary","East Germany","","","","","1"
"Very Inexpensive","1984","middle vocational","West Germany","572","0.263551602425953","0.245266405125009","0.281836799726897","1"
"Very Inexpensive","1984","middle vocational","East Germany","","","","","1"
"Very Inexpensive","1984","vocational + Abi","West Germany","16","","","","1"
"Very Inexpensive","1984","vocational + Abi","East Germany","","","","","1"
"Very Inexpensive","1984","higher vocational","West Germany","82","0.258670460639782","0.211352151957875","0.30598876932169","1"
"Very Inexpensive","1984","higher vocational","East Germany","","","","","1"
"Very Inexpensive","1984","higher education","West Germany","79","0.238679560098087","0.194020926793863","0.283338193402311","1"
"Very Inexpensive","1984","higher education","East Germany","","","","","1"
"Inexpensive","1985","in school","West Germany","35","0.348521947443581","0.254181047679304","0.442862847207859","2"
"Inexpensive","1985","in school","East Germany","","","","","2"
"Inexpensive","1985","inadequately","West Germany","18","","","","2"
"Inexpensive","1985","inadequately","East Germany","","","","","2"
"Inexpensive","1985","general elemantary","West Germany","374","0.325880530802502","0.298908307968238","0.352852753636766","2"
"Inexpensive","1985","general elemantary","East Germany","","","","","2"
"Inexpensive","1985","middle vocational","West Germany","664","0.320925285608912","0.301020427297071","0.340830143920754","2"
"Inexpensive","1985","middle vocational","East Germany","","","","","2"
"Inexpensive","1985","vocational + Abi","West Germany","16","","","","2"
"Inexpensive","1985","vocational + Abi","East Germany","","","","","2"
"Inexpensive","1985","higher vocational","West Germany","80","0.254475053088458","0.206144196647029","0.302805909529888","2"
"Inexpensive","1985","higher vocational","East Germany","","","","","2"
"Inexpensive","1985","higher education","West Germany","98","0.28339295369581","0.236181309027586","0.330604598364035","2"
"Inexpensive","1985","higher education","East Germany","","","","","2"
"Reasonable","1985","in school","West Germany","36","0.36274145080716","0.267551416959176","0.457931484655144","3"
"Reasonable","1985","in school","East Germany","","","","","3"
"Reasonable","1985","inadequately","West Germany","31","0.448817400565967","0.329722468221446","0.567912332910489","3"
"Reasonable","1985","inadequately","East Germany","","","","","3"
"Reasonable","1985","general elemantary","West Germany","396","0.336541801221579","0.309349536065647","0.363734066377511","3"
"Reasonable","1985","general elemantary","East Germany","","","","","3"
"Reasonable","1985","middle vocational","West Germany","736","0.33429153251386","0.314177318295434","0.354405746732286","3"
"Reasonable","1985","middle vocational","East Germany","","","","","3"
"Reasonable","1985","vocational + Abi","West Germany","37","0.47028686168348","0.360915179210172","0.579658544156787","3"
"Reasonable","1985","vocational + Abi","East Germany","","","","","3"
"Reasonable","1985","higher vocational","West Germany","125","0.408116531242245","0.353580818609282","0.462652243875208","3"
"Reasonable","1985","higher vocational","East Germany","","","","","3"
"Reasonable","1985","higher education","West Germany","139","0.401125992244488","0.349778149415736","0.452473835073239","3"
"Reasonable","1985","higher education","East Germany","","","","","3"
"Slightly Expensive","1985","in school","West Germany","8","","","","4"
"Slightly Expensive","1985","in school","East Germany","","","","","4"
"Slightly Expensive","1985","inadequately","West Germany","11","","","","4"
