"hlf0094","year","e11102","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","Not Employed","524","0.293229852180011","0.2724345906622","0.314025113697823"
"Very Inexpensive","1984","Employed","593","0.23826115023737","0.221854199318563","0.254668101156178"
"Inexpensive","1984","Not Employed","564","0.313925634963203","0.29272640023425","0.335124869692156"
"Inexpensive","1984","Employed","798","0.317124021282392","0.299202135842134","0.33504590672265"
"Reasonable","1984","Not Employed","601","0.317741303528684","0.296473013535358","0.33900959352201"
"Reasonable","1984","Employed","882","0.327411531193878","0.309338961714244","0.345484100673511"
"Slightly Expensive","1984","Not Employed","116","0.0581581454943048","0.0474672160193004","0.0688490749693091"
"Slightly Expensive","1984","Employed","226","0.0824303067000697","0.071838715815103","0.0930218975850364"
"Too Expensive","1984","Not Employed","36","0.0169450638337966","0.0110494138050837","0.0228407138625094"
"Too Expensive","1984","Employed","91","0.03477299058629","0.0277173903925463","0.0418285907800336"
"Very Inexpensive","1985","Not Employed","454","0.2747595185954","0.253626571083822","0.295892466106979"
"Very Inexpensive","1985","Employed","501","0.20999341880341","0.194011422984","0.225975414622821"
"Inexpensive","1985","Not Employed","536","0.318279349638987","0.296227240254532","0.340331459023441"
"Inexpensive","1985","Employed","757","0.309096447016905","0.290963494029929","0.327229400003881"
"Reasonable","1985","Not Employed","573","0.323609840867524","0.301460939847034","0.345758741888014"
"Reasonable","1985","Employed","938","0.370618133322504","0.351667084027699","0.389569182617309"
"Slightly Expensive","1985","Not Employed","125","0.0686654897353834","0.0566935425821195","0.0806374368886473"
"Slightly Expensive","1985","Employed","225","0.0810689054150785","0.0703591033521963","0.0917787074779608"
"Too Expensive","1985","Not Employed","26","","",""
"Too Expensive","1985","Employed","74","0.0292230954421013","0.022614097112804","0.0358320937713987"
"Very Inexpensive","1986","Not Employed","384","0.22586767958643","0.206392859444842","0.245342499728018"
"Very Inexpensive","1986","Employed","390","0.155186076612695","0.141118765064455","0.169253388160936"
"Inexpensive","1986","Not Employed","559","0.33053729390551","0.308628814363656","0.352445773447363"
"Inexpensive","1986","Employed","752","0.301191974653431","0.283367988441539","0.319015960865322"
"Reasonable","1986","Not Employed","663","0.35889900943004","0.336558752464411","0.38123926639567"
"Reasonable","1986","Employed","1028","0.406160925123452","0.38708051730353","0.425241332943373"
"Slightly Expensive","1986","Not Employed","127","0.0652474752656697","0.0537455910997384","0.0767493594316011"
"Slightly Expensive","1986","Employed","295","0.108952983210957","0.0968477246270075","0.121058241794907"
"Too Expensive","1986","Not Employed","38","0.0194485418123501","0.0130169640073675","0.0258801196173326"
"Too Expensive","1986","Employed","80","0.0285080403994647","0.0220424604580362","0.0349736203408931"
"Very Inexpensive","1987","Not Employed","328","0.195351447772804","0.176296252634449","0.214406642911159"
"Very Inexpensive","1987","Employed","422","0.16678400638216","0.152512474884106","0.181055537880214"
"Inexpensive","1987","Not Employed","610","0.384000877136446","0.360625527180393","0.407376227092499"
"Inexpensive","1987","Employed","843","0.321287470835669","0.303410068726443","0.339164872944896"
"Reasonable","1987","Not Employed","561","0.335318980177383","0.312628814160138","0.358009146194628"
"Reasonable","1987","Employed","1028","0.394735433123326","0.376022569097486","0.413448297149167"
"Slightly Expensive","1987","Not Employed","114","0.0576636283588802","0.0464600714012545","0.068867185316506"
"Slightly Expensive","1987","Employed","263","0.0927114973218682","0.0816081459931117","0.103814848650625"
"Too Expensive","1987","Not Employed","50","0.0276650665544859","0.0197823525396303","0.0355477805693415"
"Too Expensive","1987","Employed","65","0.0244815923369765","0.018565265662725","0.030397919011228"
"Very Inexpensive","1988","Not Employed","324","0.213958326558646","0.193375711530185","0.234540941587107"
"Very Inexpensive","1988","Employed","400","0.164694894738002","0.150170205063643","0.179219584412361"
"Inexpensive","1988","Not Employed","552","0.377320255825525","0.352992581210397","0.401647930440654"
"Inexpensive","1988","Employed","835","0.330157897265913","0.311742067504101","0.348573727027726"
"Reasonable","1988","Not Employed","530","0.338306030894366","0.314559693870094","0.362052367918638"
"Reasonable","1988","Employed","1011","0.404788290102153","0.385566495617765","0.42401008458654"
"Slightly Expensive","1988","Not Employed","103","0.0587914285018567","0.0469851475906781","0.0705977094130353"
"Slightly Expensive","1988","Employed","218","0.0848232585385868","0.0739125189815226","0.095733998095651"
"Too Expensive","1988","Not Employed","16","","",""
"Too Expensive","1988","Employed","41","0.0155356593553456","0.0106927196088601","0.020378599101831"
"Very Inexpensive","1989","Not Employed","358","0.248821917354634","0.227001493098163","0.270642341611105"
"Very Inexpensive","1989","Employed","451","0.187103946019711","0.171714517336487","0.202493374702935"
"Inexpensive","1989","Not Employed","592","0.395404640028605","0.370727165866487","0.420082114190723"
"Inexpensive","1989","Employed","864","0.352585044253013","0.33373176833529","0.371438320170737"
"Reasonable","1989","Not Employed","467","0.299759066036519","0.276635365783526","0.322882766289513"
"Reasonable","1989","Employed","912","0.367476105150884","0.34845146123372","0.386500749068048"
"Slightly Expensive","1989","Not Employed","77","0.046837442256335","0.0361732616253589","0.0575016228873111"
"Slightly Expensive","1989","Employed","204","0.0790585058653104","0.0684108541244815","0.0897061576061393"
"Too Expensive","1989","Not Employed","14","","",""
"Too Expensive","1989","Employed","36","0.0137763987110811","0.00917680931884986","0.0183759881033123"
"Very Inexpensive","1990","Not Employed","332","0.23500144129578","0.213326646474166","0.256676236117394"
"Very Inexpensive","1990","Employed","453","0.190573482083327","0.174996073543321","0.206150890623334"
"Inexpensive","1990","Not Employed","582","0.395021743594298","0.370031539247343","0.420011947941254"
"Inexpensive","1990","Employed","860","0.356402794340662","0.337407200005075","0.37539838867625"
"Reasonable","1990","Not Employed","477","0.322266353296066","0.298375787809729","0.346156918782403"
"Reasonable","1990","Employed","909","0.365612234537741","0.346510930353643","0.384713538721839"
"Slightly Expensive","1990","Not Employed","70","0.042360549106585","0.0320644852202591","0.052656612992911"
"Slightly Expensive","1990","Employed","187","0.0756738371158705","0.0651841928065967","0.0861634814251443"
"Too Expensive","1990","Not Employed","9","","",""
"Too Expensive","1990","Employed","33","0.0117376519223988","0.00746593958392014","0.0160093642608776"
"Very Inexpensive","1991","Not Employed","296","0.203094132151453","0.182521522140002","0.223666742162903"
"Very Inexpensive","1991","Employed","396","0.163067529440731","0.148336653210691","0.177798405670771"
"Inexpensive","1991","Not Employed","563","0.382227525794186","0.357378323616337","0.407076727972035"
"Inexpensive","1991","Employed","804","0.335834406571536","0.317002234798813","0.354666578344259"
"Reasonable","1991","Not Employed","541","0.363155959880063","0.338563593209768","0.387748326550357"
"Reasonable","1991","Employed","983","0.405917843199905","0.386336523798246","0.425499162601565"
"Slightly Expensive","1991","Not Employed","50","0.0339083914686857","0.0246528902518791","0.0431638926854923"
"Slightly Expensive","1991","Employed","183","0.077190038504631","0.0665477165837025","0.0878323604255595"
"Too Expensive","1991","Not Employed","19","","",""
"Too Expensive","1991","Employed","50","0.0179901822831966","0.0126901889562343","0.0232901756101589"
"Very Inexpensive","1992","Not Employed","309","0.18471136979589","0.166693777784425","0.202728961807355"
"Very Inexpensive","1992","Employed","415","0.154970039840216","0.14260458579283","0.167335493887601"
"Inexpensive","1992","Not Employed","646","0.382248325306977","0.359686511930537","0.404810138683416"
"Inexpensive","1992","Employed","975","0.304602555966993","0.288876006015522","0.320329105918464"
"Reasonable","1992","Not Employed","657","0.360506437967694","0.338213421239638","0.382799454695751"
"Reasonable","1992","Employed","1395","0.424004113422731","0.407117410313984","0.440890816531477"
"Slightly Expensive","1992","Not Employed","133","0.0528321879808316","0.042445980238346","0.0632183957233172"
"Slightly Expensive","1992","Employed","383","0.0876784499628801","0.0780141469001003","0.09734275302566"
"Too Expensive","1992","Not Employed","37","0.0197016789486073","0.0132492238741966","0.0261541340230181"
"Too Expensive","1992","Employed","122","0.0287448408071803","0.0230353580551754","0.0344543235591852"
"Very Inexpensive","1993","Not Employed","300","0.185855734372359","0.167805230365198","0.20390623837952"
"Very Inexpensive","1993","Employed","463","0.156218236591023","0.143716897973049","0.168719575208998"
