"hlf0094","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","16-34 y.","West Germany","295","0.232477211859099","0.209620328761158","0.25533409495704"
"Very Inexpensive","1984","16-34 y.","East Germany","","","",""
"Very Inexpensive","1984","35-65 y.","West Germany","650","0.262238542174073","0.245206576592618","0.279270507755528"
"Very Inexpensive","1984","35-65 y.","East Germany","","","",""
"Very Inexpensive","1984","66 and older","West Germany","172","0.315183229806496","0.276600829937278","0.353765629675714"
"Very Inexpensive","1984","66 and older","East Germany","","","",""
"Inexpensive","1984","16-34 y.","West Germany","393","0.309139867435675","0.284133319246397","0.334146415624953"
"Inexpensive","1984","16-34 y.","East Germany","","","",""
"Inexpensive","1984","35-65 y.","West Germany","799","0.319997964384159","0.301935074160689","0.338060854607628"
"Inexpensive","1984","35-65 y.","East Germany","","","",""
"Inexpensive","1984","66 and older","West Germany","170","0.311785456901512","0.273316505952845","0.350254407850178"
"Inexpensive","1984","66 and older","East Germany","","","",""
"Reasonable","1984","16-34 y.","West Germany","459","0.335601072978835","0.310050108097614","0.361152037860057"
"Reasonable","1984","16-34 y.","East Germany","","","",""
"Reasonable","1984","35-65 y.","West Germany","832","0.314884250795765","0.296899021725126","0.332869479866405"
"Reasonable","1984","35-65 y.","East Germany","","","",""
"Reasonable","1984","66 and older","West Germany","192","0.33096101747506","0.291882810695186","0.370039224254934"
"Reasonable","1984","66 and older","East Germany","","","",""
"Slightly Expensive","1984","16-34 y.","West Germany","116","0.085325569881778","0.070208972660973","0.100442167102583"
"Slightly Expensive","1984","16-34 y.","East Germany","","","",""
"Slightly Expensive","1984","35-65 y.","West Germany","207","0.0755076801519558","0.0652769708217333","0.0857383894821783"
"Slightly Expensive","1984","35-65 y.","East Germany","","","",""
"Slightly Expensive","1984","66 and older","West Germany","19","","",""
"Slightly Expensive","1984","66 and older","East Germany","","","",""
"Too Expensive","1984","16-34 y.","West Germany","49","0.0374562778446127","0.0271819430020771","0.0477306126871482"
"Too Expensive","1984","16-34 y.","East Germany","","","",""
"Too Expensive","1984","35-65 y.","West Germany","74","0.0273715624940471","0.021053530733676","0.0336895942544183"
"Too Expensive","1984","35-65 y.","East Germany","","","",""
"Too Expensive","1984","66 and older","West Germany","4","","",""
"Too Expensive","1984","66 and older","East Germany","","","",""
"Very Inexpensive","1985","16-34 y.","West Germany","254","0.199440024475975","0.177719039709639","0.221161009242311"
"Very Inexpensive","1985","16-34 y.","East Germany","","","",""
"Very Inexpensive","1985","35-65 y.","West Germany","549","0.236283400355433","0.219417751748379","0.253149048962488"
"Very Inexpensive","1985","35-65 y.","East Germany","","","",""
"Very Inexpensive","1985","66 and older","West Germany","152","0.320795902082041","0.278685281038676","0.362906523125405"
"Very Inexpensive","1985","66 and older","East Germany","","","",""
"Inexpensive","1985","16-34 y.","West Germany","385","0.303383466951481","0.278393294183081","0.328373639719882"
"Inexpensive","1985","16-34 y.","East Germany","","","",""
"Inexpensive","1985","35-65 y.","West Germany","748","0.309075718283363","0.290728594210835","0.327422842355891"
"Inexpensive","1985","35-65 y.","East Germany","","","",""
"Inexpensive","1985","66 and older","West Germany","160","0.346839247399237","0.303900314266827","0.389778180531647"
"Inexpensive","1985","66 and older","East Germany","","","",""
"Reasonable","1985","16-34 y.","West Germany","499","0.383033650443122","0.3566080041086","0.409459296777644"
"Reasonable","1985","16-34 y.","East Germany","","","",""
"Reasonable","1985","35-65 y.","West Germany","882","0.354754950520362","0.335759618048071","0.373750282992654"
"Reasonable","1985","35-65 y.","East Germany","","","",""
"Reasonable","1985","66 and older","West Germany","130","0.269123473542348","0.229112889729723","0.309134057354973"
"Reasonable","1985","66 and older","East Germany","","","",""
"Slightly Expensive","1985","16-34 y.","West Germany","126","0.0884868652667023","0.0730486431343479","0.103925087399057"
"Slightly Expensive","1985","16-34 y.","East Germany","","","",""
"Slightly Expensive","1985","35-65 y.","West Germany","199","0.0746979996486547","0.0642600171843818","0.0851359821129277"
"Slightly Expensive","1985","35-65 y.","East Germany","","","",""
"Slightly Expensive","1985","66 and older","West Germany","25","","",""
"Slightly Expensive","1985","66 and older","East Germany","","","",""
"Too Expensive","1985","16-34 y.","West Germany","36","0.0256559928627197","0.0170613667795329","0.0342506189459066"
"Too Expensive","1985","16-34 y.","East Germany","","","",""
"Too Expensive","1985","35-65 y.","West Germany","59","0.0251879311921863","0.0189666902098722","0.0314091721745003"
"Too Expensive","1985","35-65 y.","East Germany","","","",""
"Too Expensive","1985","66 and older","West Germany","5","","",""
"Too Expensive","1985","66 and older","East Germany","","","",""
"Very Inexpensive","1986","16-34 y.","West Germany","225","0.165724989141977","0.145948608006813","0.18550137027714"
"Very Inexpensive","1986","16-34 y.","East Germany","","","",""
"Very Inexpensive","1986","35-65 y.","West Germany","435","0.181811717198225","0.166564355106911","0.19705907928954"
"Very Inexpensive","1986","35-65 y.","East Germany","","","",""
