"hlf0094","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","Schleswig-Holstein","55","0.277439831628439","0.216593018309148","0.33828664494773"
"Very Inexpensive","1984","Hamburg","8","","",""
"Very Inexpensive","1984","Lower Saxony","152","0.268489448091984","0.232607733151882","0.304371163032086"
"Very Inexpensive","1984","Bremen","10","","",""
"Very Inexpensive","1984","North Rhine-Westphalia","259","0.28500065959787","0.256489774450495","0.313511544745246"
"Very Inexpensive","1984","Hesse","106","0.319445049181909","0.271146258443553","0.367743839920264"
"Very Inexpensive","1984","Rhineland-Palatinate,Saarland","95","0.210770287417254","0.173458319472121","0.248082255362386"
"Very Inexpensive","1984","Baden-Württemberg","196","0.232209183063857","0.203923129417059","0.260495236710655"
"Very Inexpensive","1984","Bavaria","229","0.26577411684224","0.23667045452922","0.29487777915526"
"Very Inexpensive","1984","Berlin","7","","",""
"Very Inexpensive","1984","Brandenburg","","","",""
"Very Inexpensive","1984","Mecklenburg-Western Pomerania","","","",""
"Very Inexpensive","1984","Saxony","","","",""
"Very Inexpensive","1984","Saxony-Anhalt","","","",""
"Very Inexpensive","1984","Thuringia","","","",""
"Inexpensive","1984","Schleswig-Holstein","57","0.292110444538184","0.230312686634284","0.353908202442084"
"Inexpensive","1984","Hamburg","21","","",""
"Inexpensive","1984","Lower Saxony","163","0.279274449814095","0.242949933118699","0.315598966509492"
"Inexpensive","1984","Bremen","7","","",""
"Inexpensive","1984","North Rhine-Westphalia","302","0.323890740069892","0.294334944404017","0.353446535735767"
"Inexpensive","1984","Hesse","116","0.344966459325435","0.295725468580465","0.394207450070405"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","145","0.317598161964575","0.275008829568265","0.360187494360884"
"Inexpensive","1984","Baden-Württemberg","267","0.312455734356754","0.281406150024667","0.34350531868884"
"Inexpensive","1984","Bavaria","272","0.320911466781923","0.290155295413384","0.351667638150462"
"Inexpensive","1984","Berlin","12","","",""
"Inexpensive","1984","Brandenburg","","","",""
"Inexpensive","1984","Mecklenburg-Western Pomerania","","","",""
"Inexpensive","1984","Saxony","","","",""
"Inexpensive","1984","Saxony-Anhalt","","","",""
"Inexpensive","1984","Thuringia","","","",""
"Reasonable","1984","Schleswig-Holstein","64","0.290651522292267","0.228944790530666","0.352358254053869"
"Reasonable","1984","Hamburg","21","","",""
"Reasonable","1984","Lower Saxony","207","0.342553733739881","0.304130512855478","0.380976954624284"
"Reasonable","1984","Bremen","11","","",""
"Reasonable","1984","North Rhine-Westphalia","325","0.314808696896318","0.285475173643221","0.344142220149415"
"Reasonable","1984","Hesse","99","0.264862327770449","0.219153402204258","0.31057125333664"
"Reasonable","1984","Rhineland-Palatinate,Saarland","171","0.367572531096954","0.323464402193607","0.4116806600003"
"Reasonable","1984","Baden-Württemberg","276","0.328639743571361","0.297173198290919","0.360106288851804"
"Reasonable","1984","Bavaria","306","0.328527242546656","0.297583249939305","0.359471235154007"
"Reasonable","1984","Berlin","3","","",""
"Reasonable","1984","Brandenburg","","","",""
"Reasonable","1984","Mecklenburg-Western Pomerania","","","",""
"Reasonable","1984","Saxony","","","",""
"Reasonable","1984","Saxony-Anhalt","","","",""
"Reasonable","1984","Thuringia","","","",""
"Slightly Expensive","1984","Schleswig-Holstein","23","","",""
"Slightly Expensive","1984","Hamburg","","","",""
"Slightly Expensive","1984","Lower Saxony","47","0.0833097869809623","0.0609350163301305","0.105684557631794"
"Slightly Expensive","1984","Bremen","2","","",""
"Slightly Expensive","1984","North Rhine-Westphalia","47","0.0449972059485363","0.0319044810597983","0.0580899308372743"
"Slightly Expensive","1984","Hesse","31","0.0541091720889748","0.0306743031366565","0.077544041041293"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","40","0.0874234848967771","0.0615836074507358","0.113263362342818"
"Slightly Expensive","1984","Baden-Württemberg","88","0.0979729711215089","0.0780582548372744","0.117887687405743"
"Slightly Expensive","1984","Bavaria","58","0.0629829387618109","0.0469777181259672","0.0789881593976546"
"Slightly Expensive","1984","Berlin","6","","",""
"Slightly Expensive","1984","Brandenburg","","","",""
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","","","",""
"Slightly Expensive","1984","Saxony","","","",""
"Slightly Expensive","1984","Saxony-Anhalt","","","",""
"Slightly Expensive","1984","Thuringia","","","",""
"Too Expensive","1984","Schleswig-Holstein","9","","",""
"Too Expensive","1984","Hamburg","","","",""
"Too Expensive","1984","Lower Saxony","17","","",""
"Too Expensive","1984","Bremen","5","","",""
"Too Expensive","1984","North Rhine-Westphalia","30","0.0313026974873834","0.0203045415069864","0.0423008534677804"
"Too Expensive","1984","Hesse","6","","",""
"Too Expensive","1984","Rhineland-Palatinate,Saarland","8","","",""
"Too Expensive","1984","Baden-Württemberg","29","","",""
