"hlf0094","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Full Time","Male","455","0.321930762712365","0.297849336478082","0.346012188946648","2"
"Inexpensive","1984","Full Time","Female","135","0.30438620031373","0.262741643576953","0.346030757050506","2"
"Inexpensive","1984","Part Time","Male","70","0.333560986140222","0.269640101169108","0.397481871111336","2"
"Inexpensive","1984","Part Time","Female","138","0.306912324092098","0.265037173207135","0.34878747497706","2"
"Inexpensive","1984","Not Working","Male","153","0.291353052456857","0.253378602423122","0.329327502490592","2"
"Inexpensive","1984","Not Working","Female","411","0.323646980711332","0.298125406058674","0.34916855536399","2"
"Reasonable","1984","Full Time","Female","170","0.340342176232476","0.297459792945992","0.38322455951896","3"
"Reasonable","1984","Full Time","Male","479","0.317638055198307","0.293642124010998","0.341633986385617","3"
"Reasonable","1984","Part Time","Male","78","0.379912860096164","0.314110221649716","0.445715498542612","3"
"Reasonable","1984","Part Time","Female","155","0.319689144725009","0.277347007244439","0.362031282205578","3"
"Reasonable","1984","Not Working","Male","184","0.329737483332939","0.290448266478883","0.369026700186996","3"
"Reasonable","1984","Not Working","Female","417","0.312574902586253","0.287289218126096","0.33786058704641","3"
"Slightly Expensive","1984","Full Time","Female","40","0.0774871717877671","0.0532901017465682","0.101684241828966","4"
"Slightly Expensive","1984","Part Time","Male","12","","","","4"
"Slightly Expensive","1984","Not Working","Male","34","0.0615477125391842","0.0414623903221208","0.0816330347562475","4"
"Slightly Expensive","1984","Full Time","Male","128","0.0842530179185746","0.0699362684361881","0.0985697674009611","4"
"Slightly Expensive","1984","Part Time","Female","46","0.0955571047818215","0.0688653454780138","0.122248864085629","4"
"Slightly Expensive","1984","Not Working","Female","82","0.0566983589071709","0.0440831191384371","0.0693135986759047","4"
"Too Expensive","1984","Full Time","Male","49","0.0339926026929408","0.024652613371269","0.0433325920146126","5"
"Too Expensive","1984","Full Time","Female","17","","","","5"
"Too Expensive","1984","Part Time","Male","8","","","","5"
"Too Expensive","1984","Part Time","Female","17","","","","5"
"Too Expensive","1984","Not Working","Male","11","","","","5"
"Too Expensive","1984","Not Working","Female","25","","","","5"
"Very Inexpensive","1984","Full Time","Male","335","0.242185561477813","0.220104522401144","0.264266600554481","1"
"Very Inexpensive","1984","Full Time","Female","107","0.24259704589682","0.203802745792861","0.28139134600078","1"
"Very Inexpensive","1984","Part Time","Male","41","0.191604721650927","0.138247901978097","0.244961541323756","1"
"Very Inexpensive","1984","Part Time","Female","110","0.244152994041065","0.205149536431025","0.283156451651105","1"
"Very Inexpensive","1984","Not Working","Male","168","0.300108018135235","0.261806053162824","0.338409983107646","1"
"Very Inexpensive","1984","Not Working","Female","356","0.290267628901176","0.265508715572095","0.315026542230256","1"
"Inexpensive","1985","Full Time","Female","149","0.338036947712795","0.294571780631756","0.381502114793834","2"
"Inexpensive","1985","Full Time","Male","396","0.299818184223207","0.275304632962667","0.324331735483746","2"
"Inexpensive","1985","Part Time","Male","80","0.347470158217873","0.286975286878869","0.407965029556876","2"
"Inexpensive","1985","Part Time","Female","132","0.286361662687066","0.245050663514004","0.327672661860127","2"
"Inexpensive","1985","Not Working","Male","158","0.305078920018686","0.265579867090727","0.344577972946644","2"
"Inexpensive","1985","Not Working","Female","378","0.324302117881808","0.297727860646466","0.350876375117149","2"
"Reasonable","1985","Full Time","Female","169","0.360567277237589","0.316447533973348","0.404687020501829","3"
"Reasonable","1985","Full Time","Male","517","0.379558338055394","0.353594937262559","0.405521738848229","3"
"Reasonable","1985","Part Time","Male","83","0.348086589328335","0.287566687361943","0.408606491294726","3"
"Reasonable","1985","Part Time","Female","169","0.366810351441868","0.322769382034555","0.410851320849181","3"
"Reasonable","1985","Not Working","Male","168","0.309031761749708","0.269390867716374","0.348672655783042","3"
"Reasonable","1985","Not Working","Female","405","0.330261169231647","0.303562386561378","0.356959951901916","3"
"Slightly Expensive","1985","Full Time","Female","37","0.074870064886993","0.0506877504202015","0.0990523793537844","4"
"Slightly Expensive","1985","Full Time","Male","117","0.077631981307826","0.0633152364170041","0.0919487261986479","4"
"Slightly Expensive","1985","Part Time","Male","21","","","","4"
"Slightly Expensive","1985","Not Working","Male","36","0.0673529059338977","0.0458523505074224","0.0888534613603729","4"
"Slightly Expensive","1985","Part Time","Female","50","0.0991614952881409","0.0718488239211189","0.126474166655163","4"
"Slightly Expensive","1985","Not Working","Female","89","0.069264363276853","0.0548505776745437","0.0836781488791623","4"
"Too Expensive","1985","Full Time","Male","36","0.0270848153957136","0.0183997665792024","0.0357698642122248","5"
"Too Expensive","1985","Full Time","Female","13","","","","5"
"Too Expensive","1985","Part Time","Male","9","","","","5"
"Too Expensive","1985","Part Time","Female","16","","","","5"
"Too Expensive","1985","Not Working","Male","8","","","","5"
"Too Expensive","1985","Not Working","Female","18","","","","5"
"Very Inexpensive","1985","Full Time","Male","276","0.21590668101786","0.193893198632115","0.237920163403605","1"
"Very Inexpensive","1985","Full Time","Female","87","0.198774613127192","0.162105517262334","0.235443708992049","1"
"Very Inexpensive","1985","Part Time","Male","45","0.188963874914912","0.1392280752549","0.238699674574923","1"
"Very Inexpensive","1985","Part Time","Female","93","0.215400755188223","0.177832871653698","0.252968638722749","1"
"Very Inexpensive","1985","Not Working","Male","152","0.30275687958498","0.263342747408698","0.342171011761262","1"
"Very Inexpensive","1985","Not Working","Female","302","0.261985569451237","0.237023471938587","0.286947666963886","1"
"Inexpensive","1986","Full Time","Male","403","0.301861746519147","0.277418820052711","0.326304672985584","2"
"Inexpensive","1986","Full Time","Female","132","0.277151638976166","0.237193348668846","0.317109929283485","2"
"Inexpensive","1986","Part Time","Male","68","0.302059541183163","0.244090644277104","0.360028438089222","2"
"Inexpensive","1986","Not Working","Male","181","0.331062551603863","0.292258984516079","0.369866118691646","2"
"Inexpensive","1986","Part Time","Female","149","0.323699623592264","0.281264002542622","0.366135244641906","2"
"Inexpensive","1986","Not Working","Female","378","0.330286396797353","0.303742520734322","0.356830272860384","2"
"Reasonable","1986","Full Time","Female","204","0.427263141223169","0.383101027368274","0.471425255078064","3"
"Reasonable","1986","Full Time","Male","547","0.404941997380565","0.378805071647165","0.431078923113965","3"
"Reasonable","1986","Part Time","Male","112","0.468247388279917","0.405248618698271","0.531246157861563","3"
"Reasonable","1986","Part Time","Female","165","0.354027885940981","0.310655304439472","0.397400467442489","3"
"Reasonable","1986","Not Working","Male","199","0.340111481831556","0.301048103500742","0.37917486016237","3"
"Reasonable","1986","Not Working","Female","464","0.367873149854163","0.340657068061671","0.395089231646654","3"
"Slightly Expensive","1986","Full Time","Male","159","0.110300387809595","0.0936206713499082","0.126980104269281","4"
"Slightly Expensive","1986","Full Time","Female","63","0.12498226979397","0.0954594930564463","0.154505046531494","4"
"Slightly Expensive","1986","Part Time","Male","13","","","","4"
"Slightly Expensive","1986","Part Time","Female","60","0.122018764154486","0.0923331814033088","0.151704346905663","4"
"Slightly Expensive","1986","Not Working","Male","42","0.0721736935546835","0.0508360393044176","0.0935113478049494","4"
"Slightly Expensive","1986","Not Working","Female","85","0.0619390646614587","0.0483348873474236","0.0755432419754938","4"
"Too Expensive","1986","Full Time","Male","37","0.0260965435812685","0.017608103409876","0.0345849837526609","5"
"Too Expensive","1986","Full Time","Female","19","","","","5"
"Too Expensive","1986","Part Time","Male","8","","","","5"
"Too Expensive","1986","Part Time","Female","16","","","","5"
"Too Expensive","1986","Not Working","Male","16","","","","5"
"Too Expensive","1986","Not Working","Female","22","","","","5"
"Very Inexpensive","1986","Full Time","Male","209","0.156799324709425","0.137438849623451","0.176159799795398","1"
"Very Inexpensive","1986","Full Time","Female","64","0.137402602606089","0.106668104667695","0.168137100544483","1"
"Very Inexpensive","1986","Part Time","Male","40","0.155505563760615","0.109753474366904","0.201257653154325","1"
"Very Inexpensive","1986","Part Time","Female","77","0.168741928345325","0.134773997523595","0.202709859167055","1"
"Very Inexpensive","1986","Not Working","Male","127","0.23290738434468","0.198054446066352","0.267760322623008","1"
"Very Inexpensive","1986","Not Working","Female","257","0.222505060491728","0.199030732469315","0.245979388514142","1"
"Inexpensive","1987","Full Time","Male","452","0.323476066835045","0.298980263712773","0.347971869957316","2"
"Inexpensive","1987","Part Time","Male","76","0.317632931728811","0.256114034508741","0.37915182894888","2"
"Inexpensive","1987","Full Time","Female","154","0.316465848608939","0.275534996421264","0.357396700796615","2"
"Inexpensive","1987","Part Time","Female","161","0.321550921393201","0.280773821933311","0.362328020853091","2"
"Inexpensive","1987","Not Working","Male","192","0.374991315310005","0.333736572320021","0.416246058299988","2"
"Inexpensive","1987","Not Working","Female","418","0.388326381812883","0.359960265022086","0.416692498603679","2"
"Reasonable","1987","Full Time","Male","550","0.394750136427161","0.369154995927205","0.420345276927118","3"
"Reasonable","1987","Full Time","Female","209","0.422706930168781","0.379233379851935","0.466180480485626","3"
"Reasonable","1987","Part Time","Male","75","0.351004338011515","0.287935636517819","0.414073039505211","3"
"Reasonable","1987","Part Time","Female","194","0.385989620818172","0.343487706405349","0.428491535230994","3"
"Reasonable","1987","Not Working","Male","176","0.333566001570129","0.29338787182159","0.373744131318668","3"
"Reasonable","1987","Not Working","Female","385","0.336160587939164","0.308666046710416","0.363655129167911","3"
"Slightly Expensive","1987","Part Time","Male","20","","","","4"
"Slightly Expensive","1987","Full Time","Male","142","0.0941003389739212","0.078811846426272","0.10938883152157","4"
"Slightly Expensive","1987","Full Time","Female","49","0.0868858626786239","0.062097699583882","0.111674025773366","4"
"Slightly Expensive","1987","Part Time","Female","52","0.0994080214618746","0.0732859522966794","0.12553009062707","4"
"Slightly Expensive","1987","Not Working","Male","33","0.0559639558290538","0.0363769187364132","0.0755509929216944","4"
"Slightly Expensive","1987","Not Working","Female","81","0.058479643789797","0.0448225346482203","0.0721367529313736","4"
"Too Expensive","1987","Full Time","Male","38","0.028013592252463","0.0193729998121956","0.0366541846927304","5"
"Too Expensive","1987","Full Time","Female","13","","","","5"
"Too Expensive","1987","Part Time","Male","3","","","","5"
"Too Expensive","1987","Part Time","Female","11","","","","5"
"Too Expensive","1987","Not Working","Male","17","","","","5"
"Too Expensive","1987","Not Working","Female","33","0.0274751777909774","0.01796119926435","0.0369891563176048","5"
"Very Inexpensive","1987","Full Time","Male","219","0.15965986551141","0.14047960701896","0.17884012400386","1"
"Very Inexpensive","1987","Full Time","Female","71","0.150477371718749","0.119012184001381","0.181942559436117","1"
"Very Inexpensive","1987","Part Time","Male","46","0.234729993041356","0.178724788230121","0.290735197852591","1"
"Very Inexpensive","1987","Part Time","Female","86","0.173246159324131","0.140205192938177","0.206287125710085","1"
"Very Inexpensive","1987","Not Working","Male","111","0.207418142829643","0.172866739672697","0.24196954598659","1"
"Very Inexpensive","1987","Not Working","Female","217","0.18955820866718","0.166745661716899","0.21237075561746","1"
"Inexpensive","1988","Full Time","Female","142","0.301316268889651","0.259249263521666","0.343383274257636","2"
"Inexpensive","1988","Full Time","Male","436","0.325396562395806","0.30013108914588","0.350662035645732","2"
"Inexpensive","1988","Part Time","Female","178","0.361949128150955","0.320035638346134","0.403862617955776","2"
"Inexpensive","1988","Part Time","Male","79","0.346272433240694","0.283686178621888","0.408858687859501","2"
"Inexpensive","1988","Not Working","Male","182","0.392953634369208","0.349884494046456","0.43602277469196","2"
"Inexpensive","1988","Not Working","Female","370","0.369473126219523","0.340011142394762","0.398935110044284","2"
"Reasonable","1988","Full Time","Male","530","0.403801696626008","0.377342532526433","0.430260860725584","3"
"Reasonable","1988","Full Time","Female","185","0.40738199572646","0.362333703924985","0.452430287527935","3"
"Reasonable","1988","Part Time","Male","85","0.376071133377443","0.312351371695935","0.439790895058951","3"
"Reasonable","1988","Part Time","Female","211","0.418236550249886","0.375214945095284","0.461258155404489","3"
"Reasonable","1988","Not Working","Male","177","0.341567152807738","0.299747693778777","0.3833866118367","3"
"Reasonable","1988","Not Working","Female","353","0.33666912008563","0.307823126139193","0.365515114032067","3"
"Slightly Expensive","1988","Full Time","Male","117","0.0859538758638989","0.0708386907483617","0.101069060979436","4"
"Slightly Expensive","1988","Full Time","Female","45","0.0964099537571578","0.0693494020090591","0.123470505505257","4"
"Slightly Expensive","1988","Part Time","Male","12","","","","4"
"Slightly Expensive","1988","Part Time","Female","44","0.0864228718526465","0.0619159165856657","0.110929827119627","4"
"Slightly Expensive","1988","Not Working","Male","27","","","","4"
"Slightly Expensive","1988","Not Working","Female","76","0.0633225756262611","0.048456611837734","0.0781885394147883","4"
"Too Expensive","1988","Full Time","Male","20","","","","5"
"Too Expensive","1988","Full Time","Female","10","","","","5"
"Too Expensive","1988","Part Time","Male","4","","","","5"
"Too Expensive","1988","Part Time","Female","7","","","","5"
"Too Expensive","1988","Not Working","Male","3","","","","5"
"Too Expensive","1988","Not Working","Female","13","","","","5"
"Very Inexpensive","1988","Full Time","Male","218","0.170002913754048","0.149746472511756","0.19025935499634","1"
"Very Inexpensive","1988","Full Time","Female","75","0.174025451185081","0.139265455979191","0.208785446390971","1"
"Very Inexpensive","1988","Part Time","Male","42","0.212942928939894","0.159090372076428","0.26679548580336","1"
"Very Inexpensive","1988","Part Time","Female","65","0.11977519131081","0.0914558830461536","0.148094499575466","1"
"Very Inexpensive","1988","Not Working","Male","105","0.209276120738156","0.173404014102125","0.245148227374188","1"
"Very Inexpensive","1988","Not Working","Female","219","0.216308546366392","0.191176482590837","0.241440610141947","1"
"Inexpensive","1989","Full Time","Male","462","0.359830997972298","0.333670534386336","0.38599146155826","2"
"Inexpensive","1989","Full Time","Female","154","0.336286152269511","0.292780676589432","0.379791627949589","2"
"Inexpensive","1989","Part Time","Male","90","0.438741519243404","0.372410803037033","0.505072235449775","2"
"Inexpensive","1989","Part Time","Female","158","0.310280982041426","0.269973421789366","0.350588542293486","2"
"Inexpensive","1989","Not Working","Male","188","0.381357804616789","0.338394919956561","0.424320689277018","2"
"Inexpensive","1989","Not Working","Female","404","0.402290122627868","0.372152949311429","0.432427295944308","2"
"Reasonable","1989","Full Time","Female","181","0.399860245541134","0.354749572958264","0.444970918124003","3"
"Reasonable","1989","Full Time","Male","482","0.373432706926132","0.347067033685829","0.399798380166434","3"
"Reasonable","1989","Part Time","Male","62","0.269304385787875","0.21000928324037","0.32859948833538","3"
"Reasonable","1989","Part Time","Female","187","0.365040415707996","0.323091924075631","0.406988907340361","3"
"Reasonable","1989","Not Working","Female","323","0.308187408804588","0.279808918279505","0.336565899329671","3"
"Reasonable","1989","Not Working","Male","144","0.282564694843118","0.242739522291111","0.322389867395125","3"
"Slightly Expensive","1989","Full Time","Female","41","0.0810305265788741","0.0559016042968188","0.106159448860929","4"
"Slightly Expensive","1989","Full Time","Male","101","0.0744062514591923","0.0601020457286783","0.0887104571897063","4"
"Slightly Expensive","1989","Part Time","Male","18","","","","4"
"Slightly Expensive","1989","Part Time","Female","44","0.0884376278850252","0.0636984894885431","0.113176766281507","4"
"Slightly Expensive","1989","Not Working","Male","24","","","","4"
"Slightly Expensive","1989","Not Working","Female","53","0.0457744366925947","0.0329297166719355","0.0586191567132539","4"
"Too Expensive","1989","Full Time","Male","16","","","","5"
"Too Expensive","1989","Full Time","Female","6","","","","5"
"Too Expensive","1989","Part Time","Male","2","","","","5"
"Too Expensive","1989","Part Time","Female","12","","","","5"
"Too Expensive","1989","Not Working","Male","5","","","","5"
"Too Expensive","1989","Not Working","Female","9","","","","5"
"Very Inexpensive","1989","Full Time","Male","232","0.18114004912149","0.160147707530676","0.202132390712303","1"
"Very Inexpensive","1989","Full Time","Female","71","0.170556495095712","0.135920591136007","0.205192399055417","1"
"Very Inexpensive","1989","Part Time","Male","43","0.200550699669459","0.147028196670099","0.254073202668818","1"
"Very Inexpensive","1989","Part Time","Female","105","0.21232250939259","0.176690109866643","0.247954908918537","1"
"Very Inexpensive","1989","Not Working","Male","130","0.278243226112001","0.238604920723966","0.317881531500036","1"
"Very Inexpensive","1989","Not Working","Female","228","0.234400170138461","0.208364576171036","0.260435764105886","1"
"Inexpensive","1990","Full Time","Male","454","0.357104934320004","0.330866283626019","0.383343585013988","2"
"Inexpensive","1990","Full Time","Female","155","0.350820984601198","0.306179271825905","0.395462697376492","2"
"Inexpensive","1990","Part Time","Male","76","0.409007508021185","0.339464399625577","0.478550616416794","2"
"Inexpensive","1990","Part Time","Female","175","0.34012472912918","0.299791760616795","0.380457697641565","2"
"Inexpensive","1990","Not Working","Male","201","0.402524855305507","0.358879956131182","0.446169754479833","2"
"Inexpensive","1990","Not Working","Female","381","0.391252094457022","0.360774754913312","0.421729434000731","2"
"Reasonable","1990","Full Time","Male","482","0.371507179420084","0.34504611609393","0.397968242746238","3"
"Reasonable","1990","Full Time","Female","169","0.384210647272375","0.338710100389311","0.429711194155439","3"
"Reasonable","1990","Part Time","Male","62","0.29099505155396","0.226746267662035","0.355243835445884","3"
"Reasonable","1990","Part Time","Female","196","0.362752310702721","0.321819705690915","0.403684915714528","3"
"Reasonable","1990","Not Working","Male","139","0.288530531256372","0.248207679107431","0.328853383405313","3"
"Reasonable","1990","Not Working","Female","338","0.339215616127548","0.309649261624779","0.368781970630317","3"
"Slightly Expensive","1990","Full Time","Female","32","0.0679353560563997","0.0443964228830425","0.091474289229757","4"
"Slightly Expensive","1990","Full Time","Male","92","0.0701070238149032","0.0561249762490984","0.084089071380708","4"
"Slightly Expensive","1990","Part Time","Male","16","","","","4"
"Slightly Expensive","1990","Part Time","Female","47","0.0928414877289277","0.0681343297669137","0.117548645690942","4"
"Slightly Expensive","1990","Not Working","Male","22","","","","4"
"Slightly Expensive","1990","Not Working","Female","48","0.0393914209981436","0.0272434420649497","0.0515393999313375","4"
"Too Expensive","1990","Full Time","Male","16","","","","5"
"Too Expensive","1990","Full Time","Female","9","","","","5"
"Too Expensive","1990","Part Time","Male","2","","","","5"
"Too Expensive","1990","Part Time","Female","6","","","","5"
"Too Expensive","1990","Not Working","Male","","","","","5"
"Too Expensive","1990","Not Working","Female","9","","","","5"
"Very Inexpensive","1990","Full Time","Male","237","0.190797973023355","0.169280618004626","0.212315328042084","1"
"Very Inexpensive","1990","Full Time","Female","74","0.180396547846017","0.144427260640638","0.216365835051397","1"
"Very Inexpensive","1990","Part Time","Male","36","0.205454957921322","0.148305113742179","0.262604802100464","1"
"Very Inexpensive","1990","Part Time","Female","106","0.19294043653075","0.159345441692514","0.226535431368985","1"
"Very Inexpensive","1990","Not Working","Male","123","0.260674310115359","0.221604235850306","0.299744384380412","1"
"Very Inexpensive","1990","Not Working","Female","209","0.222103098378592","0.196145273083713","0.248060923673471","1"
"Inexpensive","1991","Full Time","Male","415","0.345622873882776","0.319174280085841","0.372071467679712","2"
"Inexpensive","1991","Full Time","Female","144","0.342479545131929","0.297522458530168","0.387436631733689","2"
"Inexpensive","1991","Part Time","Male","71","0.317964684807973","0.256004729050507","0.379924640565439","2"
"Inexpensive","1991","Part Time","Female","174","0.315268808240587","0.275675589116997","0.354862027364176","2"
"Inexpensive","1991","Not Working","Male","194","0.387368431760147","0.344322973246562","0.430413890273731","2"
"Inexpensive","1991","Not Working","Female","369","0.379569087378711","0.349139718771926","0.409998455985496","2"
"Reasonable","1991","Full Time","Male","513","0.410216189599168","0.382860975719324","0.437571403479012","3"
"Reasonable","1991","Full Time","Female","175","0.402375333280267","0.355917800877598","0.448832865682936","3"
"Reasonable","1991","Part Time","Male","82","0.377182000800185","0.312694687791509","0.441669313808861","3"
"Reasonable","1991","Not Working","Male","176","0.342840188830727","0.300898404712429","0.384781972949026","3"
