"hlf0094","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","1-pers.-HH","in school","","","",""
"Very Inexpensive","1984","1-pers.-HH","inadequately","2","","",""
"Very Inexpensive","1984","1-pers.-HH","general elemantary","30","0.334971033914642","0.239557919501521","0.430384148327763"
"Very Inexpensive","1984","1-pers.-HH","middle vocational","28","","",""
"Very Inexpensive","1984","1-pers.-HH","vocational + Abi","3","","",""
"Very Inexpensive","1984","1-pers.-HH","higher vocational","7","","",""
"Very Inexpensive","1984","1-pers.-HH","higher education","8","","",""
"Very Inexpensive","1984","(Married) couple without C. ","in school","","","",""
"Very Inexpensive","1984","(Married) couple without C. ","inadequately","","","",""
"Very Inexpensive","1984","(Married) couple without C. ","general elemantary","87","0.317673359463306","0.262647313570643","0.372699405355969"
"Very Inexpensive","1984","(Married) couple without C. ","middle vocational","143","0.283659988482592","0.244614419508144","0.32270555745704"
"Very Inexpensive","1984","(Married) couple without C. ","vocational + Abi","4","","",""
"Very Inexpensive","1984","(Married) couple without C. ","higher vocational","17","","",""
"Very Inexpensive","1984","(Married) couple without C. ","higher education","25","","",""
"Very Inexpensive","1984","Single parent ","in school","1","","",""
"Very Inexpensive","1984","Single parent ","inadequately","","","",""
"Very Inexpensive","1984","Single parent ","general elemantary","9","","",""
"Very Inexpensive","1984","Single parent ","middle vocational","24","","",""
"Very Inexpensive","1984","Single parent ","vocational + Abi","","","",""
"Very Inexpensive","1984","Single parent ","higher vocational","2","","",""
"Very Inexpensive","1984","Single parent ","higher education","1","","",""
"Very Inexpensive","1984","Couple + C. LE 16 ","in school","","","",""
"Very Inexpensive","1984","Couple + C. LE 16 ","inadequately","","","",""
"Very Inexpensive","1984","Couple + C. LE 16 ","general elemantary","28","","",""
"Very Inexpensive","1984","Couple + C. LE 16 ","middle vocational","98","0.191718729641675","0.15839303388407","0.22504442539928"
"Very Inexpensive","1984","Couple + C. LE 16 ","vocational + Abi","","","",""
"Very Inexpensive","1984","Couple + C. LE 16 ","higher vocational","23","","",""
"Very Inexpensive","1984","Couple + C. LE 16 ","higher education","13","","",""
"Very Inexpensive","1984","Couple + C. GT 16 ","in school","9","","",""
"Very Inexpensive","1984","Couple + C. GT 16 ","inadequately","3","","",""
"Very Inexpensive","1984","Couple + C. GT 16 ","general elemantary","74","0.248971750219417","0.199374244284823","0.298569256154011"
"Very Inexpensive","1984","Couple + C. GT 16 ","middle vocational","140","0.28536265296481","0.245898251560515","0.324827054369105"
"Very Inexpensive","1984","Couple + C. GT 16 ","vocational + Abi","7","","",""
"Very Inexpensive","1984","Couple + C. GT 16 ","higher vocational","14","","",""
"Very Inexpensive","1984","Couple + C. GT 16 ","higher education","22","","",""
"Very Inexpensive","1984","Couple + C. LE and GT 16","in school","10","","",""
"Very Inexpensive","1984","Couple + C. LE and GT 16","inadequately","1","","",""
"Very Inexpensive","1984","Couple + C. LE and GT 16","general elemantary","56","0.228883621030364","0.176806686917326","0.280960555143402"
"Very Inexpensive","1984","Couple + C. LE and GT 16","middle vocational","107","0.292915332415834","0.246226993654294","0.339603671177374"
"Very Inexpensive","1984","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"Very Inexpensive","1984","Couple + C. LE and GT 16","higher vocational","12","","",""
"Very Inexpensive","1984","Couple + C. LE and GT 16","higher education","7","","",""
"Inexpensive","1984","1-pers.-HH","in school","","","",""
"Inexpensive","1984","1-pers.-HH","inadequately","1","","",""
"Inexpensive","1984","1-pers.-HH","general elemantary","31","0.331777468743982","0.236592544954277","0.426962392533688"
"Inexpensive","1984","1-pers.-HH","middle vocational","28","","",""
"Inexpensive","1984","1-pers.-HH","vocational + Abi","3","","",""
"Inexpensive","1984","1-pers.-HH","higher vocational","4","","",""
"Inexpensive","1984","1-pers.-HH","higher education","7","","",""
"Inexpensive","1984","(Married) couple without C. ","in school","","","",""
"Inexpensive","1984","(Married) couple without C. ","inadequately","2","","",""
"Inexpensive","1984","(Married) couple without C. ","general elemantary","79","0.293596128080497","0.239771202065557","0.347421054095437"
"Inexpensive","1984","(Married) couple without C. ","middle vocational","164","0.325652853530022","0.285061613712162","0.366244093347883"
"Inexpensive","1984","(Married) couple without C. ","vocational + Abi","8","","",""
"Inexpensive","1984","(Married) couple without C. ","higher vocational","29","","",""
"Inexpensive","1984","(Married) couple without C. ","higher education","28","","",""
"Inexpensive","1984","Single parent ","in school","2","","",""
"Inexpensive","1984","Single parent ","inadequately","1","","",""
"Inexpensive","1984","Single parent ","general elemantary","26","","",""
"Inexpensive","1984","Single parent ","middle vocational","28","","",""
"Inexpensive","1984","Single parent ","vocational + Abi","1","","",""
"Inexpensive","1984","Single parent ","higher vocational","3","","",""
"Inexpensive","1984","Single parent ","higher education","2","","",""
"Inexpensive","1984","Couple + C. LE 16 ","in school","","","",""
"Inexpensive","1984","Couple + C. LE 16 ","inadequately","7","","",""
"Inexpensive","1984","Couple + C. LE 16 ","general elemantary","39","0.269737589050823","0.196994744246399","0.342480433855247"
"Inexpensive","1984","Couple + C. LE 16 ","middle vocational","165","0.315684535469046","0.276336728951912","0.35503234198618"
"Inexpensive","1984","Couple + C. LE 16 ","vocational + Abi","4","","",""
"Inexpensive","1984","Couple + C. LE 16 ","higher vocational","24","","",""
"Inexpensive","1984","Couple + C. LE 16 ","higher education","34","0.301156807316151","0.217310221595262","0.38500339303704"
"Inexpensive","1984","Couple + C. GT 16 ","in school","7","","",""
"Inexpensive","1984","Couple + C. GT 16 ","inadequately","1","","",""
"Inexpensive","1984","Couple + C. GT 16 ","general elemantary","105","0.380094935138837","0.324419284765384","0.43577058551229"
"Inexpensive","1984","Couple + C. GT 16 ","middle vocational","160","0.32990905058072","0.288819812371253","0.370998288790188"
"Inexpensive","1984","Couple + C. GT 16 ","vocational + Abi","7","","",""
"Inexpensive","1984","Couple + C. GT 16 ","higher vocational","21","","",""
"Inexpensive","1984","Couple + C. GT 16 ","higher education","19","","",""
"Inexpensive","1984","Couple + C. LE and GT 16","in school","11","","",""
"Inexpensive","1984","Couple + C. LE and GT 16","inadequately","5","","",""
"Inexpensive","1984","Couple + C. LE and GT 16","general elemantary","90","0.360713230749391","0.30118719223917","0.420239269259612"
"Inexpensive","1984","Couple + C. LE and GT 16","middle vocational","103","0.290112284695304","0.243555867769249","0.336668701621359"
"Inexpensive","1984","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Inexpensive","1984","Couple + C. LE and GT 16","higher vocational","7","","",""
"Inexpensive","1984","Couple + C. LE and GT 16","higher education","10","","",""
"Reasonable","1984","1-pers.-HH","in school","","","",""
"Reasonable","1984","1-pers.-HH","inadequately","","","",""
"Reasonable","1984","1-pers.-HH","general elemantary","27","","",""
"Reasonable","1984","1-pers.-HH","middle vocational","20","","",""
"Reasonable","1984","1-pers.-HH","vocational + Abi","2","","",""
"Reasonable","1984","1-pers.-HH","higher vocational","6","","",""
"Reasonable","1984","1-pers.-HH","higher education","10","","",""
"Reasonable","1984","(Married) couple without C. ","in school","","","",""
"Reasonable","1984","(Married) couple without C. ","inadequately","2","","",""
