"hlf0094","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","1-pers.-HH","74","0.321800270531777","0.262071143357474","0.38152939770608","2"
"Inexpensive","1984","(Married) couple without C. ","310","0.324704546809359","0.295251544334138","0.354157549284581","2"
"Inexpensive","1984","Single parent ","63","0.370654221139165","0.298474864854695","0.442833577423635","2"
"Inexpensive","1984","Couple + C. LE 16 ","273","0.297960823518039","0.268534611489383","0.327387035546695","2"
"Inexpensive","1984","Couple + C. GT 16 ","320","0.338209570540878","0.30881346904045","0.367605672041307","2"
"Inexpensive","1984","Couple + C. LE and GT 16","228","0.304994079758355","0.27204392823903","0.337944231277679","2"
"Reasonable","1984","(Married) couple without C. ","317","0.321249762966096","0.291879023481934","0.350620502450258","3"
"Reasonable","1984","1-pers.-HH","65","0.269412734092455","0.212689724084567","0.326135744100343","3"
"Reasonable","1984","Single parent ","60","0.339683665193576","0.268905839082264","0.410461491304887","3"
"Reasonable","1984","Couple + C. LE 16 ","360","0.378319091218336","0.347116763265818","0.409521419170853","3"
"Reasonable","1984","Couple + C. GT 16 ","329","0.320293223543556","0.291301687518015","0.349284759569097","3"
"Reasonable","1984","Couple + C. LE and GT 16","206","0.266330487213515","0.234694737030521","0.297966237396509","3"
"Slightly Expensive","1984","(Married) couple without C. ","50","0.0491967769968549","0.0355932311485038","0.062800322845206","4"
"Slightly Expensive","1984","Single parent ","9","","","","4"
"Slightly Expensive","1984","Couple + C. GT 16 ","56","0.0446486933791903","0.0318158622703839","0.0574815244879966","4"
"Slightly Expensive","1984","1-pers.-HH","16","","","","4"
"Slightly Expensive","1984","Couple + C. LE 16 ","100","0.10466392437393","0.0849684859782659","0.124359362769594","4"
"Slightly Expensive","1984","Couple + C. LE and GT 16","90","0.121426107292471","0.0980505139972329","0.144801700587709","4"
"Too Expensive","1984","1-pers.-HH","2","","","","5"
"Too Expensive","1984","(Married) couple without C. ","18","","","","5"
"Too Expensive","1984","Single parent ","3","","","","5"
"Too Expensive","1984","Couple + C. LE 16 ","32","0.0315322909065708","0.0202889743700271","0.0427756074431145","5"
"Too Expensive","1984","Couple + C. GT 16 ","18","","","","5"
"Too Expensive","1984","Couple + C. LE and GT 16","32","0.043294081612549","0.0287287305947662","0.0578594326303318","5"
"Very Inexpensive","1984","1-pers.-HH","78","0.335563558126986","0.275192570981267","0.395934545272705","1"
"Very Inexpensive","1984","(Married) couple without C. ","276","0.288217872881255","0.259729183520667","0.316706562241843","1"
"Very Inexpensive","1984","Single parent ","37","0.218531697901538","0.156773193382155","0.28029020242092","1"
"Very Inexpensive","1984","Couple + C. LE 16 ","163","0.187523869983125","0.16241034434476","0.212637395621489","1"
"Very Inexpensive","1984","Couple + C. GT 16 ","272","0.279585986981683","0.251700044526928","0.307471929436438","1"
"Very Inexpensive","1984","Couple + C. LE and GT 16","194","0.26395524412311","0.23240994004464","0.295500548201581","1"
"Inexpensive","1985","(Married) couple without C. ","289","0.339006401166348","0.307239404924498","0.370773397408199","2"
"Inexpensive","1985","1-pers.-HH","64","0.326920520990054","0.26254996305255","0.391291078927558","2"
"Inexpensive","1985","Single parent ","74","0.387334896716458","0.316947635878963","0.457722157553953","2"
"Inexpensive","1985","Couple + C. LE 16 ","235","0.272508544203124","0.242939109369876","0.302077979036373","2"
"Inexpensive","1985","Couple + C. GT 16 ","332","0.315198477484231","0.2873739518034","0.343023003165062","2"
"Inexpensive","1985","Couple + C. LE and GT 16","201","0.299603170233845","0.264865143275376","0.334341197192315","2"
"Reasonable","1985","(Married) couple without C. ","227","0.262805891154429","0.233267825492593","0.292343956816264","3"
"Reasonable","1985","1-pers.-HH","63","0.307658181507519","0.244325551415451","0.370990811599587","3"
"Reasonable","1985","Single parent ","58","0.333526459362572","0.265403142962878","0.401649775762266","3"
"Reasonable","1985","Couple + C. LE 16 ","341","0.386219130125949","0.353884896019319","0.41855336423258","3"
"Reasonable","1985","Couple + C. GT 16 ","407","0.379230471585775","0.35017217420582","0.40828876896573","3"
"Reasonable","1985","Couple + C. LE and GT 16","278","0.423252739675443","0.385785429225768","0.460720050125118","3"
"Slightly Expensive","1985","(Married) couple without C. ","69","0.0740498187132593","0.0564774872864353","0.0916221501400832","4"
"Slightly Expensive","1985","1-pers.-HH","12","","","","4"
"Slightly Expensive","1985","Single parent ","9","","","","4"
"Slightly Expensive","1985","Couple + C. GT 16 ","66","0.0615915217658165","0.0471932693047083","0.0759897742269247","4"
"Slightly Expensive","1985","Couple + C. LE 16 ","109","0.115498259894025","0.0942718728017752","0.136724646986275","4"
"Slightly Expensive","1985","Couple + C. LE and GT 16","65","0.0829036597725318","0.0619936521380267","0.103813667407037","4"
"Too Expensive","1985","1-pers.-HH","6","","","","5"
"Too Expensive","1985","(Married) couple without C. ","20","","","","5"
"Too Expensive","1985","Single parent ","2","","","","5"
"Too Expensive","1985","Couple + C. LE 16 ","44","0.0464679911568873","0.0324887498806838","0.0604472324330908","5"
"Too Expensive","1985","Couple + C. GT 16 ","18","","","","5"
"Too Expensive","1985","Couple + C. LE and GT 16","7","","","","5"
"Very Inexpensive","1985","1-pers.-HH","59","0.277231719250608","0.215805468409902","0.338657970091315","1"
"Very Inexpensive","1985","(Married) couple without C. ","248","0.303282485335306","0.272434585305143","0.33413038536547","1"
"Very Inexpensive","1985","Single parent ","41","0.226968707430639","0.166445670907941","0.287491743953336","1"
"Very Inexpensive","1985","Couple + C. LE 16 ","142","0.179306074620014","0.153830316050577","0.204781833189451","1"
"Very Inexpensive","1985","Couple + C. GT 16 ","248","0.224736217602737","0.199737678065635","0.249734757139839","1"
"Very Inexpensive","1985","Couple + C. LE and GT 16","117","0.181700219362287","0.152459112833678","0.210941325890896","1"
"Inexpensive","1986","1-pers.-HH","80","0.360457100712638","0.297011957226047","0.423902244199229","2"
"Inexpensive","1986","(Married) couple without C. ","310","0.363446477940685","0.331739149336508","0.395153806544863","2"
"Inexpensive","1986","Single parent ","51","0.258676716670232","0.196573528263526","0.320779905076937","2"
"Inexpensive","1986","Couple + C. GT 16 ","363","0.314375555485453","0.287964226010952","0.340786884959954","2"
"Inexpensive","1986","Couple + C. LE 16 ","214","0.260116180090034","0.229716532687773","0.290515827492295","2"
"Inexpensive","1986","Couple + C. LE and GT 16","212","0.325499018665839","0.290098738949879","0.360899298381798","2"
"Reasonable","1986","(Married) couple without C. ","305","0.344028646132671","0.312712976787141","0.375344315478202","3"
"Reasonable","1986","1-pers.-HH","69","0.305385040154873","0.244524935324267","0.36624514498548","3"
"Reasonable","1986","Single parent ","84","0.453449812684367","0.38284878146147","0.524050843907264","3"
"Reasonable","1986","Couple + C. LE 16 ","351","0.443323776821847","0.40889949046129","0.477748063182403","3"
"Reasonable","1986","Couple + C. GT 16 ","448","0.379710694671562","0.35210197335994","0.407319415983184","3"
"Reasonable","1986","Couple + C. LE and GT 16","276","0.412229297220536","0.375040344068407","0.449418250372666","3"
"Slightly Expensive","1986","1-pers.-HH","20","","","","4"
"Slightly Expensive","1986","(Married) couple without C. ","73","0.0729642643757533","0.0558197455607389","0.0901087831907677","4"
"Slightly Expensive","1986","Single parent ","17","","","","4"
"Slightly Expensive","1986","Couple + C. LE 16 ","102","0.115780247606216","0.0936084737310708","0.13795202148136","4"
"Slightly Expensive","1986","Couple + C. GT 16 ","106","0.0896182657229098","0.0733690364339849","0.105867495011835","4"
"Slightly Expensive","1986","Couple + C. LE and GT 16","75","0.105161876699657","0.0819856910008317","0.128338062398482","4"
"Too Expensive","1986","1-pers.-HH","5","","","","5"
"Too Expensive","1986","(Married) couple without C. ","18","","","","5"
"Too Expensive","1986","Single parent ","2","","","","5"
"Too Expensive","1986","Couple + C. LE 16 ","28","","","","5"
"Too Expensive","1986","Couple + C. GT 16 ","40","0.0280656424744483","0.0186699521767725","0.0374613327721241","5"
"Too Expensive","1986","Couple + C. LE and GT 16","19","","","","5"
"Very Inexpensive","1986","1-pers.-HH","46","0.226904175431165","0.171559651209022","0.282248699653309","1"
"Very Inexpensive","1986","(Married) couple without C. ","178","0.201423262266356","0.174984866532154","0.227861658000558","1"
"Very Inexpensive","1986","Single parent ","37","0.213540458044668","0.155422588552877","0.27165832753646","1"
"Very Inexpensive","1986","Couple + C. LE 16 ","105","0.142130171602794","0.117933427328931","0.166326915876658","1"
"Very Inexpensive","1986","Couple + C. GT 16 ","230","0.188229841645627","0.165992467097922","0.210467216193332","1"
"Very Inexpensive","1986","Couple + C. LE and GT 16","91","0.132170414138167","0.106583087672887","0.157757740603447","1"
"Inexpensive","1987","1-pers.-HH","84","0.379342860751863","0.315800123808666","0.44288559769506","2"
"Inexpensive","1987","Single parent ","58","0.27916530924566","0.216839185577689","0.341491432913631","2"
"Inexpensive","1987","(Married) couple without C. ","363","0.40204722808246","0.370467049939294","0.433627406225626","2"
"Inexpensive","1987","Couple + C. LE 16 ","222","0.299662869465537","0.2675342091294","0.331791529801673","2"
"Inexpensive","1987","Couple + C. GT 16 ","472","0.375864177340451","0.348905891647461","0.40282246303344","2"
"Inexpensive","1987","Couple + C. LE and GT 16","170","0.292790838028274","0.255499947287376","0.330081728769172","2"
"Reasonable","1987","1-pers.-HH","67","0.316227859105753","0.255333109798429","0.377122608413078","3"
"Reasonable","1987","(Married) couple without C. ","302","0.326803074876647","0.296592657417231","0.357013492336064","3"
"Reasonable","1987","Single parent ","90","0.46503956505043","0.395740506226209","0.53433862387465","3"
"Reasonable","1987","Couple + C. LE 16 ","331","0.418280356289997","0.383685369154197","0.452875343425797","3"
"Reasonable","1987","Couple + C. GT 16 ","393","0.330104729676136","0.303930941844387","0.356278517507885","3"
"Reasonable","1987","Couple + C. LE and GT 16","250","0.440171358632322","0.399490648682532","0.480852068582112","3"
"Slightly Expensive","1987","Single parent ","12","","","","4"
"Slightly Expensive","1987","1-pers.-HH","17","","","","4"
"Slightly Expensive","1987","(Married) couple without C. ","62","0.0550713291204131","0.04037851819291","0.0697641400479162","4"
"Slightly Expensive","1987","Couple + C. LE 16 ","100","0.1179192387013","0.0953004636006846","0.140538013801916","4"
"Slightly Expensive","1987","Couple + C. GT 16 ","102","0.0766611315390426","0.0618528241803633","0.091469438897722","4"
"Slightly Expensive","1987","Couple + C. LE and GT 16","57","0.0946592653251701","0.0706688552235245","0.118649675426816","4"
"Too Expensive","1987","1-pers.-HH","6","","","","5"
"Too Expensive","1987","(Married) couple without C. ","18","","","","5"
"Too Expensive","1987","Single parent ","","","","","5"
"Too Expensive","1987","Couple + C. LE 16 ","27","","","","5"
"Too Expensive","1987","Couple + C. GT 16 ","45","0.0373698538545644","0.0268131660754397","0.047926541633689","5"
"Too Expensive","1987","Couple + C. LE and GT 16","6","","","","5"
"Very Inexpensive","1987","1-pers.-HH","50","0.20597332463656","0.153013429344389","0.258933219928732","1"
"Very Inexpensive","1987","(Married) couple without C. ","181","0.198779757750724","0.173075525737018","0.22448398976443","1"
"Very Inexpensive","1987","Single parent ","39","0.202930907589036","0.147052549536821","0.258809265641252","1"
"Very Inexpensive","1987","Couple + C. LE 16 ","101","0.126861088456402","0.103519604554671","0.150202572358132","1"
"Very Inexpensive","1987","Couple + C. GT 16 ","228","0.180000107589806","0.158616522039059","0.201383693140553","1"
"Very Inexpensive","1987","Couple + C. LE and GT 16","89","0.162656989466178","0.132413065237069","0.192900913695287","1"
"Inexpensive","1988","(Married) couple without C. ","342","0.387447390480156","0.355094202524504","0.419800578435808","2"
