"hlf0094","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1985","Urban Area","Male","315","0.230171825544051","0.208631313838502","0.2517123372496"
"Very Inexpensive","1985","Urban Area","Female","330","0.236678128172094","0.214935202587567","0.258421053756621"
"Very Inexpensive","1985","Rural Area","Male","158","0.252361815574594","0.218577215131809","0.28614641601738"
"Very Inexpensive","1985","Rural Area","Female","152","0.246869407995845","0.213437093449877","0.280301722541814"
"Inexpensive","1985","Urban Area","Male","458","0.318061031936347","0.294229002866027","0.341893061006667"
"Inexpensive","1985","Urban Area","Female","466","0.326478217014355","0.302490551116605","0.350465882912105"
"Inexpensive","1985","Rural Area","Male","176","0.281551575077847","0.246570108948855","0.31653304120684"
"Inexpensive","1985","Rural Area","Female","193","0.303832395234272","0.268173194417262","0.339491596051282"
"Reasonable","1985","Urban Area","Male","537","0.355032063177861","0.330545046061601","0.37951908029412"
"Reasonable","1985","Urban Area","Female","510","0.335145194001342","0.310998094735549","0.359292293267136"
"Reasonable","1985","Rural Area","Male","231","0.359095686955595","0.3217824505285","0.39640892338269"
"Reasonable","1985","Rural Area","Female","233","0.362642486876752","0.325366550749343","0.399918423004162"
"Slightly Expensive","1985","Urban Area","Male","125","0.0750944401997816","0.0616083636276325","0.0885805167719307"
"Slightly Expensive","1985","Urban Area","Female","130","0.0807412853201931","0.0668048478541102","0.0946777227862761"
"Slightly Expensive","1985","Rural Area","Male","49","0.074068034813502","0.0536992003848569","0.0944368692421472"
"Slightly Expensive","1985","Rural Area","Female","46","0.0669484365166466","0.0475699121225916","0.0863269609107016"
"Too Expensive","1985","Urban Area","Male","32","0.0216406391419598","0.0141947377912369","0.0290865404926828"
"Too Expensive","1985","Urban Area","Female","32","0.0209571754920161","0.0136297352940761","0.0282846156899561"
"Too Expensive","1985","Rural Area","Male","21","","",""
"Too Expensive","1985","Rural Area","Female","15","","",""
"Very Inexpensive","1986","Urban Area","Male","263","0.179217173565843","0.159872404046787","0.198561943084899"
"Very Inexpensive","1986","Urban Area","Female","273","0.188038002446347","0.168277235745322","0.207798769147371"
"Very Inexpensive","1986","Rural Area","Male","113","0.177057156177753","0.14773477902355","0.206379533331955"
"Very Inexpensive","1986","Rural Area","Female","125","0.206936188128997","0.17586457582194","0.238007800436054"
"Inexpensive","1986","Urban Area","Male","461","0.313106941877214","0.289715848143731","0.336498035610696"
"Inexpensive","1986","Urban Area","Female","469","0.32737993909123","0.303648500571818","0.351111377610641"
"Inexpensive","1986","Rural Area","Male","191","0.304095297318957","0.268757674215975","0.339432920421939"
"Inexpensive","1986","Rural Area","Female","190","0.296805028004101","0.261764954730157","0.331845101278044"
"Reasonable","1986","Urban Area","Male","597","0.394134134456073","0.369486804194696","0.41878146471745"
"Reasonable","1986","Urban Area","Female","583","0.3809118219456","0.356353335020411","0.405470308870788"
"Reasonable","1986","Rural Area","Male","261","0.391725194338857","0.3542280440531","0.429222344624615"
"Reasonable","1986","Rural Area","Female","250","0.369900555153578","0.332871848735157","0.406929261571999"
"Slightly Expensive","1986","Urban Area","Male","153","0.0925050056994169","0.0778911655168381","0.107118845881996"
"Slightly Expensive","1986","Urban Area","Female","143","0.0842331612047021","0.0701873401523921","0.0982789822570121"
"Slightly Expensive","1986","Rural Area","Male","61","0.0917846742334894","0.0696059227175543","0.113963425749425"
"Slightly Expensive","1986","Rural Area","Female","65","0.093744378649623","0.0713886168002538","0.116100140498992"
"Too Expensive","1986","Urban Area","Male","36","0.0210367444014532","0.0137985194157574","0.0282749693871489"
"Too Expensive","1986","Urban Area","Female","34","0.0194370753121217","0.0124552927753636","0.0264188578488798"
"Too Expensive","1986","Rural Area","Male","25","","",""
"Too Expensive","1986","Rural Area","Female","23","","",""
"Very Inexpensive","1987","Urban Area","Male","248","0.170358538091769","0.151563711045423","0.189153365138116"
"Very Inexpensive","1987","Urban Area","Female","252","0.170067974245268","0.151093570552367","0.189042377938169"
"Very Inexpensive","1987","Rural Area","Male","128","0.202021916623345","0.170237621904831","0.23380621134186"
"Very Inexpensive","1987","Rural Area","Female","122","0.193737864325125","0.162826821598119","0.224648907052131"
"Inexpensive","1987","Urban Area","Male","529","0.34897852555584","0.325149396676659","0.372807654435021"
"Inexpensive","1987","Urban Area","Female","526","0.365565180102618","0.34124249474783","0.389887865457405"
