"hlf0094","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","Not Employed","in school","24","","",""
"Very Inexpensive","1984","Not Employed","inadequately","8","","",""
"Very Inexpensive","1984","Not Employed","general elemantary","221","0.298758616244675","0.266260020621922","0.331257211867428"
"Very Inexpensive","1984","Not Employed","middle vocational","207","0.269969925970329","0.238874588142002","0.301065263798655"
"Very Inexpensive","1984","Not Employed","vocational + Abi","9","","",""
"Very Inexpensive","1984","Not Employed","higher vocational","29","","",""
"Very Inexpensive","1984","Not Employed","higher education","23","","",""
"Very Inexpensive","1984","Employed","in school","","","",""
"Very Inexpensive","1984","Employed","inadequately","","","",""
"Very Inexpensive","1984","Employed","general elemantary","111","0.223526529121906","0.187580486200846","0.259472572042965"
"Very Inexpensive","1984","Employed","middle vocational","365","0.2597638827509","0.237170131416359","0.282357634085441"
"Very Inexpensive","1984","Employed","vocational + Abi","7","","",""
"Very Inexpensive","1984","Employed","higher vocational","53","0.225345534225161","0.172596068878706","0.278094999571616"
"Very Inexpensive","1984","Employed","higher education","56","0.205448697510349","0.158459114712928","0.25243828030777"
"Inexpensive","1984","Not Employed","in school","21","","",""
"Inexpensive","1984","Not Employed","inadequately","6","","",""
"Inexpensive","1984","Not Employed","general elemantary","243","0.323693879877289","0.290473124120995","0.356914635633584"
"Inexpensive","1984","Not Employed","middle vocational","244","0.32041998592717","0.287735074865333","0.353104896989008"
"Inexpensive","1984","Not Employed","vocational + Abi","8","","",""
"Inexpensive","1984","Not Employed","higher vocational","27","","",""
"Inexpensive","1984","Not Employed","higher education","15","","",""
"Inexpensive","1984","Employed","in school","1","","",""
"Inexpensive","1984","Employed","inadequately","11","","",""
"Inexpensive","1984","Employed","general elemantary","166","0.331241904587114","0.290632146454546","0.371851662719683"
"Inexpensive","1984","Employed","middle vocational","437","0.312114953630529","0.288240741521226","0.335989165739832"
"Inexpensive","1984","Employed","vocational + Abi","21","","",""
"Inexpensive","1984","Employed","higher vocational","73","0.31104690565541","0.252601908760606","0.369491902550213"
"Inexpensive","1984","Employed","higher education","89","0.314302404938432","0.26031044583339","0.368294364043474"
"Reasonable","1984","Not Employed","in school","37","0.389549471026481","0.290969040410104","0.488129901642858"
"Reasonable","1984","Not Employed","inadequately","9","","",""
