"hlf0094","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1985","16-34 y.","Rural Area","127","0.299670068491809","0.255909790652876","0.343430346330742","2"
"Inexpensive","1985","16-34 y.","Urban Area","258","0.305246433986916","0.274802950476498","0.335689917497334","2"
"Inexpensive","1985","35-65 y.","Urban Area","553","0.323615163197143","0.3015432968272","0.345687029567086","2"
"Inexpensive","1985","35-65 y.","Rural Area","195","0.27518999319931","0.242362199182177","0.308017787216443","2"
"Inexpensive","1985","66 and older","Urban Area","113","0.348699077223179","0.29728200223713","0.400116152209227","2"
"Inexpensive","1985","66 and older","Rural Area","47","0.342730708312325","0.264666474936286","0.420794941688364","2"
"Reasonable","1985","16-34 y.","Rural Area","151","0.36833607583474","0.322260347544658","0.414411804124823","3"
"Reasonable","1985","16-34 y.","Urban Area","348","0.390407245626515","0.358157040132061","0.422657451120969","3"
"Reasonable","1985","35-65 y.","Urban Area","612","0.346451148996324","0.324002628364904","0.368899669627743","3"
"Reasonable","1985","35-65 y.","Rural Area","270","0.374107844476406","0.338539680112173","0.409676008840638","3"
"Reasonable","1985","66 and older","Urban Area","87","0.25600406235741","0.208917191376788","0.303090933338032","3"
"Reasonable","1985","66 and older","Rural Area","43","0.298105487357112","0.222869638107667","0.373341336606558","3"
"Slightly Expensive","1985","16-34 y.","Rural Area","36","0.0819694829514666","0.0557658383779655","0.108173127524968","4"
"Slightly Expensive","1985","35-65 y.","Urban Area","146","0.0755057087898788","0.0630413567511263","0.0879700608286314","4"
"Slightly Expensive","1985","16-34 y.","Urban Area","90","0.0917565570443204","0.072672384093473","0.110840729995168","4"
"Slightly Expensive","1985","66 and older","Urban Area","19","","","","4"
"Slightly Expensive","1985","35-65 y.","Rural Area","53","0.0728155474594754","0.0537166445713484","0.0919144503476024","4"
"Slightly Expensive","1985","66 and older","Rural Area","6","","","","4"
"Too Expensive","1985","16-34 y.","Urban Area","21","","","","5"
"Too Expensive","1985","16-34 y.","Rural Area","15","","","","5"
"Too Expensive","1985","35-65 y.","Urban Area","38","0.0232469834443161","0.016138067501646","0.0303558993869862","5"
"Too Expensive","1985","35-65 y.","Rural Area","21","","","","5"
"Too Expensive","1985","66 and older","Urban Area","5","","","","5"
"Too Expensive","1985","66 and older","Rural Area","","","","","5"
"Very Inexpensive","1985","16-34 y.","Urban Area","162","0.190570559188","0.164606591740562","0.216534526635438","1"
"Very Inexpensive","1985","16-34 y.","Rural Area","92","0.217119273819641","0.177736705723445","0.256501841915837","1"
"Very Inexpensive","1985","35-65 y.","Urban Area","377","0.231180995572338","0.211291864253192","0.251070126891484","1"
"Very Inexpensive","1985","35-65 y.","Rural Area","172","0.248175098200353","0.216424585324983","0.279925611075722","1"
"Very Inexpensive","1985","66 and older","Urban Area","106","0.320862384696447","0.270497317558734","0.371227451834159","1"
"Very Inexpensive","1985","66 and older","Rural Area","46","0.320649035730953","0.243883552866771","0.397414518595134","1"
"Inexpensive","1986","16-34 y.","Urban Area","246","0.271580511513637","0.242902291998677","0.300258731028597","2"
"Inexpensive","1986","16-34 y.","Rural Area","120","0.288238942219048","0.245625495244278","0.330852389193818","2"
"Inexpensive","1986","35-65 y.","Urban Area","558","0.327093853608916","0.305062689019654","0.349125018198178","2"
"Inexpensive","1986","35-65 y.","Rural Area","203","0.285349273681791","0.252272214880593","0.31842633248299","2"
"Inexpensive","1986","66 and older","Urban Area","126","0.379520765199696","0.328388923109863","0.43065260728953","2"
"Inexpensive","1986","66 and older","Rural Area","58","0.376528513935984","0.300004989544949","0.45305203832702","2"
"Reasonable","1986","16-34 y.","Rural Area","172","0.38840457060359","0.342550540919193","0.434258600287987","3"
"Reasonable","1986","16-34 y.","Urban Area","384","0.424671157527843","0.392800093579715","0.456542221475971","3"
"Reasonable","1986","35-65 y.","Urban Area","678","0.387716586754884","0.36483651124725","0.410596662262519","3"
"Reasonable","1986","35-65 y.","Rural Area","290","0.402609635127089","0.366687448174704","0.438531822079475","3"
"Reasonable","1986","66 and older","Urban Area","118","0.3229357482034","0.273665693414552","0.372205802992248","3"
"Reasonable","1986","66 and older","Rural Area","49","0.290345213765979","0.218653554120455","0.362036873411502","3"
"Slightly Expensive","1986","16-34 y.","Rural Area","46","0.0998018317794905","0.0716023228875113","0.12800134067147","4"
"Slightly Expensive","1986","16-34 y.","Urban Area","117","0.119307861728602","0.0984072644928303","0.140208458964373","4"
"Slightly Expensive","1986","35-65 y.","Urban Area","160","0.0840756042237192","0.0710442716802874","0.097106936767151","4"
"Slightly Expensive","1986","35-65 y.","Rural Area","69","0.0945899545823708","0.0731543003693799","0.116025608795362","4"
"Slightly Expensive","1986","66 and older","Urban Area","19","","","","4"
"Slightly Expensive","1986","66 and older","Rural Area","11","","","","4"
"Too Expensive","1986","16-34 y.","Urban Area","29","","","","5"
"Too Expensive","1986","16-34 y.","Rural Area","19","","","","5"
"Too Expensive","1986","35-65 y.","Urban Area","39","0.0206906604264935","0.014006126367597","0.0273751944853901","5"
"Too Expensive","1986","35-65 y.","Rural Area","26","","","","5"
"Too Expensive","1986","66 and older","Urban Area","2","","","","5"
"Too Expensive","1986","66 and older","Rural Area","3","","","","5"
"Very Inexpensive","1986","16-34 y.","Urban Area","148","0.157640026758282","0.134144011452289","0.181136042064275","1"
"Very Inexpensive","1986","16-34 y.","Rural Area","77","0.181404125337926","0.145149653577424","0.217658597098428","1"
"Very Inexpensive","1986","35-65 y.","Urban Area","307","0.180423294985987","0.162365483140359","0.198481106831615","1"
"Very Inexpensive","1986","35-65 y.","Rural Area","128","0.185054547991114","0.15660956151833","0.213499534463898","1"
"Very Inexpensive","1986","66 and older","Urban Area","81","0.239687668121951","0.194706689067705","0.284668647176197","1"
"Very Inexpensive","1986","66 and older","Rural Area","33","0.237532052918772","0.170318069051952","0.304746036785592","1"
"Inexpensive","1987","16-34 y.","Urban Area","316","0.338131759074374","0.308001570162143","0.368261947986604","2"
"Inexpensive","1987","35-65 y.","Urban Area","588","0.347786556665893","0.325389061564486","0.370184051767301","2"
"Inexpensive","1987","16-34 y.","Rural Area","129","0.307116039273269","0.262409820378148","0.351822258168391","2"
"Inexpensive","1987","66 and older","Urban Area","151","0.4223371605113","0.371243416246266","0.473430904776335","2"
"Inexpensive","1987","35-65 y.","Rural Area","214","0.317997345059106","0.282891492641747","0.353103197476465","2"
"Inexpensive","1987","66 and older","Rural Area","55","0.377475578245988","0.301406453695556","0.45354470279642","2"
"Reasonable","1987","16-34 y.","Rural Area","155","0.408090937542127","0.360459640605234","0.45572223447902","3"
"Reasonable","1987","16-34 y.","Urban Area","350","0.362603049445826","0.331983850943853","0.393222247947799","3"
"Reasonable","1987","35-65 y.","Urban Area","652","0.367909542118601","0.345231355497238","0.390587728739964","3"
"Reasonable","1987","35-65 y.","Rural Area","257","0.388492595814696","0.351750241906997","0.425234949722394","3"
"Reasonable","1987","66 and older","Urban Area","128","0.360479053672285","0.31081201453312","0.41014609281145","3"
"Reasonable","1987","66 and older","Rural Area","47","0.306565425359029","0.234213494712335","0.378917356005724","3"
"Slightly Expensive","1987","16-34 y.","Urban Area","106","0.106678784556783","0.0870173159108504","0.126340253202715","4"
"Slightly Expensive","1987","16-34 y.","Rural Area","38","0.0876017539769316","0.0602027321231985","0.115000775830665","4"
"Slightly Expensive","1987","35-65 y.","Urban Area","159","0.0817983104252406","0.068910195734144","0.0946864251163371","4"
"Slightly Expensive","1987","35-65 y.","Rural Area","54","0.0737842296949572","0.054077588809681","0.0934908705802335","4"
"Slightly Expensive","1987","66 and older","Urban Area","12","","","","4"
"Slightly Expensive","1987","66 and older","Rural Area","8","","","","4"
"Too Expensive","1987","16-34 y.","Urban Area","27","","","","5"
"Too Expensive","1987","16-34 y.","Rural Area","12","","","","5"
"Too Expensive","1987","35-65 y.","Urban Area","49","0.0291842699073553","0.0212685393902294","0.0371000004244813","5"
"Too Expensive","1987","35-65 y.","Rural Area","17","","","","5"
"Too Expensive","1987","66 and older","Urban Area","5","","","","5"
"Too Expensive","1987","66 and older","Rural Area","5","","","","5"
"Very Inexpensive","1987","16-34 y.","Urban Area","148","0.162832374671817","0.139317119688307","0.186347629655326","1"
"Very Inexpensive","1987","16-34 y.","Rural Area","75","0.173979722130437","0.137240402627877","0.210719041632997","1"
"Very Inexpensive","1987","35-65 y.","Urban Area","289","0.17332132088291","0.155520396911453","0.191122244854367","1"
"Very Inexpensive","1987","35-65 y.","Rural Area","134","0.195718530563492","0.165810022628944","0.22562703849804","1"
"Very Inexpensive","1987","66 and older","Urban Area","63","0.171700198672047","0.132689830944647","0.210710566399447","1"
"Very Inexpensive","1987","66 and older","Rural Area","41","0.249989826034717","0.18204122238837","0.317938429681064","1"
"Inexpensive","1988","16-34 y.","Urban Area","295","0.317870068720262","0.287414389201871","0.348325748238652","2"
"Inexpensive","1988","16-34 y.","Rural Area","121","0.311573073061724","0.264572564363371","0.358573581760077","2"
"Inexpensive","1988","35-65 y.","Urban Area","553","0.340637538703907","0.317804829046333","0.36347024836148","2"
"Inexpensive","1988","35-65 y.","Rural Area","223","0.37333487133813","0.335200121976811","0.411469620699448","2"
"Inexpensive","1988","66 and older","Urban Area","154","0.450764950976824","0.398108058846692","0.503421843106957","2"
"Inexpensive","1988","66 and older","Rural Area","41","0.296672311750583","0.221804103863623","0.371540519637543","2"
"Reasonable","1988","16-34 y.","Urban Area","342","0.387397225136867","0.355534886039368","0.419259564234365","3"
"Reasonable","1988","16-34 y.","Rural Area","165","0.458096968895832","0.407533929223909","0.508660008567754","3"
"Reasonable","1988","35-65 y.","Urban Area","640","0.380358798846021","0.356969566445182","0.403748031246859","3"
"Reasonable","1988","35-65 y.","Rural Area","242","0.376682101234802","0.338479217685724","0.41488498478388","3"
"Reasonable","1988","66 and older","Urban Area","95","0.287533806066559","0.239634676803346","0.335432935329773","3"
"Reasonable","1988","66 and older","Rural Area","57","0.387252608119405","0.307413075914803","0.467092140324006","3"
"Slightly Expensive","1988","16-34 y.","Urban Area","100","0.108305873092917","0.0879802494552865","0.128631496730548","4"
"Slightly Expensive","1988","16-34 y.","Rural Area","30","0.0859260356357002","0.0574849131776716","0.114367158093729","4"
"Slightly Expensive","1988","35-65 y.","Urban Area","126","0.0708897492173891","0.0585253096065168","0.0832541888282613","4"
"Slightly Expensive","1988","35-65 y.","Rural Area","39","0.0655412746828846","0.0460297432905231","0.085052806075246","4"
"Slightly Expensive","1988","66 and older","Urban Area","19","","","","4"
"Slightly Expensive","1988","66 and older","Rural Area","7","","","","4"
"Too Expensive","1988","16-34 y.","Urban Area","8","","","","5"
"Too Expensive","1988","16-34 y.","Rural Area","6","","","","5"
"Too Expensive","1988","35-65 y.","Urban Area","31","0.0195535454529549","0.012882808894604","0.0262242820113058","5"
"Too Expensive","1988","35-65 y.","Rural Area","8","","","","5"
"Too Expensive","1988","66 and older","Urban Area","3","","","","5"
"Too Expensive","1988","66 and older","Rural Area","1","","","","5"
"Very Inexpensive","1988","16-34 y.","Urban Area","153","0.178852279584385","0.153787273843877","0.203917285324894","1"
"Very Inexpensive","1988","16-34 y.","Rural Area","51","0.133096517817126","0.0986248421109604","0.167568193523292","1"
"Very Inexpensive","1988","35-65 y.","Urban Area","305","0.188560367779729","0.169715095869443","0.207405639690015","1"
"Very Inexpensive","1988","35-65 y.","Rural Area","106","0.172912647254439","0.143097090508061","0.202728204000818","1"
"Very Inexpensive","1988","66 and older","Urban Area","72","0.201387375389776","0.15894641160865","0.243828339170901","1"
"Very Inexpensive","1988","66 and older","Rural Area","37","0.27089983467037","0.198058475533827","0.343741193806913","1"
"Inexpensive","1989","16-34 y.","Urban Area","314","0.341483627496511","0.310416234940717","0.372551020052305","2"
"Inexpensive","1989","16-34 y.","Rural Area","129","0.360345724057936","0.311426498940263","0.409264949175609","2"
"Inexpensive","1989","35-65 y.","Urban Area","609","0.377887001644617","0.354305541480541","0.401468461808692","2"
"Inexpensive","1989","35-65 y.","Rural Area","201","0.342683511251624","0.304124981468592","0.381242041034657","2"
"Inexpensive","1989","66 and older","Rural Area","55","0.397187366435234","0.318882032247514","0.475492700622954","2"
"Inexpensive","1989","66 and older","Urban Area","148","0.423525634117903","0.372053009844797","0.474998258391008","2"
"Reasonable","1989","16-34 y.","Rural Area","136","0.367801469985363","0.318667630789489","0.416935309181237","3"
"Reasonable","1989","16-34 y.","Urban Area","350","0.383886791478185","0.352025130088513","0.415748452867857","3"
"Reasonable","1989","35-65 y.","Urban Area","547","0.330333837203496","0.307458853818066","0.353208820588927","3"
"Reasonable","1989","35-65 y.","Rural Area","197","0.344890849412739","0.306273339428894","0.383508359396584","3"
"Reasonable","1989","66 and older","Rural Area","45","0.274765570186303","0.203328633305093","0.346202507067513","3"
"Reasonable","1989","66 and older","Urban Area","104","0.296863616620783","0.249270435663739","0.344456797577828","3"
"Slightly Expensive","1989","16-34 y.","Rural Area","27","","","","4"
"Slightly Expensive","1989","16-34 y.","Urban Area","69","0.0820973400446346","0.0641127960470573","0.100081884042212","4"
