"hlf0094","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","16-34 y.","Not Employed","122","0.266271648305402","0.225966806863214","0.30657648974759"
"Very Inexpensive","1984","16-34 y.","Employed","173","0.214594089383633","0.186995010438054","0.242193168329212"
"Very Inexpensive","1984","35-65 y.","Not Employed","239","0.286624041781846","0.256332125279023","0.316915958284669"
"Very Inexpensive","1984","35-65 y.","Employed","411","0.249249894053868","0.228722974992469","0.269776813115267"
"Very Inexpensive","1984","66 and older","Not Employed","163","0.318736748385121","0.278800175184917","0.358673321585326"
"Very Inexpensive","1984","66 and older","Employed","9","","",""
"Inexpensive","1984","16-34 y.","Not Employed","121","0.270465390593918","0.229960645540469","0.310970135647366"
"Inexpensive","1984","16-34 y.","Employed","272","0.32960537829379","0.2980043631722","0.361206393415381"
"Inexpensive","1984","35-65 y.","Not Employed","283","0.3355711570668","0.303939076373483","0.367203237760117"
"Inexpensive","1984","35-65 y.","Employed","516","0.311703087382807","0.289723626268033","0.333682548497581"
"Inexpensive","1984","66 and older","Not Employed","160","0.312996202489095","0.273254510818874","0.352737894159316"
"Inexpensive","1984","66 and older","Employed","10","","",""
"Reasonable","1984","16-34 y.","Not Employed","162","0.347319435945416","0.303904217867466","0.390734654023367"
"Reasonable","1984","16-34 y.","Employed","297","0.32940002504965","0.2978040175289","0.3609960325704"
"Reasonable","1984","35-65 y.","Not Employed","261","0.297295579016781","0.266676524423353","0.327914633610209"
"Reasonable","1984","35-65 y.","Employed","571","0.324252648914055","0.302040400598331","0.346464897229778"
"Reasonable","1984","66 and older","Not Employed","178","0.325814129246944","0.28564688594961","0.365981372544277"
"Reasonable","1984","66 and older","Employed","14","","",""
"Slightly Expensive","1984","16-34 y.","Not Employed","41","0.083760707307129","0.0584996381695271","0.109021776444731"
"Slightly Expensive","1984","16-34 y.","Employed","75","0.0861536537921041","0.0672905971702621","0.105016710413946"
"Slightly Expensive","1984","35-65 y.","Not Employed","57","0.0636964288213562","0.0473366627037881","0.0800561949389243"
"Slightly Expensive","1984","35-65 y.","Employed","150","0.0817988035597192","0.0687940843231961","0.0948035227962423"
"Slightly Expensive","1984","66 and older","Not Employed","18","","",""
"Slightly Expensive","1984","66 and older","Employed","1","","",""
"Too Expensive","1984","16-34 y.","Not Employed","16","","",""
"Too Expensive","1984","16-34 y.","Employed","33","0.0402468534808218","0.0270343727540565","0.0534593342075872"
"Too Expensive","1984","35-65 y.","Not Employed","16","","",""
"Too Expensive","1984","35-65 y.","Employed","58","0.032995566089551","0.0245193776702306","0.0414717545088714"
"Too Expensive","1984","66 and older","Not Employed","4","","",""
"Too Expensive","1984","66 and older","Employed","","","",""
"Very Inexpensive","1985","16-34 y.","Not Employed","92","0.208803750483402","0.170911690698185","0.24669581026862"
"Very Inexpensive","1985","16-34 y.","Employed","162","0.19456855711989","0.168080197368651","0.22105691687113"
"Very Inexpensive","1985","35-65 y.","Not Employed","216","0.271357755520722","0.241015391850322","0.301700119191122"
"Very Inexpensive","1985","35-65 y.","Employed","333","0.21721634959705","0.197086862883563","0.237345836310537"
"Very Inexpensive","1985","66 and older","Not Employed","146","0.324385925637111","0.280987430041011","0.36778442123321"
"Very Inexpensive","1985","66 and older","Employed","6","","",""
"Inexpensive","1985","16-34 y.","Not Employed","125","0.285325125140443","0.243227148606141","0.327423101674745"
"Inexpensive","1985","16-34 y.","Employed","260","0.312778297873244","0.281756198408328","0.343800397338159"
"Inexpensive","1985","35-65 y.","Not Employed","259","0.314774694635814","0.283083565075633","0.346465824195994"
"Inexpensive","1985","35-65 y.","Employed","489","0.305977652164373","0.283482074298098","0.328473230030649"
"Inexpensive","1985","66 and older","Not Employed","152","0.345570507337972","0.301485177311294","0.389655837364649"
"Inexpensive","1985","66 and older","Employed","8","","",""
"Reasonable","1985","16-34 y.","Not Employed","171","0.385271030945909","0.339901741904385","0.430640319987433"
