"hlf0094","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","16-34 y.","in school","24","","",""
"Very Inexpensive","1984","16-34 y.","inadequately","2","","",""
"Very Inexpensive","1984","16-34 y.","general elemantary","73","0.210601880401246","0.168127639485768","0.253076121316724"
"Very Inexpensive","1984","16-34 y.","middle vocational","162","0.244097184007189","0.211835361219198","0.27635900679518"
"Very Inexpensive","1984","16-34 y.","vocational + Abi","8","","",""
"Very Inexpensive","1984","16-34 y.","higher vocational","16","","",""
"Very Inexpensive","1984","16-34 y.","higher education","9","","",""
"Very Inexpensive","1984","35-65 y.","in school","","","",""
"Very Inexpensive","1984","35-65 y.","inadequately","2","","",""
"Very Inexpensive","1984","35-65 y.","general elemantary","189","0.289019091851871","0.254897798892239","0.323140384811502"
"Very Inexpensive","1984","35-65 y.","middle vocational","340","0.260315707727878","0.236715140618164","0.283916274837593"
"Very Inexpensive","1984","35-65 y.","vocational + Abi","5","","",""
"Very Inexpensive","1984","35-65 y.","higher vocational","56","0.267223592153605","0.208749984589138","0.325697199718071"
"Very Inexpensive","1984","35-65 y.","higher education","55","0.21350497544119","0.163980235166277","0.263029715716103"
"Very Inexpensive","1984","66 and older","in school","","","",""
"Very Inexpensive","1984","66 and older","inadequately","4","","",""
"Very Inexpensive","1984","66 and older","general elemantary","70","0.293921563855605","0.236993982001822","0.350849145709387"
"Very Inexpensive","1984","66 and older","middle vocational","70","0.322339007573833","0.260720009820613","0.383958005327054"
"Very Inexpensive","1984","66 and older","vocational + Abi","3","","",""
"Very Inexpensive","1984","66 and older","higher vocational","10","","",""
"Very Inexpensive","1984","66 and older","higher education","15","","",""
"Inexpensive","1984","16-34 y.","in school","22","","",""
"Inexpensive","1984","16-34 y.","inadequately","8","","",""
"Inexpensive","1984","16-34 y.","general elemantary","117","0.343282174105295","0.293821334024184","0.392743014186406"
"Inexpensive","1984","16-34 y.","middle vocational","203","0.309907659421744","0.275174499684109","0.34464081915938"
"Inexpensive","1984","16-34 y.","vocational + Abi","14","","",""
"Inexpensive","1984","16-34 y.","higher vocational","18","","",""
"Inexpensive","1984","16-34 y.","higher education","11","","",""
"Inexpensive","1984","35-65 y.","in school","","","",""
"Inexpensive","1984","35-65 y.","inadequately","8","","",""
"Inexpensive","1984","35-65 y.","general elemantary","219","0.330389417729697","0.294984999483599","0.365793835975796"
"Inexpensive","1984","35-65 y.","middle vocational","411","0.317974560436557","0.292928147964723","0.343020972908392"
"Inexpensive","1984","35-65 y.","vocational + Abi","12","","",""
"Inexpensive","1984","35-65 y.","higher vocational","65","0.295123887192095","0.234854700832849","0.355393073551341"
"Inexpensive","1984","35-65 y.","higher education","84","0.325800840602899","0.269158600531647","0.38244308067415"
"Inexpensive","1984","66 and older","in school","","","",""
"Inexpensive","1984","66 and older","inadequately","1","","",""
"Inexpensive","1984","66 and older","general elemantary","73","0.301154441421237","0.243826575058774","0.358482307783699"
"Inexpensive","1984","66 and older","middle vocational","67","0.314214890593105","0.253013771878521","0.37541600930769"
"Inexpensive","1984","66 and older","vocational + Abi","3","","",""
"Inexpensive","1984","66 and older","higher vocational","17","","",""
"Inexpensive","1984","66 and older","higher education","9","","",""
"Reasonable","1984","16-34 y.","in school","38","0.383868239360058","0.287582284449465","0.480154194270651"
"Reasonable","1984","16-34 y.","inadequately","9","","",""
"Reasonable","1984","16-34 y.","general elemantary","114","0.304054844008171","0.256135602902737","0.351974085113606"
