"hlf0094","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","Not Employed","Male","168","0.300108018135235","0.261806053162824","0.338409983107646"
"Very Inexpensive","1984","Not Employed","Female","356","0.290267628901176","0.265508715572095","0.315026542230256"
"Very Inexpensive","1984","Employed","Male","376","0.235427797025376","0.214987499469118","0.255868094581635"
"Very Inexpensive","1984","Employed","Female","217","0.243373640761854","0.215868125270466","0.270879156253243"
"Inexpensive","1984","Not Employed","Male","153","0.291353052456857","0.253378602423122","0.329327502490592"
"Inexpensive","1984","Not Employed","Female","411","0.323646980711332","0.298125406058674","0.34916855536399"
"Inexpensive","1984","Employed","Male","525","0.323484598329244","0.300946631255314","0.346022565403174"
"Inexpensive","1984","Employed","Female","273","0.305647023023007","0.276118445817251","0.335175600228763"
"Reasonable","1984","Not Employed","Male","184","0.329737483332939","0.290448266478883","0.369026700186996"
"Reasonable","1984","Not Employed","Female","417","0.312574902586253","0.287289218126096","0.33786058704641"
"Reasonable","1984","Employed","Male","557","0.325958171358131","0.303375596818977","0.348540745897285"
"Reasonable","1984","Employed","Female","325","0.330033967520372","0.299893637872205","0.360174297168539"
"Slightly Expensive","1984","Not Employed","Male","34","0.0615477125391842","0.0414623903221208","0.0816330347562475"
"Slightly Expensive","1984","Not Employed","Female","82","0.0566983589071709","0.0440831191384371","0.0693135986759047"
"Slightly Expensive","1984","Employed","Male","140","0.0801714817157955","0.0670883268490105","0.0932546365825805"
"Slightly Expensive","1984","Employed","Female","86","0.0865061209260136","0.068487625435102","0.104524616416925"
"Too Expensive","1984","Not Employed","Male","11","","",""
"Too Expensive","1984","Not Employed","Female","25","","",""
"Too Expensive","1984","Employed","Male","57","0.0349579515714532","0.0261089311268601","0.0438069720160463"
"Too Expensive","1984","Employed","Female","34","0.0344392477687537","0.0227507441337307","0.0461277514037767"
"Very Inexpensive","1985","Not Employed","Male","152","0.30275687958498","0.263342747408698","0.342171011761262"
"Very Inexpensive","1985","Not Employed","Female","302","0.261985569451237","0.237023471938587","0.286947666963886"
"Very Inexpensive","1985","Employed","Male","321","0.211647380616706","0.191506138320583","0.23178862291283"
"Very Inexpensive","1985","Employed","Female","180","0.207105696267053","0.180848931408117","0.233362461125989"
"Inexpensive","1985","Not Employed","Male","158","0.305078920018686","0.265579867090727","0.344577972946644"
"Inexpensive","1985","Not Employed","Female","378","0.324302117881808","0.297727860646466","0.350876375117149"
"Inexpensive","1985","Employed","Male","476","0.307351329478223","0.284600690540998","0.330101968415448"
"Inexpensive","1985","Employed","Female","281","0.312143322225592","0.282119668186823","0.342166976264361"
"Reasonable","1985","Not Employed","Male","168","0.309031761749708","0.269390867716374","0.348672655783042"
"Reasonable","1985","Not Employed","Female","405","0.330261169231647","0.303562386561378","0.356959951901916"
"Reasonable","1985","Employed","Male","600","0.374583071876141","0.35071713777942","0.398449005972862"
"Reasonable","1985","Employed","Female","338","0.363695577841135","0.332525418313132","0.394865737369138"
"Slightly Expensive","1985","Not Employed","Male","36","0.0673529059338977","0.0458523505074224","0.0888534613603729"
"Slightly Expensive","1985","Not Employed","Female","89","0.069264363276853","0.0548505776745437","0.0836781488791623"
"Slightly Expensive","1985","Employed","Male","138","0.0776477214949645","0.0644520249981072","0.0908434179918218"
"Slightly Expensive","1985","Employed","Female","87","0.0870420964692593","0.0687767635804032","0.105307429358115"
"Too Expensive","1985","Not Employed","Male","8","","",""
"Too Expensive","1985","Not Employed","Female","18","","",""
