"hlf0094","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","no migration background","Male","516","0.25429354357331","0.235401531816702","0.273185555329919"
"Very Inexpensive","1984","no migration background","Female","548","0.27475160993495","0.255484469175796","0.294018750694104"
"Very Inexpensive","1984","direct migration background","Male","24","","",""
"Very Inexpensive","1984","direct migration background","Female","23","","",""
"Very Inexpensive","1984","indirect migration background","Male","4","","",""
"Very Inexpensive","1984","indirect migration background","Female","2","","",""
"Inexpensive","1984","no migration background","Male","630","0.313870116574943","0.293737290560791","0.334002942589095"
"Inexpensive","1984","no migration background","Female","637","0.315663595952709","0.29560267659894","0.335724515306479"
"Inexpensive","1984","direct migration background","Male","45","0.3406457464794","0.264803122041577","0.416488370917223"
"Inexpensive","1984","direct migration background","Female","41","0.324850572173296","0.248885591248862","0.400815553097731"
"Inexpensive","1984","indirect migration background","Male","3","","",""
"Inexpensive","1984","indirect migration background","Female","6","","",""
"Reasonable","1984","no migration background","Male","673","0.325760007570358","0.305427884660528","0.346092130480188"
"Reasonable","1984","no migration background","Female","675","0.319646070834979","0.299517826560608","0.33977431510935"
"Reasonable","1984","direct migration background","Male","61","0.333358012967847","0.257917567789625","0.40879845814607"
"Reasonable","1984","direct migration background","Female","57","0.30406321275192","0.229446089739649","0.378680335764192"
"Reasonable","1984","indirect migration background","Male","7","","",""
"Reasonable","1984","indirect migration background","Female","10","","",""
"Slightly Expensive","1984","no migration background","Male","156","0.0750579770953301","0.0636270284933928","0.0864889256972673"
"Slightly Expensive","1984","no migration background","Female","149","0.0673715191235714","0.0565522912595178","0.078190746987625"
"Slightly Expensive","1984","direct migration background","Male","18","","",""
"Slightly Expensive","1984","direct migration background","Female","19","","",""
"Slightly Expensive","1984","indirect migration background","Male","","","",""
"Slightly Expensive","1984","indirect migration background","Female","","","",""
"Too Expensive","1984","no migration background","Male","66","0.0310183551860586","0.0234970407320109","0.0385396696401063"
"Too Expensive","1984","no migration background","Female","53","0.0225672041537908","0.0161567899377735","0.028977618369808"
"Too Expensive","1984","direct migration background","Male","2","","",""
"Too Expensive","1984","direct migration background","Female","6","","",""
"Too Expensive","1984","indirect migration background","Male","","","",""
"Too Expensive","1984","indirect migration background","Female","","","",""
"Very Inexpensive","1985","no migration background","Male","448","0.239337758681337","0.220311821030655","0.258363696332019"
"Very Inexpensive","1985","no migration background","Female","446","0.238181606115441","0.219157695945884","0.257205516284998"
"Very Inexpensive","1985","direct migration background","Male","21","","",""
"Very Inexpensive","1985","direct migration background","Female","29","","",""
"Very Inexpensive","1985","indirect migration background","Male","4","","",""
"Very Inexpensive","1985","indirect migration background","Female","7","","",""
"Inexpensive","1985","no migration background","Male","584","0.306828682818666","0.286264436383326","0.327392929254005"
"Inexpensive","1985","no migration background","Female","614","0.324256738503181","0.303351490864049","0.345161986142313"
"Inexpensive","1985","direct migration background","Male","48","0.321982239161707","0.248896144146117","0.395068334177298"
"Inexpensive","1985","direct migration background","Female","43","0.250181927060025","0.183894359046677","0.316469495073372"
"Inexpensive","1985","indirect migration background","Male","2","","",""
"Inexpensive","1985","indirect migration background","Female","2","","",""
"Reasonable","1985","no migration background","Male","701","0.35551157251101","0.334167417666693","0.376855727355326"
"Reasonable","1985","no migration background","Female","675","0.344191954586731","0.322973747827608","0.365410161345853"
"Reasonable","1985","direct migration background","Male","64","0.379159788550136","0.303267208027227","0.455052369073045"
"Reasonable","1985","direct migration background","Female","60","0.32027174250317","0.248862711371141","0.391680773635199"
