"hlf0094","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","Schleswig-Holstein","Not Employed","31","0.386283887300515","0.283379018148741","0.489188756452289"
"Very Inexpensive","1984","Schleswig-Holstein","Employed","24","","",""
"Very Inexpensive","1984","Hamburg","Not Employed","2","","",""
"Very Inexpensive","1984","Hamburg","Employed","6","","",""
"Very Inexpensive","1984","Lower Saxony","Not Employed","73","0.288349537560834","0.233497793244932","0.343201281876736"
"Very Inexpensive","1984","Lower Saxony","Employed","79","0.25033906787564","0.203168365755381","0.297509769995899"
"Very Inexpensive","1984","Bremen","Not Employed","7","","",""
"Very Inexpensive","1984","Bremen","Employed","3","","",""
"Very Inexpensive","1984","North Rhine-Westphalia","Not Employed","131","0.329741509809444","0.284727359937139","0.37475565968175"
"Very Inexpensive","1984","North Rhine-Westphalia","Employed","128","0.246863365112227","0.21062956782326","0.283097162401193"
"Very Inexpensive","1984","Hesse","Not Employed","56","0.360323857734006","0.2863944597531","0.434253255714912"
"Very Inexpensive","1984","Hesse","Employed","50","0.282047089358168","0.219048786963693","0.345045391752642"
"Very Inexpensive","1984","Rhineland-Palatinate,Saarland","Not Employed","52","0.235310135981946","0.178740393769428","0.291879878194463"
"Very Inexpensive","1984","Rhineland-Palatinate,Saarland","Employed","43","0.187098098805627","0.13806394205263","0.236132255558624"
"Very Inexpensive","1984","Baden-Württemberg","Not Employed","80","0.244088754224819","0.197673639238373","0.290503869211265"
"Very Inexpensive","1984","Baden-Württemberg","Employed","116","0.223499057231572","0.187931697712159","0.259066416750985"
"Very Inexpensive","1984","Bavaria","Not Employed","88","0.278926639795495","0.229712774922894","0.328140504668097"
"Very Inexpensive","1984","Bavaria","Employed","141","0.257752408281201","0.221718145619627","0.293786670942774"
"Very Inexpensive","1984","Berlin","Not Employed","4","","",""
"Very Inexpensive","1984","Berlin","Employed","3","","",""
"Very Inexpensive","1984","Brandenburg","Not Employed","","","",""
"Very Inexpensive","1984","Brandenburg","Employed","","","",""
"Very Inexpensive","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very Inexpensive","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Very Inexpensive","1984","Saxony","Not Employed","","","",""
"Very Inexpensive","1984","Saxony","Employed","","","",""
"Very Inexpensive","1984","Saxony-Anhalt","Not Employed","","","",""
"Very Inexpensive","1984","Saxony-Anhalt","Employed","","","",""
"Very Inexpensive","1984","Thuringia","Not Employed","","","",""
"Very Inexpensive","1984","Thuringia","Employed","","","",""
"Inexpensive","1984","Schleswig-Holstein","Not Employed","22","","",""
"Inexpensive","1984","Schleswig-Holstein","Employed","35","0.309173749426786","0.227166187982587","0.391181310870985"
"Inexpensive","1984","Hamburg","Not Employed","4","","",""
"Inexpensive","1984","Hamburg","Employed","17","","",""
"Inexpensive","1984","Lower Saxony","Not Employed","74","0.27851054652766","0.224231368584464","0.332789724470856"
"Inexpensive","1984","Lower Saxony","Employed","89","0.279972590430181","0.231083961435826","0.328861219424537"
"Inexpensive","1984","Bremen","Not Employed","4","","",""
"Inexpensive","1984","Bremen","Employed","3","","",""
"Inexpensive","1984","North Rhine-Westphalia","Not Employed","133","0.327649843714699","0.282708731403254","0.372590956026144"
"Inexpensive","1984","North Rhine-Westphalia","Employed","169","0.320686463842995","0.281464973698671","0.35990795398732"
"Inexpensive","1984","Hesse","Not Employed","56","0.368851884461176","0.29455301047771","0.443150758444641"
"Inexpensive","1984","Hesse","Employed","60","0.323114888762634","0.257642826423721","0.388586951101547"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","Not Employed","60","0.28462172149045","0.224445749959709","0.344797693021192"
"Inexpensive","1984","Rhineland-Palatinate,Saarland","Employed","85","0.349408648349023","0.289461859788897","0.409355436909149"
"Inexpensive","1984","Baden-Württemberg","Not Employed","103","0.324660379758237","0.274063247473548","0.375257512042926"
"Inexpensive","1984","Baden-Württemberg","Employed","164","0.303507263427545","0.264253109266265","0.342761417588825"
"Inexpensive","1984","Bavaria","Not Employed","103","0.326617716276742","0.275153725385998","0.378081707167485"
"Inexpensive","1984","Bavaria","Employed","169","0.317431231804444","0.279083656498129","0.355778807110759"
"Inexpensive","1984","Berlin","Not Employed","5","","",""
"Inexpensive","1984","Berlin","Employed","7","","",""
"Inexpensive","1984","Brandenburg","Not Employed","","","",""
"Inexpensive","1984","Brandenburg","Employed","","","",""
"Inexpensive","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Inexpensive","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Inexpensive","1984","Saxony","Not Employed","","","",""
"Inexpensive","1984","Saxony","Employed","","","",""
"Inexpensive","1984","Saxony-Anhalt","Not Employed","","","",""
"Inexpensive","1984","Saxony-Anhalt","Employed","","","",""
"Inexpensive","1984","Thuringia","Not Employed","","","",""
"Inexpensive","1984","Thuringia","Employed","","","",""
"Reasonable","1984","Schleswig-Holstein","Not Employed","28","","",""
"Reasonable","1984","Schleswig-Holstein","Employed","36","0.297869260870924","0.216718982683629","0.379019539058218"
"Reasonable","1984","Hamburg","Not Employed","7","","",""
"Reasonable","1984","Hamburg","Employed","14","","",""
"Reasonable","1984","Lower Saxony","Not Employed","89","0.334371777183191","0.277246526876951","0.391497027489431"
"Reasonable","1984","Lower Saxony","Employed","118","0.350031324545826","0.298094516505705","0.401968132585947"
"Reasonable","1984","Bremen","Not Employed","7","","",""
"Reasonable","1984","Bremen","Employed","4","","",""
