"hlf0094","year","migback","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","no migration background","1064","0.264662815588871","0.25116426741915","0.278161363758592"
"Very Inexpensive","1984","direct migration background","47","0.229915498234831","0.181980187085071","0.27785080938459"
"Very Inexpensive","1984","indirect migration background","6","","",""
"Inexpensive","1984","no migration background","1267","0.31477915045887","0.300568446359474","0.328989854558266"
"Inexpensive","1984","direct migration background","86","0.332254901569578","0.278595813432096","0.38591398970706"
"Inexpensive","1984","indirect migration background","9","","",""
"Reasonable","1984","no migration background","1348","0.322661128528009","0.308356596426732","0.336965660629285"
"Reasonable","1984","direct migration background","118","0.317795783611437","0.264752121425033","0.37083944579784"
"Reasonable","1984","indirect migration background","17","","",""
"Slightly Expensive","1984","no migration background","305","0.0711620578947358","0.0632953766024532","0.0790287391870185"
"Slightly Expensive","1984","direct migration background","37","0.0880609921376868","0.0557777666893871","0.120344217585986"
"Slightly Expensive","1984","indirect migration background","","","",""
"Too Expensive","1984","no migration background","119","0.0267348475295143","0.0217991132008523","0.0316705818581763"
"Too Expensive","1984","direct migration background","8","","",""
"Too Expensive","1984","indirect migration background","","","",""
"Very Inexpensive","1985","no migration background","894","0.238755693103907","0.225303104032205","0.252208282175609"
"Very Inexpensive","1985","direct migration background","50","0.224263943720658","0.178635853531289","0.269892033910027"
"Very Inexpensive","1985","indirect migration background","11","","",""
"Inexpensive","1985","no migration background","1198","0.315602846017124","0.300937526406976","0.330268165627271"
"Inexpensive","1985","direct migration background","91","0.282041161716295","0.232814362843764","0.331267960588826"
"Inexpensive","1985","indirect migration background","4","","",""
"Reasonable","1985","no migration background","1376","0.349812705304609","0.334763831224916","0.364861579384301"
"Reasonable","1985","direct migration background","124","0.346401546434977","0.29434911822177","0.398453974648184"
"Reasonable","1985","indirect migration background","11","","",""
"Slightly Expensive","1985","no migration background","300","0.0728658227549071","0.0646641920321919","0.0810674534776223"
"Slightly Expensive","1985","direct migration background","47","0.1267204006733","0.0903292740588441","0.163111527287756"
"Slightly Expensive","1985","indirect migration background","3","","",""
"Too Expensive","1985","no migration background","90","0.0229629328194535","0.0182364707473434","0.0276893948915636"
"Too Expensive","1985","direct migration background","9","","",""
"Too Expensive","1985","indirect migration background","1","","",""
"Very Inexpensive","1986","no migration background","713","0.18607197551774","0.17392345850189","0.198220492533591"
"Very Inexpensive","1986","direct migration background","54","0.190488011640113","0.148437512605151","0.232538510675074"
"Very Inexpensive","1986","indirect migration background","7","","",""
"Inexpensive","1986","no migration background","1218","0.31561009832425","0.301101781772814","0.330118414875686"
"Inexpensive","1986","direct migration background","87","0.295818647753857","0.246944328506944","0.344692967000769"
"Inexpensive","1986","indirect migration background","6","","",""
"Reasonable","1986","no migration background","1549","0.388420314130983","0.373205478169292","0.403635150092673"
"Reasonable","1986","direct migration background","125","0.328005977646371","0.277731302661593","0.378280652631149"
"Reasonable","1986","indirect migration background","17","","",""
"Slightly Expensive","1986","no migration background","359","0.0859934115334597","0.077241618604797","0.0947452044621224"
"Slightly Expensive","1986","direct migration background","55","0.148865312653248","0.110748060109411","0.186982565197085"
"Slightly Expensive","1986","indirect migration background","8","","",""
"Too Expensive","1986","no migration background","103","0.0239042004935678","0.0191357957169789","0.0286726052701567"
"Too Expensive","1986","direct migration background","14","","",""
"Too Expensive","1986","indirect migration background","1","","",""
"Very Inexpensive","1987","no migration background","687","0.176818652342033","0.164828052265396","0.18880925241867"
"Very Inexpensive","1987","direct migration background","57","0.20960301808549","0.167202822246377","0.252003213924603"
"Very Inexpensive","1987","indirect migration background","6","","",""
"Inexpensive","1987","no migration background","1332","0.34711558763311","0.332153771005342","0.362077404260879"
"Inexpensive","1987","direct migration background","108","0.349919790667098","0.300236061540346","0.399603519793851"
"Inexpensive","1987","indirect migration background","13","","",""
"Reasonable","1987","no migration background","1451","0.375106250154702","0.35988993971061","0.390322560598795"
"Reasonable","1987","direct migration background","121","0.28615994297757","0.239078329496756","0.333241556458384"
"Reasonable","1987","indirect migration background","17","","",""
"Slightly Expensive","1987","no migration background","310","0.0749723309254939","0.06669563523304","0.0832490266179477"
"Slightly Expensive","1987","direct migration background","62","0.129916693147752","0.0948932082392855","0.164940178056219"
"Slightly Expensive","1987","indirect migration background","5","","",""
"Too Expensive","1987","no migration background","109","0.0259871789446603","0.020986936932811","0.0309874209565095"
"Too Expensive","1987","direct migration background","6","","",""
"Too Expensive","1987","indirect migration background","","","",""
"Very Inexpensive","1988","no migration background","660","0.183572236017558","0.170990550605309","0.196153921429806"
"Very Inexpensive","1988","direct migration background","55","0.197402499177111","0.155582531393764","0.239222466960458"
"Very Inexpensive","1988","indirect migration background","9","","",""
"Inexpensive","1988","no migration background","1278","0.35115790622631","0.335644856861978","0.366670955590642"
"Inexpensive","1988","direct migration background","100","0.329384866908674","0.280005335432597","0.378764398384752"
"Inexpensive","1988","indirect migration background","9","","",""
"Reasonable","1988","no migration background","1378","0.378347612985323","0.362586178451643","0.394109047519003"
"Reasonable","1988","direct migration background","141","0.36128191369554","0.310811578809058","0.411752248582021"
"Reasonable","1988","indirect migration background","22","","",""
"Slightly Expensive","1988","no migration background","270","0.0733087131161703","0.0648379647980584","0.0817794614342821"
"Slightly Expensive","1988","direct migration background","46","0.0912781789470675","0.0610189797030806","0.121537378191054"
"Slightly Expensive","1988","indirect migration background","5","","",""
"Too Expensive","1988","no migration background","51","0.0136135316546391","0.00984748759887883","0.0173795757103993"
"Too Expensive","1988","direct migration background","6","","",""
"Too Expensive","1988","indirect migration background","","","",""
"Very Inexpensive","1989","no migration background","741","0.211753756445072","0.198348282135336","0.225159230754808"
"Very Inexpensive","1989","direct migration background","60","0.222926734720064","0.179752361230399","0.26610110820973"
"Very Inexpensive","1989","indirect migration background","8","","",""
"Inexpensive","1989","no migration background","1306","0.37151193312095","0.355656775265586","0.387367090976314"
"Inexpensive","1989","direct migration background","136","0.365780630601123","0.315818139277257","0.415743121924988"
"Inexpensive","1989","indirect migration background","14","","",""
"Reasonable","1989","no migration background","1236","0.340128732134121","0.324583867747033","0.35567359652121"
"Reasonable","1989","direct migration background","121","0.314198060141386","0.26604597621526","0.362350144067512"
"Reasonable","1989","indirect migration background","22","","",""
"Slightly Expensive","1989","no migration background","238","0.0645163402487622","0.0564553455973037","0.0725773349002208"
"Slightly Expensive","1989","direct migration background","37","0.0876733206703634","0.0583358344544217","0.117010806886305"
"Slightly Expensive","1989","indirect migration background","6","","",""
"Too Expensive","1989","no migration background","47","0.0120892380510937","0.00850337259002178","0.0156751035121656"
"Too Expensive","1989","direct migration background","3","","",""
"Too Expensive","1989","indirect migration background","","","",""
"Very Inexpensive","1990","no migration background","711","0.204807656605295","0.191378302353588","0.218237010857001"
"Very Inexpensive","1990","direct migration background","66","0.260898519192676","0.217372639672783","0.304424398712569"
"Very Inexpensive","1990","indirect migration background","8","","",""
"Inexpensive","1990","no migration background","1281","0.375378440631301","0.359264970100889","0.391491911161714"
"Inexpensive","1990","direct migration background","141","0.321383940308858","0.275094293784363","0.367673586833354"
"Inexpensive","1990","indirect migration background","20","","",""
