"hlf0094","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","inadequately","17","","","","2"
"Inexpensive","1984","middle vocational","681","0.315197160275711","0.295914383050664","0.334479937500759","2"
"Inexpensive","1984","vocational + Abi","29","","","","2"
"Inexpensive","1984","higher education","104","0.297539726647275","0.249643926512337","0.345435526782212","2"
"Inexpensive","1984","in school","22","","","","2"
"Inexpensive","1984","general elemantary","409","0.326492582447428","0.30078326687079","0.352201898024065","2"
"Inexpensive","1984","higher vocational","100","0.313367000541926","0.263243763782625","0.363490237301226","2"
"Reasonable","1984","middle vocational","742","0.322209583568209","0.302813564685774","0.341605602450645","3"
"Reasonable","1984","vocational + Abi","31","0.356904620771819","0.254452199193806","0.459357042349832","3"
"Reasonable","1984","higher education","131","0.367816767919985","0.317298166712473","0.418335369127497","3"
"Reasonable","1984","in school","38","0.383868239360058","0.287582284449465","0.480154194270651","3"
"Reasonable","1984","inadequately","23","","","","3"
"Reasonable","1984","general elemantary","410","0.30884920993039","0.283518794302418","0.334179625558362","3"
"Reasonable","1984","higher vocational","105","0.30867816904067","0.258761771417166","0.358594566664174","3"
"Slightly Expensive","1984","higher education","25","","","","4"
"Slightly Expensive","1984","middle vocational","173","0.072565965019035","0.0617987431588764","0.0833331868791935","4"
"Slightly Expensive","1984","in school","10","","","","4"
"Slightly Expensive","1984","inadequately","6","","","","4"
"Slightly Expensive","1984","general elemantary","90","0.0666832907664776","0.0530058231074254","0.0803607584255297","4"
"Slightly Expensive","1984","vocational + Abi","4","","","","4"
"Slightly Expensive","1984","higher vocational","34","0.0953912236102953","0.0636491897698462","0.127133257450744","4"
"Too Expensive","1984","higher education","11","","","","5"
"Too Expensive","1984","vocational + Abi","4","","","","5"
"Too Expensive","1984","higher vocational","8","","","","5"
"Too Expensive","1984","middle vocational","62","0.0264756887110917","0.0198123376735939","0.0331390397485895","5"
"Too Expensive","1984","in school","4","","","","5"
"Too Expensive","1984","inadequately","1","","","","5"
"Too Expensive","1984","general elemantary","37","0.0271113120453843","0.0182072227066238","0.0360154013841449","5"
"Very Inexpensive","1984","in school","24","","","","1"
"Very Inexpensive","1984","inadequately","8","","","","1"
"Very Inexpensive","1984","general elemantary","332","0.270863604810321","0.246498831250512","0.295228378370129","1"
"Very Inexpensive","1984","middle vocational","572","0.263551602425953","0.245266405125009","0.281836799726897","1"
"Very Inexpensive","1984","vocational + Abi","16","","","","1"
"Very Inexpensive","1984","higher vocational","82","0.258670460639782","0.211352151957875","0.30598876932169","1"
"Very Inexpensive","1984","higher education","79","0.238679560098087","0.194020926793863","0.283338193402311","1"
"Inexpensive","1985","inadequately","18","","","","2"
"Inexpensive","1985","middle vocational","664","0.320925285608912","0.301020427297071","0.340830143920754","2"
"Inexpensive","1985","vocational + Abi","16","","","","2"
"Inexpensive","1985","higher education","98","0.28339295369581","0.236181309027586","0.330604598364035","2"
