"hlf0094","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Full Time","indirect migration background","4","","","","2"
"Inexpensive","1984","Not Working","no migration background","540","0.315311615284405","0.293486066606841","0.33713716396197","2"
"Inexpensive","1984","Full Time","direct migration background","46","0.359183578501866","0.283655698500695","0.434711458503036","2"
"Inexpensive","1984","Part Time","indirect migration background","2","","","","2"
"Inexpensive","1984","Full Time","no migration background","540","0.315394921108886","0.293617793681034","0.337172048536739","2"
"Inexpensive","1984","Part Time","direct migration background","19","","","","2"
"Inexpensive","1984","Not Working","indirect migration background","3","","","","2"
"Inexpensive","1984","Part Time","no migration background","187","0.311380720765855","0.274724026081088","0.348037415450622","2"
"Inexpensive","1984","Not Working","direct migration background","21","","","","2"
"Reasonable","1984","Full Time","direct migration background","66","0.336422896629646","0.262040406891902","0.410805386367391","3"
"Reasonable","1984","Full Time","indirect migration background","7","","","","3"
"Reasonable","1984","Part Time","indirect migration background","1","","","","3"
"Reasonable","1984","Not Working","no migration background","561","0.317156771935032","0.295296970973316","0.339016572896748","3"
"Reasonable","1984","Not Working","direct migration background","31","0.305911792180084","0.206779650930383","0.405043933429784","3"
"Reasonable","1984","Not Working","indirect migration background","9","","","","3"
"Reasonable","1984","Full Time","no migration background","576","0.321655730771815","0.29976431178458","0.34354714975905","3"
"Reasonable","1984","Part Time","no migration background","211","0.342551722119876","0.304984271223716","0.380119173016036","3"
"Reasonable","1984","Part Time","direct migration background","21","","","","3"
"Slightly Expensive","1984","Full Time","direct migration background","21","","","","4"
"Slightly Expensive","1984","Full Time","indirect migration background","","","","","4"
"Slightly Expensive","1984","Not Working","direct migration background","9","","","","4"
"Slightly Expensive","1984","Part Time","indirect migration background","","","","","4"
"Slightly Expensive","1984","Not Working","indirect migration background","","","","","4"
"Slightly Expensive","1984","Full Time","no migration background","147","0.0825977131785355","0.0696968993727632","0.0954985269843078","4"
"Slightly Expensive","1984","Part Time","no migration background","51","0.0799899630761263","0.0585150267607998","0.101464899391453","4"
"Slightly Expensive","1984","Part Time","direct migration background","7","","","","4"
"Slightly Expensive","1984","Not Working","no migration background","107","0.0578007445416499","0.0468388202030306","0.0687626688802692","4"
"Too Expensive","1984","Part Time","direct migration background","2","","","","5"
"Too Expensive","1984","Full Time","no migration background","63","0.0352757004447243","0.0266301506173593","0.0439212502720893","5"
"Too Expensive","1984","Part Time","no migration background","23","","","","5"
"Too Expensive","1984","Full Time","direct migration background","3","","","","5"
"Too Expensive","1984","Full Time","indirect migration background","","","","","5"
"Too Expensive","1984","Part Time","indirect migration background","","","","","5"
"Too Expensive","1984","Not Working","no migration background","33","0.0156957262332812","0.00985718840475891","0.0215342640618036","5"
"Too Expensive","1984","Not Working","direct migration background","3","","","","5"
"Too Expensive","1984","Not Working","indirect migration background","","","","","5"
