"hlf0094","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Female","684","0.316603408811477","0.2972801794717","0.335926638151254","2"
"Inexpensive","1984","Male","678","0.314785045412998","0.295400114546782","0.334169976279214","2"
"Reasonable","1984","Female","742","0.319406817488335","0.300038076164595","0.338775558812075","3"
"Reasonable","1984","Male","741","0.326981412650113","0.307401134526609","0.346561690773617","3"
"Slightly Expensive","1984","Male","174","0.0751291328012631","0.0641267048849994","0.0861315607175269","4"
"Slightly Expensive","1984","Female","168","0.0683624482672071","0.0578786704684782","0.0788462260659359","4"
"Too Expensive","1984","Female","59","0.0237098050625889","0.0173894865299504","0.0300301235952275","5"
"Too Expensive","1984","Male","68","0.0301645693216931","0.0230255035742756","0.0373036350691107","5"
"Very Inexpensive","1984","Male","544","0.252939839813932","0.234795958262336","0.271083721365529","1"
"Very Inexpensive","1984","Female","573","0.271917520370393","0.253433586892535","0.29040145384825","1"
"Inexpensive","1985","Male","634","0.306717341011637","0.287004189077193","0.326430492946081","2"
"Inexpensive","1985","Female","659","0.31940083305636","0.299492745043761","0.339308921068959","2"
"Reasonable","1985","Male","768","0.356294653644423","0.335821726257123","0.376767581031724","3"
"Reasonable","1985","Female","743","0.343738783643378","0.32345875982627","0.364018807460487","3"
"Slightly Expensive","1985","Male","174","0.0747755303482728","0.0635311625892599","0.0860198981072856","4"
"Slightly Expensive","1985","Female","176","0.0764306761577062","0.0650862005986747","0.0877751517167378","4"
"Too Expensive","1985","Male","53","0.0251460963635091","0.0184528503120101","0.0318393424150081","5"
"Too Expensive","1985","Female","47","0.0205665499158089","0.0145063910218295","0.0266267088097883","5"
"Very Inexpensive","1985","Male","473","0.237066378632158","0.21888569979753","0.255247057466786","1"
"Very Inexpensive","1985","Female","482","0.239863157226747","0.221630772036614","0.258095542416879","1"
"Inexpensive","1986","Male","652","0.31028063276088","0.290776158326645","0.329785107195115","2"
"Inexpensive","1986","Female","659","0.317867474662298","0.298207548673042","0.337527400651554","2"
"Reasonable","1986","Male","858","0.393378622033232","0.372782524463137","0.413974719603328","3"
"Reasonable","1986","Female","833","0.377485997308593","0.357019221172411","0.397952773444775","3"
"Slightly Expensive","1986","Male","214","0.0922790891782124","0.0800765972984217","0.104481581058003","4"
"Slightly Expensive","1986","Female","208","0.0871922905824727","0.0752811555823758","0.0991034255825695","4"
"Too Expensive","1986","Male","61","0.0255219256073013","0.0188728164492871","0.0321710347653155","5"
"Too Expensive","1986","Female","57","0.0235366326503345","0.0171359750440797","0.0299372902565892","5"
"Very Inexpensive","1986","Male","376","0.178539730420373","0.162393117780195","0.194686343060552","1"
"Very Inexpensive","1986","Female","398","0.193917604796302","0.177225050749886","0.210610158842718","1"
"Inexpensive","1987","Male","720","0.336825403250424","0.316847715481962","0.356803091018887","2"
"Inexpensive","1987","Female","733","0.357581008072316","0.337245862231341","0.377916153913292","2"
"Reasonable","1987","Male","801","0.373899428785218","0.353447780664265","0.394351076906172","3"
"Reasonable","1987","Female","788","0.366393141909802","0.34595061932813","0.386835664491474","3"
"Slightly Expensive","1987","Male","195","0.0825781139716086","0.0709436631254019","0.0942125648178153","4"
"Slightly Expensive","1987","Female","182","0.0738614658170864","0.0627646642058272","0.0849582674283456","4"
"Too Expensive","1987","Male","58","0.026728183711142","0.0199105971841619","0.033545770238122","5"
