"hlf0094","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1985","in school","Urban Area","7","","",""
"Very Inexpensive","1985","in school","Rural Area","10","","",""
"Very Inexpensive","1985","inadequately","Urban Area","2","","",""
"Very Inexpensive","1985","inadequately","Rural Area","3","","",""
"Very Inexpensive","1985","general elemantary","Urban Area","179","0.252092206904342","0.220954148456334","0.28323026535235"
"Very Inexpensive","1985","general elemantary","Rural Area","103","0.247660634485058","0.206030439113181","0.289290829856935"
"Very Inexpensive","1985","middle vocational","Urban Area","325","0.235955166098589","0.214301471344749","0.257608860852428"
"Very Inexpensive","1985","middle vocational","Rural Area","154","0.247585774938099","0.214042081806038","0.28112946807016"
"Very Inexpensive","1985","vocational + Abi","Urban Area","15","","",""
"Very Inexpensive","1985","vocational + Abi","Rural Area","4","","",""
"Very Inexpensive","1985","higher vocational","Urban Area","55","0.232071709360268","0.178438838222296","0.28570458049824"
"Very Inexpensive","1985","higher vocational","Rural Area","18","","",""
"Very Inexpensive","1985","higher education","Urban Area","57","0.209368387592866","0.161627704240729","0.257109070945003"
"Very Inexpensive","1985","higher education","Rural Area","15","","",""
"Inexpensive","1985","in school","Urban Area","27","","",""
"Inexpensive","1985","in school","Rural Area","8","","",""
"Inexpensive","1985","inadequately","Urban Area","11","","",""
"Inexpensive","1985","inadequately","Rural Area","7","","",""
"Inexpensive","1985","general elemantary","Urban Area","249","0.336381775316955","0.302500233008849","0.37026331762506"
"Inexpensive","1985","general elemantary","Rural Area","125","0.307724319526339","0.263210638156248","0.352238000896431"
"Inexpensive","1985","middle vocational","Urban Area","476","0.328296768029493","0.304348182603848","0.352245353455137"
"Inexpensive","1985","middle vocational","Rural Area","188","0.304198529663602","0.268443202225452","0.339953857101752"
"Inexpensive","1985","vocational + Abi","Urban Area","11","","",""
"Inexpensive","1985","vocational + Abi","Rural Area","5","","",""
"Inexpensive","1985","higher vocational","Urban Area","60","0.257487613560229","0.201936900884857","0.313038326235601"
"Inexpensive","1985","higher vocational","Rural Area","20","","",""
"Inexpensive","1985","higher education","Urban Area","84","0.304161780965337","0.250179348513541","0.358144213417132"
"Inexpensive","1985","higher education","Rural Area","14","","",""
"Reasonable","1985","in school","Urban Area","26","","",""
"Reasonable","1985","in school","Rural Area","10","","",""
"Reasonable","1985","inadequately","Urban Area","19","","",""
"Reasonable","1985","inadequately","Rural Area","12","","",""
"Reasonable","1985","general elemantary","Urban Area","250","0.32592518059307","0.292312681806964","0.359537679379175"
"Reasonable","1985","general elemantary","Rural Area","146","0.354897492959333","0.308750979317462","0.401044006601205"
"Reasonable","1985","middle vocational","Urban Area","506","0.326392728288428","0.302479871438409","0.350305585138446"
"Reasonable","1985","middle vocational","Rural Area","230","0.352214843321701","0.315092203080809","0.389337483562594"
"Reasonable","1985","vocational + Abi","Urban Area","32","0.471843308096583","0.350484387197676","0.59320222899549"
"Reasonable","1985","vocational + Abi","Rural Area","5","","",""
"Reasonable","1985","higher vocational","Urban Area","97","0.412185814040963","0.349650380599404","0.474721247482522"
"Reasonable","1985","higher vocational","Rural Area","28","","",""
"Reasonable","1985","higher education","Urban Area","110","0.398050034495464","0.34061260187262","0.455487467118307"
"Reasonable","1985","higher education","Rural Area","29","","",""
"Slightly Expensive","1985","in school","Urban Area","5","","",""
"Slightly Expensive","1985","in school","Rural Area","3","","",""
"Slightly Expensive","1985","inadequately","Urban Area","10","","",""
"Slightly Expensive","1985","inadequately","Rural Area","1","","",""
"Slightly Expensive","1985","general elemantary","Urban Area","52","0.0631967923512461","0.0457482363182336","0.0806453483842586"
"Slightly Expensive","1985","general elemantary","Rural Area","30","0.0690559933948928","0.0446028027422984","0.0935091840474871"
"Slightly Expensive","1985","middle vocational","Urban Area","136","0.085962911138331","0.0716675441220002","0.100258278154662"
"Slightly Expensive","1985","middle vocational","Rural Area","46","0.0687776317458741","0.0491091950826912","0.088446068409057"
"Slightly Expensive","1985","vocational + Abi","Urban Area","5","","",""
"Slightly Expensive","1985","vocational + Abi","Rural Area","1","","",""
"Slightly Expensive","1985","higher vocational","Urban Area","23","","",""
"Slightly Expensive","1985","higher vocational","Rural Area","6","","",""
"Slightly Expensive","1985","higher education","Urban Area","23","","",""
"Slightly Expensive","1985","higher education","Rural Area","7","","",""
"Too Expensive","1985","in school","Urban Area","2","","",""
"Too Expensive","1985","in school","Rural Area","","","",""
"Too Expensive","1985","inadequately","Urban Area","1","","",""
"Too Expensive","1985","inadequately","Rural Area","1","","",""
"Too Expensive","1985","general elemantary","Urban Area","17","","",""
"Too Expensive","1985","general elemantary","Rural Area","9","","",""
"Too Expensive","1985","middle vocational","Urban Area","34","0.0233924264451599","0.0156841812018038","0.0311006716885159"
"Too Expensive","1985","middle vocational","Rural Area","18","","",""
"Too Expensive","1985","vocational + Abi","Urban Area","2","","",""
"Too Expensive","1985","vocational + Abi","Rural Area","","","",""
"Too Expensive","1985","higher vocational","Urban Area","3","","",""
"Too Expensive","1985","higher vocational","Rural Area","2","","",""
"Too Expensive","1985","higher education","Urban Area","5","","",""
"Too Expensive","1985","higher education","Rural Area","6","","",""
"Very Inexpensive","1986","in school","Urban Area","18","","",""
"Very Inexpensive","1986","in school","Rural Area","3","","",""
"Very Inexpensive","1986","inadequately","Urban Area","3","","",""
"Very Inexpensive","1986","inadequately","Rural Area","4","","",""
"Very Inexpensive","1986","general elemantary","Urban Area","144","0.202934258022279","0.174284239505946","0.231584276538612"
"Very Inexpensive","1986","general elemantary","Rural Area","79","0.205009081099588","0.16549575960021","0.244522402598966"
"Very Inexpensive","1986","middle vocational","Urban Area","279","0.18662549219452","0.16698073703576","0.206270247353279"
"Very Inexpensive","1986","middle vocational","Rural Area","115","0.179639560721368","0.150658018688661","0.208621102754076"
"Very Inexpensive","1986","vocational + Abi","Urban Area","6","","",""
"Very Inexpensive","1986","vocational + Abi","Rural Area","3","","",""
"Very Inexpensive","1986","higher vocational","Urban Area","36","0.149845568563366","0.104114534073965","0.195576603052768"
"Very Inexpensive","1986","higher vocational","Rural Area","18","","",""
"Very Inexpensive","1986","higher education","Urban Area","49","0.172791537574127","0.128975430080176","0.216607645068077"
"Very Inexpensive","1986","higher education","Rural Area","16","","",""
"Inexpensive","1986","in school","Urban Area","22","","",""
"Inexpensive","1986","in school","Rural Area","5","","",""
"Inexpensive","1986","inadequately","Urban Area","10","","",""
"Inexpensive","1986","inadequately","Rural Area","7","","",""
"Inexpensive","1986","general elemantary","Urban Area","246","0.339561917782357","0.305827307764374","0.37329652780034"
"Inexpensive","1986","general elemantary","Rural Area","126","0.33032265953664","0.284288746805565","0.376356572267714"
"Inexpensive","1986","middle vocational","Urban Area","472","0.323862061631135","0.300267411087578","0.347456712174691"
"Inexpensive","1986","middle vocational","Rural Area","197","0.300769416727028","0.266147971955384","0.335390861498672"
"Inexpensive","1986","vocational + Abi","Urban Area","23","","",""
"Inexpensive","1986","vocational + Abi","Rural Area","3","","",""
"Inexpensive","1986","higher vocational","Urban Area","69","0.292756731963341","0.234455461503415","0.351058002423267"
"Inexpensive","1986","higher vocational","Rural Area","18","","",""
"Inexpensive","1986","higher education","Urban Area","79","0.284452250875978","0.232165811055431","0.336738690696524"
"Inexpensive","1986","higher education","Rural Area","20","","",""
"Reasonable","1986","in school","Urban Area","34","0.392404160678514","0.289800545744274","0.495007775612755"
"Reasonable","1986","in school","Rural Area","10","","",""
"Reasonable","1986","inadequately","Urban Area","26","","",""
"Reasonable","1986","inadequately","Rural Area","9","","",""
"Reasonable","1986","general elemantary","Urban Area","291","0.37354047087734","0.339080453502807","0.408000488251873"
"Reasonable","1986","general elemantary","Rural Area","154","0.359086093414013","0.312131828561069","0.406040358266957"
"Reasonable","1986","middle vocational","Urban Area","578","0.382184326306023","0.357683442201878","0.406685210410167"
"Reasonable","1986","middle vocational","Rural Area","260","0.376933683445614","0.340347445565185","0.413519921326043"
"Reasonable","1986","vocational + Abi","Urban Area","28","","",""
"Reasonable","1986","vocational + Abi","Rural Area","8","","",""
"Reasonable","1986","higher vocational","Urban Area","93","0.411374423582399","0.3483253992929","0.474423447871899"
"Reasonable","1986","higher vocational","Rural Area","29","","",""
"Reasonable","1986","higher education","Urban Area","122","0.421979256574365","0.364741534979228","0.479216978169502"
"Reasonable","1986","higher education","Rural Area","37","0.439665854956879","0.334148586117733","0.545183123796026"
"Slightly Expensive","1986","in school","Urban Area","11","","",""
"Slightly Expensive","1986","in school","Rural Area","1","","",""
"Slightly Expensive","1986","inadequately","Urban Area","6","","",""
"Slightly Expensive","1986","inadequately","Rural Area","","","",""
"Slightly Expensive","1986","general elemantary","Urban Area","56","0.0630077885853212","0.0456990563155147","0.0803165208551276"
"Slightly Expensive","1986","general elemantary","Rural Area","28","","",""
"Slightly Expensive","1986","middle vocational","Urban Area","144","0.0846658303009317","0.0706292995243508","0.0987023610775125"
"Slightly Expensive","1986","middle vocational","Rural Area","76","0.110498675904272","0.08683021710813","0.134167134700413"
"Slightly Expensive","1986","vocational + Abi","Urban Area","9","","",""
"Slightly Expensive","1986","vocational + Abi","Rural Area","4","","",""
"Slightly Expensive","1986","higher vocational","Urban Area","31","0.126037768241846","0.0835135001891578","0.168562036294535"
"Slightly Expensive","1986","higher vocational","Rural Area","9","","",""
"Slightly Expensive","1986","higher education","Urban Area","36","0.120776954975531","0.0830104632160857","0.158543446734976"
"Slightly Expensive","1986","higher education","Rural Area","7","","",""
"Too Expensive","1986","in school","Urban Area","2","","",""
"Too Expensive","1986","in school","Rural Area","1","","",""
"Too Expensive","1986","inadequately","Urban Area","2","","",""
"Too Expensive","1986","inadequately","Rural Area","","","",""
"Too Expensive","1986","general elemantary","Urban Area","20","","",""
"Too Expensive","1986","general elemantary","Rural Area","14","","",""
"Too Expensive","1986","middle vocational","Urban Area","38","0.0226622895673914","0.0151583370169858","0.030166242117797"
"Too Expensive","1986","middle vocational","Rural Area","26","","",""
"Too Expensive","1986","vocational + Abi","Urban Area","3","","",""
"Too Expensive","1986","vocational + Abi","Rural Area","1","","",""
"Too Expensive","1986","higher vocational","Urban Area","5","","",""
"Too Expensive","1986","higher vocational","Rural Area","1","","",""
"Too Expensive","1986","higher education","Urban Area","","","",""
"Too Expensive","1986","higher education","Rural Area","5","","",""
"Very Inexpensive","1987","in school","Urban Area","9","","",""
"Very Inexpensive","1987","in school","Rural Area","5","","",""
"Very Inexpensive","1987","inadequately","Urban Area","4","","",""
"Very Inexpensive","1987","inadequately","Rural Area","2","","",""
"Very Inexpensive","1987","general elemantary","Urban Area","131","0.1827663902186","0.155088788283595","0.210443992153604"
"Very Inexpensive","1987","general elemantary","Rural Area","79","0.20811917622404","0.167355666890908","0.248882685557172"
"Very Inexpensive","1987","middle vocational","Urban Area","257","0.172774564992257","0.153953938075829","0.191595191908685"
"Very Inexpensive","1987","middle vocational","Rural Area","125","0.184758614491236","0.154922870615806","0.214594358366665"
"Very Inexpensive","1987","vocational + Abi","Urban Area","9","","",""
"Very Inexpensive","1987","vocational + Abi","Rural Area","5","","",""
"Very Inexpensive","1987","higher vocational","Urban Area","33","0.12779164983485","0.0845510501420615","0.171032249527639"
"Very Inexpensive","1987","higher vocational","Rural Area","15","","",""
"Very Inexpensive","1987","higher education","Urban Area","54","0.184394589811483","0.139449814802327","0.229339364820639"
"Very Inexpensive","1987","higher education","Rural Area","18","","",""
"Inexpensive","1987","in school","Urban Area","23","","",""
"Inexpensive","1987","in school","Rural Area","3","","",""
"Inexpensive","1987","inadequately","Urban Area","13","","",""
"Inexpensive","1987","inadequately","Rural Area","8","","",""
"Inexpensive","1987","general elemantary","Urban Area","279","0.383035050617219","0.348220829237338","0.417849271997101"
"Inexpensive","1987","general elemantary","Rural Area","129","0.346970176329699","0.299173446439462","0.394766906219936"
"Inexpensive","1987","middle vocational","Urban Area","546","0.35909620608382","0.335213470437491","0.382978941730149"
"Inexpensive","1987","middle vocational","Rural Area","213","0.327292525035182","0.291220328976397","0.363364721093967"
"Inexpensive","1987","vocational + Abi","Urban Area","22","","",""
"Inexpensive","1987","vocational + Abi","Rural Area","2","","",""
"Inexpensive","1987","higher vocational","Urban Area","77","0.347922138630801","0.286231238106626","0.409613039154976"
"Inexpensive","1987","higher vocational","Rural Area","20","","",""
"Inexpensive","1987","higher education","Urban Area","86","0.315179508786727","0.261336113875016","0.369022903698439"
"Inexpensive","1987","higher education","Rural Area","21","","",""
"Reasonable","1987","in school","Urban Area","30","0.376318519890427","0.27015817579303","0.482478863987824"
"Reasonable","1987","in school","Rural Area","6","","",""
"Reasonable","1987","inadequately","Urban Area","31","0.418878666001722","0.286051261380988","0.551706070622456"
"Reasonable","1987","inadequately","Rural Area","3","","",""
"Reasonable","1987","general elemantary","Urban Area","266","0.346350404813045","0.312275274118864","0.380425535507225"
"Reasonable","1987","general elemantary","Rural Area","138","0.364341970250717","0.316019183356108","0.412664757145326"
"Reasonable","1987","middle vocational","Urban Area","558","0.359335158576638","0.335448932214274","0.383221384939002"
"Reasonable","1987","middle vocational","Rural Area","237","0.385499188297576","0.348082583476532","0.422915793118619"
"Reasonable","1987","vocational + Abi","Urban Area","34","0.466943513798053","0.351704208259098","0.582182819337009"
"Reasonable","1987","vocational + Abi","Rural Area","11","","",""
"Reasonable","1987","higher vocational","Urban Area","87","0.396053292778557","0.332709148598442","0.459397436958672"
"Reasonable","1987","higher vocational","Rural Area","25","","",""
"Reasonable","1987","higher education","Urban Area","113","0.385861009945834","0.329443507288936","0.442278512602731"
"Reasonable","1987","higher education","Rural Area","36","0.4084042547692","0.301360032414714","0.515448477123687"
"Slightly Expensive","1987","in school","Urban Area","15","","",""
"Slightly Expensive","1987","in school","Rural Area","3","","",""
"Slightly Expensive","1987","inadequately","Urban Area","5","","",""
"Slightly Expensive","1987","inadequately","Rural Area","1","","",""
"Slightly Expensive","1987","general elemantary","Urban Area","53","0.0609046511865684","0.0437774161698993","0.0780318862032374"
"Slightly Expensive","1987","general elemantary","Rural Area","21","","",""
"Slightly Expensive","1987","middle vocational","Urban Area","153","0.0859709899450721","0.0720157214794736","0.0999262584106707"
"Slightly Expensive","1987","middle vocational","Rural Area","62","0.0845229813834063","0.0631383120239392","0.105907650742873"
"Slightly Expensive","1987","vocational + Abi","Urban Area","5","","",""
"Slightly Expensive","1987","vocational + Abi","Rural Area","1","","",""
"Slightly Expensive","1987","higher vocational","Urban Area","20","","",""
"Slightly Expensive","1987","higher vocational","Rural Area","9","","",""
"Slightly Expensive","1987","higher education","Urban Area","25","","",""
"Slightly Expensive","1987","higher education","Rural Area","3","","",""
"Too Expensive","1987","in school","Urban Area","3","","",""
"Too Expensive","1987","in school","Rural Area","1","","",""
"Too Expensive","1987","inadequately","Urban Area","","","",""
"Too Expensive","1987","inadequately","Rural Area","1","","",""
"Too Expensive","1987","general elemantary","Urban Area","20","","",""
"Too Expensive","1987","general elemantary","Rural Area","14","","",""
"Too Expensive","1987","middle vocational","Urban Area","36","0.0228230804022125","0.0153885083915937","0.0302576524128312"
"Too Expensive","1987","middle vocational","Rural Area","13","","",""
"Too Expensive","1987","vocational + Abi","Urban Area","2","","",""
"Too Expensive","1987","vocational + Abi","Rural Area","","","",""
"Too Expensive","1987","higher vocational","Urban Area","12","","",""
"Too Expensive","1987","higher vocational","Rural Area","","","",""
"Too Expensive","1987","higher education","Urban Area","8","","",""
"Too Expensive","1987","higher education","Rural Area","3","","",""
"Very Inexpensive","1988","in school","Urban Area","7","","",""
"Very Inexpensive","1988","in school","Rural Area","4","","",""
"Very Inexpensive","1988","inadequately","Urban Area","4","","",""
"Very Inexpensive","1988","inadequately","Rural Area","1","","",""
"Very Inexpensive","1988","general elemantary","Urban Area","145","0.208634937279978","0.178338537587923","0.238931336972033"
"Very Inexpensive","1988","general elemantary","Rural Area","60","0.19435744986704","0.151599001613545","0.237115898120536"
"Very Inexpensive","1988","middle vocational","Urban Area","269","0.183134475164946","0.163593772393855","0.202675177936038"
