"hlf0094","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","(Married) couple without C. ","indirect migration background","2","","","","2"
"Inexpensive","1984","Couple + C. LE 16 ","no migration background","238","0.295214524540904","0.263955978576046","0.326473070505763","2"
"Inexpensive","1984","(Married) couple without C. ","direct migration background","14","","","","2"
"Inexpensive","1984","(Married) couple without C. ","no migration background","294","0.322977804669466","0.292794247334637","0.353161362004296","2"
"Inexpensive","1984","1-pers.-HH","direct migration background","2","","","","2"
"Inexpensive","1984","Single parent ","indirect migration background","","","","","2"
"Inexpensive","1984","1-pers.-HH","no migration background","72","0.325952308111375","0.264706104298154","0.387198511924597","2"
"Inexpensive","1984","Couple + C. GT 16 ","no migration background","303","0.336789528922455","0.306116571674299","0.367462486170611","2"
"Inexpensive","1984","1-pers.-HH","indirect migration background","","","","","2"
"Inexpensive","1984","Single parent ","direct migration background","","","","","2"
"Inexpensive","1984","Couple + C. LE 16 ","direct migration background","31","0.329745693499989","0.238955518883003","0.420535868116976","2"
"Inexpensive","1984","Couple + C. LE 16 ","indirect migration background","4","","","","2"
"Inexpensive","1984","Couple + C. GT 16 ","direct migration background","15","","","","2"
"Inexpensive","1984","Couple + C. LE and GT 16","direct migration background","21","","","","2"
"Inexpensive","1984","Couple + C. LE and GT 16","indirect migration background","1","","","","2"
"Inexpensive","1984","Single parent ","no migration background","63","0.385411649915788","0.310696466028532","0.460126833803043","2"
"Inexpensive","1984","Couple + C. GT 16 ","indirect migration background","2","","","","2"
"Inexpensive","1984","Couple + C. LE and GT 16","no migration background","206","0.299467167129333","0.265609324421854","0.333325009836812","2"
"Reasonable","1984","(Married) couple without C. ","direct migration background","9","","","","3"
"Reasonable","1984","Couple + C. GT 16 ","direct migration background","35","0.48515050408569","0.367226576593873","0.603074431577507","3"
"Reasonable","1984","Couple + C. GT 16 ","indirect migration background","7","","","","3"
"Reasonable","1984","Couple + C. LE and GT 16","indirect migration background","1","","","","3"
"Reasonable","1984","Couple + C. LE and GT 16","direct migration background","11","","","","3"
"Reasonable","1984","1-pers.-HH","no migration background","62","0.273333808556349","0.21510056432352","0.331567052789178","3"
"Reasonable","1984","1-pers.-HH","direct migration background","3","","","","3"
"Reasonable","1984","1-pers.-HH","indirect migration background","","","","","3"
"Reasonable","1984","(Married) couple without C. ","no migration background","305","0.327090991064857","0.296808256269214","0.357373725860501","3"
"Reasonable","1984","(Married) couple without C. ","indirect migration background","3","","","","3"
"Reasonable","1984","Single parent ","no migration background","54","0.333306779818352","0.260939977630933","0.405673582005771","3"
"Reasonable","1984","Single parent ","direct migration background","4","","","","3"
"Reasonable","1984","Single parent ","indirect migration background","2","","","","3"
"Reasonable","1984","Couple + C. LE 16 ","no migration background","315","0.38211950558459","0.348821111760454","0.415417899408726","3"
