"hlf0094","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1985","Urban Area","645","0.23345996332501","0.218155515459723","0.248764411190297"
"Very Inexpensive","1985","Rural Area","310","0.249574433276404","0.225810559618214","0.273338306934594"
"Inexpensive","1985","Urban Area","924","0.322314886367439","0.305406654560796","0.339223118174082"
"Inexpensive","1985","Rural Area","369","0.29285903229087","0.267870215799107","0.317847848782633"
"Reasonable","1985","Urban Area","1047","0.344981690543414","0.327784053410627","0.362179327676202"
"Reasonable","1985","Rural Area","464","0.360895678520989","0.33452385899846","0.387267498043518"
"Slightly Expensive","1985","Urban Area","255","0.0779482276494498","0.068249275557424","0.0876471797414756"
"Slightly Expensive","1985","Rural Area","95","0.0704548575358968","0.0564023414723229","0.0845073735994707"
"Too Expensive","1985","Urban Area","64","0.0212952321146866","0.0160723397077536","0.0265181245216196"
"Too Expensive","1985","Rural Area","36","0.0262159983758402","0.0174423970647812","0.0349895996868991"
"Very Inexpensive","1986","Urban Area","536","0.183680134695726","0.169851417840281","0.197508851551171"
"Very Inexpensive","1986","Rural Area","238","0.192087432126143","0.170705795097152","0.213469069155134"
"Inexpensive","1986","Urban Area","930","0.320328466366128","0.303664901555161","0.336992031177096"
"Inexpensive","1986","Rural Area","381","0.300428017879678","0.275545420328326","0.325310615431029"
"Reasonable","1986","Urban Area","1180","0.387444211368251","0.370046263717842","0.40484215901866"
"Reasonable","1986","Rural Area","511","0.380746580641999","0.354391672438234","0.407101488845764"
"Slightly Expensive","1986","Urban Area","296","0.0883198071253981","0.0781860399299385","0.0984535743208577"
"Slightly Expensive","1986","Rural Area","126","0.0927704792019982","0.0770243872938294","0.108516571110167"
"Too Expensive","1986","Urban Area","70","0.0202273804444966","0.0151998688826152","0.025254892006378"
"Too Expensive","1986","Rural Area","48","0.033967490150182","0.0241356027675389","0.0437993775328251"
"Very Inexpensive","1987","Urban Area","500","0.170212527552525","0.156859605551113","0.183565449553936"
"Very Inexpensive","1987","Rural Area","250","0.197847107728937","0.175682725550431","0.220011489907443"
"Inexpensive","1987","Urban Area","1055","0.357313445415287","0.34028710150587","0.374339789324703"
"Inexpensive","1987","Rural Area","398","0.324271838974544","0.298228130412662","0.350315547536426"
"Reasonable","1987","Urban Area","1130","0.365259845218647","0.348151970276512","0.382367720160783"
"Reasonable","1987","Rural Area","459","0.381253862184281","0.35423135899568","0.408276365372881"
"Slightly Expensive","1987","Urban Area","277","0.0803733432975196","0.0707137485295719","0.0900329380654674"
