"hlf0094","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","1-pers.-HH","Male","20","","",""
"Very Inexpensive","1984","1-pers.-HH","Female","58","0.351002094884939","0.278829893568199","0.42317429620168"
"Very Inexpensive","1984","(Married) couple without C. ","Male","138","0.29087862556531","0.250458894972233","0.331298356158386"
"Very Inexpensive","1984","(Married) couple without C. ","Female","138","0.285503120440767","0.245348497307198","0.325657743574335"
"Very Inexpensive","1984","Single parent ","Male","14","","",""
"Very Inexpensive","1984","Single parent ","Female","23","","",""
"Very Inexpensive","1984","Couple + C. LE 16 ","Male","82","0.18795103233182","0.152480427032573","0.223421637631066"
"Very Inexpensive","1984","Couple + C. LE 16 ","Female","81","0.187072620709142","0.151512920265261","0.222632321153023"
"Very Inexpensive","1984","Couple + C. GT 16 ","Male","152","0.279699722499813","0.242085054178855","0.317314390820772"
"Very Inexpensive","1984","Couple + C. GT 16 ","Female","120","0.279443223648701","0.237891410557224","0.320995036740178"
"Very Inexpensive","1984","Couple + C. LE and GT 16","Male","99","0.247766139161674","0.205875650592852","0.289656627730497"
"Very Inexpensive","1984","Couple + C. LE and GT 16","Female","95","0.283093638510792","0.235348263346224","0.330839013675359"
"Inexpensive","1984","1-pers.-HH","Male","21","","",""
"Inexpensive","1984","1-pers.-HH","Female","53","0.317338961695268","0.246957593224685","0.38772033016585"
"Inexpensive","1984","(Married) couple without C. ","Male","155","0.323722164405248","0.282080697841534","0.365363630968962"
"Inexpensive","1984","(Married) couple without C. ","Female","155","0.325706866583397","0.284042212336435","0.36737152083036"
"Inexpensive","1984","Single parent ","Male","26","","",""
"Inexpensive","1984","Single parent ","Female","37","0.375782106895318","0.27989257281235","0.471671640978287"
"Inexpensive","1984","Couple + C. LE 16 ","Male","137","0.297735495448949","0.256218989268122","0.339252001629777"
"Inexpensive","1984","Couple + C. LE 16 ","Female","136","0.298198857436279","0.25648434938105","0.339913365491508"
"Inexpensive","1984","Couple + C. GT 16 ","Male","176","0.333817554156165","0.294298585181595","0.373336523130735"
"Inexpensive","1984","Couple + C. GT 16 ","Female","144","0.343722526457357","0.299742363879737","0.387702689034978"
"Inexpensive","1984","Couple + C. LE and GT 16","Male","126","0.307873028171946","0.263081413537157","0.352664642806735"
"Inexpensive","1984","Couple + C. LE and GT 16","Female","102","0.301590651941168","0.252950043609953","0.350231260272384"
"Reasonable","1984","1-pers.-HH","Male","16","","",""
"Reasonable","1984","1-pers.-HH","Female","49","0.284385549333146","0.21616946869578","0.352601629970512"
"Reasonable","1984","(Married) couple without C. ","Male","158","0.319360860734426","0.277867699246689","0.360854022222162"
"Reasonable","1984","(Married) couple without C. ","Female","159","0.323177000312881","0.281596689307081","0.364757311318681"
"Reasonable","1984","Single parent ","Male","29","","",""
"Reasonable","1984","Single parent ","Female","31","0.307382271999688","0.216029598239352","0.398734945760023"
"Reasonable","1984","Couple + C. LE 16 ","Male","181","0.37768174477965","0.333664343389794","0.421699146169506"
"Reasonable","1984","Couple + C. LE 16 ","Female","179","0.378992376489406","0.334754853013177","0.423229899965636"
"Reasonable","1984","Couple + C. GT 16 ","Male","182","0.328119651174978","0.288772207899732","0.367467094450225"
"Reasonable","1984","Couple + C. GT 16 ","Female","147","0.310469318818219","0.267624804307131","0.353313833329306"
"Reasonable","1984","Couple + C. LE and GT 16","Male","113","0.270152290129679","0.22706606354346","0.313238516715898"
"Reasonable","1984","Couple + C. LE and GT 16","Female","93","0.261812438089999","0.215220203802778","0.308404672377219"
"Slightly Expensive","1984","1-pers.-HH","Male","9","","",""
"Slightly Expensive","1984","1-pers.-HH","Female","7","","",""
"Slightly Expensive","1984","(Married) couple without C. ","Male","25","","",""
"Slightly Expensive","1984","(Married) couple without C. ","Female","25","","",""
"Slightly Expensive","1984","Single parent ","Male","3","","",""
"Slightly Expensive","1984","Single parent ","Female","6","","",""
"Slightly Expensive","1984","Couple + C. LE 16 ","Male","50","0.104460286102062","0.0766904598084435","0.13223011239568"
"Slightly Expensive","1984","Couple + C. LE 16 ","Female","50","0.104879045445851","0.0769399508428638","0.132818140048838"
"Slightly Expensive","1984","Couple + C. GT 16 ","Male","26","","",""
"Slightly Expensive","1984","Couple + C. GT 16 ","Female","30","0.0533792626602884","0.0325639290219696","0.0741945962986072"
"Slightly Expensive","1984","Couple + C. LE and GT 16","Male","53","0.132128509997964","0.0992702933219697","0.164986726673959"
"Slightly Expensive","1984","Couple + C. LE and GT 16","Female","37","0.10877396843974","0.075775676820047","0.141772260059433"
"Too Expensive","1984","1-pers.-HH","Male","1","","",""
"Too Expensive","1984","1-pers.-HH","Female","1","","",""
"Too Expensive","1984","(Married) couple without C. ","Male","9","","",""
"Too Expensive","1984","(Married) couple without C. ","Female","9","","",""
"Too Expensive","1984","Single parent ","Male","2","","",""
"Too Expensive","1984","Single parent ","Female","1","","",""
"Too Expensive","1984","Couple + C. LE 16 ","Male","16","","",""
"Too Expensive","1984","Couple + C. LE 16 ","Female","16","","",""
"Too Expensive","1984","Couple + C. GT 16 ","Male","11","","",""
"Too Expensive","1984","Couple + C. GT 16 ","Female","7","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","Male","17","","",""
"Too Expensive","1984","Couple + C. LE and GT 16","Female","15","","",""
"Very Inexpensive","1985","1-pers.-HH","Male","18","","",""
"Very Inexpensive","1985","1-pers.-HH","Female","41","0.275975027166461","0.202965672390826","0.348984381942096"
"Very Inexpensive","1985","(Married) couple without C. ","Male","123","0.300915564556728","0.257361325164009","0.344469803949448"
"Very Inexpensive","1985","(Married) couple without C. ","Female","125","0.305720922539679","0.262022699896306","0.349419145183052"
"Very Inexpensive","1985","Single parent ","Male","17","","",""
"Very Inexpensive","1985","Single parent ","Female","24","","",""
"Very Inexpensive","1985","Couple + C. LE 16 ","Male","71","0.179512990624727","0.143530504359523","0.21549547688993"
"Very Inexpensive","1985","Couple + C. LE 16 ","Female","71","0.179092901684432","0.143019307254584","0.215166496114279"
"Very Inexpensive","1985","Couple + C. GT 16 ","Male","141","0.231265523814382","0.197386316935065","0.2651447306937"
"Very Inexpensive","1985","Couple + C. GT 16 ","Female","107","0.216308941630703","0.179321499671292","0.253296383590114"
"Very Inexpensive","1985","Couple + C. LE and GT 16","Male","65","0.183500943208908","0.143681812690025","0.223320073727791"
"Very Inexpensive","1985","Couple + C. LE and GT 16","Female","52","0.179591663652468","0.136513588411735","0.222669738893201"
"Inexpensive","1985","1-pers.-HH","Male","15","","",""
"Inexpensive","1985","1-pers.-HH","Female","49","0.348701863444091","0.270865256321475","0.426538470566707"
