"hlf0094","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Not Employed","no migration background","540","0.315311615284405","0.293486066606841","0.33713716396197","2"
"Inexpensive","1984","Not Employed","direct migration background","21","","","","2"
"Inexpensive","1984","Not Employed","indirect migration background","3","","","","2"
"Inexpensive","1984","Employed","no migration background","727","0.314350464998688","0.295627859310219","0.333073070687156","2"
"Inexpensive","1984","Employed","direct migration background","65","0.359009681289661","0.294587250965232","0.423432111614091","2"
"Inexpensive","1984","Employed","indirect migration background","6","","","","2"
"Reasonable","1984","Not Employed","direct migration background","31","0.305911792180084","0.206779650930383","0.405043933429784","3"
"Reasonable","1984","Not Employed","no migration background","561","0.317156771935032","0.295296970973316","0.339016572896748","3"
"Reasonable","1984","Not Employed","indirect migration background","9","","","","3"
"Reasonable","1984","Employed","no migration background","787","0.327092665647281","0.308172663628873","0.346012667665689","3"
"Reasonable","1984","Employed","direct migration background","87","0.324581214450668","0.261702081065041","0.387460347836294","3"
"Reasonable","1984","Employed","indirect migration background","8","","","","3"
"Slightly Expensive","1984","Not Employed","direct migration background","9","","","","4"
"Slightly Expensive","1984","Not Employed","indirect migration background","","","","","4"
"Slightly Expensive","1984","Employed","direct migration background","28","","","","4"
"Slightly Expensive","1984","Not Employed","no migration background","107","0.0578007445416499","0.0468388202030306","0.0687626688802692","4"
"Slightly Expensive","1984","Employed","no migration background","198","0.0819192018199632","0.0708595500564909","0.0929788535834355","4"
"Slightly Expensive","1984","Employed","indirect migration background","","","","","4"
"Too Expensive","1984","Not Employed","no migration background","33","0.0156957262332812","0.00985718840475891","0.0215342640618036","5"
"Too Expensive","1984","Not Employed","direct migration background","3","","","","5"
"Too Expensive","1984","Not Employed","indirect migration background","","","","","5"
"Too Expensive","1984","Employed","no migration background","86","0.0356224032250924","0.0281477111132983","0.0430970953368865","5"
"Too Expensive","1984","Employed","direct migration background","5","","","","5"
"Too Expensive","1984","Employed","indirect migration background","","","","","5"
"Very Inexpensive","1984","Not Employed","no migration background","500","0.294035142005632","0.272633856225867","0.315436427785397","1"
"Very Inexpensive","1984","Not Employed","direct migration background","19","","","","1"
"Very Inexpensive","1984","Not Employed","indirect migration background","5","","","","1"
"Very Inexpensive","1984","Employed","no migration background","564","0.241015264308976","0.223766938797782","0.25826358982017","1"
"Very Inexpensive","1984","Employed","direct migration background","28","","","","1"
"Very Inexpensive","1984","Employed","indirect migration background","1","","","","1"
"Inexpensive","1985","Not Employed","direct migration background","25","","","","2"
"Inexpensive","1985","Not Employed","no migration background","508","0.324168730436788","0.301198124665147","0.347139336208428","2"
"Inexpensive","1985","Not Employed","indirect migration background","3","","","","2"
"Inexpensive","1985","Employed","no migration background","690","0.308877528019357","0.289841493761909","0.327913562276804","2"
"Inexpensive","1985","Employed","direct migration background","66","0.327298519130367","0.264723004863012","0.389874033397722","2"
"Inexpensive","1985","Employed","indirect migration background","1","","","","2"
"Reasonable","1985","Not Employed","direct migration background","36","0.316098693186328","0.227165986886967","0.405031399485689","3"
"Reasonable","1985","Not Employed","no migration background","531","0.323702143851081","0.300740152948761","0.3466641347534","3"
"Reasonable","1985","Not Employed","indirect migration background","6","","","","3"
"Reasonable","1985","Employed","no migration background","845","0.370312845193504","0.350417447741204","0.390208242645803","3"
"Reasonable","1985","Employed","direct migration background","88","0.369864844916154","0.305483566335849","0.434246123496459","3"
"Reasonable","1985","Employed","indirect migration background","5","","","","3"
"Slightly Expensive","1985","Not Employed","direct migration background","19","","","","4"
"Slightly Expensive","1985","Not Employed","no migration background","106","0.0648402151616154","0.0527555984015823","0.0769248319216486","4"
"Slightly Expensive","1985","Not Employed","indirect migration background","","","","","4"
"Slightly Expensive","1985","Employed","direct migration background","28","","","","4"
"Slightly Expensive","1985","Employed","no migration background","194","0.0791669541437776","0.0680427684361902","0.090291139851365","4"
"Slightly Expensive","1985","Employed","indirect migration background","3","","","","4"
"Too Expensive","1985","Not Employed","no migration background","23","","","","5"
"Too Expensive","1985","Not Employed","direct migration background","3","","","","5"
"Too Expensive","1985","Not Employed","indirect migration background","","","","","5"
"Too Expensive","1985","Employed","no migration background","67","0.0300219717558826","0.0229911454580606","0.0370527980537046","5"
"Too Expensive","1985","Employed","direct migration background","6","","","","5"
"Too Expensive","1985","Employed","indirect migration background","1","","","","5"
"Very Inexpensive","1985","Not Employed","no migration background","427","0.273316914912537","0.251445668784674","0.295188161040399","1"
"Very Inexpensive","1985","Not Employed","direct migration background","22","","","","1"
"Very Inexpensive","1985","Not Employed","indirect migration background","5","","","","1"
"Very Inexpensive","1985","Employed","no migration background","467","0.21162070088748","0.194791926258567","0.228449475516392","1"
"Very Inexpensive","1985","Employed","direct migration background","28","","","","1"
"Very Inexpensive","1985","Employed","indirect migration background","6","","","","1"
"Inexpensive","1986","Not Employed","no migration background","524","0.332889172707696","0.31005394897946","0.355724396435931","2"
"Inexpensive","1986","Not Employed","direct migration background","33","0.30521871386032","0.222131016670418","0.388306411050222","2"
"Inexpensive","1986","Not Employed","indirect migration background","2","","","","2"
"Inexpensive","1986","Employed","direct migration background","54","0.288116889909565","0.227859970111682","0.348373809707448","2"
"Inexpensive","1986","Employed","no migration background","694","0.302051472252656","0.28331142784289","0.320791516662423","2"
"Inexpensive","1986","Employed","indirect migration background","4","","","","2"
"Reasonable","1986","Not Employed","direct migration background","39","0.298633820126443","0.216058742168364","0.381208898084523","3"
"Reasonable","1986","Not Employed","no migration background","618","0.3623722075383","0.33907963259748","0.385664782479121","3"
"Reasonable","1986","Not Employed","indirect migration background","6","","","","3"
"Reasonable","1986","Employed","no migration background","931","0.408859866003133","0.388794323623843","0.428925408382423","3"
"Reasonable","1986","Employed","direct migration background","86","0.352071472720637","0.288524159487436","0.415618785953839","3"
"Reasonable","1986","Employed","indirect migration background","11","","","","3"
"Slightly Expensive","1986","Not Employed","no migration background","105","0.0603700510824991","0.0488289926906942","0.071911109474304","4"
"Slightly Expensive","1986","Not Employed","direct migration background","17","","","","4"
"Slightly Expensive","1986","Not Employed","indirect migration background","5","","","","4"
"Slightly Expensive","1986","Employed","no migration background","254","0.106099671587822","0.0935301135447843","0.118669229630859","4"
"Slightly Expensive","1986","Employed","direct migration background","38","0.16332967207783","0.114145206961944","0.212514137193716","4"
"Slightly Expensive","1986","Employed","indirect migration background","3","","","","4"
"Too Expensive","1986","Not Employed","no migration background","31","0.0182355921816707","0.0117519353755594","0.0247192489877819","5"
"Too Expensive","1986","Not Employed","direct migration background","6","","","","5"
"Too Expensive","1986","Not Employed","indirect migration background","1","","","","5"
"Too Expensive","1986","Employed","no migration background","72","0.0283522709597134","0.0215779341564929","0.0351266077629338","5"
"Too Expensive","1986","Employed","direct migration background","8","","","","5"
"Too Expensive","1986","Employed","indirect migration background","","","","","5"
"Very Inexpensive","1986","Not Employed","no migration background","358","0.226132976489834","0.205862145099217","0.246403807880451","1"
"Very Inexpensive","1986","Not Employed","direct migration background","23","","","","1"
"Very Inexpensive","1986","Not Employed","indirect migration background","3","","","","1"
"Very Inexpensive","1986","Employed","no migration background","355","0.154636719196676","0.139879774727958","0.169393663665394","1"
"Very Inexpensive","1986","Employed","direct migration background","31","0.163097252774048","0.113940968882103","0.212253536665993","1"
"Very Inexpensive","1986","Employed","indirect migration background","4","","","","1"
"Inexpensive","1987","Not Employed","no migration background","554","0.382665369300059","0.358142382082511","0.407188356517607","2"
"Inexpensive","1987","Not Employed","indirect migration background","7","","","","2"
"Inexpensive","1987","Not Employed","direct migration background","49","0.4027491115986","0.319708337379873","0.485789885817326","2"
"Inexpensive","1987","Employed","no migration background","778","0.322281171595026","0.303505224405191","0.341057118784861","2"
"Inexpensive","1987","Employed","direct migration background","59","0.304418578543436","0.243612595459357","0.365224561627514","2"
"Inexpensive","1987","Employed","indirect migration background","6","","","","2"
"Reasonable","1987","Not Employed","no migration background","520","0.341560048129639","0.317632671183105","0.365487425076173","3"
"Reasonable","1987","Not Employed","direct migration background","34","0.23862491740958","0.166455546905085","0.310794287914074","3"
"Reasonable","1987","Not Employed","indirect migration background","7","","","","3"
"Reasonable","1987","Employed","no migration background","931","0.398541002733299","0.378871239603427","0.418210765863171","3"
"Reasonable","1987","Employed","direct migration background","87","0.327101246850798","0.265106811012833","0.389095682688763","3"
"Reasonable","1987","Employed","indirect migration background","10","","","","3"
"Slightly Expensive","1987","Not Employed","indirect migration background","3","","","","4"
"Slightly Expensive","1987","Not Employed","no migration background","92","0.0549233054881849","0.0434281372615783","0.0664184737147915","4"
"Slightly Expensive","1987","Not Employed","direct migration background","19","","","","4"
"Slightly Expensive","1987","Employed","no migration background","218","0.0889782070665333","0.0775397928186081","0.100416621314458","4"
"Slightly Expensive","1987","Employed","direct migration background","43","0.162177060977886","0.113468243416514","0.210885878539257","4"
"Slightly Expensive","1987","Employed","indirect migration background","2","","","","4"
"Too Expensive","1987","Not Employed","no migration background","44","0.0261494259008944","0.0180978533108918","0.034200998490897","5"
"Too Expensive","1987","Not Employed","direct migration background","6","","","","5"
"Too Expensive","1987","Not Employed","indirect migration background","","","","","5"
"Too Expensive","1987","Employed","no migration background","65","0.0258738362397801","0.0194956436435771","0.0322520288359831","5"
"Too Expensive","1987","Employed","direct migration background","","","","","5"
"Too Expensive","1987","Employed","indirect migration background","","","","","5"
"Very Inexpensive","1987","Not Employed","no migration background","299","0.194701851181223","0.174723167912559","0.214680534449888","1"
"Very Inexpensive","1987","Not Employed","direct migration background","26","","","","1"
"Very Inexpensive","1987","Not Employed","indirect migration background","3","","","","1"
"Very Inexpensive","1987","Employed","no migration background","388","0.164325782365362","0.149437967192283","0.17921359753844","1"
"Very Inexpensive","1987","Employed","direct migration background","31","0.206303113627881","0.152832276889421","0.25977395036634","1"
"Very Inexpensive","1987","Employed","indirect migration background","3","","","","1"
"Inexpensive","1988","Not Employed","direct migration background","37","0.334159120332825","0.251468743381505","0.416849497284145","2"
"Inexpensive","1988","Not Employed","no migration background","512","0.381412644333329","0.355757221112135","0.407068067554524","2"
"Inexpensive","1988","Employed","no migration background","766","0.33077043508063","0.311372979184401","0.350167890976859","2"
"Inexpensive","1988","Not Employed","indirect migration background","3","","","","2"
"Inexpensive","1988","Employed","direct migration background","63","0.325481080691516","0.263983843967316","0.386978317415717","2"
"Inexpensive","1988","Employed","indirect migration background","6","","","","2"
"Reasonable","1988","Not Employed","no migration background","471","0.335398039239462","0.310461154973801","0.360334923505123","3"
"Reasonable","1988","Not Employed","direct migration background","48","0.373701606582375","0.288891772064939","0.458511441099811","3"
"Reasonable","1988","Not Employed","indirect migration background","11","","","","3"
"Reasonable","1988","Employed","no migration background","907","0.407289631665692","0.387033019605265","0.427546243726118","3"
"Reasonable","1988","Employed","direct migration background","93","0.351126645090044","0.288478600021683","0.413774690158406","3"
"Reasonable","1988","Employed","indirect migration background","11","","","","3"
"Slightly Expensive","1988","Not Employed","no migration background","88","0.0594407104580499","0.0469520400181011","0.0719293808979987","4"
"Slightly Expensive","1988","Not Employed","direct migration background","13","","","","4"
"Slightly Expensive","1988","Not Employed","indirect migration background","2","","","","4"
"Slightly Expensive","1988","Employed","no migration background","182","0.0826538114951595","0.0713013001503289","0.0940063228399901","4"
"Slightly Expensive","1988","Employed","direct migration background","33","0.124666608351471","0.0813097825396349","0.168023434163306","4"
"Slightly Expensive","1988","Employed","indirect migration background","3","","","","4"
"Too Expensive","1988","Not Employed","no migration background","13","","","","5"
"Too Expensive","1988","Not Employed","direct migration background","3","","","","5"
"Too Expensive","1988","Not Employed","indirect migration background","","","","","5"
"Too Expensive","1988","Employed","no migration background","38","0.0153978598810126","0.0103214761827918","0.0204742435792334","5"
"Too Expensive","1988","Employed","direct migration background","3","","","","5"
"Too Expensive","1988","Employed","indirect migration background","","","","","5"
"Very Inexpensive","1988","Not Employed","no migration background","293","0.212782993852954","0.191165924682672","0.234400063023236","1"
"Very Inexpensive","1988","Not Employed","direct migration background","24","","","","1"
"Very Inexpensive","1988","Not Employed","indirect migration background","7","","","","1"
"Very Inexpensive","1988","Employed","no migration background","367","0.163888261877506","0.148626665754517","0.179149858000495","1"
"Very Inexpensive","1988","Employed","direct migration background","31","0.179633295046184","0.12924924314842","0.230017346943948","1"
"Very Inexpensive","1988","Employed","indirect migration background","2","","","","1"
"Inexpensive","1989","Not Employed","no migration background","538","0.399298266738797","0.373250148109635","0.425346385367959","2"
"Inexpensive","1989","Not Employed","direct migration background","46","0.351180761329724","0.268162535469901","0.434198987189546","2"
"Inexpensive","1989","Not Employed","indirect migration background","8","","","","2"
"Inexpensive","1989","Employed","no migration background","768","0.352164235833924","0.332250302974268","0.372078168693579","2"
"Inexpensive","1989","Employed","direct migration background","90","0.377396422542927","0.314751068440513","0.440041776645341","2"
"Inexpensive","1989","Employed","indirect migration background","6","","","","2"
"Reasonable","1989","Not Employed","direct migration background","43","0.303449432056615","0.223490732830029","0.3834081312832","3"
