"hlf0094","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1985","Full Time","Urban Area","245","0.210137061028632","0.18758810092712","0.232686021130143"
"Very Inexpensive","1985","Full Time","Rural Area","118","0.214704618433405","0.180167556361712","0.249241680505098"
"Very Inexpensive","1985","Part Time","Urban Area","94","0.192749438845859","0.158208831712452","0.227290045979266"
"Very Inexpensive","1985","Part Time","Rural Area","44","0.238688707681314","0.179161974348001","0.298215441014627"
"Very Inexpensive","1985","Not Working","Urban Area","306","0.270272364779843","0.244933432844621","0.295611296715066"
"Very Inexpensive","1985","Not Working","Rural Area","148","0.284342199960683","0.246081683624014","0.322602716297351"
"Inexpensive","1985","Full Time","Urban Area","393","0.323063339398525","0.297180186426877","0.348946492370174"
"Inexpensive","1985","Full Time","Rural Area","152","0.279697734567063","0.241944858624135","0.317450610509991"
"Inexpensive","1985","Part Time","Urban Area","157","0.318845972683969","0.278038249891814","0.359653695476124"
"Inexpensive","1985","Part Time","Rural Area","55","0.281503895711051","0.218702486146408","0.344305305275694"
"Inexpensive","1985","Not Working","Urban Area","374","0.322930903493458","0.296251360439511","0.349610446547404"
"Inexpensive","1985","Not Working","Rural Area","162","0.308345578640028","0.26917672113964","0.347514436140416"
"Reasonable","1985","Full Time","Urban Area","469","0.361761661632049","0.335166536575434","0.388356786688664"
"Reasonable","1985","Full Time","Rural Area","217","0.403284981316681","0.362024177441428","0.444545785191933"
"Reasonable","1985","Part Time","Urban Area","184","0.369579962885434","0.32731325319022","0.411846672580648"
"Reasonable","1985","Part Time","Rural Area","68","0.336947893085931","0.270943904549459","0.402951881622402"
"Reasonable","1985","Not Working","Urban Area","394","0.320262303419205","0.293640916561941","0.346883690276469"
"Reasonable","1985","Not Working","Rural Area","179","0.330758778934763","0.290854038157676","0.37066351971185"
"Slightly Expensive","1985","Full Time","Urban Area","116","0.0803453628179078","0.0653003655429191","0.0953903600928965"
"Slightly Expensive","1985","Full Time","Rural Area","38","0.069429814729018","0.04805040323136","0.0908092262266759"
"Slightly Expensive","1985","Part Time","Urban Area","51","0.0923302926567576","0.066981034463297","0.117679550850218"
