"hlf0094","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Not Employed","1-pers.-HH","50","0.335191617645938","0.258620236414454","0.411762998877422","2"
"Inexpensive","1984","Not Employed","Couple + C. GT 16 ","107","0.308596810815443","0.261466932990318","0.355726688640568","2"
"Inexpensive","1984","Not Employed","Couple + C. LE and GT 16","73","0.281793418975344","0.227215377040645","0.336371460910043","2"
"Inexpensive","1984","Not Employed","Single parent ","29","","","","2"
"Inexpensive","1984","Not Employed","(Married) couple without C. ","169","0.327925499639079","0.287729877874981","0.368121121403177","2"
"Inexpensive","1984","Not Employed","Couple + C. LE 16 ","86","0.326330985427573","0.269229073297123","0.383432897558023","2"
"Inexpensive","1984","Employed","(Married) couple without C. ","141","0.320470365916025","0.277209772940594","0.363730958891456","2"
"Inexpensive","1984","Employed","1-pers.-HH","24","","","","2"
"Inexpensive","1984","Employed","Single parent ","34","0.367949818794415","0.270975583150249","0.464924054438582","2"
"Inexpensive","1984","Employed","Couple + C. LE 16 ","187","0.286745146258703","0.252475830142571","0.321014462374836","2"
"Inexpensive","1984","Employed","Couple + C. GT 16 ","213","0.356185412919157","0.318672620367152","0.393698205471162","2"
"Inexpensive","1984","Employed","Couple + C. LE and GT 16","155","0.317380958391199","0.276126271583405","0.358635645198994","2"
"Reasonable","1984","Not Employed","(Married) couple without C. ","169","0.320106376014928","0.280162510203046","0.360050241826809","3"
"Reasonable","1984","Not Employed","1-pers.-HH","38","0.256999633394228","0.186118210183291","0.327881056605166","3"
"Reasonable","1984","Not Employed","Couple + C. LE and GT 16","72","0.27012948774542","0.216260756875815","0.323998218615026","3"
"Reasonable","1984","Not Employed","Couple + C. GT 16 ","124","0.327938696887095","0.280038677841616","0.375838715932573","3"
"Reasonable","1984","Not Employed","Single parent ","26","","","","3"
"Reasonable","1984","Not Employed","Couple + C. LE 16 ","93","0.36479087054583","0.306166451082515","0.423415290009145","3"
"Reasonable","1984","Employed","Couple + C. LE 16 ","267","0.383667250930632","0.346818733451386","0.420515768409878","3"
"Reasonable","1984","Employed","(Married) couple without C. ","148","0.322752829741136","0.279411427478631","0.36609423200364","3"
"Reasonable","1984","Employed","Single parent ","34","0.348858542962133","0.253018137324405","0.444698948599861","3"
"Reasonable","1984","Employed","1-pers.-HH","27","","","","3"
"Reasonable","1984","Employed","Couple + C. LE and GT 16","134","0.264302193323313","0.22521866389405","0.303385722752577","3"
"Reasonable","1984","Employed","Couple + C. GT 16 ","205","0.315652189576947","0.279243607266085","0.352060771887808","3"
"Slightly Expensive","1984","Not Employed","(Married) couple without C. ","23","","","","4"
"Slightly Expensive","1984","Not Employed","1-pers.-HH","6","","","","4"
"Slightly Expensive","1984","Not Employed","Couple + C. LE and GT 16","32","0.121890281872034","0.0821997636071691","0.161580800136898","4"
"Slightly Expensive","1984","Not Employed","Couple + C. GT 16 ","20","","","","4"
"Slightly Expensive","1984","Not Employed","Single parent ","3","","","","4"
"Slightly Expensive","1984","Not Employed","Couple + C. LE 16 ","23","","","","4"
"Slightly Expensive","1984","Employed","(Married) couple without C. ","27","","","","4"
"Slightly Expensive","1984","Employed","1-pers.-HH","10","","","","4"
"Slightly Expensive","1984","Employed","Single parent ","6","","","","4"
"Slightly Expensive","1984","Employed","Couple + C. LE 16 ","77","0.112427699466816","0.0884904875681494","0.136364911365483","4"
"Slightly Expensive","1984","Employed","Couple + C. GT 16 ","36","0.0439287013062514","0.0278748126371046","0.0599825899753982","4"
"Slightly Expensive","1984","Employed","Couple + C. LE and GT 16","58","0.121178283567307","0.0922544103071116","0.150102156827503","4"
"Too Expensive","1984","Not Employed","1-pers.-HH","1","","","","5"
"Too Expensive","1984","Not Employed","(Married) couple without C. ","3","","","","5"
"Too Expensive","1984","Not Employed","Single parent ","","","","","5"
"Too Expensive","1984","Employed","(Married) couple without C. ","15","","","","5"
"Too Expensive","1984","Not Employed","Couple + C. LE 16 ","8","","","","5"
"Too Expensive","1984","Not Employed","Couple + C. GT 16 ","8","","","","5"
"Too Expensive","1984","Not Employed","Couple + C. LE and GT 16","9","","","","5"
"Too Expensive","1984","Employed","Single parent ","3","","","","5"
"Too Expensive","1984","Employed","Couple + C. LE 16 ","24","","","","5"
"Too Expensive","1984","Employed","1-pers.-HH","1","","","","5"
"Too Expensive","1984","Employed","Couple + C. GT 16 ","10","","","","5"
"Too Expensive","1984","Employed","Couple + C. LE and GT 16","23","","","","5"
"Very Inexpensive","1984","Not Employed","1-pers.-HH","51","0.358242718092128","0.280466691641451","0.436018744542806","1"
"Very Inexpensive","1984","Not Employed","(Married) couple without C. ","160","0.302755165842607","0.263416386378935","0.342093945306278","1"
"Very Inexpensive","1984","Not Employed","Single parent ","19","","","","1"
"Very Inexpensive","1984","Not Employed","Couple + C. LE 16 ","49","0.197205492289994","0.148748114587537","0.245662869992452","1"
"Very Inexpensive","1984","Not Employed","Couple + C. GT 16 ","110","0.299715552473124","0.25297145399057","0.346459650955679","1"
"Very Inexpensive","1984","Not Employed","Couple + C. LE and GT 16","75","0.291309496395064","0.236186417735344","0.346432575054784","1"
"Very Inexpensive","1984","Employed","1-pers.-HH","27","","","","1"
"Very Inexpensive","1984","Employed","(Married) couple without C. ","116","0.269107525306526","0.227994068287141","0.310220982325911","1"
"Very Inexpensive","1984","Employed","Single parent ","18","","","","1"
"Very Inexpensive","1984","Employed","Couple + C. LE 16 ","114","0.183696399717467","0.154352947247039","0.213039852187895","1"
"Very Inexpensive","1984","Employed","Couple + C. GT 16 ","162","0.267366730830876","0.232696404816077","0.302037056845675","1"
"Very Inexpensive","1984","Employed","Couple + C. LE and GT 16","119","0.249350754787487","0.211004978770338","0.287696530804635","1"
"Inexpensive","1985","Not Employed","(Married) couple without C. ","156","0.331406418845985","0.288668173095406","0.374144664596563","2"
"Inexpensive","1985","Not Employed","Single parent ","26","","","","2"
"Inexpensive","1985","Not Employed","Couple + C. LE 16 ","69","0.289289019608904","0.232395124817229","0.346182914400579","2"
"Inexpensive","1985","Not Employed","Couple + C. GT 16 ","126","0.323726661614788","0.277700664598199","0.369752658631378","2"
"Inexpensive","1985","Not Employed","Couple + C. LE and GT 16","66","0.285501180987923","0.226222248837226","0.344780113138619","2"
"Inexpensive","1985","Not Employed","1-pers.-HH","41","0.340399929354912","0.257663286312886","0.423136572396939","2"
"Inexpensive","1985","Employed","(Married) couple without C. ","133","0.349453242340135","0.301949655389577","0.396956829290694","2"
"Inexpensive","1985","Employed","1-pers.-HH","23","","","","2"
"Inexpensive","1985","Employed","Single parent ","48","0.38892375139237","0.300588287286317","0.477259215498424","2"
"Inexpensive","1985","Employed","Couple + C. LE 16 ","166","0.265710046250037","0.231135849323542","0.300284243176532","2"
"Inexpensive","1985","Employed","Couple + C. GT 16 ","206","0.309967780575632","0.275052856307244","0.344882704844021","2"
"Inexpensive","1985","Employed","Couple + C. LE and GT 16","135","0.306807279764527","0.263959540539701","0.349655018989353","2"
"Reasonable","1985","Not Employed","(Married) couple without C. ","120","0.256862802975215","0.217194808743801","0.296530797206629","3"
"Reasonable","1985","Not Employed","1-pers.-HH","39","0.309562136506417","0.228838812635905","0.39028546037693","3"
"Reasonable","1985","Not Employed","Couple + C. LE and GT 16","96","0.44135103053345","0.376179603156123","0.506522457910777","3"
"Reasonable","1985","Not Employed","Couple + C. LE 16 ","88","0.340767075107929","0.281296596172488","0.40023755404337","3"
"Reasonable","1985","Not Employed","Couple + C. GT 16 ","139","0.349121539882363","0.302230365513539","0.396012714251188","3"
"Reasonable","1985","Not Employed","Single parent ","19","","","","3"
"Reasonable","1985","Employed","(Married) couple without C. ","107","0.270975186249195","0.226693053905637","0.315257318592753","3"
"Reasonable","1985","Employed","Couple + C. LE 16 ","253","0.404633727777765","0.366215486948232","0.443051968607298","3"
"Reasonable","1985","Employed","Single parent ","39","0.355863068418576","0.269109825166103","0.442616311671049","3"
"Reasonable","1985","Employed","1-pers.-HH","24","","","","3"
"Reasonable","1985","Employed","Couple + C. LE and GT 16","182","0.414007088768645","0.368243702213298","0.459770475323991","3"
"Reasonable","1985","Employed","Couple + C. GT 16 ","268","0.397697555969885","0.360748621691718","0.434646490248052","3"
"Slightly Expensive","1985","Not Employed","(Married) couple without C. ","24","","","","4"
"Slightly Expensive","1985","Not Employed","1-pers.-HH","7","","","","4"
"Slightly Expensive","1985","Not Employed","Couple + C. LE and GT 16","23","","","","4"
"Slightly Expensive","1985","Not Employed","Couple + C. LE 16 ","32","0.133991816401492","0.0912499666713172","0.176733666131667","4"
"Slightly Expensive","1985","Not Employed","Couple + C. GT 16 ","28","","","","4"
"Slightly Expensive","1985","Not Employed","Single parent ","2","","","","4"
"Slightly Expensive","1985","Employed","1-pers.-HH","5","","","","4"
"Slightly Expensive","1985","Employed","(Married) couple without C. ","45","0.108024030611411","0.0770976301999056","0.138950431022916","4"
"Slightly Expensive","1985","Employed","Single parent ","7","","","","4"
"Slightly Expensive","1985","Employed","Couple + C. LE 16 ","77","0.10800571853146","0.0837106162970733","0.132300820765846","4"
"Slightly Expensive","1985","Employed","Couple + C. GT 16 ","38","0.0570272626577849","0.0395203738246854","0.0745341514908844","4"
"Slightly Expensive","1985","Employed","Couple + C. LE and GT 16","42","0.0769845065854937","0.0522174585571999","0.101751554613788","4"
"Too Expensive","1985","Not Employed","1-pers.-HH","1","","","","5"
"Too Expensive","1985","Not Employed","(Married) couple without C. ","5","","","","5"
"Too Expensive","1985","Not Employed","Single parent ","1","","","","5"
"Too Expensive","1985","Employed","(Married) couple without C. ","15","","","","5"
"Too Expensive","1985","Not Employed","Couple + C. LE 16 ","9","","","","5"
"Too Expensive","1985","Not Employed","Couple + C. GT 16 ","7","","","","5"
"Too Expensive","1985","Not Employed","Couple + C. LE and GT 16","3","","","","5"
"Too Expensive","1985","Employed","Single parent ","1","","","","5"
"Too Expensive","1985","Employed","Couple + C. LE 16 ","35","0.0507386026339367","0.033560449026184","0.0679167562416893","5"
"Too Expensive","1985","Employed","1-pers.-HH","5","","","","5"
"Too Expensive","1985","Employed","Couple + C. GT 16 ","11","","","","5"
"Too Expensive","1985","Employed","Couple + C. LE and GT 16","4","","","","5"
"Very Inexpensive","1985","Not Employed","1-pers.-HH","38","0.284763435733587","0.205962788482955","0.363564082984219","1"
"Very Inexpensive","1985","Not Employed","(Married) couple without C. ","161","0.352186508694914","0.308818799259075","0.395554218130753","1"
"Very Inexpensive","1985","Not Employed","Single parent ","19","","","","1"
"Very Inexpensive","1985","Not Employed","Couple + C. LE 16 ","46","0.200025086536254","0.149833191240239","0.250216981832268","1"
"Very Inexpensive","1985","Not Employed","Couple + C. GT 16 ","97","0.237596240666622","0.195729887313015","0.27946259402023","1"
"Very Inexpensive","1985","Not Employed","Couple + C. LE and GT 16","35","0.162937228509687","0.114465909781638","0.211408547237735","1"
"Very Inexpensive","1985","Employed","1-pers.-HH","21","","","","1"
"Very Inexpensive","1985","Employed","(Married) couple without C. ","87","0.236059623062575","0.193750580699225","0.278368665425924","1"
"Very Inexpensive","1985","Employed","Single parent ","22","","","","1"
"Very Inexpensive","1985","Employed","Couple + C. LE 16 ","96","0.170911904806801","0.141447286641865","0.200376522971737","1"
"Very Inexpensive","1985","Employed","Couple + C. GT 16 ","151","0.216848620213306","0.185737236087564","0.247960004339049","1"
"Very Inexpensive","1985","Employed","Couple + C. LE and GT 16","82","0.191285437367215","0.154742229234056","0.227828645500375","1"
"Inexpensive","1986","Not Employed","(Married) couple without C. ","183","0.387625506515876","0.344354367178355","0.430896645853397","2"
"Inexpensive","1986","Not Employed","Couple + C. LE 16 ","62","0.290192440441331","0.229945749003305","0.350439131879358","2"
"Inexpensive","1986","Not Employed","Couple + C. GT 16 ","122","0.284773279830824","0.242166281419677","0.327380278241972","2"
"Inexpensive","1986","Not Employed","1-pers.-HH","53","0.388944522324074","0.307310356743073","0.470578687905074","2"
"Inexpensive","1986","Not Employed","Single parent ","25","","","","2"
"Inexpensive","1986","Not Employed","Couple + C. LE and GT 16","71","0.303346354790123","0.244819960982524","0.361872748597723","2"
"Inexpensive","1986","Employed","(Married) couple without C. ","127","0.328529309663798","0.282328091297276","0.374730528030319","2"
"Inexpensive","1986","Employed","1-pers.-HH","27","","","","2"
"Inexpensive","1986","Employed","Couple + C. LE 16 ","152","0.248404196024657","0.213300064268209","0.283508327781104","2"
"Inexpensive","1986","Employed","Single parent ","26","","","","2"
"Inexpensive","1986","Employed","Couple + C. GT 16 ","241","0.331207767741179","0.297658498863513","0.364757036618845","2"
"Inexpensive","1986","Employed","Couple + C. LE and GT 16","141","0.336561204497451","0.292206743604436","0.380915665390467","2"
"Reasonable","1986","Not Employed","(Married) couple without C. ","154","0.313224971115466","0.272032386046037","0.354417556184895","3"
"Reasonable","1986","Not Employed","1-pers.-HH","38","0.266014660517096","0.192022742341356","0.340006578692836","3"
"Reasonable","1986","Not Employed","Couple + C. LE 16 ","99","0.446916058850851","0.3809184275376","0.512913690164102","3"
"Reasonable","1986","Not Employed","Couple + C. LE and GT 16","99","0.42085172931386","0.357997666098474","0.483705792529246","3"
"Reasonable","1986","Not Employed","Couple + C. GT 16 ","165","0.391560923810661","0.345480371340104","0.437641476281219","3"
"Reasonable","1986","Not Employed","Single parent ","26","","","","3"
