"hlf0094","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1985","Full Time","West Germany","545","0.309503019181959","0.288128941207554","0.330877097156363","2"
"Inexpensive","1985","Part Time","West Germany","212","0.308066353574363","0.2738152366413","0.342317470507427","2"
"Inexpensive","1985","Part Time","East Germany","","","","","2"
"Inexpensive","1985","Not Working","West Germany","536","0.318279349638987","0.296227240254532","0.340331459023441","2"
"Inexpensive","1985","Not Working","East Germany","","","","","2"
"Reasonable","1985","Full Time","East Germany","","","","","3"
"Reasonable","1985","Full Time","West Germany","686","0.374745903718993","0.352365352822785","0.397126454615201","3"
"Reasonable","1985","Part Time","West Germany","252","0.360159991857796","0.324547381358402","0.39577260235719","3"
"Reasonable","1985","Part Time","East Germany","","","","","3"
"Reasonable","1985","Not Working","West Germany","573","0.323609840867524","0.301460939847034","0.345758741888014","3"
"Reasonable","1985","Not Working","East Germany","","","","","3"
"Slightly Expensive","1985","Full Time","East Germany","","","","","4"
"Slightly Expensive","1985","Full Time","West Germany","154","0.0769320972125982","0.0646111339334402","0.0892530604917563","4"
"Slightly Expensive","1985","Part Time","West Germany","71","0.0915499451140662","0.0701555529828967","0.112944337245236","4"
"Slightly Expensive","1985","Not Working","West Germany","125","0.0686654897353834","0.0566935425821195","0.0806374368886473","4"
"Slightly Expensive","1985","Part Time","East Germany","","","","","4"
"Slightly Expensive","1985","Not Working","East Germany","","","","","4"
"Too Expensive","1985","Full Time","West Germany","49","0.0272536546549552","0.0197255399008382","0.0347817694090722","5"
"Too Expensive","1985","Full Time","East Germany","","","","","5"
"Too Expensive","1985","Part Time","West Germany","25","","","","5"
"Too Expensive","1985","Part Time","East Germany","","","","","5"
"Too Expensive","1985","Not Working","West Germany","26","","","","5"
"Too Expensive","1985","Not Working","East Germany","","","","","5"
"Very Inexpensive","1985","Full Time","West Germany","363","0.211565325231495","0.192681970334124","0.230448680128866","1"
"Very Inexpensive","1985","Full Time","East Germany","","","","","1"
"Very Inexpensive","1985","Part Time","West Germany","138","0.206010828151524","0.176007274673207","0.236014381629842","1"
"Very Inexpensive","1985","Part Time","East Germany","","","","","1"
"Very Inexpensive","1985","Not Working","West Germany","454","0.2747595185954","0.253626571083822","0.295892466106979","1"
"Very Inexpensive","1985","Not Working","East Germany","","","","","1"
"Inexpensive","1986","Full Time","West Germany","535","0.29539213016539","0.274529612473822","0.316254647856959","2"
"Inexpensive","1986","Full Time","East Germany","","","","","2"
"Inexpensive","1986","Part Time","West Germany","217","0.316070450740781","0.281822933418791","0.350317968062771","2"
"Inexpensive","1986","Not Working","West Germany","559","0.33053729390551","0.308628814363656","0.352445773447363","2"
"Inexpensive","1986","Part Time","East Germany","","","","","2"
"Inexpensive","1986","Not Working","East Germany","","","","","2"
"Reasonable","1986","Full Time","East Germany","","","","","3"
"Reasonable","1986","Full Time","West Germany","751","0.41078613371172","0.388288446215108","0.433283821208332","3"
"Reasonable","1986","Part Time","West Germany","277","0.394295769855677","0.358298229732347","0.430293309979007","3"
"Reasonable","1986","Part Time","East Germany","","","","","3"
"Reasonable","1986","Not Working","West Germany","663","0.35889900943004","0.336558752464411","0.38123926639567","3"
"Reasonable","1986","Not Working","East Germany","","","","","3"
"Slightly Expensive","1986","Full Time","West Germany","222","0.114144407655515","0.0996031390154672","0.128685676295563","4"
"Slightly Expensive","1986","Full Time","East Germany","","","","","4"
"Slightly Expensive","1986","Part Time","West Germany","73","0.0956353012253617","0.0739726115654113","0.117297990885312","4"
"Slightly Expensive","1986","Part Time","East Germany","","","","","4"
"Slightly Expensive","1986","Not Working","West Germany","127","0.0652474752656697","0.0537455910997384","0.0767493594316011","4"
"Slightly Expensive","1986","Not Working","East Germany","","","","","4"
"Too Expensive","1986","Full Time","West Germany","56","0.0279564660961149","0.0204180951037027","0.035494837088527","5"
"Too Expensive","1986","Full Time","East Germany","","","","","5"
"Too Expensive","1986","Part Time","West Germany","24","","","","5"
"Too Expensive","1986","Part Time","East Germany","","","","","5"
"Too Expensive","1986","Not Working","West Germany","38","0.0194485418123501","0.0130169640073675","0.0258801196173326","5"
"Too Expensive","1986","Not Working","East Germany","","","","","5"
"Very Inexpensive","1986","Full Time","West Germany","273","0.15172086237126","0.135315510219674","0.168126214522847","1"
"Very Inexpensive","1986","Full Time","East Germany","","","","","1"
"Very Inexpensive","1986","Part Time","West Germany","117","0.164075471377511","0.136795944932777","0.191354997822246","1"
"Very Inexpensive","1986","Part Time","East Germany","","","","","1"
"Very Inexpensive","1986","Not Working","West Germany","384","0.22586767958643","0.206392859444842","0.245342499728018","1"
"Very Inexpensive","1986","Not Working","East Germany","","","","","1"
"Inexpensive","1987","Full Time","West Germany","606","0.321639437602839","0.300619599419192","0.342659275786486","2"
"Inexpensive","1987","Part Time","West Germany","237","0.320356607302175","0.286367778456424","0.354345436147926","2"
"Inexpensive","1987","Full Time","East Germany","","","","","2"
"Inexpensive","1987","Part Time","East Germany","","","","","2"
"Inexpensive","1987","Not Working","West Germany","610","0.384000877136446","0.360625527180393","0.407376227092499","2"
"Inexpensive","1987","Not Working","East Germany","","","","","2"
"Reasonable","1987","Full Time","West Germany","759","0.40207462519035","0.38001026946385","0.424138980916849","3"
"Reasonable","1987","Full Time","East Germany","","","","","3"
"Reasonable","1987","Part Time","West Germany","269","0.375325116872622","0.340054777028998","0.410595456716246","3"
"Reasonable","1987","Part Time","East Germany","","","","","3"
"Reasonable","1987","Not Working","West Germany","561","0.335318980177383","0.312628814160138","0.358009146194628","3"
"Reasonable","1987","Not Working","East Germany","","","","","3"
"Slightly Expensive","1987","Part Time","West Germany","72","0.0940373144329155","0.0727762956048042","0.115298333261027","4"
"Slightly Expensive","1987","Full Time","West Germany","191","0.0922101955245124","0.0791906283275636","0.105229762721461","4"
"Slightly Expensive","1987","Full Time","East Germany","","","","","4"
"Slightly Expensive","1987","Part Time","East Germany","","","","","4"
"Slightly Expensive","1987","Not Working","West Germany","114","0.0576636283588802","0.0464600714012545","0.068867185316506","4"
"Slightly Expensive","1987","Not Working","East Germany","","","","","4"
"Too Expensive","1987","Full Time","West Germany","51","0.0268216267452931","0.0195513120884765","0.0340919414021097","5"
"Too Expensive","1987","Full Time","East Germany","","","","","5"
"Too Expensive","1987","Part Time","West Germany","14","","","","5"
"Too Expensive","1987","Part Time","East Germany","","","","","5"
"Too Expensive","1987","Not Working","West Germany","50","0.0276650665544859","0.0197823525396303","0.0355477805693415","5"
"Too Expensive","1987","Not Working","East Germany","","","","","5"
"Very Inexpensive","1987","Full Time","West Germany","290","0.157254114937006","0.140872234375538","0.173635995498474","1"
"Very Inexpensive","1987","Full Time","East Germany","","","","","1"
"Very Inexpensive","1987","Part Time","West Germany","132","0.191988171240642","0.163298544161146","0.220677798320138","1"
"Very Inexpensive","1987","Part Time","East Germany","","","","","1"
"Very Inexpensive","1987","Not Working","West Germany","328","0.195351447772804","0.176296252634449","0.214406642911159","1"
"Very Inexpensive","1987","Not Working","East Germany","","","","","1"
"Inexpensive","1988","Full Time","East Germany","","","","","2"
"Inexpensive","1988","Full Time","West Germany","578","0.319260106322072","0.297590793413248","0.340929419230896","2"
"Inexpensive","1988","Part Time","East Germany","","","","","2"
"Inexpensive","1988","Part Time","West Germany","257","0.357017200427542","0.322189473288118","0.391844927566967","2"
"Inexpensive","1988","Not Working","West Germany","552","0.377320255825525","0.352992581210397","0.401647930440654","2"
"Inexpensive","1988","Not Working","East Germany","","","","","2"
"Reasonable","1988","Full Time","West Germany","715","0.404714075378997","0.381899143623016","0.427529007134979","3"
"Reasonable","1988","Full Time","East Germany","","","","","3"
"Reasonable","1988","Part Time","West Germany","296","0.404971203846651","0.369288155449919","0.440654252243382","3"
"Reasonable","1988","Part Time","East Germany","","","","","3"
"Reasonable","1988","Not Working","West Germany","530","0.338306030894366","0.314559693870094","0.362052367918638","3"
"Reasonable","1988","Not Working","East Germany","","","","","3"
"Slightly Expensive","1988","Full Time","West Germany","162","0.088618430707432","0.0754086879283717","0.101828173486492","4"
"Slightly Expensive","1988","Full Time","East Germany","","","","","4"
"Slightly Expensive","1988","Part Time","West Germany","56","0.0754694656131315","0.0562683194940036","0.0946706117322595","4"
"Slightly Expensive","1988","Part Time","East Germany","","","","","4"
"Slightly Expensive","1988","Not Working","West Germany","103","0.0587914285018567","0.0469851475906781","0.0705977094130353","4"
"Slightly Expensive","1988","Not Working","East Germany","","","","","4"
"Too Expensive","1988","Full Time","West Germany","30","0.016379398115505","0.0104794935001612","0.0222793027308488","5"
"Too Expensive","1988","Full Time","East Germany","","","","","5"
"Too Expensive","1988","Part Time","West Germany","11","","","","5"
"Too Expensive","1988","Part Time","East Germany","","","","","5"
"Too Expensive","1988","Not Working","West Germany","16","","","","5"
"Too Expensive","1988","Not Working","East Germany","","","","","5"
"Very Inexpensive","1988","Full Time","West Germany","293","0.171027989475994","0.153526067576236","0.188529911375752","1"
"Very Inexpensive","1988","Full Time","East Germany","","","","","1"
"Very Inexpensive","1988","Part Time","West Germany","107","0.149085996347894","0.123195394437897","0.174976598257892","1"
"Very Inexpensive","1988","Part Time","East Germany","","","","","1"
"Very Inexpensive","1988","Not Working","West Germany","324","0.213958326558646","0.193375711530185","0.234540941587107","1"
"Very Inexpensive","1988","Not Working","East Germany","","","","","1"
"Inexpensive","1989","Full Time","West Germany","616","0.353792481710771","0.331364702377838","0.376220261043704","2"
"Inexpensive","1989","Full Time","East Germany","","","","","2"
"Inexpensive","1989","Part Time","West Germany","248","0.349577313457624","0.314771649780775","0.384382977134474","2"
"Inexpensive","1989","Part Time","East Germany","","","","","2"
"Inexpensive","1989","Not Working","West Germany","592","0.395404640028605","0.370727165866487","0.420082114190723","2"
"Inexpensive","1989","Not Working","East Germany","","","","","2"
"Reasonable","1989","Full Time","East Germany","","","","","3"
"Reasonable","1989","Full Time","West Germany","663","0.380210543727158","0.357440695209074","0.402980392245242","3"
"Reasonable","1989","Part Time","West Germany","249","0.335754575541401","0.301283430139381","0.37022572094342","3"
"Reasonable","1989","Part Time","East Germany","","","","","3"
