"hlf0094","year","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","1362","0.315708905593684","0.302023392756447","0.32939441843092","2"
"Reasonable","1984","1483","0.323132970220709","0.309362792912394","0.336903147529025","3"
"Slightly Expensive","1984","342","0.0716911674300369","0.064095319113539","0.0792870157465349","4"
"Too Expensive","1984","127","0.0268850820202618","0.0221225822900853","0.0316475817504383","5"
"Very Inexpensive","1984","1117","0.262581874735308","0.249625410743654","0.275538338726962","1"
"Inexpensive","1985","1293","0.31313566966579","0.299124952029637","0.327146387301944","2"
"Reasonable","1985","1511","0.349940906591059","0.335531954300495","0.364349858881622","3"
"Slightly Expensive","1985","350","0.0756130969851288","0.0676260905716898","0.0836001033985678","4"
"Too Expensive","1985","100","0.0228286719440623","0.0183165138320686","0.0273408300560561","5"
"Very Inexpensive","1985","955","0.23848165481396","0.225607275470185","0.251356034157735","1"
"Inexpensive","1986","1311","0.314112330576627","0.300264671487357","0.327959989665898","2"
"Reasonable","1986","1691","0.385352128765657","0.370832702848367","0.399871554682948","3"
"Slightly Expensive","1986","422","0.0897100261449103","0.0811845676524981","0.0982354846373225","4"
"Too Expensive","1986","118","0.0245192629993714","0.0199053390919935","0.0291331869067493","5"
"Very Inexpensive","1986","774","0.186306251513434","0.174690385960923","0.197922117065944","1"
"Inexpensive","1987","1453","0.347264403701757","0.333007600895839","0.361521206507675","2"
"Reasonable","1987","1589","0.370124153010183","0.355665609345333","0.384582696675033","3"
"Slightly Expensive","1987","377","0.0781940887986496","0.0701545697991671","0.086233607798132","4"
"Too Expensive","1987","115","0.0258002401494162","0.0210528027885486","0.0305476775102838","5"
"Very Inexpensive","1987","750","0.178617114339995","0.16714726484615","0.190086963833839","1"
"Inexpensive","1988","1387","0.349289738470569","0.334570602770706","0.364008874170432","2"
"Reasonable","1988","1541","0.377819154865151","0.362850048569823","0.392788261160479","3"
"Slightly Expensive","1988","321","0.07426320908941","0.066168035127218","0.0823583830516021","4"
"Too Expensive","1988","57","0.0139488420871964","0.0103279600990224","0.0175697240753704","5"
"Very Inexpensive","1988","724","0.184679055487673","0.172698728001867","0.19665938297348","1"
"Inexpensive","1989","1456","0.370246342620243","0.35523532059097","0.385257364649517","2"
"Reasonable","1989","1379","0.339545649230375","0.324824218755491","0.354267079705259","3"
"Slightly Expensive","1989","281","0.0657686602280475","0.0580628867525851","0.0734744337035099","4"
"Too Expensive","1989","50","0.0118793113752487","0.00851124878408608","0.0152473739664112","5"
"Very Inexpensive","1989","809","0.212560036546086","0.19984173673355","0.225278336358621","1"
"Inexpensive","1990","1442","0.371905627195888","0.356760340667473","0.387050913724303","2"
"Reasonable","1990","1386","0.348211865940481","0.333283108008992","0.363140623871971","3"
"Slightly Expensive","1990","257","0.0623008597084826","0.0547268222839132","0.069874897133052","4"
"Too Expensive","1990","42","0.00917341712863178","0.00618588170266907","0.0121609525545945","5"
"Very Inexpensive","1990","785","0.208408230026517","0.195680330577208","0.221136129475825","1"
"Inexpensive","1991","1625","0.332708102764298","0.319962568234446","0.34545363729415","2"
"Reasonable","1991","1902","0.376795742796513","0.363687736580178","0.389903749012848","3"
"Slightly Expensive","1991","654","0.0912626239364085","0.0834726839778311","0.0990525638949859","4"
"Too Expensive","1991","353","0.0424366011756484","0.0369837643131231","0.0478894380381736","5"
"Very Inexpensive","1991","716","0.156796929327132","0.146961273899752","0.166632584754512","1"
"Inexpensive","1992","1621","0.335213969176767","0.322222434247375","0.34820550410616","2"
"Reasonable","1992","2052","0.398970507628921","0.38549401876192","0.412446996495921","3"
"Slightly Expensive","1992","516","0.0739405047610255","0.0667390685420432","0.0811419409800078","4"
"Too Expensive","1992","159","0.025179624482727","0.0208679556934313","0.0294912932720226","5"
"Very Inexpensive","1992","724","0.16669539395056","0.156438351341005","0.176952436560114","1"
"Inexpensive","1993","1699","0.347364164134589","0.334198243271558","0.36053008499762","2"
"Reasonable","1993","2083","0.402531142304978","0.388970487680231","0.416091796929724","3"
"Slightly Expensive","1993","370","0.0615792758722361","0.0549320664806945","0.0682264852637777","4"
"Too Expensive","1993","109","0.0205113319772892","0.0165919290244607","0.0244307349301176","5"
"Very Inexpensive","1993","763","0.168014085710908","0.157675667198875","0.178352504222941","1"
"Inexpensive","1994","1605","0.322701498335905","0.309770158393642","0.335632838278167","2"
"Reasonable","1994","2147","0.418168816670628","0.404525269426958","0.431812363914298","3"
"Slightly Expensive","1994","402","0.0654536912758176","0.0586126774929876","0.0722947050586475","4"
"Too Expensive","1994","93","0.0160568835412184","0.0125801724345338","0.019533594647903","5"
"Very Inexpensive","1994","774","0.177619110176431","0.167047665770004","0.188190554582858","1"
"Inexpensive","1995","1696","0.340136473183878","0.327168559940114","0.353104386427642","2"
"Reasonable","1995","2153","0.399953908659616","0.386544373894122","0.413363443425109","3"
"Slightly Expensive","1995","445","0.0776434791640513","0.070318298550313","0.0849686597777896","4"
"Too Expensive","1995","71","0.0144077258033428","0.0111458847462994","0.0176695668603862","5"
"Very Inexpensive","1995","762","0.167858413189112","0.157628154815973","0.178088671562251","1"
"Inexpensive","1996","1702","0.330146991895496","0.317322021939887","0.342971961851104","2"
