"hlf0094","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","in school","Male","13","","","","2"
"Inexpensive","1984","inadequately","Male","8","","","","2"
"Inexpensive","1984","general elemantary","Male","123","0.345828032978877","0.296830990332838","0.394825075624916","2"
"Inexpensive","1984","in school","Female","9","","","","2"
"Inexpensive","1984","inadequately","Female","9","","","","2"
"Inexpensive","1984","general elemantary","Female","286","0.319642978102156","0.289443365349025","0.349842590855287","2"
"Inexpensive","1984","middle vocational","Male","377","0.310662854011589","0.28494715075782","0.336378557265358","2"
"Inexpensive","1984","middle vocational","Female","304","0.321097652622469","0.291954813824138","0.350240491420801","2"
"Inexpensive","1984","vocational + Abi","Male","11","","","","2"
"Inexpensive","1984","vocational + Abi","Female","18","","","","2"
"Inexpensive","1984","higher vocational","Male","71","0.340077698035707","0.277046769785483","0.403108626285931","2"
"Inexpensive","1984","higher vocational","Female","29","","","","2"
"Inexpensive","1984","higher education","Male","75","0.305173856916067","0.247863384401695","0.362484329430438","2"
"Inexpensive","1984","higher education","Female","29","","","","2"
"Reasonable","1984","in school","Male","24","","","","3"
"Reasonable","1984","in school","Female","14","","","","3"
"Reasonable","1984","inadequately","Male","11","","","","3"
"Reasonable","1984","inadequately","Female","12","","","","3"
"Reasonable","1984","general elemantary","Male","115","0.304813613544838","0.257393606412538","0.352233620677139","3"
"Reasonable","1984","general elemantary","Female","295","0.310278824331837","0.280320797687784","0.340236850975891","3"
"Reasonable","1984","middle vocational","Male","398","0.31278551397197","0.287021865235829","0.33854916270811","3"
"Reasonable","1984","middle vocational","Female","344","0.334473124513361","0.305023955390828","0.363922293635894","3"
"Reasonable","1984","vocational + Abi","Male","22","","","","3"
"Reasonable","1984","vocational + Abi","Female","9","","","","3"
"Reasonable","1984","higher vocational","Male","74","0.329703269465907","0.267155273205433","0.39225126572638","3"
"Reasonable","1984","higher vocational","Female","31","0.269416587512442","0.18725172195894","0.351581453065944","3"
"Reasonable","1984","higher education","Male","96","0.383922464930939","0.323393715713114","0.444451214148763","3"
"Reasonable","1984","higher education","Female","35","0.329735521409033","0.238502097337349","0.420968945480718","3"
"Slightly Expensive","1984","in school","Male","6","","","","4"
"Slightly Expensive","1984","in school","Female","4","","","","4"
"Slightly Expensive","1984","inadequately","Male","2","","","","4"
"Slightly Expensive","1984","inadequately","Female","4","","","","4"
"Slightly Expensive","1984","general elemantary","Male","34","0.0900547137190142","0.0605660786798198","0.119543348758209","4"
"Slightly Expensive","1984","general elemantary","Female","56","0.0584039388087618","0.0432175771105903","0.0735903005069333","4"
"Slightly Expensive","1984","middle vocational","Male","92","0.0705604858902062","0.0563296880805672","0.0847912836998451","4"
"Slightly Expensive","1984","middle vocational","Female","81","0.0751756948347882","0.0587176600298117","0.0916337296397647","4"
"Slightly Expensive","1984","vocational + Abi","Male","3","","","","4"
"Slightly Expensive","1984","vocational + Abi","Female","1","","","","4"
