"hlf0094","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1985","no migration background","Rural Area","350","0.295208620438684","0.269422223325577","0.320995017551792","2"
"Inexpensive","1985","no migration background","Urban Area","848","0.325076925168923","0.307263219779967","0.342890630557878","2"
"Inexpensive","1985","direct migration background","Urban Area","73","0.29407741340586","0.238044835130228","0.350109991681492","2"
"Inexpensive","1985","direct migration background","Rural Area","18","","","","2"
"Inexpensive","1985","indirect migration background","Urban Area","3","","","","2"
"Inexpensive","1985","indirect migration background","Rural Area","1","","","","2"
"Reasonable","1985","no migration background","Rural Area","430","0.356772301241379","0.32969073418388","0.383853868298878","3"
"Reasonable","1985","no migration background","Urban Area","946","0.346579644921124","0.328481589594105","0.364677700248143","3"
"Reasonable","1985","direct migration background","Urban Area","92","0.309589308247927","0.25273309075594","0.366445525739914","3"
"Reasonable","1985","direct migration background","Rural Area","32","0.4811076297026","0.361469268826946","0.600745990578254","3"
"Reasonable","1985","indirect migration background","Urban Area","9","","","","3"
"Reasonable","1985","indirect migration background","Rural Area","2","","","","3"
"Slightly Expensive","1985","no migration background","Rural Area","92","0.0715378701092962","0.0569683261784204","0.086107414040172","4"
"Slightly Expensive","1985","direct migration background","Urban Area","44","0.149314485440397","0.105484964627323","0.193144006253472","4"
"Slightly Expensive","1985","no migration background","Urban Area","208","0.0734827193576229","0.063559480904602","0.0834059578106439","4"
"Slightly Expensive","1985","indirect migration background","Urban Area","3","","","","4"
"Slightly Expensive","1985","direct migration background","Rural Area","3","","","","4"
"Slightly Expensive","1985","indirect migration background","Rural Area","","","","","4"
"Too Expensive","1985","no migration background","Urban Area","56","0.0211295311971904","0.0156601071002348","0.026598955294146","5"
"Too Expensive","1985","no migration background","Rural Area","34","0.0269095756183171","0.0177615814093446","0.0360575698272895","5"
"Too Expensive","1985","direct migration background","Urban Area","7","","","","5"
"Too Expensive","1985","direct migration background","Rural Area","2","","","","5"
"Too Expensive","1985","indirect migration background","Urban Area","1","","","","5"
"Too Expensive","1985","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1985","no migration background","Urban Area","598","0.23373117935514","0.217636476680605","0.249825882029675","1"
"Very Inexpensive","1985","no migration background","Rural Area","296","0.249571632592323","0.225106471004256","0.27403679418039","1"
"Very Inexpensive","1985","direct migration background","Urban Area","38","0.22309481612448","0.171895992571116","0.274293639677843","1"
"Very Inexpensive","1985","direct migration background","Rural Area","12","","","","1"
"Very Inexpensive","1985","indirect migration background","Urban Area","9","","","","1"
"Very Inexpensive","1985","indirect migration background","Rural Area","2","","","","1"
"Inexpensive","1986","no migration background","Urban Area","858","0.324008844158393","0.30639183128585","0.341625857030937","2"
"Inexpensive","1986","no migration background","Rural Area","360","0.297623622572675","0.272082633446177","0.323164611699172","2"
"Inexpensive","1986","direct migration background","Urban Area","66","0.269471514666502","0.216152479515312","0.322790549817691","2"
"Inexpensive","1986","direct migration background","Rural Area","21","","","","2"
"Inexpensive","1986","indirect migration background","Urban Area","6","","","","2"
"Inexpensive","1986","indirect migration background","Rural Area","","","","","2"
"Reasonable","1986","no migration background","Rural Area","488","0.384105727715844","0.356935233450997","0.411276221980691","3"
"Reasonable","1986","no migration background","Urban Area","1061","0.390435000897901","0.372070982676968","0.408799019118834","3"
"Reasonable","1986","direct migration background","Urban Area","104","0.338057281714515","0.281209617517083","0.394904945911946","3"
"Reasonable","1986","direct migration background","Rural Area","21","","","","3"
"Reasonable","1986","indirect migration background","Urban Area","15","","","","3"
"Reasonable","1986","indirect migration background","Rural Area","2","","","","3"
"Slightly Expensive","1986","no migration background","Rural Area","117","0.093659314328617","0.0773835913421742","0.10993503731506","4"
"Slightly Expensive","1986","no migration background","Urban Area","242","0.0824138348529006","0.0720622505774028","0.0927654191283984","4"
"Slightly Expensive","1986","direct migration background","Urban Area","47","0.178130804946072","0.132149833834128","0.224111776058016","4"
"Slightly Expensive","1986","direct migration background","Rural Area","8","","","","4"
"Slightly Expensive","1986","indirect migration background","Urban Area","7","","","","4"
"Slightly Expensive","1986","indirect migration background","Rural Area","1","","","","4"
"Too Expensive","1986","no migration background","Urban Area","62","0.0202606240485776","0.0149570941367791","0.0255641539603761","5"
"Too Expensive","1986","no migration background","Rural Area","41","0.0317071630633366","0.0219190017711506","0.0414953243555227","5"
"Too Expensive","1986","direct migration background","Urban Area","7","","","","5"
"Too Expensive","1986","direct migration background","Rural Area","7","","","","5"
"Too Expensive","1986","indirect migration background","Urban Area","1","","","","5"
"Too Expensive","1986","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1986","no migration background","Urban Area","488","0.182881696042227","0.168330090213565","0.197433301870889","1"
"Very Inexpensive","1986","no migration background","Rural Area","225","0.192904172319528","0.170862099835698","0.214946244803357","1"
"Very Inexpensive","1986","direct migration background","Urban Area","42","0.194377694754659","0.146822690229373","0.241932699279944","1"
"Very Inexpensive","1986","direct migration background","Rural Area","12","","","","1"
"Very Inexpensive","1986","indirect migration background","Urban Area","6","","","","1"
"Very Inexpensive","1986","indirect migration background","Rural Area","1","","","","1"
"Inexpensive","1987","no migration background","Urban Area","955","0.35632688938738","0.338299189734098","0.374354589040662","2"
"Inexpensive","1987","direct migration background","Urban Area","88","0.369118213787825","0.314050909686869","0.42418551788878","2"
"Inexpensive","1987","no migration background","Rural Area","377","0.326715592004204","0.299932565266588","0.353498618741819","2"
"Inexpensive","1987","indirect migration background","Urban Area","12","","","","2"
"Inexpensive","1987","direct migration background","Rural Area","20","","","","2"
"Inexpensive","1987","indirect migration background","Rural Area","1","","","","2"
"Reasonable","1987","no migration background","Rural Area","440","0.383193456010727","0.355430930281357","0.410955981740098","3"
"Reasonable","1987","no migration background","Urban Area","1011","0.37145459773066","0.353265777596338","0.389643417864983","3"
"Reasonable","1987","direct migration background","Urban Area","105","0.282677722085531","0.231292287485803","0.334063156685258","3"
"Reasonable","1987","direct migration background","Rural Area","16","","","","3"
"Reasonable","1987","indirect migration background","Urban Area","14","","","","3"
"Reasonable","1987","indirect migration background","Rural Area","3","","","","3"
"Slightly Expensive","1987","no migration background","Urban Area","218","0.0759868898276965","0.0660123760781146","0.0859614035772784","4"
"Slightly Expensive","1987","no migration background","Rural Area","92","0.0727254175442653","0.0578960463814811","0.0875547887070496","4"
"Slightly Expensive","1987","direct migration background","Urban Area","54","0.139707317240576","0.100146088307844","0.179268546173308","4"
"Slightly Expensive","1987","direct migration background","Rural Area","8","","","","4"
"Slightly Expensive","1987","indirect migration background","Urban Area","5","","","","4"
"Slightly Expensive","1987","indirect migration background","Rural Area","","","","","4"
"Too Expensive","1987","no migration background","Urban Area","77","0.0274645246324711","0.0213124428298564","0.0336166064350859","5"
"Too Expensive","1987","no migration background","Rural Area","32","0.022715345453834","0.0142069893465854","0.0312237015610827","5"
"Too Expensive","1987","direct migration background","Urban Area","4","","","","5"
"Too Expensive","1987","direct migration background","Rural Area","2","","","","5"
"Too Expensive","1987","indirect migration background","Urban Area","","","","","5"
"Too Expensive","1987","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1987","no migration background","Urban Area","450","0.168767098421792","0.154668089460169","0.182866107383415","1"
"Very Inexpensive","1987","no migration background","Rural Area","237","0.194650188986969","0.172040471217682","0.217259906756257","1"
"Very Inexpensive","1987","direct migration background","Urban Area","44","0.188825981842338","0.144165338513235","0.233486625171441","1"
"Very Inexpensive","1987","direct migration background","Rural Area","13","","","","1"
"Very Inexpensive","1987","indirect migration background","Urban Area","6","","","","1"
"Very Inexpensive","1987","indirect migration background","Rural Area","","","","","1"
"Inexpensive","1988","no migration background","Urban Area","912","0.354675366045091","0.336171809313271","0.37317892277691","2"
"Inexpensive","1988","no migration background","Rural Area","366","0.343095137129591","0.314636260161975","0.371554014097208","2"
"Inexpensive","1988","direct migration background","Urban Area","81","0.327222162290345","0.272939100450673","0.381505224130016","2"
"Inexpensive","1988","direct migration background","Rural Area","19","","","","2"
"Inexpensive","1988","indirect migration background","Urban Area","9","","","","2"
"Inexpensive","1988","indirect migration background","Rural Area","","","","","2"
"Reasonable","1988","no migration background","Urban Area","946","0.367819172560729","0.349168760859594","0.386469584261864","3"
"Reasonable","1988","no migration background","Rural Area","432","0.402481046902272","0.373083722956044","0.431878370848499","3"
"Reasonable","1988","direct migration background","Urban Area","112","0.353079663720501","0.297786823786731","0.408372503654271","3"
"Reasonable","1988","direct migration background","Rural Area","29","","","","3"
"Reasonable","1988","indirect migration background","Urban Area","19","","","","3"
"Reasonable","1988","indirect migration background","Rural Area","3","","","","3"
"Slightly Expensive","1988","no migration background","Urban Area","200","0.0763084365864081","0.0660400940486079","0.0865767791242084","4"
"Slightly Expensive","1988","no migration background","Rural Area","70","0.0664327062985793","0.0515039707458189","0.0813614418513398","4"
"Slightly Expensive","1988","direct migration background","Urban Area","41","0.0978865307764072","0.0635070593966446","0.13226600215617","4"
"Slightly Expensive","1988","direct migration background","Rural Area","5","","","","4"
"Slightly Expensive","1988","indirect migration background","Urban Area","4","","","","4"
"Slightly Expensive","1988","indirect migration background","Rural Area","1","","","","4"
"Too Expensive","1988","no migration background","Urban Area","36","0.0144206642862656","0.00980972918890009","0.019031599383631","5"
"Too Expensive","1988","no migration background","Rural Area","15","","","","5"
"Too Expensive","1988","direct migration background","Urban Area","6","","","","5"
"Too Expensive","1988","direct migration background","Rural Area","","","","","5"
"Too Expensive","1988","indirect migration background","Urban Area","","","","","5"
"Too Expensive","1988","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1988","no migration background","Urban Area","474","0.186776360521507","0.17170277626294","0.201849944780073","1"
"Very Inexpensive","1988","no migration background","Rural Area","186","0.176227698378621","0.153387497688596","0.199067899068647","1"
"Very Inexpensive","1988","direct migration background","Urban Area","47","0.19614138231527","0.150202376262459","0.24208038836808","1"
"Very Inexpensive","1988","direct migration background","Rural Area","8","","","","1"
"Very Inexpensive","1988","indirect migration background","Urban Area","9","","","","1"
"Very Inexpensive","1988","indirect migration background","Rural Area","","","","","1"
"Inexpensive","1989","no migration background","Urban Area","944","0.378269069175299","0.359361002618226","0.397177135732373","2"
"Inexpensive","1989","no migration background","Rural Area","362","0.355345382380974","0.326270925326914","0.384419839435034","2"
"Inexpensive","1989","direct migration background","Urban Area","114","0.35300293753595","0.298833688984362","0.407172186087539","2"
"Inexpensive","1989","direct migration background","Rural Area","22","","","","2"
"Inexpensive","1989","indirect migration background","Rural Area","1","","","","2"
"Inexpensive","1989","indirect migration background","Urban Area","13","","","","2"
"Reasonable","1989","no migration background","Rural Area","365","0.343339455925218","0.314495485296777","0.372183426553659","3"
"Reasonable","1989","no migration background","Urban Area","871","0.338786745346814","0.320333215532667","0.357240275160962","3"
"Reasonable","1989","direct migration background","Urban Area","109","0.334729126483915","0.281240862350499","0.388217390617331","3"
"Reasonable","1989","direct migration background","Rural Area","12","","","","3"
"Reasonable","1989","indirect migration background","Rural Area","1","","","","3"
"Reasonable","1989","indirect migration background","Urban Area","21","","","","3"
"Slightly Expensive","1989","no migration background","Rural Area","63","0.0567470381257019","0.0426927641837449","0.070801312067659","4"
"Slightly Expensive","1989","no migration background","Urban Area","175","0.0677636768227319","0.0579641081287366","0.0775632455167272","4"
"Slightly Expensive","1989","direct migration background","Rural Area","11","","","","4"
"Slightly Expensive","1989","direct migration background","Urban Area","26","","","","4"
"Slightly Expensive","1989","indirect migration background","Urban Area","6","","","","4"
"Slightly Expensive","1989","indirect migration background","Rural Area","","","","","4"
"Too Expensive","1989","no migration background","Urban Area","28","","","","5"
"Too Expensive","1989","no migration background","Rural Area","19","","","","5"
