"hlf0094","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Reasonable","1985","66 and older","indirect migration background","","","",""
"Slightly Expensive","1985","16-34 y.","no migration background","104","0.0832315099858154","0.0674639346659601","0.0989990853056708"
"Slightly Expensive","1985","16-34 y.","direct migration background","19","","",""
"Slightly Expensive","1985","16-34 y.","indirect migration background","3","","",""
"Slightly Expensive","1985","35-65 y.","no migration background","172","0.0729841601659668","0.0621689752664752","0.0837993450654585"
"Slightly Expensive","1985","35-65 y.","direct migration background","27","","",""
"Slightly Expensive","1985","35-65 y.","indirect migration background","","","",""
"Slightly Expensive","1985","66 and older","no migration background","24","","",""
"Slightly Expensive","1985","66 and older","direct migration background","1","","",""
"Slightly Expensive","1985","66 and older","indirect migration background","","","",""
"Too Expensive","1985","16-34 y.","no migration background","30","0.0254483666113972","0.0164591142747902","0.0344376189480042"
"Too Expensive","1985","16-34 y.","direct migration background","5","","",""
"Too Expensive","1985","16-34 y.","indirect migration background","1","","",""
"Too Expensive","1985","35-65 y.","no migration background","55","0.0255353346021236","0.0189764515362007","0.0320942176680466"
"Too Expensive","1985","35-65 y.","direct migration background","4","","",""
"Too Expensive","1985","35-65 y.","indirect migration background","","","",""
"Too Expensive","1985","66 and older","no migration background","5","","",""
"Too Expensive","1985","66 and older","direct migration background","","","",""
"Too Expensive","1985","66 and older","indirect migration background","","","",""
"Very Inexpensive","1986","16-34 y.","no migration background","204","0.165262383980463","0.144488825035625","0.186035942925301"
"Very Inexpensive","1986","16-34 y.","direct migration background","17","","",""
"Very Inexpensive","1986","16-34 y.","indirect migration background","4","","",""
"Very Inexpensive","1986","35-65 y.","no migration background","399","0.180665187462638","0.164700285798712","0.196630089126564"
"Very Inexpensive","1986","35-65 y.","direct migration background","33","0.196673443850566","0.144029919453667","0.249316968247465"
"Very Inexpensive","1986","35-65 y.","indirect migration background","3","","",""
"Very Inexpensive","1986","66 and older","no migration background","110","0.241258436050475","0.203102446827432","0.279414425273518"
"Very Inexpensive","1986","66 and older","direct migration background","4","","",""
"Very Inexpensive","1986","66 and older","indirect migration background","","","",""
"Inexpensive","1986","16-34 y.","no migration background","340","0.279420625928362","0.254323785372115","0.304517466484609"
"Inexpensive","1986","16-34 y.","direct migration background","22","","",""
"Inexpensive","1986","16-34 y.","indirect migration background","4","","",""
"Inexpensive","1986","35-65 y.","no migration background","700","0.316206929849561","0.296911860438898","0.335501999260224"
"Inexpensive","1986","35-65 y.","direct migration background","59","0.285407984955561","0.225596005868955","0.345219964042167"
"Inexpensive","1986","35-65 y.","indirect migration background","2","","",""
"Inexpensive","1986","66 and older","no migration background","178","0.377409123615292","0.334179435819629","0.420638811410955"
"Inexpensive","1986","66 and older","direct migration background","6","","",""
"Inexpensive","1986","66 and older","indirect migration background","","","",""
"Reasonable","1986","16-34 y.","no migration background","506","0.415380131921183","0.387818269986612","0.442941993855754"
"Reasonable","1986","16-34 y.","direct migration background","34","0.326752602502332","0.234825206045954","0.41867999895871"
"Reasonable","1986","16-34 y.","indirect migration background","16","","",""
"Reasonable","1986","35-65 y.","no migration background","880","0.395707599995609","0.375416337563301","0.415998862427917"
"Reasonable","1986","35-65 y.","direct migration background","87","0.341531795079258","0.278724656395567","0.404338933762949"
"Reasonable","1986","35-65 y.","indirect migration background","1","","",""
"Reasonable","1986","66 and older","no migration background","163","0.315958044847735","0.274497920115211","0.35741816958026"
"Reasonable","1986","66 and older","direct migration background","4","","",""
"Reasonable","1986","66 and older","indirect migration background","","","",""
"Slightly Expensive","1986","16-34 y.","no migration background","135","0.107644086827237","0.0903095177683889","0.124978655886085"
"Slightly Expensive","1986","16-34 y.","direct migration background","23","","",""
"Slightly Expensive","1986","16-34 y.","indirect migration background","5","","",""
"Slightly Expensive","1986","35-65 y.","no migration background","197","0.0845412222484201","0.072997337993531","0.0960851065033092"
"Slightly Expensive","1986","35-65 y.","direct migration background","30","0.13050240556478","0.0858885779784812","0.175116233151079"
"Slightly Expensive","1986","35-65 y.","indirect migration background","2","","",""
"Slightly Expensive","1986","66 and older","no migration background","27","","",""
"Slightly Expensive","1986","66 and older","direct migration background","2","","",""
"Slightly Expensive","1986","66 and older","indirect migration background","1","","",""
"Too Expensive","1986","16-34 y.","no migration background","43","0.0322927713427549","0.0224055658853973","0.0421799768001125"
"Too Expensive","1986","16-34 y.","direct migration background","4","","",""
"Too Expensive","1986","16-34 y.","indirect migration background","1","","",""
"Too Expensive","1986","35-65 y.","no migration background","55","0.022879060443772","0.0166747780225916","0.0290833428649524"
"Too Expensive","1986","35-65 y.","direct migration background","10","","",""
"Too Expensive","1986","35-65 y.","indirect migration background","","","",""
"Too Expensive","1986","66 and older","no migration background","5","","",""
"Too Expensive","1986","66 and older","direct migration background","","","",""
"Too Expensive","1986","66 and older","indirect migration background","","","",""
"Very Inexpensive","1987","16-34 y.","no migration background","205","0.165442020242774","0.144650943615851","0.186233096869697"
"Very Inexpensive","1987","16-34 y.","direct migration background","13","","",""
"Very Inexpensive","1987","16-34 y.","indirect migration background","5","","",""
"Very Inexpensive","1987","35-65 y.","no migration background","383","0.176997207756585","0.160938814618894","0.193055600894276"
"Very Inexpensive","1987","35-65 y.","direct migration background","39","0.2247695869247","0.171055490631122","0.278483683218278"
"Very Inexpensive","1987","35-65 y.","indirect migration background","1","","",""
"Very Inexpensive","1987","66 and older","no migration background","99","0.195714194926167","0.160656617294877","0.230771772557457"
"Very Inexpensive","1987","66 and older","direct migration background","5","","",""
"Very Inexpensive","1987","66 and older","indirect migration background","","","",""
"Inexpensive","1987","16-34 y.","no migration background","411","0.334123752013544","0.307731512347777","0.360515991679311"
"Inexpensive","1987","16-34 y.","direct migration background","25","","",""
"Inexpensive","1987","16-34 y.","indirect migration background","9","","",""
"Inexpensive","1987","35-65 y.","no migration background","722","0.334639697838171","0.314786274800041","0.354493120876301"
"Inexpensive","1987","35-65 y.","direct migration background","76","0.399064020248636","0.336049666174677","0.462078374322595"
"Inexpensive","1987","35-65 y.","indirect migration background","4","","",""
"Inexpensive","1987","66 and older","no migration background","199","0.41099800069966","0.367522581451797","0.454473419947524"
"Inexpensive","1987","66 and older","direct migration background","7","","",""
"Inexpensive","1987","66 and older","indirect migration background","","","",""
"Reasonable","1987","16-34 y.","no migration background","454","0.37774014358207","0.350612737261235","0.404867549902905"
"Reasonable","1987","16-34 y.","direct migration background","40","0.393333018143037","0.297590802685757","0.489075233600318"
"Reasonable","1987","16-34 y.","indirect migration background","11","","",""
"Reasonable","1987","35-65 y.","no migration background","831","0.38352363124171","0.363065191691885","0.403982070791536"
"Reasonable","1987","35-65 y.","direct migration background","73","0.237982335220246","0.183185058087865","0.292779612352627"
"Reasonable","1987","35-65 y.","indirect migration background","5","","",""
"Reasonable","1987","66 and older","no migration background","166","0.342510392010393","0.300578267902579","0.384442516118208"
"Reasonable","1987","66 and older","direct migration background","8","","",""
"Reasonable","1987","66 and older","indirect migration background","1","","",""
"Slightly Expensive","1987","16-34 y.","no migration background","121","0.0957050670991873","0.0792443661708549","0.11216576802752"
"Slightly Expensive","1987","16-34 y.","direct migration background","19","","",""
"Slightly Expensive","1987","16-34 y.","indirect migration background","4","","",""
"Slightly Expensive","1987","35-65 y.","no migration background","171","0.0766664625080255","0.065472077443802","0.0878608475722491"
"Slightly Expensive","1987","35-65 y.","direct migration background","41","0.116876132954157","0.075535432910366","0.158216832997947"
"Slightly Expensive","1987","35-65 y.","indirect migration background","1","","",""
"Slightly Expensive","1987","66 and older","no migration background","18","","",""
"Slightly Expensive","1987","66 and older","direct migration background","2","","",""
"Slightly Expensive","1987","66 and older","indirect migration background","","","",""
"Too Expensive","1987","16-34 y.","no migration background","36","0.0269890170624248","0.0179217122644298","0.0360563218604198"
"Too Expensive","1987","16-34 y.","direct migration background","3","","",""
"Too Expensive","1987","16-34 y.","indirect migration background","","","",""
"Too Expensive","1987","35-65 y.","no migration background","63","0.0281730006555076","0.0212110769915792","0.0351349243194361"
"Too Expensive","1987","35-65 y.","direct migration background","3","","",""
"Too Expensive","1987","35-65 y.","indirect migration background","","","",""
"Too Expensive","1987","66 and older","no migration background","10","","",""
"Too Expensive","1987","66 and older","direct migration background","","","",""
"Too Expensive","1987","66 and older","indirect migration background","","","",""
"Very Inexpensive","1988","16-34 y.","no migration background","185","0.162684832084588","0.141231938937682","0.184137725231494"
"Very Inexpensive","1988","16-34 y.","direct migration background","12","","",""
"Very Inexpensive","1988","16-34 y.","indirect migration background","7","","",""
"Very Inexpensive","1988","35-65 y.","no migration background","370","0.182178261025135","0.165407858541345","0.198948663508925"
"Very Inexpensive","1988","35-65 y.","direct migration background","39","0.208977062749579","0.156086399729381","0.261867725769777"
"Very Inexpensive","1988","35-65 y.","indirect migration background","2","","",""
"Very Inexpensive","1988","66 and older","no migration background","105","0.224060306779854","0.186162152266508","0.261958461293199"
"Very Inexpensive","1988","66 and older","direct migration background","4","","",""
"Very Inexpensive","1988","66 and older","indirect migration background","","","",""
"Inexpensive","1988","16-34 y.","no migration background","377","0.315058154960205","0.288056519418992","0.342059790501418"
"Inexpensive","1988","16-34 y.","direct migration background","31","0.339745119500346","0.247377483743566","0.432112755257125"
"Inexpensive","1988","16-34 y.","indirect migration background","8","","",""
"Inexpensive","1988","35-65 y.","no migration background","712","0.351587889031862","0.330843129899928","0.372332648163795"
"Inexpensive","1988","35-65 y.","direct migration background","63","0.337802700476411","0.276276453617911","0.399328947334911"
"Inexpensive","1988","35-65 y.","indirect migration background","1","","",""
"Inexpensive","1988","66 and older","no migration background","189","0.4116897654213","0.366958637250603","0.456420893591996"
"Inexpensive","1988","66 and older","direct migration background","6","","",""
"Inexpensive","1988","66 and older","indirect migration background","","","",""
"Reasonable","1988","16-34 y.","no migration background","454","0.414503000106668","0.385868207971752","0.443137792241585"
"Reasonable","1988","16-34 y.","direct migration background","38","0.325130653153864","0.233776938040642","0.416484368267085"
"Reasonable","1988","16-34 y.","indirect migration background","15","","",""
"Reasonable","1988","35-65 y.","no migration background","781","0.380389099928051","0.359296047084188","0.401482152771915"
"Reasonable","1988","35-65 y.","direct migration background","95","0.355005199681879","0.292756450922093","0.417253948441665"
"Reasonable","1988","35-65 y.","indirect migration background","6","","",""
"Reasonable","1988","66 and older","no migration background","143","0.309499615182552","0.267481783817018","0.351517446548087"
"Reasonable","1988","66 and older","direct migration background","8","","",""
"Reasonable","1988","66 and older","indirect migration background","1","","",""
"Slightly Expensive","1988","16-34 y.","no migration background","107","0.0984958556047265","0.0811753445902714","0.115816366619182"
"Slightly Expensive","1988","16-34 y.","direct migration background","20","","",""
"Slightly Expensive","1988","16-34 y.","indirect migration background","3","","",""
"Slightly Expensive","1988","35-65 y.","no migration background","139","0.0695598314202334","0.0585065972663849","0.0806130655740819"
"Slightly Expensive","1988","35-65 y.","direct migration background","24","","",""
"Slightly Expensive","1988","35-65 y.","indirect migration background","2","","",""
"Slightly Expensive","1988","66 and older","no migration background","24","","",""
"Slightly Expensive","1988","66 and older","direct migration background","2","","",""
"Slightly Expensive","1988","66 and older","indirect migration background","","","",""
"Too Expensive","1988","16-34 y.","no migration background","14","","",""
"Too Expensive","1988","16-34 y.","direct migration background","","","",""
"Too Expensive","1988","16-34 y.","indirect migration background","","","",""
"Too Expensive","1988","35-65 y.","no migration background","33","0.0162849185947186","0.0107857967179776","0.0217840404714595"
"Too Expensive","1988","35-65 y.","direct migration background","6","","",""
"Too Expensive","1988","35-65 y.","indirect migration background","","","",""
"Too Expensive","1988","66 and older","no migration background","4","","",""
"Too Expensive","1988","66 and older","direct migration background","","","",""
"Too Expensive","1988","66 and older","indirect migration background","","","",""
"Very Inexpensive","1989","16-34 y.","no migration background","203","0.179965218774502","0.157645568474366","0.202284869074639"
"Very Inexpensive","1989","16-34 y.","direct migration background","14","","",""
"Very Inexpensive","1989","16-34 y.","indirect migration background","5","","",""
"Very Inexpensive","1989","35-65 y.","no migration background","409","0.212096966980359","0.193971490731993","0.230222443228724"
"Very Inexpensive","1989","35-65 y.","direct migration background","37","0.190495283545194","0.140710004461786","0.240280562628602"
