"hlf0094","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1984","Not Employed","West Germany","524","0.293229852180011","0.2724345906622","0.314025113697823"
"Very Inexpensive","1984","Not Employed","East Germany","","","",""
"Very Inexpensive","1984","Employed","West Germany","593","0.23826115023737","0.221854199318563","0.254668101156178"
"Very Inexpensive","1984","Employed","East Germany","","","",""
"Inexpensive","1984","Not Employed","West Germany","564","0.313925634963203","0.29272640023425","0.335124869692156"
"Inexpensive","1984","Not Employed","East Germany","","","",""
"Inexpensive","1984","Employed","West Germany","798","0.317124021282392","0.299202135842134","0.33504590672265"
"Inexpensive","1984","Employed","East Germany","","","",""
"Reasonable","1984","Not Employed","West Germany","601","0.317741303528684","0.296473013535358","0.33900959352201"
"Reasonable","1984","Not Employed","East Germany","","","",""
"Reasonable","1984","Employed","West Germany","882","0.327411531193878","0.309338961714244","0.345484100673511"
"Reasonable","1984","Employed","East Germany","","","",""
"Slightly Expensive","1984","Not Employed","West Germany","116","0.0581581454943048","0.0474672160193004","0.0688490749693091"
"Slightly Expensive","1984","Not Employed","East Germany","","","",""
"Slightly Expensive","1984","Employed","West Germany","226","0.0824303067000697","0.071838715815103","0.0930218975850364"
"Slightly Expensive","1984","Employed","East Germany","","","",""
"Too Expensive","1984","Not Employed","West Germany","36","0.0169450638337966","0.0110494138050837","0.0228407138625094"
"Too Expensive","1984","Not Employed","East Germany","","","",""
"Too Expensive","1984","Employed","West Germany","91","0.03477299058629","0.0277173903925463","0.0418285907800336"
"Too Expensive","1984","Employed","East Germany","","","",""
"Very Inexpensive","1985","Not Employed","West Germany","454","0.2747595185954","0.253626571083822","0.295892466106979"
"Very Inexpensive","1985","Not Employed","East Germany","","","",""
"Very Inexpensive","1985","Employed","West Germany","501","0.20999341880341","0.194011422984","0.225975414622821"
"Very Inexpensive","1985","Employed","East Germany","","","",""
"Inexpensive","1985","Not Employed","West Germany","536","0.318279349638987","0.296227240254532","0.340331459023441"
"Inexpensive","1985","Not Employed","East Germany","","","",""
"Inexpensive","1985","Employed","West Germany","757","0.309096447016905","0.290963494029929","0.327229400003881"
"Inexpensive","1985","Employed","East Germany","","","",""
"Reasonable","1985","Not Employed","West Germany","573","0.323609840867524","0.301460939847034","0.345758741888014"
"Reasonable","1985","Not Employed","East Germany","","","",""
"Reasonable","1985","Employed","West Germany","938","0.370618133322504","0.351667084027699","0.389569182617309"
"Reasonable","1985","Employed","East Germany","","","",""
"Slightly Expensive","1985","Not Employed","West Germany","125","0.0686654897353834","0.0566935425821195","0.0806374368886473"
"Slightly Expensive","1985","Not Employed","East Germany","","","",""
"Slightly Expensive","1985","Employed","West Germany","225","0.0810689054150785","0.0703591033521963","0.0917787074779608"
"Slightly Expensive","1985","Employed","East Germany","","","",""
"Too Expensive","1985","Not Employed","West Germany","26","","",""
"Too Expensive","1985","Not Employed","East Germany","","","",""
"Too Expensive","1985","Employed","West Germany","74","0.0292230954421013","0.022614097112804","0.0358320937713987"
"Too Expensive","1985","Employed","East Germany","","","",""
