"hlf0094","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Not Working","in school","21","","","","2"
"Inexpensive","1984","Not Working","inadequately","6","","","","2"
"Inexpensive","1984","Not Working","general elemantary","243","0.323693879877289","0.290473124120995","0.356914635633584","2"
"Inexpensive","1984","Not Working","middle vocational","244","0.32041998592717","0.287735074865333","0.353104896989008","2"
"Inexpensive","1984","Not Working","vocational + Abi","8","","","","2"
"Inexpensive","1984","Not Working","higher vocational","27","","","","2"
"Inexpensive","1984","Not Working","higher education","15","","","","2"
"Inexpensive","1984","Full Time","in school","","","","","2"
"Inexpensive","1984","Full Time","inadequately","9","","","","2"
"Inexpensive","1984","Full Time","general elemantary","101","0.319904994842895","0.268879070832232","0.370930918853558","2"
"Inexpensive","1984","Full Time","middle vocational","333","0.312031147292682","0.284737747127542","0.339324547457823","2"
"Inexpensive","1984","Full Time","vocational + Abi","15","","","","2"
"Inexpensive","1984","Full Time","higher vocational","60","0.322415325637433","0.256129444562013","0.388701206712852","2"
"Inexpensive","1984","Full Time","higher education","72","0.331104351098808","0.269058380373504","0.393150321824112","2"
"Inexpensive","1984","Part Time","in school","1","","","","2"
"Inexpensive","1984","Part Time","inadequately","2","","","","2"
"Inexpensive","1984","Part Time","general elemantary","65","0.348682998017781","0.281795896196672","0.415570099838891","2"
"Inexpensive","1984","Part Time","middle vocational","104","0.312388346747031","0.263124575042948","0.361652118451115","2"
"Inexpensive","1984","Part Time","vocational + Abi","6","","","","2"
"Inexpensive","1984","Part Time","higher vocational","13","","","","2"
"Inexpensive","1984","Part Time","higher education","17","","","","2"
"Reasonable","1984","Not Working","middle vocational","263","0.329164500548619","0.296250420264205","0.362078580833034","3"
"Reasonable","1984","Part Time","middle vocational","117","0.343516150960389","0.29303906955916","0.393993232361618","3"
"Reasonable","1984","Not Working","general elemantary","238","0.303335652290222","0.270696104952235","0.33597519962821","3"
"Reasonable","1984","Not Working","vocational + Abi","3","","","","3"
"Reasonable","1984","Part Time","in school","1","","","","3"
"Reasonable","1984","Part Time","inadequately","6","","","","3"
"Reasonable","1984","Part Time","general elemantary","62","0.307538744308944","0.242768066298787","0.372309422319101","3"
"Reasonable","1984","Part Time","vocational + Abi","4","","","","3"
"Reasonable","1984","Part Time","higher vocational","15","","","","3"
"Reasonable","1984","Part Time","higher education","27","","","","3"
"Reasonable","1984","Not Working","in school","37","0.389549471026481","0.290969040410104","0.488129901642858","3"
"Reasonable","1984","Not Working","inadequately","9","","","","3"
"Reasonable","1984","Not Working","higher vocational","26","","","","3"
"Reasonable","1984","Not Working","higher education","24","","","","3"
"Reasonable","1984","Full Time","in school","","","","","3"
"Reasonable","1984","Full Time","inadequately","8","","","","3"
"Reasonable","1984","Full Time","general elemantary","110","0.325139123930979","0.273895797246394","0.376382450615563","3"
"Reasonable","1984","Full Time","middle vocational","362","0.310315685917171","0.283063501485737","0.337567870348604","3"
"Reasonable","1984","Full Time","vocational + Abi","24","","","","3"
"Reasonable","1984","Full Time","higher vocational","64","0.328806570379518","0.262183368742262","0.395429772016774","3"
"Reasonable","1984","Full Time","higher education","80","0.353590751489703","0.290559463235776","0.416622039743631","3"
"Slightly Expensive","1984","Full Time","in school","","","","","4"
"Slightly Expensive","1984","Full Time","inadequately","4","","","","4"
"Slightly Expensive","1984","Full Time","general elemantary","27","","","","4"
"Slightly Expensive","1984","Full Time","middle vocational","94","0.0801025052761625","0.0641118210112396","0.0960931895410854","4"
"Slightly Expensive","1984","Full Time","vocational + Abi","3","","","","4"
"Slightly Expensive","1984","Full Time","higher vocational","21","","","","4"
"Slightly Expensive","1984","Full Time","higher education","19","","","","4"
"Slightly Expensive","1984","Part Time","in school","1","","","","4"
"Slightly Expensive","1984","Part Time","inadequately","1","","","","4"
"Slightly Expensive","1984","Part Time","general elemantary","16","","","","4"
"Slightly Expensive","1984","Part Time","middle vocational","27","","","","4"
"Slightly Expensive","1984","Part Time","vocational + Abi","1","","","","4"
"Slightly Expensive","1984","Part Time","higher vocational","8","","","","4"
"Slightly Expensive","1984","Part Time","higher education","4","","","","4"
"Slightly Expensive","1984","Not Working","in school","9","","","","4"
"Slightly Expensive","1984","Not Working","inadequately","1","","","","4"
"Slightly Expensive","1984","Not Working","general elemantary","47","0.0594648425044515","0.0426733902477216","0.0762562947611815","4"
"Slightly Expensive","1984","Not Working","middle vocational","52","0.0613596696553769","0.0445500331741465","0.0781693061366073","4"
"Slightly Expensive","1984","Not Working","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Not Working","higher vocational","5","","","","4"
"Slightly Expensive","1984","Not Working","higher education","2","","","","4"
"Too Expensive","1984","Not Working","vocational + Abi","","","","","5"
"Too Expensive","1984","Not Working","middle vocational","17","","","","5"
"Too Expensive","1984","Not Working","general elemantary","13","","","","5"
"Too Expensive","1984","Not Working","inadequately","","","","","5"
"Too Expensive","1984","Not Working","in school","3","","","","5"
"Too Expensive","1984","Not Working","higher vocational","1","","","","5"
"Too Expensive","1984","Part Time","in school","1","","","","5"
"Too Expensive","1984","Part Time","general elemantary","9","","","","5"
"Too Expensive","1984","Part Time","inadequately","","","","","5"
"Too Expensive","1984","Not Working","higher education","2","","","","5"
"Too Expensive","1984","Part Time","middle vocational","12","","","","5"
"Too Expensive","1984","Part Time","vocational + Abi","1","","","","5"
"Too Expensive","1984","Part Time","higher vocational","","","","","5"
"Too Expensive","1984","Part Time","higher education","2","","","","5"
"Too Expensive","1984","Full Time","in school","","","","","5"
"Too Expensive","1984","Full Time","inadequately","1","","","","5"
"Too Expensive","1984","Full Time","general elemantary","15","","","","5"
"Too Expensive","1984","Full Time","middle vocational","33","0.0298071289132937","0.0197895356800035","0.0398247221465839","5"
"Too Expensive","1984","Full Time","vocational + Abi","3","","","","5"
"Too Expensive","1984","Full Time","higher vocational","7","","","","5"
"Too Expensive","1984","Full Time","higher education","7","","","","5"
"Very Inexpensive","1984","Full Time","in school","","","","","1"
"Very Inexpensive","1984","Full Time","inadequately","","","","","1"
"Very Inexpensive","1984","Full Time","general elemantary","68","0.226184533010029","0.180418240745075","0.271950825274983","1"
"Very Inexpensive","1984","Full Time","middle vocational","285","0.267743532600691","0.241660061628125","0.293827003573256","1"
"Very Inexpensive","1984","Full Time","vocational + Abi","6","","","","1"
"Very Inexpensive","1984","Full Time","higher vocational","39","0.207188701757781","0.149711004938435","0.264666398577128","1"
"Very Inexpensive","1984","Full Time","higher education","43","0.199938119561473","0.147207661367929","0.252668577755017","1"
