"hlf0071_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1984","Not Employed","East Germany","","","","","4"
"A little too big","1984","Not Employed","West Germany","293","0.0773412663063468","0.0696698679228649","0.0850126646898288","4"
"A little too big","1984","Employed","West Germany","377","0.0616123421540234","0.0561928978507306","0.0670317864573163","4"
"A little too big","1984","Employed","East Germany","","","","","4"
"A little too small","1984","Not Employed","East Germany","","","","","2"
"A little too small","1984","Employed","West Germany","1374","0.158007447337173","0.149786485008861","0.166228409665486","2"
"A little too small","1984","Employed","East Germany","","","","","2"
"A little too small","1984","Not Employed","West Germany","619","0.0995288576679818","0.0909316432492149","0.108126072086749","2"
"Just right","1984","Not Employed","West Germany","3533","0.78940591413346","0.777696865168447","0.801114963098472","3"
"Just right","1984","Employed","East Germany","","","","","3"
"Just right","1984","Employed","West Germany","5448","0.743421784815229","0.733578109373824","0.753265460256634","3"
"Just right","1984","Not Employed","East Germany","","","","","3"
"Much too big","1984","Not Employed","West Germany","33","0.00940933335434293","0.00663681204809556","0.0121818546605903","5"
"Much too big","1984","Not Employed","East Germany","","","","","5"
"Much too big","1984","Employed","West Germany","60","0.0104284757596208","0.0081388538760376","0.0127180976432039","5"
"Much too big","1984","Employed","East Germany","","","","","5"
"Much too small","1984","Not Employed","West Germany","180","0.0243146285378689","0.0198914235640897","0.028737833511648","1"
"Much too small","1984","Not Employed","East Germany","","","","","1"
"Much too small","1984","Employed","West Germany","303","0.0265299499339532","0.0229078596862965","0.03015204018161","1"
"Much too small","1984","Employed","East Germany","","","","","1"
"A little too big","1985","Employed","West Germany","379","0.069618394977402","0.063572469682661","0.075664320272143","4"
"A little too big","1985","Not Employed","East Germany","","","","","4"
"A little too big","1985","Employed","East Germany","","","","","4"
"A little too big","1985","Not Employed","West Germany","257","0.0737427903907821","0.0658509563158123","0.0816346244657519","4"
"A little too small","1985","Not Employed","West Germany","531","0.0910864888883239","0.0823980725834233","0.0997749051932244","2"
"A little too small","1985","Employed","West Germany","1116","0.142576854201897","0.134270846464849","0.150882861938944","2"
"A little too small","1985","Not Employed","East Germany","","","","","2"
"A little too small","1985","Employed","East Germany","","","","","2"
"Just right","1985","Employed","East Germany","","","","","3"
"Just right","1985","Not Employed","West Germany","3257","0.804460326033189","0.792484041094726","0.816436610971653","3"
"Just right","1985","Not Employed","East Germany","","","","","3"
"Just right","1985","Employed","West Germany","4991","0.750923182855753","0.740649299620794","0.761197066090712","3"
"Much too big","1985","Not Employed","West Germany","34","0.0114304369977621","0.00822056735091349","0.0146403066446107","5"
