"hlf0071_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","Male","176","0.0288751548077682","0.0237025309450871","0.0340477786704493"
"1","1984","Full Time","Female","57","0.0197576161481485","0.0130365943860687","0.0264786379102284"
"1","1984","Part Time","Male","22","","",""
"1","1984","Part Time","Female","48","0.0311486149695155","0.0214834303814918","0.0408137995575393"
"1","1984","Not Working","Male","52","0.0287292849004495","0.0197178555806254","0.0377407142202737"
"1","1984","Not Working","Female","128","0.0225152000895339","0.0174825372431884","0.0275478629358794"
"2","1984","Full Time","Male","726","0.156883604827141","0.145649363393734","0.168117846260547"
"2","1984","Full Time","Female","298","0.164638736422271","0.146728370043547","0.182549102800994"
"2","1984","Part Time","Male","123","0.150262701287079","0.122750298252002","0.177775104322155"
"2","1984","Part Time","Female","227","0.157402252873028","0.137140462442215","0.17766404330384"
"2","1984","Not Working","Male","146","0.0836945991134759","0.0687553088544196","0.0986338893725322"
"2","1984","Not Working","Female","473","0.105982953516252","0.095540661504658","0.116425245527845"
"3","1984","Full Time","Male","2898","0.744384340320294","0.730910122987768","0.757858557652821"
"3","1984","Full Time","Female","1190","0.735370555766893","0.714065950491184","0.756675161042602"
"3","1984","Part Time","Male","469","0.767101746536312","0.734557802102873","0.799645690969751"
"3","1984","Part Time","Female","891","0.738011682522457","0.713547270550881","0.762476094494032"
"3","1984","Not Working","Male","1020","0.797697846790302","0.776026765165876","0.819368928414728"
"3","1984","Not Working","Female","2513","0.786026095119488","0.772113638819943","0.799938551419033"
"4","1984","Full Time","Male","196","0.0599973012946475","0.0526616004191543","0.0673330021701406"
"4","1984","Full Time","Female","86","0.066562041616584","0.0545239585053536","0.0786001247278144"
"4","1984","Part Time","Male","28","","",""
"4","1984","Part Time","Female","67","0.0654432738748475","0.0516839357677471","0.0792026119819479"
"4","1984","Not Working","Male","91","0.0793106278993942","0.064733116675405","0.0938881391233835"
"4","1984","Not Working","Female","202","0.0765385480459574","0.067519630422645","0.0855574656692698"
