"hlf0071_h","year","migback","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1984","no migration background","578","0.0713774805995404","0.0659607344775271","0.0767942267215536","4"
"A little too big","1984","direct migration background","88","0.0428131116800411","0.0360225906276763","0.0496036327324059","4"
"A little too big","1984","indirect migration background","4","","","","4"
"A little too small","1984","no migration background","1188","0.125772276701244","0.118795689664307","0.132748863738182","2"
"A little too small","1984","direct migration background","777","0.195037387248315","0.18174622000885","0.20832855448778","2"
"A little too small","1984","indirect migration background","28","","","","2"
"Just right","1984","no migration background","6622","0.770685718527673","0.761840827731674","0.779530609323673","3"
"Just right","1984","indirect migration background","90","0.824778986115569","0.758921523446314","0.890636448784825","3"
"Just right","1984","direct migration background","2269","0.693675912208352","0.678213216336265","0.709138608080438","3"
"Much too big","1984","no migration background","85","0.0105593848535982","0.00840882049338735","0.012709949213809","5"
"Much too big","1984","direct migration background","8","","","","5"
"Much too big","1984","indirect migration background","","","","","5"
"Much too small","1984","no migration background","205","0.0216051393179435","0.0185461787048563","0.0246640999310308","1"
"Much too small","1984","direct migration background","272","0.0635520913101112","0.0553688931507454","0.0717352894694771","1"
"Much too small","1984","indirect migration background","6","","","","1"
"A little too big","1985","direct migration background","59","0.0347258376831007","0.0280818077152136","0.0413698676509878","4"
"A little too big","1985","no migration background","575","0.0756815340482026","0.0698708853886602","0.0814921827077451","4"
"A little too big","1985","indirect migration background","2","","","","4"
"A little too small","1985","direct migration background","657","0.208530917854545","0.193788046327475","0.223273789381616","2"
"A little too small","1985","no migration background","969","0.110805694313201","0.103909679038307","0.117701709588096","2"
"A little too small","1985","indirect migration background","21","","","","2"
"Just right","1985","no migration background","6160","0.782708089005646","0.773647831744315","0.791768346266978","3"
"Just right","1985","direct migration background","1976","0.691727737674989","0.674970026663774","0.708485448686204","3"
"Just right","1985","indirect migration background","112","0.845986986168013","0.78703106955808","0.904942902777946","3"
"Much too big","1985","no migration background","66","0.010024906130002","0.00783628226589106","0.0122135299941129","5"
"Much too big","1985","direct migration background","15","","","","5"
"Much too big","1985","indirect migration background","","","","","5"
"Much too small","1985","no migration background","189","0.0207797765029475","0.0176459174359917","0.0239136355699032","1"
"Much too small","1985","direct migration background","210","0.0599152781098691","0.0513027200318499","0.0685278361878883","1"
"Much too small","1985","indirect migration background","9","","","","1"
"A little too big","1986","direct migration background","15","","","","4"
"A little too big","1986","no migration background","61","0.0742160726100748","0.0565425329365988","0.0918896122835508","4"
"A little too big","1986","indirect migration background","","","","","4"
"A little too small","1986","no migration background","114","0.13892655816109","0.11560634735438","0.1622467689678","2"
"A little too small","1986","indirect migration background","1","","","","2"
"A little too small","1986","direct migration background","70","0.158267113074068","0.122135483796231","0.194398742351905","2"
"Just right","1986","no migration background","640","0.750712461354496","0.721544449097534","0.779880473611457","3"
"Just right","1986","direct migration background","286","0.749905723095559","0.707035053350531","0.792776392840588","3"
"Just right","1986","indirect migration background","22","","","","3"
"Much too big","1986","no migration background","3","","","","5"
"Much too big","1986","direct migration background","","","","","5"
"Much too big","1986","indirect migration background","","","","","5"
"Much too small","1986","no migration background","27","","","","1"
"Much too small","1986","direct migration background","21","","","","1"
"Much too small","1986","indirect migration background","2","","","","1"
"A little too big","1987","no migration background","47","0.0737905847078033","0.0541700438353758","0.0934111255802309","4"
"A little too big","1987","direct migration background","10","","","","4"
"A little too big","1987","indirect migration background","","","","","4"
"A little too small","1987","no migration background","90","0.120731575397352","0.0962788609516411","0.145184289843063","2"
"A little too small","1987","direct migration background","70","0.155243070315369","0.117677846892706","0.192808293738032","2"
"A little too small","1987","indirect migration background","4","","","","2"
"Just right","1987","no migration background","516","0.766887577116735","0.73515506429796","0.79862008993551","3"
"Just right","1987","direct migration background","256","0.75249569647063","0.707728760494455","0.797262632446805","3"
"Just right","1987","indirect migration background","20","","","","3"
"Much too big","1987","no migration background","4","","","","5"
"Much too big","1987","direct migration background","3","","","","5"
"Much too big","1987","indirect migration background","","","","","5"
"Much too small","1987","no migration background","25","","","","1"
"Much too small","1987","direct migration background","18","","","","1"
"Much too small","1987","indirect migration background","1","","","","1"
"A little too big","1988","no migration background","43","0.0592769360080465","0.041356072027034","0.0771977999890589","4"
"A little too big","1988","direct migration background","14","","","","4"
