"hlf0071_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","lower secondary degree","West Germany","159","0.0204163064932046","0.0168737988957288","0.0239588140906805"
"1","1984","lower secondary degree","East Germany","","","",""
"1","1984","secondary school degree","West Germany","36","0.0186521251463086","0.0126610257272715","0.0246432245653458"
"1","1984","secondary school degree","East Germany","","","",""
"1","1984","college entrance qualification","West Germany","47","0.0327722783506731","0.0230679269621688","0.0424766297391774"
"1","1984","college entrance qualification","East Germany","","","",""
"1","1984","Other degree","West Germany","131","0.0938819763881628","0.0788748382146681","0.108889114561658"
"1","1984","Other degree","East Germany","","","",""
"1","1984","no degree/no degree yet","West Germany","106","0.0647690471733282","0.0514055823982764","0.0781325119483799"
"1","1984","no degree/no degree yet","East Germany","","","",""
"2","1984","lower secondary degree","West Germany","801","0.11444564588751","0.106471050136214","0.122420241638807"
"2","1984","lower secondary degree","East Germany","","","",""
"2","1984","secondary school degree","West Germany","310","0.143775713101247","0.128238704383674","0.15931272181882"
"2","1984","secondary school degree","East Germany","","","",""
"2","1984","college entrance qualification","West Germany","235","0.165786852988763","0.145516449786086","0.186057256191439"
"2","1984","college entrance qualification","East Germany","","","",""
"2","1984","Other degree","West Germany","352","0.218399333247425","0.197140839021561","0.23965782747329"
"2","1984","Other degree","East Germany","","","",""
"2","1984","no degree/no degree yet","West Germany","274","0.184207607609908","0.163159188157372","0.205256027062443"
"2","1984","no degree/no degree yet","East Germany","","","",""
"3","1984","lower secondary degree","West Germany","4736","0.788551597300899","0.778322938531445","0.798780256070353"
"3","1984","lower secondary degree","East Germany","","","",""
"3","1984","secondary school degree","West Germany","1456","0.74911884495403","0.729921540413836","0.768316149494225"
"3","1984","secondary school degree","East Germany","","","",""
"3","1984","college entrance qualification","West Germany","912","0.717829513454072","0.693298512054526","0.742360514853618"
"3","1984","college entrance qualification","East Germany","","","",""
"3","1984","Other degree","West Germany","935","0.653400742842303","0.628914733518071","0.677886752166534"
"3","1984","Other degree","East Germany","","","",""
"3","1984","no degree/no degree yet","West Germany","879","0.68062766431702","0.655312582871659","0.705942745762381"
"3","1984","no degree/no degree yet","East Germany","","","",""
"4","1984","lower secondary degree","West Germany","384","0.0686303069546516","0.0622971471029792","0.074963466806324"
"4","1984","lower secondary degree","East Germany","","","",""
"4","1984","secondary school degree","West Germany","135","0.075527692252301","0.0638264779366856","0.0872289065679165"
"4","1984","secondary school degree","East Germany","","","",""
"4","1984","college entrance qualification","West Germany","77","0.0649156501008093","0.0514864876281797","0.0783448125734389"
"4","1984","college entrance qualification","East Germany","","","",""
"4","1984","Other degree","West Germany","30","0.0320377272530449","0.0229767623126768","0.0410986921934131"
"4","1984","Other degree","East Germany","","","",""
"4","1984","no degree/no degree yet","West Germany","41","0.0668638965815665","0.0533012570067451","0.0804265361563878"
"4","1984","no degree/no degree yet","East Germany","","","",""
"5","1984","lower secondary degree","West Germany","42","0.00795614336373482","0.00573069170746216","0.0101815950200075"
"5","1984","lower secondary degree","East Germany","","","",""
"5","1984","secondary school degree","West Germany","22","","",""
"5","1984","secondary school degree","East Germany","","","",""
"5","1984","college entrance qualification","West Germany","22","","",""
"5","1984","college entrance qualification","East Germany","","","",""
"5","1984","Other degree","West Germany","3","","",""
"5","1984","Other degree","East Germany","","","",""
"5","1984","no degree/no degree yet","West Germany","3","","",""
"5","1984","no degree/no degree yet","East Germany","","","",""
