"hlf0071_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","Not Employed","1-pers.-HH","14","","",""
"Much too small","1984","Not Employed","(Married) couple without C. ","8","","",""
"Much too small","1984","Not Employed","Single parent ","8","","",""
"Much too small","1984","Not Employed","Couple + C. LE 16 ","70","0.0670336593311509","0.0506038493929933","0.0834634692693086"
"Much too small","1984","Not Employed","Couple + C. GT 16 ","15","","",""
"Much too small","1984","Not Employed","Couple + C. LE and GT 16","49","0.0647146271701458","0.0451106719590601","0.0843185823812316"
"Much too small","1984","Employed","1-pers.-HH","34","0.0348583679834256","0.0210519094139434","0.0486648265529078"
"Much too small","1984","Employed","(Married) couple without C. ","25","","",""
"Much too small","1984","Employed","Single parent ","14","","",""
"Much too small","1984","Employed","Couple + C. LE 16 ","133","0.042780795409639","0.0343054742774405","0.0512561165418375"
"Much too small","1984","Employed","Couple + C. GT 16 ","15","","",""
"Much too small","1984","Employed","Couple + C. LE and GT 16","64","0.0507094672193011","0.0378312793609028","0.0635876550776993"
"A little too small","1984","Not Employed","1-pers.-HH","41","0.049904873697886","0.0332419503355419","0.0665677970602302"
"A little too small","1984","Not Employed","(Married) couple without C. ","93","0.0677972461761033","0.05362638778142","0.0819681045707867"
"A little too small","1984","Not Employed","Single parent ","31","0.11429566325424","0.0730868970852409","0.15550442942324"
"A little too small","1984","Not Employed","Couple + C. LE 16 ","206","0.212052585132251","0.185197688141687","0.238907482122815"
"A little too small","1984","Not Employed","Couple + C. GT 16 ","79","0.0752386695317957","0.0555855983129849","0.0948917407506066"
"A little too small","1984","Not Employed","Couple + C. LE and GT 16","101","0.156858609922271","0.127880184128802","0.185837035715739"
"A little too small","1984","Employed","1-pers.-HH","105","0.153716428483878","0.126567584494627","0.180865272473129"
"A little too small","1984","Employed","(Married) couple without C. ","223","0.143440156588714","0.125642239172389","0.161238074005039"
"A little too small","1984","Employed","Single parent ","51","0.137999934898418","0.101866673829627","0.174133195967209"
"A little too small","1984","Employed","Couple + C. LE 16 ","515","0.210965381357882","0.193877836794668","0.228052925921096"
"A little too small","1984","Employed","Couple + C. GT 16 ","170","0.0955798642275792","0.0796035071442872","0.111556221310871"
"A little too small","1984","Employed","Couple + C. LE and GT 16","217","0.169329499895136","0.147315885038332","0.19134311475194"
"Just right","1984","Not Employed","1-pers.-HH","518","0.802236832279263","0.771756466462043","0.832717198096483"
"Just right","1984","Not Employed","(Married) couple without C. ","1005","0.841171151252001","0.820567612471148","0.861774690032854"
"Just right","1984","Not Employed","Single parent ","174","0.774054123309504","0.719889188574197","0.828219058044811"
"Just right","1984","Not Employed","Couple + C. LE 16 ","582","0.674839159237498","0.644063855744618","0.705614462730379"
"Just right","1984","Not Employed","Couple + C. GT 16 ","556","0.840748949548221","0.813486218240248","0.868011680856194"
"Just right","1984","Not Employed","Couple + C. LE and GT 16","438","0.742819508838969","0.707991306010517","0.77764771166742"
"Just right","1984","Employed","1-pers.-HH","465","0.685127376417791","0.650166174374804","0.720088578460778"
"Just right","1984","Employed","(Married) couple without C. ","1135","0.758041234550549","0.736295601665303","0.779786867435795"
"Just right","1984","Employed","Single parent ","263","0.787689710692267","0.744846976821621","0.830532444562913"
"Just right","1984","Employed","Couple + C. LE 16 ","1448","0.692503411331128","0.673176736346252","0.711830086316004"
"Just right","1984","Employed","Couple + C. GT 16 ","1036","0.828927696606985","0.808465247154458","0.849390146059512"
"Just right","1984","Employed","Couple + C. LE and GT 16","801","0.742477731532669","0.716811638249244","0.768143824816093"
"A little too big","1984","Not Employed","1-pers.-HH","71","0.116027314621447","0.0915200006577188","0.140534628585176"
"A little too big","1984","Not Employed","(Married) couple without C. ","97","0.0818936104658152","0.0664372778623149","0.0973499430693156"
"A little too big","1984","Not Employed","Single parent ","14","","",""
"A little too big","1984","Not Employed","Couple + C. LE 16 ","32","0.0460745962991001","0.0323011993418621","0.059847993256338"
"A little too big","1984","Not Employed","Couple + C. GT 16 ","38","0.063500781886226","0.0453314779545361","0.081670085817916"
"A little too big","1984","Not Employed","Couple + C. LE and GT 16","13","","",""
"A little too big","1984","Employed","1-pers.-HH","52","0.0900914410080747","0.0685401204890324","0.111642761527117"
"A little too big","1984","Employed","(Married) couple without C. ","95","0.0796142188793908","0.0658695201046716","0.09335891765411"
"A little too big","1984","Employed","Single parent ","18","","",""
"A little too big","1984","Employed","Couple + C. LE 16 ","84","0.0472289003165779","0.0383445793920242","0.0561132212411316"
"A little too big","1984","Employed","Couple + C. GT 16 ","73","0.0635550901661242","0.0502986862301948","0.0768114941020537"
"A little too big","1984","Employed","Couple + C. LE and GT 16","28","","",""
"Much too big","1984","Not Employed","1-pers.-HH","12","","",""
"Much too big","1984","Not Employed","(Married) couple without C. ","6","","",""
"Much too big","1984","Not Employed","Single parent ","2","","",""
"Much too big","1984","Not Employed","Couple + C. LE 16 ","","","",""
"Much too big","1984","Not Employed","Couple + C. GT 16 ","4","","",""
"Much too big","1984","Not Employed","Couple + C. LE and GT 16","4","","",""
"Much too big","1984","Employed","1-pers.-HH","22","","",""
"Much too big","1984","Employed","(Married) couple without C. ","12","","",""
"Much too big","1984","Employed","Single parent ","4","","",""
"Much too big","1984","Employed","Couple + C. LE 16 ","10","","",""
"Much too big","1984","Employed","Couple + C. GT 16 ","7","","",""
"Much too big","1984","Employed","Couple + C. LE and GT 16","5","","",""
"Much too small","1985","Not Employed","1-pers.-HH","11","","",""
"Much too small","1985","Not Employed","(Married) couple without C. ","7","","",""
"Much too small","1985","Not Employed","Single parent ","9","","",""
"Much too small","1985","Not Employed","Couple + C. LE 16 ","44","0.0436605465256973","0.0292463625417673","0.0580747305096274"
"Much too small","1985","Not Employed","Couple + C. GT 16 ","24","","",""
"Much too small","1985","Not Employed","Couple + C. LE and GT 16","28","","",""
"Much too small","1985","Employed","1-pers.-HH","27","","",""
"Much too small","1985","Employed","(Married) couple without C. ","36","0.0183601375212924","0.0111640498587288","0.0255562251838559"
"Much too small","1985","Employed","Single parent ","9","","",""
"Much too small","1985","Employed","Couple + C. LE 16 ","107","0.0453797326572765","0.0359912936795524","0.0547681716350005"
"Much too small","1985","Employed","Couple + C. GT 16 ","41","0.0193750612101537","0.0119531943317455","0.0267969280885618"
"Much too small","1985","Employed","Couple + C. LE and GT 16","40","0.0333448701147679","0.0219701055289469","0.0447196347005889"
"A little too small","1985","Not Employed","1-pers.-HH","38","0.0516404967314643","0.033457156555658","0.0698238369072706"
"A little too small","1985","Not Employed","(Married) couple without C. ","63","0.0531807828862402","0.0398349994386011","0.0665265663338793"
"A little too small","1985","Not Employed","Single parent ","34","0.13135273732116","0.0859899657848309","0.17671550885749"
"A little too small","1985","Not Employed","Couple + C. LE 16 ","178","0.195782559912754","0.167791896901765","0.223773222923743"
"A little too small","1985","Not Employed","Couple + C. GT 16 ","70","0.0887886190103938","0.0675653751648615","0.110011862855926"
"A little too small","1985","Not Employed","Couple + C. LE and GT 16","94","0.138081684236244","0.108711190399194","0.167452178073295"
"A little too small","1985","Employed","1-pers.-HH","91","0.143574517070568","0.115632749456554","0.171516284684582"
"A little too small","1985","Employed","(Married) couple without C. ","155","0.105781393844202","0.0892956373377399","0.122267150350664"
"A little too small","1985","Employed","Single parent ","60","0.153913872308687","0.114979131252711","0.192848613364662"
"A little too small","1985","Employed","Couple + C. LE 16 ","441","0.208004954630943","0.189696774853775","0.226313134408111"
"A little too small","1985","Employed","Couple + C. GT 16 ","146","0.0995049137711403","0.0833872129755044","0.115622614566776"
"A little too small","1985","Employed","Couple + C. LE and GT 16","169","0.149038940585424","0.126475940606653","0.171601940564194"
"Just right","1985","Not Employed","1-pers.-HH","449","0.805250288967983","0.772711917456671","0.837788660479294"
"Just right","1985","Not Employed","(Married) couple without C. ","924","0.855711440511488","0.834813052109386","0.876609828913589"
"Just right","1985","Not Employed","Single parent ","153","0.733354800598041","0.673969050892562","0.79274055030352"
"Just right","1985","Not Employed","Couple + C. LE 16 ","526","0.720281765370662","0.688618839778593","0.751944690962731"
"Just right","1985","Not Employed","Couple + C. GT 16 ","555","0.819485118184536","0.790787187192666","0.848183049176406"
"Just right","1985","Not Employed","Couple + C. LE and GT 16","386","0.767468542246973","0.731503439533439","0.803433644960508"
"Just right","1985","Employed","1-pers.-HH","427","0.70718958107009","0.670929264323287","0.743449897816893"
"Just right","1985","Employed","(Married) couple without C. ","1028","0.777519871594417","0.755226089631237","0.799813653557597"
"Just right","1985","Employed","Single parent ","229","0.722996277451571","0.674712420520904","0.771280134382237"
"Just right","1985","Employed","Couple + C. LE 16 ","1262","0.69337796689739","0.672579381671537","0.714176552123243"
"Just right","1985","Employed","Couple + C. GT 16 ","1060","0.813726239797838","0.792763156840125","0.83468932275555"
"Just right","1985","Employed","Couple + C. LE and GT 16","711","0.765278946469253","0.73842686056709","0.792131032371416"
"A little too big","1985","Not Employed","1-pers.-HH","58","0.105081267391786","0.0798844082365942","0.130278126546978"
"A little too big","1985","Not Employed","(Married) couple without C. ","84","0.0803510679030267","0.064183673226562","0.0965184625794914"
"A little too big","1985","Not Employed","Single parent ","12","","",""
"A little too big","1985","Not Employed","Couple + C. LE 16 ","22","","",""
"A little too big","1985","Not Employed","Couple + C. GT 16 ","38","0.0593634042549723","0.0417317167420876","0.076995091767857"
"A little too big","1985","Not Employed","Couple + C. LE and GT 16","20","","",""
"A little too big","1985","Employed","1-pers.-HH","48","0.0920923375153085","0.0690512489823274","0.11513342604829"
"A little too big","1985","Employed","(Married) couple without C. ","112","0.0936674712717434","0.0780496456690183","0.109285296874469"
"A little too big","1985","Employed","Single parent ","28","","",""
"A little too big","1985","Employed","Couple + C. LE 16 ","66","0.0457616242912915","0.0363356500042593","0.0551875985783237"
"A little too big","1985","Employed","Couple + C. GT 16 ","71","0.0613394956060688","0.0484194357866684","0.0742595554254692"
