"hlf0071_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Much too small","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Much too small","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"Much too small","1984","Saxony","in school","","","",""
"Much too small","1984","Saxony","inadequately","","","",""
"Much too small","1984","Saxony","general elemantary","","","",""
"Much too small","1984","Saxony","middle vocational","","","",""
"Much too small","1984","Saxony","vocational + Abi","","","",""
"Much too small","1984","Saxony","higher vocational","","","",""
"Much too small","1984","Saxony","higher education","","","",""
"Much too small","1984","Saxony-Anhalt","in school","","","",""
"Much too small","1984","Saxony-Anhalt","inadequately","","","",""
"Much too small","1984","Saxony-Anhalt","general elemantary","","","",""
"Much too small","1984","Saxony-Anhalt","middle vocational","","","",""
"Much too small","1984","Saxony-Anhalt","vocational + Abi","","","",""
"Much too small","1984","Saxony-Anhalt","higher vocational","","","",""
"Much too small","1984","Saxony-Anhalt","higher education","","","",""
"Much too small","1984","Thuringia","in school","","","",""
"Much too small","1984","Thuringia","inadequately","","","",""
"Much too small","1984","Thuringia","general elemantary","","","",""
"Much too small","1984","Thuringia","middle vocational","","","",""
"Much too small","1984","Thuringia","vocational + Abi","","","",""
"Much too small","1984","Thuringia","higher vocational","","","",""
"Much too small","1984","Thuringia","higher education","","","",""
"A little too small","1984","Schleswig-Holstein","in school","3","","",""
"A little too small","1984","Schleswig-Holstein","inadequately","3","","",""
"A little too small","1984","Schleswig-Holstein","general elemantary","9","","",""
"A little too small","1984","Schleswig-Holstein","middle vocational","37","0.156718551906472","0.108680738741938","0.204756365071006"
"A little too small","1984","Schleswig-Holstein","vocational + Abi","1","","",""
"A little too small","1984","Schleswig-Holstein","higher vocational","4","","",""
"A little too small","1984","Schleswig-Holstein","higher education","1","","",""
"A little too small","1984","Hamburg","in school","2","","",""
"A little too small","1984","Hamburg","inadequately","","","",""
"A little too small","1984","Hamburg","general elemantary","13","","",""
"A little too small","1984","Hamburg","middle vocational","27","","",""
"A little too small","1984","Hamburg","vocational + Abi","5","","",""
"A little too small","1984","Hamburg","higher vocational","9","","",""
"A little too small","1984","Hamburg","higher education","8","","",""
"A little too small","1984","Lower Saxony","in school","9","","",""
"A little too small","1984","Lower Saxony","inadequately","19","","",""
"A little too small","1984","Lower Saxony","general elemantary","40","0.0790344228809315","0.0514321464436925","0.106636699318171"
"A little too small","1984","Lower Saxony","middle vocational","76","0.12160503112271","0.0952553695272929","0.147954692718127"
"A little too small","1984","Lower Saxony","vocational + Abi","6","","",""
"A little too small","1984","Lower Saxony","higher vocational","7","","",""
"A little too small","1984","Lower Saxony","higher education","9","","",""
"A little too small","1984","Bremen","in school","","","",""
"A little too small","1984","Bremen","inadequately","1","","",""
