"hlf0071_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1984","16-34 y.","West Germany","173","0.0429269355110188","0.0370714205703256","0.0487824504517121","4"
"A little too big","1984","16-34 y.","East Germany","","","","","4"
"A little too big","1984","35-65 y.","West Germany","373","0.0739478004072429","0.0675053314057834","0.0803902694087023","4"
"A little too big","1984","35-65 y.","East Germany","","","","","4"
"A little too big","1984","66 and older","West Germany","124","0.101419990658659","0.0848755161232099","0.117964465194108","4"
"A little too big","1984","66 and older","East Germany","","","","","4"
"A little too small","1984","16-34 y.","East Germany","","","","","2"
"A little too small","1984","16-34 y.","West Germany","987","0.19237182755791","0.180984965252763","0.203758689863057","2"
"A little too small","1984","35-65 y.","West Germany","936","0.122359169766864","0.114291490132344","0.130426849401383","2"
"A little too small","1984","35-65 y.","East Germany","","","","","2"
"A little too small","1984","66 and older","West Germany","70","0.0473568748568446","0.03571643328946","0.0589973164242292","2"
"A little too small","1984","66 and older","East Germany","","","","","2"
"Just right","1984","16-34 y.","East Germany","","","","","3"
"Just right","1984","16-34 y.","West Germany","3154","0.712769408926213","0.69969814825453","0.725840669597896","3"
"Just right","1984","35-65 y.","East Germany","","","","","3"
"Just right","1984","35-65 y.","West Germany","4761","0.772158032448767","0.761831799178234","0.7824842657193","3"
"Just right","1984","66 and older","West Germany","1066","0.835283779993948","0.814955622045626","0.85561193794227","3"
"Just right","1984","66 and older","East Germany","","","","","3"
"Much too big","1984","16-34 y.","West Germany","28","","","","5"
"Much too big","1984","16-34 y.","East Germany","","","","","5"
"Much too big","1984","35-65 y.","West Germany","48","0.00967452915195889","0.0072647576341661","0.0120843006697517","5"
"Much too big","1984","66 and older","West Germany","17","","","","5"
"Much too big","1984","35-65 y.","East Germany","","","","","5"
"Much too big","1984","66 and older","East Germany","","","","","5"
"Much too small","1984","16-34 y.","West Germany","261","0.0439020651135216","0.0379834340602746","0.0498206961667687","1"
"Much too small","1984","16-34 y.","East Germany","","","","","1"
"Much too small","1984","35-65 y.","West Germany","220","0.0218604682251673","0.018260471471154","0.0254604649791805","1"
"Much too small","1984","35-65 y.","East Germany","","","","","1"
"Much too small","1984","66 and older","West Germany","2","","","","1"
"Much too small","1984","66 and older","East Germany","","","","","1"
"A little too big","1985","16-34 y.","West Germany","185","0.0523397578244814","0.0455655018442382","0.0591140138047246","4"
"A little too big","1985","16-34 y.","East Germany","","","","","4"
"A little too big","1985","35-65 y.","West Germany","359","0.0796634590706802","0.0726678047748604","0.0866591133665001","4"
"A little too big","1985","35-65 y.","East Germany","","","","","4"
"A little too big","1985","66 and older","West Germany","92","0.084723797883423","0.068363948468715","0.101083647298131","4"
"A little too big","1985","66 and older","East Germany","","","","","4"
"A little too small","1985","16-34 y.","West Germany","791","0.172042864362328","0.160562869926021","0.183522858798635","2"
"A little too small","1985","35-65 y.","West Germany","799","0.112065573608178","0.103915679171419","0.120215468044937","2"
"A little too small","1985","16-34 y.","East Germany","","","","","2"
"A little too small","1985","35-65 y.","East Germany","","","","","2"
"A little too small","1985","66 and older","West Germany","57","0.0430935063839282","0.0311634862648343","0.0550235265030221","2"
"A little too small","1985","66 and older","East Germany","","","","","2"
"Just right","1985","16-34 y.","West Germany","2942","0.73152815753189","0.718048330673732","0.745007984390049","3"
"Just right","1985","16-34 y.","East Germany","","","","","3"
"Just right","1985","35-65 y.","West Germany","4365","0.776693904815333","0.765934192386864","0.787453617243801","3"
"Just right","1985","35-65 y.","East Germany","","","","","3"
"Just right","1985","66 and older","West Germany","941","0.849611261504191","0.828611309739968","0.870611213268414","3"
"Just right","1985","66 and older","East Germany","","","","","3"
"Much too big","1985","16-34 y.","West Germany","22","","","","5"
"Much too big","1985","16-34 y.","East Germany","","","","","5"
"Much too big","1985","35-65 y.","West Germany","40","0.00840313309388813","0.00604475397425358","0.0107615122135227","5"
"Much too big","1985","35-65 y.","East Germany","","","","","5"
"Much too big","1985","66 and older","West Germany","19","","","","5"
"Much too big","1985","66 and older","East Germany","","","","","5"
"Much too small","1985","16-34 y.","West Germany","212","0.0381782822387919","0.0323495393276294","0.0440070251499544","1"
"Much too small","1985","16-34 y.","East Germany","","","","","1"
"Much too small","1985","35-65 y.","West Germany","192","0.0231739294119212","0.0192867562469168","0.0270611025769255","1"
"Much too small","1985","35-65 y.","East Germany","","","","","1"
