"hlf0071_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","no migration background","85","0.0204609257573046","0.0158370085155588","0.0250848429990503"
"1","1984","Not Employed","direct migration background","90","0.0724055052965456","0.056334974460222","0.0884760361328693"
"1","1984","Not Employed","indirect migration background","5","","",""
"1","1984","Employed","no migration background","120","0.0225396176081985","0.0184567305811879","0.0266225046352091"
"1","1984","Employed","direct migration background","182","0.0590079409070598","0.0496098913067385","0.0684059905073811"
"1","1984","Employed","indirect migration background","1","","",""
"2","1984","Not Employed","no migration background","381","0.0927709417321165","0.0832954667567401","0.102246416707493"
"2","1984","Not Employed","direct migration background","228","0.187055559204066","0.162874178775202","0.21123693963293"
"2","1984","Not Employed","indirect migration background","10","","",""
"2","1984","Employed","no migration background","807","0.152724440299849","0.142829546896814","0.162619333702885"
"2","1984","Employed","direct migration background","549","0.199134182809885","0.183206877311591","0.215061488308179"
"2","1984","Employed","indirect migration background","18","","",""
"3","1984","Not Employed","no migration background","2837","0.797112913878048","0.783978108101075","0.810247719655021"
"3","1984","Not Employed","direct migration background","653","0.685556564041242","0.656765463889693","0.714347664192791"
"3","1984","Not Employed","indirect migration background","43","0.911137289837443","0.837907838199171","0.984366741475715"
"3","1984","Employed","no migration background","3785","0.749102649442684","0.737177516934181","0.761027781951186"
"3","1984","Employed","direct migration background","1616","0.697843292080412","0.67952923355746","0.716157350603364"
"3","1984","Employed","indirect migration background","47","0.759460289723243","0.65933472050249","0.859585858943996"
"4","1984","Not Employed","no migration background","267","0.0800658359330617","0.0712016567716178","0.0889300150945055"
"4","1984","Not Employed","direct migration background","26","","",""
"4","1984","Not Employed","indirect migration background","","","",""
"4","1984","Employed","no migration background","311","0.0642817078203198","0.0575354835872875","0.0710279320533521"
"4","1984","Employed","direct migration background","62","0.0405008069265478","0.0326386145092944","0.0483629993438011"
"4","1984","Employed","indirect migration background","4","","",""
"5","1984","Not Employed","no migration background","31","0.00958938269946942","0.00640636173114871","0.0127724036677901"
"5","1984","Not Employed","direct migration background","2","","",""
"5","1984","Not Employed","indirect migration background","","","",""
"5","1984","Employed","no migration background","54","0.0113515848289487","0.00843755699281193","0.0142656126650855"
"5","1984","Employed","direct migration background","6","","",""
"5","1984","Employed","indirect migration background","","","",""
"1","1985","Not Employed","no migration background","58","0.0149885378175876","0.010814982549072","0.0191620930861032"
"1","1985","Not Employed","direct migration background","69","0.0644408430386583","0.0482640403150727","0.0806176457622438"
"1","1985","Not Employed","indirect migration background","7","","",""
"1","1985","Employed","no migration background","131","0.0254753798206952","0.0209722201804622","0.0299785394609282"
"1","1985","Employed","direct migration background","141","0.0574212764150041","0.0473059133213586","0.0675366395086496"
"1","1985","Employed","indirect migration background","2","","",""
"2","1985","Not Employed","no migration background","316","0.0829518621410249","0.0734782624530652","0.0924254618289845"
"2","1985","Not Employed","direct migration background","206","0.188574024558749","0.162802397160911","0.214345651956587"
"2","1985","Not Employed","indirect migration background","9","","",""
"2","1985","Employed","no migration background","653","0.133389903644842","0.123672864477533","0.14310694281215"
"2","1985","Employed","direct migration background","451","0.219528997980924","0.2015315646842","0.237526431277649"
"2","1985","Employed","indirect migration background","12","","",""
"3","1985","Not Employed","no migration background","2610","0.81158398755835","0.798152270584086","0.825015704532614"
"3","1985","Not Employed","direct migration background","592","0.71919836413909","0.689590940498339","0.748805787779841"
"3","1985","Not Employed","indirect migration background","55","0.804059439780907","0.712376592325528","0.895742287236286"
"3","1985","Employed","no migration background","3550","0.759295176429657","0.747076945793357","0.771513407065956"
"3","1985","Employed","direct migration background","1384","0.676588900858255","0.656250063008085","0.696927738708424"
"3","1985","Employed","indirect migration background","57","0.883228249939598","0.809048184339947","0.957408315539249"
"4","1985","Not Employed","no migration background","241","0.0782201322185167","0.0689969927673252","0.0874432716697083"
"4","1985","Not Employed","direct migration background","15","","",""
"4","1985","Not Employed","indirect migration background","1","","",""
"4","1985","Employed","no migration background","334","0.0736232092858181","0.0661593781213501","0.0810870404502862"
"4","1985","Employed","direct migration background","44","0.0398813558518477","0.0313732350391334","0.048389476664562"
"4","1985","Employed","indirect migration background","1","","",""
"5","1985","Not Employed","no migration background","31","0.0122554802645208","0.00847633683675059","0.016034623692291"
"5","1985","Not Employed","direct migration background","3","","",""
"5","1985","Not Employed","indirect migration background","","","",""
"5","1985","Employed","no migration background","35","0.00821633081898838","0.00563640014139954","0.0107962614965772"
"5","1985","Employed","direct migration background","12","","",""
"5","1985","Employed","indirect migration background","","","",""
"1","1986","Not Employed","no migration background","12","","",""
"1","1986","Not Employed","direct migration background","5","","",""
"1","1986","Not Employed","indirect migration background","","","",""
"1","1986","Employed","no migration background","15","","",""
"1","1986","Employed","direct migration background","16","","",""
"1","1986","Employed","indirect migration background","2","","",""
"2","1986","Not Employed","no migration background","23","","",""
"2","1986","Not Employed","direct migration background","26","","",""
"2","1986","Not Employed","indirect migration background","1","","",""
"2","1986","Employed","no migration background","91","0.149345240180761","0.121424091230527","0.177266389130996"
"2","1986","Employed","direct migration background","44","0.144290098201847","0.102984659771984","0.18559553663171"
"2","1986","Employed","indirect migration background","","","",""
"3","1986","Not Employed","no migration background","162","0.741901834405575","0.683946727006015","0.799856941805136"
"3","1986","Not Employed","direct migration background","79","0.719327519373409","0.636845569410308","0.80180946933651"
"3","1986","Not Employed","indirect migration background","4","","",""
"3","1986","Employed","no migration background","478","0.754516105247676","0.720802384589078","0.788229825906274"
